"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의원","01_01_02_P","3250000","PHMA119703250021041100001","19700317","","02","휴업","02","휴업","","20220513","20230430","","051-245-3478","","","부산광역시 중구 대청동 1가 39-5","부산광역시 중구 대청로 124 (대청동1가)","48950","고려정형외과의원","20220513150002","U","2022-05-15 02:40:00.0","의원","385340.163423647","180059.65002186","의원","1","0","0","121.91","105","정형외과","","","","0","0","","","0","",
"2","의원","01_01_02_P","3250000","PHMA120063250021041100006","20060703","","03","폐업","03","폐업","20131002","","","","051-244-7777","","","부산광역시 중구 남포동 2가 25-10","부산광역시 중구 구덕로34번길 4 (남포동2가)","600042","KBS코리아뷰티스쿨의원","20131002103541","I","2018-08-31 23:59:59.0","의원","385243.158543667","179580.295176299","의원","1","0","0","0","108 114 122","성형외과, 피부과, 가정의학과","","","","0","0","","","0","",
"3","의원","01_01_02_P","3250000","PHMA120063250021041100007","20060719","","03","폐업","03","폐업","20190611","","","","051-257-9696","","","부산광역시 중구 남포동 6가 81-1","부산광역시 중구 중구로 3 (남포동6가)","48981","엠비뇨기과의원","20190611132127","U","2019-06-13 02:40:00.0","의원","384837.437171309","179552.786747988","의원","2","2","2","340.3","115","비뇨의학과","","","","0","0","","","0","",
"4","의원","01_01_02_P","3250000","PHMA120063250021041100009","20060801","","03","폐업","03","폐업","20110226","","","","051-244-0076","","","부산광역시 중구 남포동 5가 83-2","부산광역시 중구 자갈치로 45 (남포동5가)","600045","신동아마취통증의학과의원","20120116094507","I","2018-08-31 23:59:59.0","의원","384956.383057363","179461.744559469","의원","1","0","0","0","109","마취통증의학과","","","","0","0","","","0","",
"5","의원","01_01_02_P","3250000","PHMA119783250021041100002","19780722","","03","폐업","03","폐업","20161129","","","","051-247-2828","","","부산광역시 중구 중앙동 1가 202-5","부산광역시 중구 중앙대로29번길 2-1 (중앙동1가)","48957","한창근치과의원","20161129153417","I","2018-08-31 23:59:59.0","치과의원","385592.561724337","179812.256508105","치과의원","1","0","0","0","200 401","치과","","","","0","0","","","0","",
"6","의원","01_01_02_P","3250000","PHMA119793250021041100001","19790313","","03","폐업","03","폐업","20120526","","","","051-245-1665","","","부산광역시 중구 남포동 6가 110-1","부산광역시 중구 보수대로 10 (남포동6가)","600046","박이비인후과의원","20120525133030","I","2018-08-31 23:59:59.0","의원","384639.9404924","179538.512908328","의원","1","0","0","0","113","이비인후과","","","","0","0","","","0","",
"7","의원","01_01_02_P","3250000","PHMA119803250021041100001","19800704","","03","폐업","03","폐업","20101004","","","","051-245-5234","","","부산광역시 중구 남포동 4가 1-7","부산광역시 중구 구덕로 32-1 (남포동4가)","600044","중앙내과의원","20120118144227","I","2018-08-31 23:59:59.0","의원","385242.03709043","179558.5452827","의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"8","의원","01_01_02_P","3250000","PHMA119823250021041100002","19820522","","03","폐업","03","폐업","20161201","","","","051-462-0935","","","부산광역시 중구 대청동 3가 9-1","부산광역시 중구 대청로 87 (대청동3가)","48933","최이범산부인과의원","20161201162717","I","2018-08-31 23:59:59.0","의원","384969.158266786","180112.133812506","의원","1","3","3","0","110","산부인과","","","","0","0","","","0","",
"9","의원","01_01_02_P","3250000","PHMA119923250021041100002","19920416","","03","폐업","03","폐업","20090413","","","","051-245-0480","","","부산광역시 중구 영주2동 292-1","부산광역시 중구 영주로 14 (영주동)","600112","대청의원","20120116153818","I","2018-08-31 23:59:59.0","의원","385199.696492501","180863.620565786","의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"10","의원","01_01_02_P","3250000","PHMA119833250021041100003","19830819","","03","폐업","03","폐업","20211225","","","","051-246-3003","","","부산광역시 중구 남포동 6가 110-1","부산광역시 중구 보수대로 10 (남포동6가)","48981","한양정형외과의원","20220112165959","U","2022-01-14 02:40:00.0","의원","384639.9404924","179538.512908328","의원","1","0","0","0","105","정형외과","","","","0","0","","","0","",
