"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","부속의료기관","01_01_03_P","3260000","PHMA319663260022041300001","19660124","","03","폐업","03","폐업","20110908","","","","051-257-0103","","","부산광역시 서구 아미동2가 89-155","","","사회복지법인 그리스도 구원선","20110908150250","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"2","부속의료기관","01_01_03_P","3260000","PHMA319863260022041300001","19861117","","03","폐업","03","폐업","20110429","","","","051-257-9404","","","부산광역시 서구 토성동2가 4-1","","","부산기독교사회복지관부속의원","20110429114310","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"3","부속의료기관","01_01_03_P","3290000","PHMA319973290024041300001","19970421","","03","폐업","03","폐업","20101213","","","","051-644-1650","","","부산광역시 부산진구 범천1동863-1","","","삼성생명부속의원","20120814103347","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"4","부속의료기관","01_01_03_P","3290000","PHMA320093290024041300001","20090323","","03","폐업","03","폐업","20090402","","","","","","614802","부산광역시 부산진구 가야2동 602번지 7호","부산광역시 부산진구 가야공원로 44 (가야동)","","효정의료소비자생활협동조합효림부속의원","20090403092741","I","2018-08-31 23:59:59.0","","384895.390231743","185266.377015509","부속의원","1","0","0","179.4","104 105 106 113 101 114 111 115 120","내과, 외과, 정형외과, 신경외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과","","","","0","0","","","0","",
"5","부속의료기관","01_01_03_P","3290000","PHMA320093290024041300002","20090213","","03","폐업","03","폐업","20090629","","","","816-2282","","614836","부산광역시 부산진구 부암1동 724번지 3호","부산광역시 부산진구 백양산로53번길 16 (부암동)","","한국의료소비자생활협동조합제일부속의원","20090630154648","I","2018-08-31 23:59:59.0","","384898.006163277","187925.998896142","부속의원","8","0","0","719.68","105 122 106 120 104 101 119","내과, 외과, 정형외과, 신경외과, 진단검사의학과, 재활의학과, 가정의학과","","","","0","0","","","0","",
"6","부속의료기관","01_01_03_P","3290000","PHMA320013290024041300001","20010419","","01","영업/정상","13","영업중","","","","","051-669-6883","","614786","부산광역시 부산진구 부전동 535번지 5호","부산광역시 부산진구 중앙대로 659 (부전동)","47289","한화생명보험㈜ 부산부속의원","20191220165032","U","2019-12-22 02:40:00.0","","387530.412665397","185551.561037471","부속의원","1","0","0","587.4","101","내과","","","","0","0","","","0","",
"7","부속의료기관","01_01_03_P","3310000","PHMA320093310024041300001","20090407","","03","폐업","03","폐업","20090821","","","","","","602055","부산광역시 서구 토성동5가 28번지 1호 동일빌라 201호","부산광역시 서구 구덕로 135-8 (토성동5가,동일빌라 201호)","","(사)센텀의료소비자생활협동조합 사랑부속의원","20090821174734","I","2018-08-31 23:59:59.0","","384208.530134913","179450.507706881","부속의원","1","0","0","181.9","122 101 111 110 105 114","내과, 정형외과, 산부인과, 소아청소년과, 피부과, 가정의학과","","","","0","0","","","0","",
"8","부속의료기관","01_01_03_P","3310000","PHMA319743310024041300001","19740329","","03","폐업","03","폐업","20100202","","","","051-611-3622","","608805","부산광역시 남구 대연3동 74번지 18호","부산광역시 남구 용소로8번길 46 (대연동)","","대한결핵협회부산시지부 부설 복십자의원","20151006093410","I","2018-08-31 23:59:59.0","","391157.370995645","183859.389619517","부속의원","4","0","0","0","101 121","내과, 결핵과","","","","0","0","","","0","",
"9","부속의료기관","01_01_03_P","3310000","PHMA320103310024041300001","20100726","","03","폐업","03","폐업","20101230","","","","","","608801","부산광역시 남구 감만1동 138번지 59호 2,3층","부산광역시 남구 우암로 63 (감만동,2,3층)","","감만중앙부속의원","20101230145213","I","2018-08-31 23:59:59.0","","389644.331497549","181652.511643052","부속의원","1","0","0","181.9","101 111 122 105 104 109 114 115 113 119 116","내과, 외과, 정형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과","","","","0","0","","","0","",
"10","부속의료기관","01_01_03_P","3320000","PHMA319933320045041300001","19931029","","03","폐업","03","폐업","20190831","","","","051-334-0114","","616809","부산광역시 북구 구포3동 1255번지 2호","부산광역시 북구 시랑로114번길 45 (구포동)","46643","주민복지의원(사회복지법인장선종합복지공동체)","20190910160818","U","2019-09-12 02:40:00.0","","382865.897094966","190186.827804782","부속의원","3","0","0","0","101 119 122","내과, 진단검사의학과, 가정의학과","","","","0","0","","","0","",
