"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","임산부정원수","영유아정원수","임산부실면적","영유아실면적","모유수유실면적","급식시설면적","세탁실면적","목욕실면적","조리원화장실면적","사무실면적","간호사수","간호조무사수","영양사수","취사부수","미화원수","기타인원수","건물층수","지상층수","지하층수",
"1","산후조리업","01_01_04_P","3260000","PHMB120073260022042100001","20070102","","03","폐업","03","폐업","20120402","","","","","","602103","부산광역시 서구 동대신동3가 146번지 10호","부산광역시 서구 보수대로 240-1 (동대신동3가)","","새부산산후조리원","20120402153138","I","2018-08-31 23:59:59.0","","383902.456447498","181494.113752529","7","3","11.2","","","","","","","","1","2","","","","","","","",
"2","산후조리업","01_01_04_P","3260000","PHMB120083260022042100001","20081010","","03","폐업","03","폐업","20150201","","","","051-600-7565","","602819","부산광역시 서구 서대신동2가 부산 위생병원 산후조리원 (서구 대티로 170, 서대신동2가 )","부산광역시 서구 대티로 170 (서대신동2가)","602819","삼육부산병원 산후조리원","20150130141714","I","2018-08-31 23:59:59.0","","383283.55617159","181112.158849737","15","15","6.3","1.7","","","","","","","","","","","","","0","","",
"3","산후조리업","01_01_04_P","3260000","PHMB120113260022042100001","20111111","","01","영업/정상","13","영업중","","","","","253-5555","","602011","부산광역시 서구 충무동1가 9번지 17호","부산광역시 서구 구덕로 114 (충무동1가)","","구세산후조리원","20210205112010","U","2021-02-07 02:40:00.0","","384474.329343373","179390.96626638","9","9","132.61","23.73","16.12","0","10.12","0","6.6","0","2","4","0","0","1","1","3","3","0",
"4","산후조리업","01_01_04_P","3270000","PHMB120083270022042100001","20080925","","01","영업/정상","13","영업중","","","","","051)643-3700","","","","부산광역시 동구 범일로 119 (범일동, 좋은문화병원)","48735","좋은문화 산후조리원","20170111154654","I","2018-08-31 23:59:59.0","","387586.080807702","184357.091478796","43","43","504.56","67.37","32","162","0","0","96.9","25.2","6","7","0","2","","1","23","23","0",
"5","산후조리업","01_01_04_P","3270000","PHMB120063270022042100001","20061130","","01","영업/정상","13","영업중","","","","","051)630-0345","","601724","부산광역시 동구 좌천1동 432번지 일신기독병원","부산광역시 동구 정공단로 34 (좌천동)","48725","일신기독병원 산후조리원","20200909154734","U","2020-09-11 02:40:00.0","","387197.297848946","183732.458602732","14","14","142","59","12","0","7.2","","120","","6","7","2","","","3","6","5","",
"6","산후조리업","01_01_04_P","3280000","PHMB120063280023042100001","20061215","","03","폐업","03","폐업","20101101","20091130","20101031","","051-417-0336","","606070","부산광역시 영도구 청학동 231번지 1호","부산광역시 영도구 태종로 319-1 (청학동)","","청학산후조리원","20101013154349","I","2018-08-31 23:59:59.0","","387854.264797129","179470.981696584","7","7","61.2","14.2","10.7","25","11","7","12.3","4.3","2","3","","1","1","","6","4","",
"7","산후조리업","01_01_04_P","3290000","PHMB120063290024042100001","20061206","","03","폐업","03","폐업","20160506","","","","","","614111","부산광역시 부산진구 개금1동 182번지 9호","부산광역시 부산진구 가야대로 472 (개금동)","","미래산후조리원(주)","20160504131651","I","2018-08-31 23:59:59.0","","384327.14891433","185623.185943799","27","27","","","","","","","","","4","8","1","","","","10","7","",
"8","산후조리업","01_01_04_P","3290000","PHMB120063290024042100002","20061206","","01","영업/정상","13","영업중","","","","","890-7500","","614813","부산광역시 부산진구 개금1동 182번지 13호  개금메디컬센터 5,6,7,8,9 층","부산광역시 부산진구 가야대로 474 (개금동,개금메디컬센터 5,6,7,8,9 층)","","미래산후조리원","20210422101050","U","2021-04-24 02:40:00.0","","384343.91395648","185620.956602302","40","40","848.02","114.3","46.8","23.76","","","68","","4","8","0","4","2","1","11","7","0",
"9","산후조리업","01_01_04_P","3290000","PHMB120063290024042100003","20061208","","01","영업/정상","13","영업중","","","","","890-7103","","","부산광역시 부산진구 개금동 177번지 149호","부산광역시 부산진구 가야대로 472 (개금동, 보문빌딩)","47323","아이사랑산후조리원","20170531091608","I","2018-08-31 23:59:59.0","","384320.464806731","185580.977835139","20","20","467.6","81","27","","","","","","3","9","","2","3","","0","","",
"10","산후조리업","01_01_04_P","3290000","PHMB120143290024042100001","20140211","","01","영업/정상","13","영업중","","","","","051-890-9980","","614813","부산광역시 부산진구 개금동 204번지 6호 미래여성병원","부산광역시 부산진구 가야대로 459 (개금동, 미래여성병원)","47268","미래여성산후조리원","20141110101716","I","2018-08-31 23:59:59.0","","384209.576871548","185708.321755584","28","28","669.9","96.2","35.3","161.3","0","79.8","79.8","7.6","4","12","0","15","2","6","2","2","0",
"11","산후조리업","01_01_04_P","3300000","PHMB120043300024042100001","20041203","","03","폐업","03","폐업","20180131","","","","","","607825","부산광역시 동래구 안락2동 595번지 9호","부산광역시 동래구 충렬대로 426 (안락동)","47890","(주)태곤 본메디 산후조리원","20180131164256","I","2018-08-31 23:59:59.0","","391622.181274095","190582.25080216","9","9","","","","","","","","","","","","","","","8","7","",
"12","산후조리업","01_01_04_P","3300000","PHMB120033300024042100001","20061229","","03","폐업","03","폐업","20130604","","","","051-523-3721","","607830","부산광역시 동래구 안락2동 606번지 4호","부산광역시 동래구 충렬대로 420 (안락동)","607830","나이팅게일 산후조리원","20130604113245","I","2018-08-31 23:59:59.0","","391544.11506292","190588.476263509","17","17","170.9","32.38","8.75","24.05","1.56","42.4","15.18","11.42","","","","","","","7","4","",
"13","산후조리업","01_01_04_P","3300000","PHMB120033300024042100002","20030701","","03","폐업","03","폐업","20080806","","","","051-556-0700","","607833","부산광역시 동래구 온천1동 198번지 11호","부산광역시 동래구 금강로 91 (온천동)","","참젖산후조리원","20110930162629","I","2018-08-31 23:59:59.0","","389173.026152186","192858.724691088","17","17","154.52","22.2","8.97","","","","","","2","2","","","","","7","5","",
"14","산후조리업","01_01_04_P","3300000","PHMB120113300024042100001","20111104","","03","폐업","03","폐업","20191029","","","","051-557-0114","","607834","부산광역시 동래구 온천1동 473번지 1호","부산광역시 동래구 온천장로 13 (온천동)","47715","아름병원산후조리원","20191029140031","U","2019-10-31 02:40:00.0","","389212.314681877","192450.390998294","38","38","612.26","67.92","54.07","38.34","11.62","9.18","112.74","12.64","5","15","1","5","2","","12","78","",
"15","산후조리업","01_01_04_P","3300000","PHMB120173300024042100001","20170601","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 동래구 충렬대로 449, 6층 (안락동, 좋은날에드라마여성병원)","47795","좋은날에 드라마 산후조리원","20210727145632","U","2021-07-29 02:40:00.0","","391873","190572","50","50","894.11","103.08","33.66","0","39.6","0","0","7.91","0","0","0","0","0","0","0","0","0",
"16","산후조리업","01_01_04_P","3310000","PHMB120063310024042100002","20061213","","03","폐업","03","폐업","20140726","","","","","","608807","부산광역시 남구 대연5동 1745번지 4호","부산광역시 남구 수영로 225-1 (대연동)","608807","사랑기픈산후조리원","20140625141942","I","2018-08-31 23:59:59.0","","390540.304240362","183803.646585695","10","10","11.6","24.13","9.3","20.42","5.75","","24.7","","","","","","","","","","",
"17","산후조리업","01_01_04_P","3310000","PHMB120083310024042100001","20080307","","03","폐업","03","폐업","20160229","","","","051-628-9888","","608813","부산광역시 남구 대연1동 1751번지 3호","부산광역시 남구 수영로 216 (대연동)","48492","이화산후조리원","20160229115956","I","2018-08-31 23:59:59.0","","390431.099113795","183736.286805202","13","13","146","24","7","50","17","","37","13","4","7","","","","","10","9","1",
