"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","판매점영업면적",
"1","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500009","20181102","","01","영업/정상","13","영업중","","","","","051-231-9934","","","부산광역시 중구 남포동5가 8번지 1호","부산광역시 중구 구덕로 54-1, 포레호텔 1층 (남포동5가)","48953","씨유 부산포레호텔점","20181102155609","I","2018-11-04 02:35:42.0","","385007.017930066","179584.983850781","",
"2","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500010","20181102","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대청동1가 37번지 1호 코모도에스테이트","부산광역시 중구 대청로 121-1 (대청동1가, 코모도에스테이트)","48932","세븐일레븐 부산코모도점","20181102155656","I","2018-11-04 02:35:42.0","","385306.698876602","180120.939470659","42.97",
"3","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320193250021087500004","20190314","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 영주동 142번지 24호 문화빌리지","부산광역시 중구 동영로64번길 21, 1층 101호 (영주동, 문화빌리지)","48914","GS25 부산터널점","20190315085240","I","2019-03-17 02:21:52.0","","385234.390509207","181142.867957634","65.02",
"4","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320193250021087500001","20190219","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동2가 62번지 1호","부산광역시 중구 중구로29번길 41 (부평동2가)","48977","미니스톱 부산부평시장점","20210823174217","U","2021-08-25 02:40:00.0","","384633.051413569","179801.25290325","66",
"5","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320193250021087500003","20190307","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 89번지 13호","부산광역시 중구 충장대로 3, 금현빌딩 1층 (중앙동4가)","48939","(주)에스에이엠 부산충장대로점","20190307165417","I","2019-03-09 02:21:44.0","","385637.881580017","180394.391409338","150",
"6","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320193250021087500002","20190304","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 영주동 292번지 1호","부산광역시 중구 영주로 14 (영주동)","48916","씨유 영주스카이점","20190304130443","I","2019-03-06 02:21:41.0","","385199.696492501","180863.620565786","105",
"7","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320193250021087500006","20191010","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동5가 18번지","부산광역시 중구 대교로 141, 경보이리스오션 102호 (중앙동5가)","48943","씨유 중구이리스점","20191010140744","I","2019-10-12 00:22:47.0","","385685.024196336","180073.984559589","",
"8","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320193250021087500007","20191024","","01","영업/정상","13","영업중","","","","","051-246-9329","","","부산광역시 중구 신창동1가 6번지 1호","부산광역시 중구 광복중앙로 19-1 (신창동1가)","48948","GS25 신창점","20191025144612","I","2019-10-27 00:23:00.0","","385088.748297386","179881.094288667","",
"9","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320193250021087500008","20191202","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동5가 2번지 1호","부산광역시 중구 구덕로48번길 1 (남포동5가)","48953","GS25광복센타점","20191203090847","I","2019-12-05 00:23:26.0","","385081.264526305","179606.453177655","84",
"10","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320223250021087500004","20220222","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동3가 39-11 1층","부산광역시 중구 흑교로71번길 14, 1층 (보수동3가)","48965","세븐일레븐 부산중구스마트점","20220307194523","U","2022-03-09 02:40:00.0","","384339.186776108","180312.471998645","0",
