"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","약국영업면적","지정일자",
"1","약국","01_01_06_P","3250000","PHMD120193250021084000001","20190726","","03","폐업","03","폐업","20200928","","","","469-9693","","","부산광역시 중구 중앙동4가 47번지 1호","부산광역시 중구 해관로 69, 1층 (중앙동4가)","48930","역전미도약국","20200928145652","U","2020-09-30 02:40:00.0","","385506.806710378","180339.259542851","39.6","20190726",
"2","약국","01_01_06_P","3250000","PHMD120193250021084000002","20190819","","03","폐업","03","폐업","20210222","","","","051-442-0911","","","부산광역시 중구 동광동5가 16번지 37호","부산광역시 중구 동영로 4, 2층 (동광동5가)","48921","새한솔약국","20210222104250","U","2021-02-24 02:40:00.0","","385305.463245849","180614.22050161","62.18","20190819",
"3","약국","01_01_06_P","3250000","PHMD119613250021084000001","19610316","","03","폐업","03","폐업","20110218","","","","051-245-7656","","","부산광역시 중구 부평동 2가 66-5","","","위생약국","20110311112827","I","2018-08-31 23:59:59.0","","","","0","19610316",
"4","약국","01_01_06_P","3250000","PHMD119613250021084000002","19610418","","03","폐업","03","폐업","20190726","","","","051-469-9693","","600815","부산광역시 중구 중앙동4가 47번지","부산광역시 중구 중앙대로81번길 8 (중앙동4가)","48930","역전미도약국","20190726133003","U","2019-07-28 02:40:00.0","","385500.736292239","180338.020588296","0","19610418",
"5","약국","01_01_06_P","3250000","PHMD119623250021084000001","19620310","","03","폐업","03","폐업","20120930","","","","051-469-4647","","","부산광역시 중구 영주동 1가 616-6","부산광역시 중구 중앙대로147번길 3 (영주동)","600811","주성약국","20121002161054","I","2018-08-31 23:59:59.0","","","","0","19620310",
"6","약국","01_01_06_P","3250000","PHMD119623250021084000002","19620924","","03","폐업","03","폐업","20180402","","","","051-469-7037","","","부산광역시 중구 영주동 23-18","부산광역시 중구 초량중로 4 (영주동)","48911","제일약국","20180402113650","I","2018-08-31 23:59:59.0","","385563.705308679","181157.590784071","0","19620924",
"7","약국","01_01_06_P","3250000","PHMD119623250021084000003","19620928","","03","폐업","03","폐업","20091119","","","","051-245-6585","","","부산광역시 중구 부평동 2가 40","","","왕자약국","20091119173020","I","2018-08-31 23:59:59.0","","","","0","19620928",
"8","약국","01_01_06_P","3250000","PHMD119633250021084000002","19630822","","03","폐업","03","폐업","20130326","","","","051-245-4246","","600046","부산광역시 중구 남포동6가 7번지 1호 ,4","부산광역시 중구 자갈치로 38 (남포동6가)","600046","동명약국","20130329092944","I","2018-08-31 23:59:59.0","","384888.83865046","179411.165388683","0","19630822",
"9","약국","01_01_06_P","3250000","PHMD119683250021084000001","19680314","","03","폐업","03","폐업","20100630","","","","051-245-9635","","","부산광역시 중구 동광동 3가 2-1","","","금생약국","20100630102237","I","2018-08-31 23:59:59.0","","","","0","19680314",
"10","약국","01_01_06_P","3250000","PHMD119723250021084000001","19720921","","03","폐업","03","폐업","20100531","","","","051-469-5386","","","부산광역시 중구 영주동 151-13","","","아파트약국","20100531100915","I","2018-08-31 23:59:59.0","","","","0","19720921",
"11","약국","01_01_06_P","3250000","PHMD119733250021084000001","19730601","","03","폐업","03","폐업","20140701","","","","051-245-1219","","600093","부산광역시 중구 대청동3가 8번지 1호","부산광역시 중구 대청로 83 (대청동3가)","600093","한사랑약국","20140701105124","I","2018-08-31 23:59:59.0","","384931.796584833","180110.398812674","82.5","19730601",
"12","약국","01_01_06_P","3250000","PHMD119753250021084000001","19750113","","03","폐업","03","폐업","20200929","","","","051-255-1445","","600081","부산광역시 중구 보수동1가 146번지 29호","부산광역시 중구 중구로 59 (보수동1가)","48967","동명당약국","20200929101227","U","2020-10-01 02:40:00.0","","384833.346517953","180129.571173678","47.08","19750113",
"13","약국","01_01_06_P","3250000","PHMD119763250021084000001","19760617","","03","폐업","03","폐업","20180117","","","","051-246-3137","","600011","부산광역시 중구 중앙동1가 22번지 17호","부산광역시 중구 해관로 16 (중앙동1가)","48957","은행약국","20180117135341","I","2018-08-31 23:59:59.0","","385570.539591606","179813.014278029","0","19760617",
"14","약국","01_01_06_P","3250000","PHMD119813250021084000001","19810306","","03","폐업","03","폐업","20101122","","","","051-246-2496","","","부산광역시 중구 부평동 2가 42-3","","","세영약국","20110502140813","I","2018-08-31 23:59:59.0","","","","0","19810306",
"15","약국","01_01_06_P","3250000","PHMD119823250021084000002","19820429","","03","폐업","03","폐업","20110502","","","","051-462-6353","","","부산광역시 중구 영주2동 287-17","","","대청약국","20110502092443","I","2018-08-31 23:59:59.0","","","","0","19820429",
"16","약국","01_01_06_P","3250000","PHMD119863250021084000001","19860128","","03","폐업","03","폐업","20170906","","","","051-245-3155","","","부산광역시 중구 남포동 5가 80-3","부산광역시 중구 자갈치로47번길 1 (남포동5가)","48983","시장약국","20170906112249","I","2018-08-31 23:59:59.0","","384975.826221799","179464.282840538","0","19860128",
"17","약국","01_01_06_P","3250000","PHMD119863250021084000003","19861122","","03","폐업","03","폐업","20110331","","","","051-246-7942","","","부산광역시 중구 남포동 4가 31-1","","","동아약국","20110407134917","I","2018-08-31 23:59:59.0","","","","0","19861122",
"18","약국","01_01_06_P","3250000","PHMD119873250021084000001","19870113","","03","폐업","03","폐업","20170228","","","","051-245-0669","","","부산광역시 중구 남포동 4가 2-7","부산광역시 중구 구덕로34번길 3 (남포동4가)","48953","제일대동약국","20170228171205","I","2018-08-31 23:59:59.0","","385216.441752659","179573.599376686","0","19870113",
"19","약국","01_01_06_P","3250000","PHMD119963250021084000001","19960902","","03","폐업","03","폐업","20120612","","","","051-463-3733","","","부산광역시 중구 영주동 58-11","부산광역시 중구 대영로 221-1 (영주동)","600811","제일사약국","20120612164644","I","2018-08-31 23:59:59.0","","385458.233684356","181142.143228385","0","19960902",
"20","약국","01_01_06_P","3250000","PHMD120003250021084000001","20000217","","03","폐업","03","폐업","20140127","","","","051-254-8653","","","부산광역시 중구 보수동 1가 12-12","부산광역시 중구 보수대로 136 (보수동1가)","600802","원약국","20140127101353","I","2018-08-31 23:59:59.0","","384418.63058500000","180914.27490200000","31.8","20000217",
"21","약국","01_01_06_P","3250000","PHMD120003250021084000002","20000710","","03","폐업","03","폐업","20110601","","","","051-256-6667","","","부산광역시 중구 대청동 3가 13-2","","","미래팜약국","20110601092716","I","2018-08-31 23:59:59.0","","","","0","20000710",
"22","약국","01_01_06_P","3250000","PHMD120003250021084000003","20001102","","03","폐업","03","폐업","20151102","","","","051-245-6505","","","부산광역시 중구 대청동 3가 20","부산광역시 중구 대청로 80 (대청동3가)","48946","대동약국","20151102104814","I","2018-08-31 23:59:59.0","","384893.634546496","180069.338251171","35.1","20001102",
"23","약국","01_01_06_P","3250000","PHMD120013250021084000003","20011015","","03","폐업","03","폐업","20180920","","","","051-469-7156","","","부산광역시 중구 대청동 2가 11-1","부산광역시 중구 대청로 105-3 (대청동2가)","48933","조은약국","20180920162847","U","2018-09-20 23:59:59.0","","385166.532372574","180102.038971852","12","20011015",
"24","약국","01_01_06_P","3250000","PHMD120013250021084000004","20011121","","03","폐업","03","폐업","20120410","","","","051-467-2270","","","부산광역시 중구 동광동 5가 16-266","","","명성약국","20120412112603","I","2018-08-31 23:59:59.0","","","","22.42","20011121",
"25","약국","01_01_06_P","3250000","PHMD120023250021084000001","20020214","","03","폐업","03","폐업","20081201","","","","051-467-6577","","","부산광역시 중구 대청동 3가 8-1","","","한사랑약국","20081226172234","I","2018-08-31 23:59:59.0","","","","0","20020214",
"26","약국","01_01_06_P","3250000","PHMD120033250021084000002","20031113","","03","폐업","03","폐업","20120813","","","","051-254-6630","","","부산광역시 중구 대청동 2가 27-2","부산광역시 중구 광복중앙로34번길 11 (대청동2가)","600092","맑은샘약국","20120813144257","I","2018-08-31 23:59:59.0","","385230.71583000000","180342.40822400000","0","20031113",
"27","약국","01_01_06_P","3250000","PHMD120043250021084000001","20040706","","03","폐업","03","폐업","20090216","","","","051-247-7875","","","부산광역시 중구 대청동 2가 20-2","","","우리들약국","20110512105328","I","2018-08-31 23:59:59.0","","","","0","20040706",
"28","약국","01_01_06_P","3250000","PHMD120043250021084000002","20040901","","03","폐업","03","폐업","20101130","","","","051-255-1033","","","부산광역시 중구 부평동 4가 51-3","","","성심약국","20110417104439","I","2018-08-31 23:59:59.0","","","","0","20040901",
"29","약국","01_01_06_P","3250000","PHMD120043250021084000003","20040916","","03","폐업","03","폐업","20090917","","","","051-462-5503","","","부산광역시 중구 중앙동 4가 53-6","","","건강약국","20090917103725","I","2018-08-31 23:59:59.0","","","","0","20040916",
"30","약국","01_01_06_P","3250000","PHMD120053250021084000001","20050113","","03","폐업","03","폐업","20160309","","","","051-244-0493","","","부산광역시 중구 부평동 3가 7-4","부산광역시 중구 흑교로 35 (부평동3가)","48976","부산약국","20160309102410","I","2018-08-31 23:59:59.0","","384569.710256049","180055.446897484","30.6","20050113",
"31","약국","01_01_06_P","3250000","PHMD120053250021084000002","20050418","","03","폐업","03","폐업","20120410","","","","051-245-1081","","","부산광역시 중구 창선동 2가 21-2","부산광역시 중구 광복로 33 (창선동2가)","600819","세명약국","20120412112551","I","2018-08-31 23:59:59.0","","384923.565817085","179708.747800094","172.5","20050418",
"32","약국","01_01_06_P","3250000","PHMD120053250021084000003","20051208","","03","폐업","03","폐업","20130118","","","","051-463-0304","","","부산광역시 중구 중앙동 4가 15-3","부산광역시 중구 충장대로 24 (중앙동4가)","600814","새부산약국","20130119142927","I","2018-08-31 23:59:59.0","","386032.236798563","180263.270670699","16","20051208",
"33","약국","01_01_06_P","3250000","PHMD120063250021084000002","20060420","","03","폐업","03","폐업","20150818","","","","051-241-3490","","","부산광역시 중구 보수동 2가 89-4","부산광역시 중구 흑교로 53 (보수동2가)","48963","행복약국","20150818113312","I","2018-08-31 23:59:59.0","","384535.453553411","180215.945734807","41.08","20060420",
"34","약국","01_01_06_P","3250000","PHMD120063250021084000003","20060601","","03","폐업","03","폐업","20111226","","","","051-442-4046","","","부산광역시 중구 동광동 5가 19-13","부산광역시 중구 샘길 1 (동광동5가)","600025","지산약국","20111227101513","I","2018-08-31 23:59:59.0","","385281.026900347","180539.427769874","128.03","20060601",
"35","약국","01_01_06_P","3250000","PHMD120063250021084000004","20060602","","03","폐업","03","폐업","20170925","","","","051-468-9567","","","부산광역시 중구 동광동 5가 16-32","부산광역시 중구 동영로 6-2 (동광동5가)","48921","평화약국","20170925155524","I","2018-08-31 23:59:59.0","","385317.403398678","180635.447448334","8.86","20060602",
"36","약국","01_01_06_P","3250000","PHMD120063250021084000005","20060623","","03","폐업","03","폐업","20130930","","","","051-253-1311","","","부산광역시 중구 창선동 2가 27-6","","","일진사약국","20131001085432","I","2018-08-31 23:59:59.0","","","","106.05","20060623",
