"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의료법인","01_01_08_P","3250000","PHMA420013250021021400001","20010801","","01","영업/정상","10","변경","","","","","466-0008","","600817","부산광역시 중구 중앙동4가 80번지 8호","부산광역시 중구 충장대로13번길 31 (중앙동4가)","600817","의료법인 송산의료재단","20200929161019","U","2020-10-01 02:40:00.0","","385777.11415723","180691.236889788","","","","","","","","","","","0","0","","","0","",
"2","의료법인","01_01_08_P","3260000","PHMA420073260022021400001","20070702","","01","영업/정상","10","변경","","","","","","","","부산광역시 서구 암남동 759-1","부산광역시 서구 암남공원로 522 (암남동)","49268","의료법인 장원","20201229094228","U","2020-12-31 02:40:00.0","","383425.120185468","177476.560206405","","","","","","","","","","","0","0","","","0","",
"3","의료법인","01_01_08_P","3260000","PHMA420113260022021400001","20110414","","01","영업/정상","10","변경","","","","","051-243-5933","","602832","부산광역시 서구 암남동 산 164번지 3호","","","의료법인 송해의료재단","20140825132847","I","2018-08-31 23:59:59.0","","383731.266059027","176482.532331396","","","","","","","","","","","0","0","","","0","",
"4","의료법인","01_01_08_P","3260000","PHMA420133260022021400002","20131007","","01","영업/정상","10","변경","","","","","","","602816","부산광역시 서구 부민동1가 31번지","부산광역시 서구 구덕로200번길 8 (부민동1가)","602816","의료법인 선하의료재단","20191010114918","U","2019-10-12 02:40:00.0","","384142.330703811","180011.02077579","","","","","","","","","","","0","0","","","0","",
"5","의료법인","01_01_08_P","3260000","PHMA420133260022021400001","20130319","","04","취소/말소/만료/정지/중지","24","직권폐업","","","","","258-8275","","602816","부산광역시 서구 부민동1가 16번지 1호","부산광역시 서구 구덕로 220 (부민동1가)","602816","대한의료재단","20130819142449","I","2018-08-31 23:59:59.0","","384134.718019026","180208.336035865","","","","","","","","","","","0","0","","","0","",
"6","의료법인","01_01_08_P","3270000","PHMA420103270022021400001","20100316","","03","폐업","03","폐업","","","","","051-988-8234","","601813","부산광역시 동구 수정4동 325번지 3호","부산광역시 동구 고관로 81 (수정동)","","의료법인 양생의료재단","20201207174250","U","2020-12-09 02:40:00.0","","386303.73591827","182728.409496261","","","","","","","","","","","0","0","","","0","",
"7","의료법인","01_01_08_P","3270000","PHMA420083270022021400002","20081222","","01","영업/정상","10","변경","","","","","051-464-2753","","601828","부산광역시 동구 초량동 172번지 16호","부산광역시 동구 중앙대로 243-12 (초량동)","","의료법인 소맥의료재단","20201207171203","U","2020-12-09 02:40:00.0","","386033.643455996","181922.612539385","","","","","","","","","","","0","0","","","0","",
"8","의료법인","01_01_08_P","3270000","PHMA420043270022021400001","20040128","","01","영업/정상","10","변경","","","","","051-461-3400","","","부산광역시 남구 대연동 1239번지 19호","부산광역시 남구 수영로 164 (대연동)","48459","의료법인 은경의료재단","20201207171314","U","2020-12-09 02:40:00.0","","389927.025969183","183694.594360945","","","","","","","","","","","0","0","","","0","",
"9","의료법인","01_01_08_P","3270000","PHMA420043270022021400002","20041206","","01","영업/정상","10","변경","","","","","051-469-1011","","","부산광역시 부산진구 전포동 504번지 417호","부산광역시 부산진구 봉수로 18, 행복한병원 (전포동)","47318","의료법인 청십자의료재단","20201207171439","U","2020-12-09 02:40:00.0","","388576.218170369","185382.356610591","","","","","","","","","","","0","0","","","0","",
"10","의료법인","01_01_08_P","3270000","PHMA420073270022021400001","20070322","","01","영업/정상","10","변경","","","","","051-643-8100","","601804","부산광역시 동구 범일동 62번지 744호","부산광역시 동구 중앙대로 524 (범일동)","","의료법인 인당의료재단","20201229131605","U","2020-12-31 02:40:00.0","","387396.483034416","184255.03385194","","","","","","","","","","","0","0","","","0","",
