"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료유사업종별명","종업원수","자격증소유자수","보조종업원수","시설관리자수","기타종업원수","병상수","욕실면적","총면적",
"1","의료유사업","01_01_10_P","3250000","PHMB420053250021042400001","20051228","","03","폐업","03","폐업","20090115","","","","462-6088","","600110","부산광역시 중구 영주동 702번지 741-5,9","부산광역시 중구 중구로 164-2 (영주동,741-5,9)","","고려안마시술소","20090115104014","I","2018-08-31 23:59:59.0","안마시술소","385527.328437187","180858.648166211","안마시술소","1","","","","","4","","272.9",
"2","의료유사업","01_01_10_P","3250000","PHMB420083250021042400001","20080728","","03","폐업","03","폐업","20090407","","","","464-4561","","600110","부산광역시 중구 영주동 609번지 23호","부산광역시 중구 중앙대로147번길 4 (영주동)","","로얄안마시술소","20090407145440","I","2018-08-31 23:59:59.0","안마시술소","385653.74207008","180982.55532041","안마시술소","3","","","","","7","","479.15",
"3","의료유사업","01_01_10_P","3250000","PHMB420173250021042400001","20170928","","03","폐업","03","폐업","20180712","","","","051-465-9675","","","부산광역시 중구 영주동 671번지 14호","부산광역시 중구 중구로 182-6, 2층 203호 (영주동)","48923","에덴지압안마원","20180712141612","I","2018-08-31 23:59:59.0","안마원","385444.571236831","180978.071866736","안마원","0","","","","","","","48.12",
"4","의료유사업","01_01_10_P","3250000","PHMB420163250021042400001","20161107","","03","폐업","03","폐업","20181030","","","","051-244-1444","","","부산광역시 중구 부평동1가 23번지 6호","부산광역시 중구 중구로33번길 8-1, 2층 (부평동1가)","48978","주원전통안마원","20181030174202","U","2018-11-01 02:35:56.0","안마원","384793.967381131","179871.577625118","안마원","0","","","","","0","0","45.6",
"5","의료유사업","01_01_10_P","3250000","PHMB420193250021042400001","20190716","","01","영업/정상","13","영업중","","","","","051-468-2285","","","부산광역시 중구 동광동5가 44번지 32호","부산광역시 중구 동광길 47, 3층 (동광동5가)","48927","동광지압안마원","20200327110010","U","2020-03-29 02:40:00.0","안마원","385434.94990218","180313.855297939","안마원","","","","","","","","79.48",
"6","의료유사업","01_01_10_P","3250000","PHMB420093250021042400001","20090615","","01","영업/정상","13","영업중","","","","","","","600094","부산광역시 중구 대청동4가 86번지 12호","부산광역시 중구 대청로99번길 19-4 (대청동4가)","","손안마원","20170928173707","I","2018-08-31 23:59:59.0","안마원","385097.920408482","180277.869984382","안마원","1","","","","","2","0","61.16",
"7","의료유사업","01_01_10_P","3250000","PHMB420103250021042400001","20100119","","01","영업/정상","13","영업중","","","","","051-247-3110","","600082","부산광역시 중구 보수동2가 50번지 10호","부산광역시 중구 흑교로 79 (보수동2가)","","약청사안마원","20100423160546","I","2018-08-31 23:59:59.0","안마원","384396.8961286","180438.846854273","안마원","1","","","","","1","","39",
"8","의료유사업","01_01_10_P","3250000","PHMB420103250021042400002","20101222","","01","영업/정상","13","영업중","","","","","466-8575","","","부산광역시 중구 대창동1가 23번지 13호","부산광역시 중구 중앙대로 129, 503호 (대창동1가)","48924","뉴그린안마원","20181101114908","U","2018-11-03 02:35:57.0","안마원","385629.342277905","180803.857905689","안마원","0","","","","","0","","53.02",
"9","의료유사업","01_01_10_P","3250000","PHMB420183250021042400001","20180129","","01","영업/정상","13","영업중","","","","","051-462-9595","","","부산광역시 중구 중앙동4가 23번지 1호 노블리안2","부산광역시 중구 중앙대로 80, 노블리안2 지하1층 B101호 (중앙동4가)","48941","수풀림안마원","20180327151438","I","2018-08-31 23:59:59.0","안마원","385630.742187332","180306.821082315","안마원","","","","","","","","49.68",
"10","의료유사업","01_01_10_P","3250000","PHMB420143250021042400001","20140428","","04","취소/말소/만료/정지/중지","24","직권폐업","20190325","","","","051-256-5251","","","","부산광역시 중구 구덕로84번길 4 (남포동6가)","48981","척추컨디션케어서비스교정안마원","20190325142344","U","2019-03-27 02:40:00.0","안마원","384734.078123584","179504.758065038","안마원","","","","","","1","","129.15",
