"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"1","안경업","01_02_01_P","3250000","PHMB220183250021082200001","20180814","","03","폐업","03","폐업","20210726","","","","2531216","","","부산광역시 중구 창선동2가 24번지 4호","부산광역시 중구 국제시장2길 6-1 (창선동2가)","48946","국전안경","20210726152758","U","2021-07-28 02:40:00.0","","384903.52410762","179742.031632526","1","1","1","1","1","1","1","1","1","93.22",
"2","안경업","01_02_01_P","3250000","PHMB220103250021082200001","20100312","","03","폐업","03","폐업","20120406","","","","070-4116-2770","","600042","부산광역시 중구 남포동2가 24번지 8호","부산광역시 중구 구덕로34번길 3-1 (남포동2가)","","아이샵(eye#)안경","20121026092051","I","2018-08-31 23:59:59.0","","385208.616220652","179585.32065097","1","1","1","1","1","1","1","1","1","134.98",
"3","안경업","01_02_01_P","3250000","PHMB219933250021082200001","19930327","","03","폐업","03","폐업","20180814","","","","051-253-1216","","600819","부산광역시 중구 창선동2가 24번지 4호","부산광역시 중구 국제시장2길 6-1 (창선동2가)","48946","국전안경","20180814102702","I","2018-08-31 23:59:59.0","","384903.52410762","179742.031632526","1","1","1","1","1","1","1","1","1","",
"4","안경업","01_02_01_P","3250000","PHMB220103250021082200006","20101227","","03","폐업","03","폐업","20190416","","","","","","","부산광역시 중구 남포동4가 2번지 5호","부산광역시 중구 구덕로 38-1, 1,2층 (남포동4가)","48953","눈사랑안경남포","20190416151924","U","2019-04-18 02:40:00.0","","385186.028116981","179577.535415109","1","1","1","1","4","1","1","4","4","188.2",
"5","안경업","01_02_01_P","3250000","PHMB220143250021082200001","20140102","","03","폐업","03","폐업","20161012","","","","051-246-0006","","","","부산광역시 중구 광복로 43 (창선동1가)","48947","갤러리안경원","20161012162524","I","2018-08-31 23:59:59.0","","385016.604748725","179699.072537973","1","1","1","1","1","1","1","1","1","197.49",
"6","안경업","01_02_01_P","3250000","PHMB220043250021082200001","20040312","","03","폐업","03","폐업","20090320","","","","051-245-1999","","","부산광역시 중구 남포동6가 85","","","남포프라자안경","20120320135800","I","2018-08-31 23:59:59.0","","","","1","1","1","1","1","1","1","1","1","",
"7","안경업","01_02_01_P","3250000","PHMB220053250021082200001","20051122","","03","폐업","03","폐업","20180416","","","","051-245-7344","","","부산광역시 중구 부평동1가 23-27","부산광역시 중구 중구로33번길 12 (부평동1가)","48978","마루안경","20180424153521","I","2018-08-31 23:59:59.0","","384777.23232927","179870.976761569","1","1","1","1","1","1","1","1","1","",
"8","안경업","01_02_01_P","3250000","PHMB220063250021082200001","20061228","","03","폐업","03","폐업","20210623","","","","051-246-1341","","","부산광역시 중구 창선동2가 45-17","부산광역시 중구 중구로 14 (창선동2가)","48953","080안경","20210623114002","U","2021-06-25 02:40:00.0","","384843.682070767","179657.801434101","1","1","1","1","1","1","1","1","1","",
"9","안경업","01_02_01_P","3250000","PHMB220103250021082200005","20101109","","03","폐업","03","폐업","20180531","","","","242-4623","","600063","부산광역시 중구 신창동3가 16번지 7호","부산광역시 중구 광복로35번길 16 (신창동3가)","48946","스마일안경","20180605150519","I","2018-08-31 23:59:59.0","","384931.528182599","179828.543835772","1","1","1","1","1","1","1","1","1","49",
"10","안경업","01_02_01_P","3250000","PHMB219873250021082200001","19870722","","03","폐업","03","폐업","20121022","","","","051-245-9976","","","부산광역시 중구 신창동3가 32-2","","","금장안경","20121026092249","I","2018-08-31 23:59:59.0","","","","1","1","1","1","1","1","1","1","1","",
"11","안경업","01_02_01_P","3250000","PHMB219873250021082200002","19871223","","03","폐업","03","폐업","20111212","","","","245-3777","","600063","부산광역시 중구 신창동3가 11번지 4호","부산광역시 중구 광복로35번길 22 (신창동3가)","","한미안경점","20120109122838","I","2018-08-31 23:59:59.0","","384928.039484128","179890.364297398","1","1","1","1","1","1","1","1","1","56",
"12","안경업","01_02_01_P","3250000","PHMB219913250021082200001","19910529","","03","폐업","03","폐업","20101230","","","","051-245-1831","","","부산광역시 중구 창선동1가 40-3","부산광역시 중구 광복로 48-2 (창선동1가)","48953","광명당안경점","20180405131855","I","2018-08-31 23:59:59.0","","385062.648115367","179667.938030678","1","1","1","1","1","1","1","1","1","",
"13","안경업","01_02_01_P","3250000","PHMB219913250021082200004","19910702","","03","폐업","03","폐업","20131231","","","","051-245-6188","","","부산광역시 중구 신창동4가 43-2","부산광역시 중구 국제시장2길 29 (신창동4가)","600064","국제안경&콘택트","20131231113423","I","2018-08-31 23:59:59.0","","384874.515689472","179978.235223733","1","1","1","1","1","1","1","1","1","",
"14","안경업","01_02_01_P","3250000","PHMB219993250021082200001","19990212","","03","폐업","03","폐업","20090217","","","","051-247-4120","","","부산광역시 중구 창선동2가 47-1","","","3050안경점","20090217143027","I","2018-08-31 23:59:59.0","","","","1","1","1","1","1","1","1","1","1","",
"15","안경업","01_02_01_P","3250000","PHMB220003250021082200001","20000802","","03","폐업","03","폐업","20150914","","","","051-257-0301","","","부산광역시 중구 신창동3가 27-1","부산광역시 중구 광복로35번길 17 (신창동3가)","48946","미라노안경","20150914164452","I","2018-08-31 23:59:59.0","","384911.828398027","179857.133053755","1","1","1","1","1","1","1","1","1","",
"16","안경업","01_02_01_P","3250000","PHMB220013250021082200001","20010418","","03","폐업","03","폐업","20200214","","","","051-247-3700","","","부산광역시 중구 창선동2가 46번지 5호","부산광역시 중구 광복로 32-2, 1층 (창선동2가)","48953","갤러리안경","20200214141729","U","2020-02-16 02:40:00.0","","384905.546417818","179673.030990912","1","1","1","1","1","1","1","1","1","105.22",
"17","안경업","01_02_01_P","3250000","PHMB220163250021082200002","20160615","","03","폐업","03","폐업","20210820","","","","","","","부산광역시 중구 남포동6가 85번지","부산광역시 중구 비프광장로 20 (남포동6가)","48981","오렌즈비프광장로점","20210820162255","U","2021-08-22 02:40:00.0","","384819.053111578","179587.403632584","1","1","1","1","1","1","1","1","1","36.8",
"18","안경업","01_02_01_P","3250000","PHMB220173250021082200001","20170223","","03","폐업","03","폐업","20180831","","","","051)678-3678","","","","부산광역시 중구 중앙대로 2 (중앙동7가, 롯데백화점광복점)","48944","스펙터 안경(롯데광복점)","20180910134003","U","2018-09-10 23:59:59.0","","385590.814676765","179553.867031936","1","1","1","3","2","1","1","1","1","56.2",
"19","안경업","01_02_01_P","3250000","PHMB220143250021082200005","20140616","","03","폐업","03","폐업","20141124","","","","051-206-2111","","600031","부산광역시 중구 광복동1가 61번지 2호","부산광역시 중구  광복로  80 (광복동1가)","600031","갤러리 안경(광복로 2호점)","20141124100910","I","2018-08-31 23:59:59.0","","385354.112281684","179591.337778831","1","1","1","1","1","1","1","1","1","153.06",
"20","안경업","01_02_01_P","3250000","PHMB220213250021082200005","20210923","","03","폐업","03","폐업","20220630","","","","","","","부산광역시 중구 남포동1가 11 도시철도 남포역","부산광역시 중구 구덕로 지하12, 도시철도 남포역 31호 (남포동1가)","48954","남포역안경","20220701180546","U","2022-07-03 02:40:00.0","","385452.603862548","179538.845528092","1","0","0","1","1","0","0","0","0","40.35",
"21","안경업","01_02_01_P","3250000","PHMB220203250021082200001","20200214","","01","영업/정상","13","영업중","","","","","051-247-4300","","","부산광역시 중구 창선동2가 46번지 5호","부산광역시 중구 광복로 32-2 (창선동2가)","48953","갤러리안경","20200214165725","I","2020-02-16 00:23:39.0","","384905.546417818","179673.030990912","1","1","1","1","1","1","1","1","1","105.22",
"22","안경업","01_02_01_P","3250000","PHMB220223250021082200001","20220114","","01","영업/정상","13","영업중","","","","","051-902-7688","","","부산광역시 중구 남포동6가 63 서라벌빌딩","부산광역시 중구 구덕로 90, 서라벌빌딩 5층 504호 (남포동6가)","48981","BS안경점","20220207131407","U","2022-02-09 02:40:00.0","","384670.317658138","179489.435069922","1","0","0","1","1","0","0","0","0","42",
"23","안경업","01_02_01_P","3250000","PHMB220173250021082200002","20170629","","01","영업/정상","13","영업중","","","","","051-253-5009","","","","부산광역시 중구 광복로 44 (창선동1가)","48953","으뜸플러스안경남포점","20180904121156","U","2018-09-04 23:59:59.0","","385012.932400796","179669.914302435","1","1","1","1","1","1","1","1","1","142.98",
"24","안경업","01_02_01_P","3250000","PHMB220093250021082200003","20091216","","01","영업/정상","13","영업중","","","","","051-678-3916","","","부산광역시 중구 중앙동7가 20번지 1호 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)","48944","비젼센타(광복롯데점)","20180402171610","I","2018-08-31 23:59:59.0","","385590.814676765","179553.867031936","1","1","1","1","1","1","1","1","1","53.1",
"25","안경업","01_02_01_P","3250000","PHMB220103250021082200002","20100706","","01","영업/정상","13","영업중","","","","","051-241-1277","","","부산광역시 중구 광복동3가 11번지 2호","부산광역시 중구 광복중앙로 4-1 (광복동3가)","48949","테마가있는안경하우스","20190905092347","U","2019-09-07 02:40:00.0","","385150.6160599","179737.442313697","1","1","1","1","1","1","2","2","2","68.5",
"26","안경업","01_02_01_P","3250000","PHMB219913250021082200008","19910910","","01","영업/정상","13","영업중","","","","","051-469-7060","","","부산광역시 중구 대창동2가 11-2","부산광역시 중구 중앙대로 151-2 (대창동2가)","48922","기독안경원","20131230111450","I","2018-08-31 23:59:59.0","","385694.142195656","181014.436357007","1","1","1","1","1","1","1","1","1","",
"27","안경업","01_02_01_P","3250000","PHMB219913250021082200009","19911218","","01","영업/정상","13","영업중","","","","","051-245-8112","","","부산광역시 중구 창선동2가 27-6","부산광역시 중구 국제시장2길 5 (창선동2가)","48945","커로슬안경","20131230111405","I","2018-08-31 23:59:59.0","","384879.487824172","179732.638006288","1","1","1","1","1","1","1","1","1","",
"28","안경업","01_02_01_P","3250000","PHMB219923250021082200001","19920326","","01","영업/정상","13","영업중","","","","","051-247-9977","","","부산광역시 중구 신창동4가 50-4","부산광역시 중구 중구로 52 (신창동4가)","48945","신일안경","20170608170518","I","2018-08-31 23:59:59.0","","384923.35985500000","180337.55731500000","1","1","1","1","1","1","1","1","1","",
"29","안경업","01_02_01_P","3250000","PHMB219933250021082200002","19931016","","01","영업/정상","13","영업중","","","","","051-242-3466","","","부산광역시 중구 신창동4가 38-1","부산광역시 중구 국제시장2길 25 (신창동4가, 국제시장)","48945","국일안경","20131230111018","I","2018-08-31 23:59:59.0","","384875.525180818","179931.549761485","1","1","1","1","1","1","1","1","1","",
"30","안경업","01_02_01_P","3250000","PHMB219943250021082200001","19940424","","01","영업/정상","13","영업중","","","","","051-245-9130","","","부산광역시 중구 신창동2가 22번지 신생아파트","부산광역시 중구 광복로43번길 11 (신창동2가, 신생아파트)","48947","화니안경","20180402171909","I","2018-08-31 23:59:59.0","","384985.998766037","179790.331106306","1","1","1","1","1","1","1","1","1","26.2",
"31","안경업","01_02_01_P","3250000","PHMB220113250021082200001","20111205","","01","영업/정상","13","영업중","","","","","256-2178","","600818","부산광역시 중구 창선동2가 7번지 4호","부산광역시 중구 광복로 39 (창선동2가)","48946","오렌즈 남포점","20120914095641","I","2018-08-31 23:59:59.0","","384967.910706187","179701.218325305","1","1","1","1","2","1","1","1","1","41.58",
