"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기기수리업","01_02_02_P","3250000","PHMG320053250021047400001","20050607","","02","휴업","02","휴업","","20220317","20230316","","051-244-4826","","600082","부산광역시 중구 보수동2가 70번지","부산광역시 중구 보수대로118번길 15 (보수동2가)","48964","신창메디칼","20220314171727","U","2022-03-16 02:40:00.0","","384301.244481554","180389.667117723","","","","",
"2","의료기기수리업","01_02_02_P","3250000","PHMG320083250021047400001","20090326","","03","폐업","03","폐업","20141229","","","","051-441-4611","","600046","부산광역시 중구 남포동6가 85번지 남포프라자","부산광역시 중구 비프광장로 20 (남포동6가)","600046","LG남포서비스센터","20141229170225","I","2018-10-11 15:46:28.0","","384819.053111578","179587.403632584","","","","",
"3","의료기기수리업","01_02_02_P","3250000","PHMG320173250021047400001","20170531","","01","영업/정상","13","영업중","","","","","051-244-0982","","","부산광역시 중구 중앙동4가 52번지 14호","부산광역시 중구 해관로 81-2, 2층 (중앙동4가)","48928","유창의료기","20180723140357","I","2018-10-11 15:46:28.0","","385497.080288141","180468.453230325","","","","",
"4","의료기기수리업","01_02_02_P","3250000","PHMG320183250021047400001","20180730","","01","영업/정상","13","영업중","","","","","257-3900","","","부산광역시 중구 광복동1가 44번지 1호","부산광역시 중구 구덕로 8, 1층 (광복동1가)","48954","(주)가나안보청기 광복동지점","20190329133645","U","2019-03-31 02:40:00.0","","385460.737174417","179570.702006175","","","","",
"5","의료기기수리업","01_02_02_P","3260000","PHMG320083260022047400001","20080620","","03","폐업","03","폐업","20110331","","","","","","602812","부산광역시 서구 동대신동3가 153번지 9호","부산광역시 서구 보수대로 239 (동대신동3가)","","위니아서비스서부산점","20110401101940","I","2018-10-11 15:46:28.0","","383864.675016901","181445.957819696","","","","",
"6","의료기기수리업","01_02_02_P","3260000","PHMG320083260022047400002","20081013","","03","폐업","03","폐업","20110928","","","","257-2055","","602091","부산광역시 서구 서대신동1가 63번지","부산광역시 서구 부용로 11 (서대신동1가)","","대신메디칼","20110928132048","I","2018-10-11 15:46:28.0","","383808.20933417","180704.319129777","","","","",
"7","의료기기수리업","01_02_02_P","3260000","PHMG320113260022047400001","20110727","","03","폐업","03","폐업","20140218","","","","243-4436","","602801","부산광역시 서구 남부민동 141번지 외2필지","부산광역시 서구 남부민로12번길 69 (남부민동)","602801","MIT코리아","20140218175033","I","2018-10-11 15:46:28.0","","384484.528136268","178352.790325363","","","","",
"8","의료기기수리업","01_02_02_P","3260000","PHMG320123260022047400001","20120202","","03","폐업","03","폐업","20191204","","","","051-257-2055~6","","602091","부산광역시 서구 서대신동1가 63번지","부산광역시 서구 부용로 11 (서대신동1가)","","(주)대신메디칼","20191204091202","U","2019-12-06 02:40:00.0","","383808.20933417","180704.319129777","","","","",
"9","의료기기수리업","01_02_02_P","3260000","PHMG320193260022047400001","20191211","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 서대신동1가 63번지","부산광역시 서구 부용로 11, 2층 (서대신동1가)","49235","(주)대신메디케어","20191211125746","I","2019-12-13 00:23:26.0","","383808.20933417","180704.319129777","","","","",
"10","의료기기수리업","01_02_02_P","3260000","PHMG320173260022047400001","20171207","","01","영업/정상","13","영업중","","","","","051-254-9901","","","부산광역시 서구 토성동4가 28번지 9호","부산광역시 서구 구덕로 122, 2층 (토성동4가)","49246","주원메딕스","20171208155718","I","2018-10-11 15:46:28.0","","384391.678238176","179397.598403257","","","","",
"11","의료기기수리업","01_02_02_P","3260000","PHMG320223260022047400001","20220602","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 서대신동3가 687-40 신풍그린빌라","부산광역시 서구 시약로 36, 상가201호 (서대신동3가, 신풍그린빌라)","49208","뉴메디칼","20220602142114","I","2022-06-04 00:22:32.0","","383107.334140369","181176.643573533","","","","",
"12","의료기기수리업","01_02_02_P","3270000","PHMG320053270022047400001","20050310","","03","폐업","03","폐업","20170214","","","","247-8000","","601843","부산광역시 동구 범일2동 825번지 7호 두산위브포세이돈2 105동 1502호","부산광역시 동구 자성로116번길 2, 105동 1502호 (범일동, 두산위브포세이돈2)","48748","(주)글로벌메디칼","20170215092923","I","2018-10-11 15:46:28.0","","388040.090360392","183818.845448598","","","","",
"13","의료기기수리업","01_02_02_P","3270000","PHMG320063270022047400001","20060221","","03","폐업","03","폐업","20130913","","","","966-6270","","601843","부산광역시 동구 범일2동 825번지 3호 눌원빌딩 11층","부산광역시 동구 자성로 134, 11층 (범일동, 눌원빌딩)","601720","진욱메디칼(주)","20130913175824","I","2018-10-11 15:46:28.0","","388138.761908291","183896.968673657","","","","",
"14","의료기기수리업","01_02_02_P","3270000","PHMG320073270022047400001","20070330","","03","폐업","03","폐업","20110914","","","","819-2311","","601837","부산광역시 동구 초량3동 1169번지 13호 덕암빌딩 5층","부산광역시 동구 중앙대로 262 (초량동)","601837","디와이메닉스(주)","20120219172305","I","2018-10-11 15:46:28.0","","386151.348772833","182004.96097576","","","","",
"15","의료기기수리업","01_02_02_P","3270000","PHMG320093270022047400001","20090415","","03","폐업","03","폐업","20140303","","","","467-4441","","601814","부산광역시 동구 수정1동 336번지 2호","부산광역시 동구 고관로 69 (수정동)","601814","경남의료기","20140303135839","I","2018-10-11 15:46:28.0","","386261.247622705","182613.397837499","","","","",
"16","의료기기수리업","01_02_02_P","3270000","PHMG320103270022047400001","20101028","","03","폐업","03","폐업","20131107","","","","636-8388","","601823","부산광역시 동구 좌천1동 812번지 5호 한성빌라 105호","부산광역시 동구 고관로153번길 7, 105호 (좌천동, 한성빌라)","601823","나이스메디칼","20131230111058","I","2018-10-11 15:46:28.0","","386741.064611656","183295.488634144","","","","",
"17","의료기기수리업","01_02_02_P","3270000","PHMG320113270022047400001","20110818","","03","폐업","03","폐업","20151110","","","","633-8452","","601822","부산광역시 동구 좌천1동 163번지 4호 (2층)","부산광역시 동구 자성로 10, 2층 (좌천동)","48728","수입가전부산서비스 명성전자","20151110162353","I","2018-10-11 15:46:28.0","","387112.767431219","183450.05669318","","","","",
"18","의료기기수리업","01_02_02_P","3270000","PHMG320093270022047400002","20090520","","03","폐업","03","폐업","20120613","","","","507-1108","","601715","부산광역시 동구 초량3동 1147번지 14호 국제오피스텔 609-1","부산광역시 동구 중앙대로 263, 609동 1호 (초량동, 국제오피스텔)","601715","케이메드","20120613113848","I","2018-10-11 15:46:28.0","","386093.674147239","182068.358104572","","","","",
"19","의료기기수리업","01_02_02_P","3270000","PHMG320143270022047400001","20141224","","03","폐업","03","폐업","20190726","","","","248-5051","","","","부산광역시 동구 중앙대로 182, 4층 (초량동)","48821","LG부산역센터","20190726091710","U","2019-07-28 02:40:00.0","","385842.172820383","181270.143242681","","","","",
"20","의료기기수리업","01_02_02_P","3270000","PHMG320193270022047400001","20190918","","01","영업/정상","13","영업중","","","","","248-5051","","","부산광역시 동구 초량동 1205번지 21호 하이프라자초량점","부산광역시 동구 중앙대로 182, 하이프라자초량점 4층 (초량동)","48821","엘지전자(주) 부산역서비스센터","20190919141119","I","2019-09-21 02:22:32.0","","385842.172820383","181270.143242681","","","","",
"21","의료기기수리업","01_02_02_P","3270000","PHMG320193270022047400002","20191030","","01","영업/정상","13","영업중","","","","","754-9903","","","부산광역시 동구 범일동 830번지 296호 진흥 마제스타워 범일","부산광역시 동구 자성로133번길 6, 103동 10층 3410호 (범일동, 진흥 마제스타워 범일)","48742","(주)P&K헬스케어","20220611150155","U","2022-06-14 02:40:00.0","","388171.887743719","184002.524603295","","","","",
"22","의료기기수리업","01_02_02_P","3270000","PHMG320203270022047400001","20200211","","01","영업/정상","13","영업중","","","","","868-7416","","","","부산광역시 동구 초량상로65번길 7, 소림사 1층 (초량동)","48812","오싸이언스","20200213101347","I","2020-02-15 00:23:23.0","","385729.51885100000","182042.16593400000","","","","",
"23","의료기기수리업","01_02_02_P","3270000","PHMG320203270022047400002","20200420","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 1210번지 6호 태영 노블리안","부산광역시 동구 중앙대로 169, 태영 노블리안 206호 (초량동)","48820","티오티오비","20200421134951","I","2020-04-23 00:23:20.0","","385747.06854269","181215.206591337","","","","",
