"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"1","치과기공소","01_02_04_P","3250000","PHMB319853250021062300001","19851130","","03","폐업","03","폐업","20110531","","","","051-462-8454","","600102","부산광역시 중구 대창동2가 36번지 5호","부산광역시 중구 중앙대로 133 (대창동2가)","","동양치과기공소","20120806093927","I","2018-08-31 23:59:59.0","","385634.524592419","180842.542510507","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"2","치과기공소","01_02_04_P","3250000","PHMB319993250021062300001","19990602","","03","폐업","03","폐업","20100406","","","","051-247-4245","","600093","부산광역시 중구 대청동3가 13번지 2호","부산광역시 중구 대청로 88-1 (대청동3가)","","지앤미치과기공소","20100406105518","I","2018-08-31 23:59:59.0","","384980.357137559","180069.586957325","1","1","2","1","1","1","1","1","1","1","1","","","","",
"3","치과기공소","01_02_04_P","3250000","PHMB320083250021062300001","20080523","","03","폐업","03","폐업","20190301","","","","","","","부산광역시 중구 동광동4가 13번지 1호","부산광역시 중구 동광길 8 (동광동4가)","48932","제니스치과기공소","20190314153451","U","2019-03-16 02:40:00.0","","385402.665879748","180117.626217757","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"4","치과기공소","01_02_04_P","3250000","PHMB319813250021062300001","19810218","","03","폐업","03","폐업","20171024","","","","051-462-3866","","600024","부산광역시 중구 동광동4가 12번지 6호","부산광역시 중구 대청로135번길 9-1 (동광동4가)","48932","중앙치과기공소","20171024151013","I","2018-08-31 23:59:59.0","","385432.942421672","180182.635361525","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"5","치과기공소","01_02_04_P","3250000","PHMB320103250021062300002","20101207","","03","폐업","03","폐업","20131231","","","","465-2804","","600815","부산광역시 중구 중앙동4가 40번지 19호","부산광역시 중구 대청로135번길 15 (중앙동4가)","600815","수도치과기공소","20131231111941","I","2018-08-31 23:59:59.0","","385445.376219908","180233.460462591","1","1","4","2","1","2","1","1","1","1","1","1","1","1","1",
"6","치과기공소","01_02_04_P","3250000","PHMB320113250021062300001","20110210","","03","폐업","03","폐업","20131101","","","","070.4038.2804","","600021","부산광역시 중구 동광동1가 15번지","부산광역시 중구 해관로 1 (동광동1가)","","EDS치과기공소","20131101130448","I","2018-08-31 23:59:59.0","","385548.213592069","179660.979270477","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"7","치과기공소","01_02_04_P","3250000","PHMB320153250021062300003","20150910","","03","폐업","03","폐업","20160304","","","","","","","부산광역시 중구 대청동3가 7번지 17호","부산광역시 중구 대청로 75 (대청동3가)","48933","블루치과기공소","20160304144514","I","2018-08-31 23:59:59.0","","384863.453834649","180111.325362474","1","1","5","1","1","1","2","1","1","1","2","3","2","1","1",
"8","치과기공소","01_02_04_P","3250000","PHMB320193250021062300001","20190308","","01","영업/정상","13","영업중","","","","","051-246-6633","","","부산광역시 중구 남포동4가 4번지 2호","부산광역시 중구 구덕로 42, 4층 (남포동4가)","48953","서진기공소","20190308163620","I","2019-03-10 02:21:45.0","","385143.477755938","179588.561843739","1","1","2","0","1","1","1","1","1","1","1","1","1","1","0",
"9","치과기공소","01_02_04_P","3250000","PHMB320153250021062300004","20151005","","01","영업/정상","13","영업중","","","","","468-7713","","","부산광역시 중구 중앙동3가 19번지 11호","부산광역시 중구 대청로137번길 11 (중앙동3가)","48931","라디안치과기공소","20151005174630","I","2018-08-31 23:59:59.0","","385465.410700767","180191.339112985","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"10","치과기공소","01_02_04_P","3250000","PHMB319983250021062300001","19980126","","01","영업/정상","13","영업중","","","","","051-245-1106","","","부산광역시 중구 부평동2가 79번지 4호","부산광역시 중구 대청로 54-1 (부평동2가)","48977","대신치과기공소","20170626101245","I","2018-08-31 23:59:59.0","","384636.108068554","180083.140680226","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
