"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물병원","02_03_01_P","3250000","325000001019990001","19990510","","03","폐업","0002","폐업","20100526","","","","255-7588","0","","부산광역시 중구 남포동5가 40번지","","","남포동물병원","20100526102520","I","2018-08-31 23:59:59.0","","384889.247386815","179490.560472097","동물병원","","000","",
"2","동물병원","02_03_01_P","3250000","325000001020010001","20011126","","03","폐업","0002","폐업","20040130","","","","468-1131","0","","부산광역시 중구 대청동4가 84-24  번지","","","대청동물병원","20040130150317","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"3","동물병원","02_03_01_P","3250000","325000001020040001","20040117","","03","폐업","0002","폐업","20051108","","","","051-241-0075","0","","부산광역시 중구 남포동6가 85번지 남포프라자1층","","","폭시펫 동물병원","20051108150513","I","2018-08-31 23:59:59.0","","384819.053111578","179587.403632584","동물병원","","000","",
"4","동물병원","02_03_01_P","3250000","325000001020140001","20140828","","03","폐업","0002","폐업","20190108","","","","462-8559","71.34","","부산광역시 중구 중앙동7가 20-1번지","부산광역시 중구 중앙대로 2 (중앙동7가)","48944","펫가든동물병원","20190329131454","U","2019-03-31 02:40:00.0","","385590.814676765","179553.867031936","동물병원","","000","",
"5","동물병원","02_03_01_P","3260000","326000001020000001","20000119","","03","폐업","0002","폐업","20110331","","","","051-254-3375","0","","부산광역시 서구 토성동5가 44-2   번지","","","토성동물병원","20110331171438","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"6","동물병원","02_03_01_P","3260000","326000001020130001","20130924","","03","폐업","0002","폐업","20191213","","","","245-7975","174","","부산광역시 서구 토성동5가 46-1번지 아크로폴리스 101호","부산광역시 서구 구덕로 135, 101호 (토성동5가,아크로폴리스)","","우리들 동물병원","20191224153412","U","2019-12-26 02:40:00.0","","384246.379987473","179419.8021017","동물병원","","000","",
"7","동물병원","02_03_01_P","3270000","327000001019980001","19980911","","03","폐업","0002","폐업","20080212","","","","","42","","부산광역시 동구 초량동 130-11  번지","","","초량동물병원","20080212135030","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"8","동물병원","02_03_01_P","3280000","328000001020020002","20021223","","03","폐업","0002","폐업","20060622","","","","051)416-1335","197.8","","부산광역시 영도구 청학동 299-7번지 8통6반","부산광역시 영도구 태종로318번길 20-12 (청학동)","49023","보생동물병원","20150723104401","I","2018-08-31 23:59:59.0","","387796.702040356","179430.554328631","동물병원","","000","",
"9","동물병원","02_03_01_P","3280000","328000001020040002","20040119","","03","폐업","0002","폐업","20040716","","","","403-0076","390.52","","부산광역시 영도구 동삼동 219-89번지","","","25시동물병원","20040716140101","I","2018-08-31 23:59:59.0","","388848.464348483","177991.072260456","동물병원","","000","",
"10","동물병원","02_03_01_P","3280000","328000001020160001","20160518","","03","폐업","0002","폐업","20180302","","","","051-414-7686","66.88","","부산광역시 영도구 봉래동2가 44-1번지","부산광역시 영도구 대교로 15 (봉래동2가)","49035","엘리자베스 동물병원","20180305172940","I","2018-08-31 23:59:59.0","","386251.739960966","179034.107610552","동물병원","","000","",
"11","동물병원","02_03_01_P","3280000","328000001020170001","20170807","","03","폐업","0002","폐업","20220107","","","","0519119630","56.38","","부산광역시 영도구 남항동2가 245-5","부산광역시 영도구 남항로 20-1 (남항동2가)","49055","맘's 동물병원","20220124143531","U","2022-01-26 02:40:00.0","","385852.114458697","178590.344956918","동물병원","","000","0",
"12","동물병원","02_03_01_P","3290000","329000001020190001","20190515","","03","폐업","0002","폐업","20200909","","","","051-808-5550","180","","부산광역시 부산진구 초읍동 263-36","부산광역시 부산진구 새싹로 218 (초읍동)","47127","더원동물의료센터","20200909113856","U","2020-09-11 02:40:00.0","","386576.123573996","188193.281707173","동물병원","","000","",
"13","동물병원","02_03_01_P","3290000","329000001020120002","20121227","","03","폐업","0002","폐업","20170929","","","","051-863-7570","200","","부산광역시 부산진구 양정동 402-15번지","부산광역시 부산진구 거제대로 14 (양정동)","47214","이브동물병원","20170929105228","I","2018-08-31 23:59:59.0","","388307.83697487","187571.074332979","동물병원","","L00","",
"14","동물병원","02_03_01_P","3290000","329000001020130002","20130501","","03","폐업","0002","폐업","20150707","","","","","","","","부산광역시 부산진구 거제대로 20-1 (양정동)","47214","롯데동물메디컬센터","20150707120055","I","2018-08-31 23:59:59.0","","388296.71776701","187645.504458632","동물병원","","000","",
"15","동물병원","02_03_01_P","3290000","329000001020140002","20140617","","03","폐업","0002","폐업","20150318","","","","051-852-7582","91.81","","부산광역시 부산진구 양정동 401-12번지","부산광역시 부산진구 거제대로 18 (양정동)","47214","예일동물병원","20150318124044","I","2018-08-31 23:59:59.0","","388297.793971458","187623.946709662","동물병원","","000","",
"16","동물병원","02_03_01_P","3290000","329000001020140003","20140825","","03","폐업","0002","폐업","20160527","","","","051-811-8753","","","부산광역시 부산진구 연지동 50-6번지 화인연지아파트상가 12동 106호","부산광역시 부산진구 동평로291번길 30 (연지동)","47120","삼정동물병원","20160527163118","I","2018-08-31 23:59:59.0","","387489.78325928","187958.153019083","동물병원","","000","",
"17","동물병원","02_03_01_P","3290000","329000001020150001","20150708","","03","폐업","0002","폐업","20191001","","","","051-851-6612","142.5","","부산광역시 부산진구 양정동 401-11번지","부산광역시 부산진구 거제대로 20 (양정동)","47214","롯데동물메디컬센터","20191001115534","U","2019-10-03 02:40:00.0","","388296.71776701","187645.504458632","동물병원","","000","",
"18","동물병원","02_03_01_P","3290000","329000001020020001","20020104","","03","폐업","0002","폐업","20070405","","","","","0","","부산광역시 부산진구 부전동 486-6   번지 1층","","","서면동물병원","20070405145631","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"19","동물병원","02_03_01_P","3290000","329000001020030002","20030708","","03","폐업","0002","폐업","20080527","","","","","0","","부산광역시 부산진구 양정동 307-3   번지","","","오앤김하마정동물병원","20080527100941","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"20","동물병원","02_03_01_P","3290000","329000001020050001","20050419","","03","폐업","0002","폐업","20060711","","","","806-1575","0","","부산광역시 부산진구 부전동 168-273번지","부산광역시 부산진구 동천로 93 (부전동)","","도담동물병원","20060711140801","I","2018-08-31 23:59:59.0","","387825.007727125","186164.862841667","동물병원","","000","",
"21","동물병원","02_03_01_P","3290000","329000001020050002","20050914","","03","폐업","0002","폐업","20190903","","","","051-892-7975","0","","부산광역시 부산진구 개금동 208-9번지 동진빌딩1층","부산광역시 부산진구 백양대로 267 (개금동,동진빌딩1층)","","열린25시 동물병원","20190904163142","U","2019-09-06 02:40:00.0","","384206.339089492","185863.23376688","동물병원","","000","",
"22","동물병원","02_03_01_P","3290000","329000001020070001","20070202","","03","폐업","0002","폐업","20150831","","","","","0","","부산광역시 부산진구 가야동 624-7번지 홈플러스 가야점","부산광역시 부산진구 가야대로 506 (가야동,홈플러스 가야점)","","쿨펫동물병원 가야점","20150831150538","I","2018-08-31 23:59:59.0","","384668.520460332","185579.964272171","동물병원","","000","",
"23","동물병원","02_03_01_P","3290000","329000001020170001","20170106","","03","폐업","0002","폐업","20170215","","","","","0","","","부산광역시 부산진구 새싹로 218, 1층, 지하1층 (초읍동)","47127","더원동물의료센타","20170216103031","I","2018-08-31 23:59:59.0","","386576.123573996","188193.281707173","동물병원","","000","",
"24","동물병원","02_03_01_P","3290000","329000001020170002","20170215","","03","폐업","0002","폐업","20190519","","","","051-808-5550","0","","부산광역시 부산진구 초읍동 263-36번지","부산광역시 부산진구 새싹로 218 (초읍동)","47127","더원동물의료센터","20190521171835","U","2019-05-23 02:40:00.0","","386576.123573996","188193.281707173","동물병원","","000","",
"25","동물병원","02_03_01_P","3290000","329000001020170003","20170929","","03","폐업","0002","폐업","20180305","","","","","0","","","부산광역시 부산진구 거제대로 14, 2층 (양정동)","47214","이브동물병원","20180305163418","I","2018-08-31 23:59:59.0","","388307.83697487","187571.074332979","동물병원","","000","",
"26","동물병원","02_03_01_P","3290000","329000001020180002","20180329","","03","폐업","0002","폐업","20181212","","","","051-852-6675","","","부산광역시 부산진구 양정동 402-29번지","부산광역시 부산진구 거제대로 16, 2층 (양정동)","47214","U동물메디컬센터","20181213093843","U","2018-12-15 02:40:00.0","","388297.308898932","187593.154202692","동물병원","","000","",
"27","동물병원","02_03_01_P","3290000","329000001019890001","19891117","","03","폐업","0002","폐업","20061227","","","","818-1700","0","","부산광역시 부산진구 연지동 165-6번지","부산광역시 부산진구 새싹로 156 (연지동)","47133","덕수동물병원","20150731180430","I","2018-08-31 23:59:59.0","","386720.172265338","187575.870939833","동물병원","","000","",
"28","동물병원","02_03_01_P","3290000","329000001019990001","19991220","","03","폐업","0002","폐업","20191015","","","","051-893-5575","0","","부산광역시 부산진구 가야동 50-1번지 유림아파트","부산광역시 부산진구 가야대로679번길 155, 111호 (가야동, 유림아파트)","47273","세계로종합동물병원","20191015141735","U","2019-10-17 02:40:00.0","","385733.529901161","185961.315340121","동물병원","","000","",
"29","동물병원","02_03_01_P","3290000","329000001020070003","20070409","","03","폐업","0002","폐업","20210227","","","","","0","","부산광역시 부산진구 양정동 271-47","부산광역시 부산진구 연수로 27-1 (양정동)","","이동물병원","20210302133558","U","2021-03-04 02:40:00.0","","388892.07345578","188092.153310426","동물병원","","000","",
"30","동물병원","02_03_01_P","3290000","329000001020070004","20070420","","03","폐업","0002","폐업","20091103","","","","","0","","부산광역시 부산진구 양정동 401-21번지","부산광역시 부산진구 거제대로 20 (양정동)","","반려동물병원","20091103091445","I","2018-08-31 23:59:59.0","","388296.727595453","187634.244874649","동물병원","","000","",
"31","동물병원","02_03_01_P","3290000","329000001020070005","20070509","","03","폐업","0002","폐업","20191230","","","","","0","","부산광역시 부산진구 전포동 892-20번지","부산광역시 부산진구 동천로 4 (전포동)","","쿨펫동물병원","20200109092210","U","2020-01-11 02:40:00.0","","388011.197829908","185310.70532509","동물병원","","000","",
"32","동물병원","02_03_01_P","3290000","329000001020090001","20091215","","03","폐업","0002","폐업","20110429","","","","","0","","부산광역시 부산진구 양정동 401-12번지","부산광역시 부산진구 거제대로 18 (양정동)","","미래동물병원","20110429171051","I","2018-08-31 23:59:59.0","","388297.793971458","187623.946709662","동물병원","","000","",
"33","동물병원","02_03_01_P","3290000","329000001020100001","20101201","","03","폐업","0002","폐업","20110325","","","","864-7570","0","","부산광역시 부산진구 양정동 402-15번지","부산광역시 부산진구 거제대로 14 (양정동)","","허브동물병원","20110325164455","I","2018-08-31 23:59:59.0","","388307.83697487","187571.074332979","동물병원","","000","",
"34","동물병원","02_03_01_P","3290000","329000001020110001","20110329","","03","폐업","0002","폐업","20140529","","","","863-7570","0","","부산광역시 부산진구 양정동 402-15번지","부산광역시 부산진구 거제대로 14 (양정동)","","허브동물병원","20140529115202","I","2018-08-31 23:59:59.0","","388307.83697487","187571.074332979","동물병원","","000","",
"35","동물병원","02_03_01_P","3290000","329000001020110004","20110927","","03","폐업","0002","폐업","20121221","","","","0518527582","0","","부산광역시 부산진구 양정동 401-12번지 신세대지큐빌아파트 104동 1801호","부산광역시 부산진구 거제대로 18 (양정동)","47214","생생동물병원","20121221174500","I","2018-08-31 23:59:59.0","","388297.793971458","187623.946709662","동물병원","","000","",
"36","동물병원","02_03_01_P","3300000","330000001020140005","20140513","","03","폐업","0002","폐업","20161031","","","","051-504-7765","51.4","","부산광역시 동래구 온천동 1266-4번지","부산광역시 동래구 아시아드대로 207 (온천동)","47852","온천동물병원","20161031144836","I","2018-08-31 23:59:59.0","","388057.904069048","191229.018218833","동물병원","","000","",
"37","동물병원","02_03_01_P","3300000","330000001020160002","20160708","","03","폐업","0002","폐업","20161209","","","","051-668-2769","","","부산광역시 동래구 온천동 502-3번지 롯데마트 1층","부산광역시 동래구 중앙대로 1393 (온천동, 롯데마트 1층)","47727","위즈펫 동물병원 동래점","20161219144215","I","2018-08-31 23:59:59.0","","389097.800933845","192260.811648263","동물병원","","000","",
"38","동물병원","02_03_01_P","3300000","330000001019960001","19961023","","03","폐업","0002","폐업","20110713","","","","553-0330","132","","부산광역시 동래구 온천동 1430-3번지","부산광역시 동래구 충렬대로107번길 6 (온천동)","","닥터제이 동물병원","20110713182258","I","2018-08-31 23:59:59.0","","388676.714254184","191714.631649653","동물병원","","000","",
"39","동물병원","02_03_01_P","3300000","330000001020000001","20000303","","03","폐업","0002","폐업","20190405","","","","529-2991","0","","부산광역시 동래구 안락동 299-3번지","부산광역시 동래구 충렬대로 435 (안락동)","47791","대일종합동물병원","20190405111822","U","2019-04-07 02:40:00.0","","391745.053949878","190618.105456695","동물병원","","000","",
"40","동물병원","02_03_01_P","3300000","330000001020030001","20030205","","03","폐업","0002","폐업","20080811","","","","051-504-7765","0","","부산광역시 동래구 사직동 100-3번지","부산광역시 동래구 아시아드대로 131 (사직동)","","24시동물병원","20080811092545","I","2018-08-31 23:59:59.0","","388053.585335542","190490.572017164","동물병원","","000","",
"41","동물병원","02_03_01_P","3300000","330000001020040001","20040611","","03","폐업","0002","폐업","20080403","","","","","111.31","","부산광역시 동래구 온천동 1441-3   번지","","","동래동물병원","20080403150807","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"42","동물병원","02_03_01_P","3300000","330000001020040002","20040824","","03","폐업","0002","폐업","20210906","","","","505-7578","0","","부산광역시 동래구 온천동 1250-8 지영아이니드빌","부산광역시 동래구 아시아드대로 209, 2층 (온천동, 지영아이니드빌)","47851","사직동물병원","20210906105600","U","2021-09-08 02:40:00.0","","388064.60912229","191257.74315479","동물병원","","000","0",
"43","동물병원","02_03_01_P","3300000","330000001020120004","20121207","","03","폐업","0002","폐업","20121228","","","","0515037501","130.48","","","부산광역시 동래구 사직북로 9 (사직동)","47865","스토리동물병원","20121228110101","I","2018-08-31 23:59:59.0","","387591.027261167","190564.643492337","동물병원","","000","",
"44","동물병원","02_03_01_P","3300000","330000001020130001","20130102","","03","폐업","0002","폐업","20211025","","","","503-7501","130.48","","부산광역시 동래구 사직동 91-7","부산광역시 동래구 사직북로 9 (사직동)","47865","스토리동물병원","20211209220500","U","2021-12-11 02:40:00.0","","387591.027261167","190564.643492337","동물병원","","000","0",
"45","동물병원","02_03_01_P","3300000","330000001020060002","20060707","","03","폐업","0002","폐업","20121205","","","","503-7501","0","","부산광역시 동래구 사직동 91-7번지","부산광역시 동래구 사직북로 9 (사직동)","47865","김태훈 동물병원","20121207181719","I","2018-08-31 23:59:59.0","","387591.027261167","190564.643492337","동물병원","","000","",
"46","동물병원","02_03_01_P","3300000","330000001020130003","20130822","","03","폐업","0002","폐업","20211220","","","","051-555-7975","0","","부산광역시 동래구 온천동 503-29","부산광역시 동래구 중앙대로1381번길 5 (온천동)","47728","동래 롯데 종합동물병원","20211221101747","U","2021-12-23 02:40:00.0","","389109.574578811","192112.821552782","동물병원","","000","0",
"47","동물병원","02_03_01_P","3300000","330000001020130004","20131203","","03","폐업","0002","폐업","20140430","","","","051-668-2769","","","부산광역시 동래구 온천동 502-3번지","부산광역시 동래구 중앙대로 1393 (온천동)","47727","위즈펫 동물병원","20140430163136","I","2018-08-31 23:59:59.0","","389097.800933845","192260.811648263","동물병원","","000","",
"48","동물병원","02_03_01_P","3310000","331000001019890001","19890929","","03","폐업","0002","폐업","20100201","","","","647-2758","0","","부산광역시 남구 대연동 1767-15  번지","","","대연동물병원","20100201150728","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"49","동물병원","02_03_01_P","3310000","331000001019730001","19730721","","03","폐업","0002","폐업","20090729","","","","621-8226","0","","부산광역시 남구 대연동 1741번지","","","한일동물병원","20090729110110","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"50","동물병원","02_03_01_P","3310000","331000001020020001","20020504","","03","폐업","0002","폐업","20040202","","","","","0","","부산광역시 남구 문현동 202-8   번지","","","한빛동물병원","20040202155245","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"51","동물병원","02_03_01_P","3310000","331000001020030002","20030723","","03","폐업","0002","폐업","20050401","","","","635-7583","8351.59","","부산광역시 남구 문현동 751번지","","","(주)아이러브 팻","20050401100629","I","2018-08-31 23:59:59.0","","388052.381944031","184747.385931218","동물병원","","L00","",
"52","동물병원","02_03_01_P","3310000","331000001020040001","20040715","","03","폐업","0002","폐업","20051205","","","","","110.51","","부산광역시 남구 용호동 176-30번지 LG메트로시티 주상가A 1003동 304호","","","수호천사동물병원","20051205115140","I","2018-08-31 23:59:59.0","","392474.578116018","183052.21115244","동물병원","","000","",
"53","동물병원","02_03_01_P","3310000","331000001020040002","20041230","","03","폐업","0002","폐업","20130710","","","","051-632-7580","280.6","","부산광역시 남구 문현동 403-7번지","","","다솜동물병원","20130710172235","I","2018-08-31 23:59:59.0","","388526.203913101","183992.328822561","동물병원","","000","",
"54","동물병원","02_03_01_P","3310000","331000001020050001","20090723","","03","폐업","0002","폐업","20190331","","","","051-636-0148","50176.84","","부산광역시 남구 문현동 751번지 E마트","부산광역시 남구 전포대로91번길 47, E마트 3층 (문현동)","48401","이프랜드 동물병원","20190329164751","U","2019-03-31 02:40:00.0","","388052.381944031","184747.385931218","동물병원","","000","",
"55","동물병원","02_03_01_P","3310000","331000001020100001","20100204","","03","폐업","0002","폐업","20171231","","","","051-647-2758","38.5","","부산광역시 남구 대연동 1767-15번지","부산광역시 남구 수영로 159 (대연동)","48453","대연동물병원","20180111125010","I","2018-08-31 23:59:59.0","","389871.986067031","183746.324322341","동물병원","","000","",
"56","동물병원","02_03_01_P","3310000","331000001020100002","20100330","","03","폐업","0002","폐업","20170624","","","","051-612-2289","374.79","","부산광역시 남구 용호동 198-6번지 대성빌딩","부산광역시 남구 용호로 48, 2층 (용호동, 대성빌딩)","48523","봄빛동물종합병원","20170630114700","I","2018-08-31 23:59:59.0","","392191.164407296","182841.157761943","동물병원","","000","",
"57","동물병원","02_03_01_P","3310000","331000001020160001","20160427","","03","폐업","0002","폐업","20171012","","","","0516242475","340.2","","부산광역시 남구 대연동 1745-9번지","부산광역시 남구 수영로 221 (대연동)","48445","유앤동물의료센터","20171012181117","I","2018-08-31 23:59:59.0","","390487.342969125","183799.204837057","동물병원","","000","",
"58","동물병원","02_03_01_P","3320000","332000001019920001","19920305","","03","폐업","0002","폐업","20211028","","","","332-5688","0","","부산광역시 북구 구포동 1071-21 남양빌딩","부산광역시 북구 낙동대로 1650, 남양빌딩 (구포동)","46503","구포동물병원","20211029110049","U","2021-10-31 02:40:00.0","","381487.26912032","191082.411926043","동물병원","","000","0",
"59","동물병원","02_03_01_P","3320000","332000001020000001","20000415","","03","폐업","0002","폐업","20051227","","","","338-8146","0","","부산광역시 북구 만덕동 914-7번지","부산광역시 북구 만덕3로48번길 8 (만덕동)","","신만덕동물병원","20051227113920","I","2018-08-31 23:59:59.0","","384651.691110111","192123.302996663","동물병원","","000","",
"60","동물병원","02_03_01_P","3320000","332000001020000002","20000418","","03","폐업","0002","폐업","20101222","","","","332-7354","0","","부산광역시 북구 구포동 549번지","","","삼양동물병원","20101222093917","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"61","동물병원","02_03_01_P","3320000","332000001020010001","20011013","","03","폐업","0002","폐업","20181026","","","","333-7584","118.8","","부산광역시 북구 화명동 2277-4번지 골든뷰 202호","부산광역시 북구 금곡대로 287 (화명동)","46526","원동물병원","20181026142012","U","2018-10-28 02:36:06.0","","383206.81402909","194624.503835692","동물병원","","000","",
"62","동물병원","02_03_01_P","3320000","332000001020030002","20030506","","03","폐업","0002","폐업","20041111","","","","","0","","부산광역시 북구 화명동 2268-1번지 위너스타워 103호","부산광역시 북구 화명신도시로 132 (화명동,위너스타워 103호)","","화명동물병원","20041111162748","I","2018-08-31 23:59:59.0","","383022.324353968","194812.07905921","동물병원","","000","",
"63","동물병원","02_03_01_P","3320000","332000001020040001","20040524","","03","폐업","0002","폐업","20050201","","","","","0","","부산광역시 북구 금곡동 1874-3   번지 3층","","","도그플러스 동물병원","20050201103434","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"64","동물병원","02_03_01_P","3320000","332000001020170001","20170320","","03","폐업","0002","폐업","20190407","","","","051-361-7581","92","","부산광역시 북구 화명동 1293-5번지","부산광역시 북구 화명대로 68, 상가동동 304층 305호 (화명동, e편한세상화명힐스)","46533","동물병원맥","20190409141307","U","2019-04-11 02:40:00.0","","383407.411614605","194632.637997184","동물병원","","000","",
"65","동물병원","02_03_01_P","3320000","332000001020050001","20050201","","03","폐업","0002","폐업","20060731","","","","637-0975","0","","부산광역시 북구 금곡동 1874-3   번지 (3층)","","","폭시펫 동물병원","20060731141133","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"66","동물병원","02_03_01_P","3320000","332000001020060001","20060802","","03","폐업","0002","폐업","20090525","","","","051-337-0975","0","","부산광역시 북구 금곡동 1874-3번지 3층","","","도그플러스 동물병원","20090525101312","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"67","동물병원","02_03_01_P","3320000","332000001020090001","20090525","","03","폐업","0002","폐업","20091027","","","","337-0975","0","","부산광역시 북구 금곡동 1874-3번지 (3층)","부산광역시 북구 금곡대로 469 (금곡동,(3층))","","하나동물병원","20091027150059","I","2018-08-31 23:59:59.0","","382983.91775577","196375.470354374","동물병원","","000","",
