"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물약국","02_03_02_P","3300000","330000001120200004","20200508","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","부산광역시 동래구 명륜동 637-5","부산광역시 동래구 명륜로 161, 네오앤 바하 102호 (명륜동)","47743","힘찬약국","20210517173047","U","2021-05-19 02:40:00.0","","389506.401923905","191874.126763451","동물약국","","000","",
"2","동물약국","02_03_02_P","3330000","333000001120210013","20210812","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","부산광역시 해운대구 재송동 1130-16","부산광역시 해운대구 재반로 116, 102호 (재송동)","48053","이레약국","20210831194900","U","2021-09-02 02:40:00.0","","393652.171071147","189788.143798315","동물약국","","000","0",
"3","동물약국","02_03_02_P","3250000","325000001120190001","20190215","","01","영업/정상","0000","정상","","","","","051-246-2768","","","부산광역시 중구 부평동2가 80-3번지","부산광역시 중구 흑교로 38 (부평동2가)","48977","국제약국","20190215130639","I","2019-02-17 02:21:23.0","","384608.762917794","180072.685017363","동물약국","","000","",
"4","동물약국","02_03_02_P","3250000","325000001120160003","20160325","","01","영업/정상","0000","정상","","","","","051-245-6505","","","부산광역시 중구 대청동3가 20번지","부산광역시 중구 대청로 80 (대청동3가)","48946","신대동약국","20160325171437","I","2018-08-31 23:59:59.0","","384893.634546496","180069.338251171","동물약국","","000","",
"5","동물약국","02_03_02_P","3250000","325000001120160004","20161202","","01","영업/정상","0000","정상","","","","","0512658190","0","","부산광역시 중구 창선동2가 26-1번지","부산광역시 중구 국제시장2길 5 (창선동2가, 창선상가)","48945","일진사약국","20161202114418","I","2018-08-31 23:59:59.0","","384883.108103904","179757.761844511","동물약국","","000","",
"6","동물약국","02_03_02_P","3250000","325000001120170002","20170307","","01","영업/정상","0000","정상","","","","","051-245-8556","16.3","","","부산광역시 중구 국제시장2길 5 (창선동2가, 창선상가)","48945","한일사약국","20170307153429","I","2018-08-31 23:59:59.0","","384879.487824172","179732.638006288","동물약국","","000","",
"7","동물약국","02_03_02_P","3250000","325000001120130003","20130806","","01","영업/정상","0000","정상","","","","","245-1081","","","부산광역시 중구 창선동2가 21-2번지 3,4,6번지","부산광역시 중구 광복로 33 (창선동2가)","48946","세명약국","20130806152956","I","2018-08-31 23:59:59.0","","384923.565817085","179708.747800094","동물약국","","000","",
"8","동물약국","02_03_02_P","3250000","325000001120170006","20170906","","01","영업/정상","0000","정상","","","","","051-464-0075","167.04","","부산광역시 중구 영주동 58-28번지","부산광역시 중구 대영로 219 (영주동)","48910","영주약국","20170906180023","I","2018-08-31 23:59:59.0","","385437.601991835","181143.722067198","동물약국","","000","",
"9","동물약국","02_03_02_P","3250000","325000001120200001","20200123","","01","영업/정상","0000","정상","","","","","0514682955","","","부산광역시 중구 남포동4가 2-7번지","부산광역시 중구 구덕로34번길 3 (남포동4가)","48953","제일대동약국","20200123101257","I","2020-01-25 00:23:24.0","","385211.790602228","179567.012887262","동물약국","","000","",
"10","동물약국","02_03_02_P","3250000","325000001120130006","20130926","","01","영업/정상","0000","정상","","","","","245-5265","","","부산광역시 중구 창선동2가 22-1번지","부산광역시 중구 광복로 31-1 (창선동2가)","48946","새부산약국","20130926153100","I","2018-08-31 23:59:59.0","","384909.421952361","179703.5895458","동물약국","","000","",
"11","동물약국","02_03_02_P","3250000","325000001120160001","20160204","","01","영업/정상","0000","정상","","","","","051-242-1089","","","부산광역시 중구 부평동1가 1-2번지","부산광역시 중구 대청로 70-1 (부평동1가)","48978","건강한온누리약국","20160204112532","I","2018-08-31 23:59:59.0","","384804.049461616","180075.205770295","동물약국","","000","",
"12","동물약국","02_03_02_P","3250000","325000001120160002","20160318","","01","영업/정상","0000","정상","","","","","051-467-2270","22.42","","부산광역시 중구 동광동5가 16-267번지","부산광역시 중구 중구로 124-3 (동광동5가)","48925","새명성약국","20160318110428","I","2018-08-31 23:59:59.0","","385286.001691044","180562.679911199","동물약국","","000","",
"13","동물약국","02_03_02_P","3250000","325000001120210002","20211103","","01","영업/정상","0000","정상","","","","","051-241-0095","","","부산광역시 중구 대청동1가 39-2","부산광역시 중구 대청로 126(대청동1가)","48950","참편한 약국","20211103103246","I","2021-11-05 00:22:45.0","","385350.382926888","180060.036558779","동물약국","","000","0",
"14","동물약국","02_03_02_P","3250000","325000001120200002","20200714","","01","영업/정상","0000","정상","","","","","051-292-2813","","","부산광역시 중구 동광동5가 19-13","부산광역시 중구 샘길 1, 2층 (동광동5가)","48925","푸른지산약국","20200714141243","I","2020-07-16 00:23:16.0","","385281.026900347","180539.427769874","동물약국","","000","",
"15","동물약국","02_03_02_P","3250000","325000001120210001","20210730","","01","영업/정상","0000","정상","","","","","051-253-1963","","","부산광역시 중구 보수동1가 91-1","부산광역시 중구 흑교로52번길 6-1, 1층 (보수동1가)","48962","굿모닝약국","20210730100643","I","2021-08-01 00:22:52.0","","384602.31343031","180221.362367371","동물약국","","000","0",
"16","동물약국","02_03_02_P","3250000","325000001120200003","20200924","","01","영업/정상","0000","정상","","","","","051-612-6429","","","부산광역시 중구 대청동2가 8-11","부산광역시 중구 대청로 105, 1층 (대청동2가)","48933","해님약국","20200924100531","I","2020-09-26 00:23:11.0","","385140.996257427","180133.026890281","동물약국","","000","",
"17","동물약국","02_03_02_P","3250000","325000001120200004","20201106","","01","영업/정상","0000","정상","","","","","051-255-1445","","","부산광역시 중구 보수동1가 146-29","부산광역시 중구 중구로 59, 1층 (보수동1가)","48967","동명당약국","20201106153224","I","2020-11-08 00:23:09.0","","384833.346517953","180129.571173678","동물약국","","000","",
"18","동물약국","02_03_02_P","3250000","325000001120220001","20220623","","01","영업/정상","0000","정상","","","","","0515830786","","","부산광역시 중구 남포동5가 90","부산광역시 중구 자갈치로37번길 4-1(남포동5가)","48983","자갈치육일약국","20220623104001","I","2022-06-25 00:22:31.0","","384898.271679285","179461.482725068","동물약국","","000","0",
"19","동물약국","02_03_02_P","3250000","325000001120220003","20220629","","01","영업/정상","0000","정상","","","","","0512532005","","","부산광역시 중구 대청동2가 28-4","부산광역시 중구 광복중앙로34번길 13, 1층 (대청동2가)","48949","오즈약국","20220629124554","I","2022-07-01 00:22:45.0","","385163.851204937","180030.382925508","동물약국","","000","0",
"20","동물약국","02_03_02_P","3250000","325000001120220002","20220623","","01","영업/정상","0000","정상","","","","","0517141366","0","","부산광역시 중구 남포동1가 51-1","부산광역시 중구 구덕로 5, 1층 (남포동1가)","48984","자갈치홍약국","20220624142738","I","2022-06-26 00:22:46.0","","385498.715304754","179506.941647499","동물약국","","000","0",
"21","동물약국","02_03_02_P","3260000","326000001120190001","20190415","","01","영업/정상","0000","정상","","","","","051-253-3062","","","부산광역시 서구 암남동 64-1번지 삼성비치타운","부산광역시 서구 감천로 261 (암남동, 삼성비치타운)","49265","송도우리약국","20190415183540","I","2019-04-17 02:20:31.0","","383836.715027165","177679.311431902","동물약국","","000","",
"22","동물약국","02_03_02_P","3260000","326000001120190002","20190711","","01","영업/정상","0000","정상","","","","","051-242-0606","0","","부산광역시 서구 부민동2가 14-1번지","부산광역시 서구 구덕로 195 (부민동2가)","49236","파랑새약국","20190711162732","I","2019-07-13 02:21:44.0","","384083.421194042","179985.715382526","동물약국","","000","",
"23","동물약국","02_03_02_P","3260000","326000001120220001","20220308","","01","영업/정상","0000","정상","","","","","0517112203","0","","부산광역시 서구 아미동2가 113-3","부산광역시 서구 까치고개로 195, 1층 (아미동2가)","49241","다정온누리약국","20220308160535","I","2022-03-10 00:22:36.0","","383871.489889701","179747.181610015","동물약국","","000","0",
"24","동물약국","02_03_02_P","3260000","326000001120200001","20200227","","01","영업/정상","0000","정상","","","","","051-241-5500","0","","부산광역시 서구 충무동1가 4-5번지","부산광역시 서구 보수대로 7 (충무동1가)","49247","엔도케어약국","20200302170750","U","2020-03-04 02:40:00.0","","384579.284410956","179476.213140467","동물약국","","000","",
"25","동물약국","02_03_02_P","3260000","326000001120180001","20180123","","01","영업/정상","0000","정상","","","","","051-256-4254","","","부산광역시 서구 아미동2가 10-2번지","부산광역시 서구 구덕로185번길 26 (아미동2가)","49241","새보림약국","20180123140050","I","2018-08-31 23:59:59.0","","383966.340331445","179894.786877748","동물약국","","000","",
"26","동물약국","02_03_02_P","3260000","326000001120130002","20130821","","01","영업/정상","0000","정상","","","","","051-244-5040","","","부산광역시 서구 동대신동1가 112번지","부산광역시 서구 대영로 84 (동대신동1가)","","메디팜큰사랑약국","20130821100210","I","2018-08-31 23:59:59.0","","384112.656189758","180935.841358988","동물약국","","000","",
"27","동물약국","02_03_02_P","3260000","326000001120150001","20150708","","01","영업/정상","0000","정상","","","","","051-255-8504","0","","부산광역시 서구 충무동1가 16-5번지","부산광역시 서구 충무시장길 1 (충무동1가)","49253","한나라약국","20160412182537","I","2018-08-31 23:59:59.0","","384474.515062683","179335.708011232","동물약국","","000","",
"28","동물약국","02_03_02_P","3260000","326000001120170001","20170228","","01","영업/정상","0000","정상","","","","","051-231-3535","","","부산광역시 서구 동대신동3가 37-18번지","부산광역시 서구 동대로 14 (동대신동3가)","49205","신동아약국","20170228111739","I","2018-08-31 23:59:59.0","","383850.821881586","181875.765022523","동물약국","","000","",
"29","동물약국","02_03_02_P","3260000","326000001120170002","20170615","","01","영업/정상","0000","정상","","","","","051-253-2492","","","","부산광역시 서구 감천로 251 (암남동)","49265","건강한약국","20170615114831","I","2018-08-31 23:59:59.0","","383750.674511452","177704.102543665","동물약국","","000","",
"30","동물약국","02_03_02_P","3260000","326000001120210004","20211005","","01","영업/정상","0000","정상","","","","","","","","부산광역시 서구 동대신동3가 37-3","부산광역시 서구 동대로 20, 1층 (동대신동3가)","49205","제이드약국","20211005091222","I","2021-10-07 00:22:47.0","","383885.466220854","181851.780178594","동물약국","","000","0",
"31","동물약국","02_03_02_P","3260000","326000001120210005","20211103","","01","영업/정상","0000","정상","","","","","051-242-7117","","","부산광역시 서구 토성동4가 28-10","부산광역시 서구 구덕로 124(토성동4가)","49246","토성약국","20211103125801","I","2021-11-05 00:22:45.0","","384372.360833601","179392.414867159","동물약국","","000","0",
"32","동물약국","02_03_02_P","3260000","326000001120200002","20200804","","01","영업/정상","0000","정상","","","","","","","","부산광역시 서구 동대신동2가 361","부산광역시 서구 구덕로 312, 1층 (동대신동2가)","49217","메디컬미래약국","20200804102502","I","2020-08-06 00:23:14.0","","383834.768943905","181040.593312336","동물약국","","000","",
"33","동물약국","02_03_02_P","3260000","326000001120210002","20210804","","01","영업/정상","0000","정상","","","","","","","","부산광역시 서구 서대신동3가 61-73","부산광역시 서구 대신공원로 29(서대신동3가)","49202","가까운약국","20210804113556","I","2021-08-06 00:22:51.0","","383759.50273263","182019.858109688","동물약국","","000","0",
"34","동물약국","02_03_02_P","3260000","326000001120210003","20210908","","01","영업/정상","0000","정상","","","","","","","","부산광역시 서구 동대신동3가 553 브라운스톤 하이포레","부산광역시 서구 동대로19번길 32(동대신동3가, 브라운스톤 하이포레)","49201","동아후문약국","20210908090749","I","2021-09-10 00:22:49.0","","","","동물약국","","000","0",
"35","동물약국","02_03_02_P","3260000","326000001120210001","20210504","","01","영업/정상","0000","정상","","","","","051-231-0301","","","부산광역시 서구 동대신동3가 37-2","부산광역시 서구 동대로 18 (동대신동3가)","49205","희망온누리약국","20210504102414","I","2021-05-06 00:22:56.0","","383875.489897264","181865.543213091","동물약국","","000","",
"36","동물약국","02_03_02_P","3260000","326000001120180003","20181121","","01","영업/정상","0000","정상","","","","","051-244-3611","","","부산광역시 서구 동대신동3가 350-11번지","부산광역시 서구 구덕로 332 (동대신동3가)","49211","운동장약국","20181121134737","I","2018-11-23 02:35:58.0","","383746.17217514","181219.892398459","동물약국","","000","",
"37","동물약국","02_03_02_P","3260000","326000001120200003","20201214","","01","영업/정상","0000","정상","","","","","051-243-6595","","","부산광역시 서구 암남동 64-1 삼성비치타운","부산광역시 서구 감천로 261, 1층 (암남동, 삼성비치타운)","49265","한사랑동물약국","20201214130704","I","2020-12-16 00:23:06.0","","383836.715027165","177679.311431902","동물약국","","000","",
"38","동물약국","02_03_02_P","3260000","326000001120220002","20220428","","01","영업/정상","0000","정상","","","","","","","","부산광역시 서구 아미동2가 67-4","부산광역시 서구 까치고개로 206-1, 1층 (아미동2가)","49245","신호등약국","20220428112406","I","2022-04-30 00:22:32.0","","383969.49973388","179706.000894917","동물약국","","000","0",
"39","동물약국","02_03_02_P","3270000","327000001120190001","20190122","","01","영업/정상","0000","정상","","","","","051-466-4101","","","부산광역시 동구 수정동 1-28번지 동부 메디칼센터","부산광역시 동구 중앙대로 383, 동부 메디칼센터 1층 (수정동)","48775","동아약국","20190122161541","I","2019-01-24 02:20:58.0","","386700.372580527","183080.55223507","동물약국","","000","",
"40","동물약국","02_03_02_P","3270000","327000001120190002","20190419","","01","영업/정상","0000","정상","","","","","0514689915","","","부산광역시 동구 초량동 42-10번지","부산광역시 동구 고관로 29, 1층 (초량동)","48795","참좋은약국","20190419101144","I","2019-04-21 02:20:27.0","","386114.074221908","182241.503325505","동물약국","","000","",
"41","동물약국","02_03_02_P","3270000","327000001120220001","20220414","","01","영업/정상","0000","정상","","","","","","","","부산광역시 동구 수정동 1-10","부산광역시 동구 중앙대로 365, 부산일보 1층 (수정동)","48789","행복약국","20220414101643","I","2022-04-16 00:22:33.0","","386604.613130835","182960.145366797","동물약국","","000","0",
