"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물용의료용구판매업","02_03_03_P","3250000","325000001320210001","20211130","","01","영업/정상","0000","정상","","","","","","","","부산광역시 중구 부평동*가 **-*","부산광역시 중구 중구로**번길 **(부평동*가)","48978","주식회사 동원과학","20211130125118","I","2021-12-02 00:22:43.0","","384769.336909047","179767.222696133","동물용의료용구판매업","","L00","0",
"2","동물용의료용구판매업","02_03_03_P","3250000","325000001320040001","20040419","","01","영업/정상","0000","정상","","","","","468-8889","0","","부산광역시 중구 대창동*가 **-*번지 (대창동*가 **-* 외 *필지)센트럴오피스텔 ***호","부산광역시 중구 중앙대로 ***, ***호 (대창동*가, 센트럴오피스텔)","48924","랜 트 론","20150714102619","I","2018-08-31 23:59:59.0","","385617.137705097","180818.494927285","동물용의료용구판매업","","000","",
"3","동물용의료용구판매업","02_03_03_P","3250000","325000001320200001","20201124","","01","영업/정상","0000","정상","","","","","051-245-4322","","","부산광역시 중구 중앙동*가 **-**","부산광역시 중구 충장대로*번길 **-* (중앙동*가)","48937","진아이텍","20201124093126","I","2020-11-26 00:23:07.0","","385738.507769195","180654.377993508","동물용의료용구판매업","","000","",
"4","동물용의료용구판매업","02_03_03_P","3260000","326000001320200001","20200425","","01","영업/정상","0000","정상","","","","","0512470442","","","부산광역시 서구 부민동*가 **-*번지 한웅캠퍼스타워","부산광역시 서구 구덕로 ***, 한웅캠퍼스타워 ***-*호 (부민동*가)","49223","폴리파크 부민점","20200427163952","I","2020-04-29 00:23:20.0","","384134.718019026","180208.336035865","동물용의료용구판매업","","000","",
"5","동물용의료용구판매업","02_03_03_P","3270000","327000001320210002","20210628","","01","영업/정상","0000","정상","","","","","051-464-9996","","","부산광역시 동구 수정동 ***-*","부산광역시 동구 고관로 ** (수정동)","48795","은해반려동물보조기","20210628095516","I","2021-06-30 00:22:54.0","","386163.51812691","182362.57757824","동물용의료용구판매업","","000","",
"6","동물용의료용구판매업","02_03_03_P","3270000","327000001320210001","20210125","","01","영업/정상","0000","정상","","","","","0512571010","","","부산광역시 동구 범일동 ***-*** 삼환오피스텔","부산광역시 동구 자성로***번길 **, 삼환오피스텔 ****호 (범일동)","48742","동일과학상사","20210125090811","I","2021-01-27 00:23:03.0","","388188.345022103","184059.516935515","동물용의료용구판매업","","000","",
"7","동물용의료용구판매업","02_03_03_P","3270000","327000001320200001","20200218","","03","폐업","0002","폐업","20220203","","","","051-522-1980","0","","부산광역시 동구 초량동 ****-* 서남빌딩","부산광역시 동구 중앙대로***번길 *, 서남빌딩 ***호 (초량동)","48729","주식회사 앨버트코리아","20220225141332","U","2022-02-27 02:40:00.0","","386480.438778908","182596.053419147","동물용의료용구판매업","","000","0",
"8","동물용의료용구판매업","02_03_03_P","3280000","328000001320220001","20220330","","01","영업/정상","0000","정상","","","","","","","","부산광역시 영도구 동삼동 ***-*","부산광역시 영도구 중리북로 **(동삼동)","49118","씨유영도중리점","20220330131829","I","2022-04-01 00:22:34.0","","388648.722826506","176674.842918487","동물용의료용구판매업","","000","0",
"9","동물용의료용구판매업","02_03_03_P","3280000","328000001320220002","20220525","","01","영업/정상","0000","정상","","","","","051-419-8000","","","부산광역시 영도구 봉래동*가 ***-* 홈플러스","부산광역시 영도구 대교로**번길 **, 홈플러스 (봉래동*가)","49004","홈플러스(주)영도점","20220525151602","I","2022-05-27 00:22:41.0","","386335.809602603","179336.483175744","동물용의료용구판매업","","000","0",
"10","동물용의료용구판매업","02_03_03_P","3290000","329000001320200001","20200325","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 연지동 *-*번지 부경빌딩","부산광역시 부산진구 성지로 **, 부경빌딩 (연지동)","47122","(주)제이케이메디칼","20200326134607","I","2020-03-28 00:23:21.0","","387131.747038663","188182.302111505","동물용의료용구판매업","","L00","",
"11","동물용의료용구판매업","02_03_03_P","3290000","329000001320130001","20130822","","01","영업/정상","0000","정상","","","","","051-892-7975","63.03","","부산광역시 부산진구 개금동 ***-*번지","부산광역시 부산진구 가야대로***번길 ** (개금동)","47265","아이디어 벳 메디칼, 한국동물 의공학 연구소","20160905161916","I","2018-08-31 23:59:59.0","","384124.045142266","185756.084255068","동물용의료용구판매업","","000","",
"12","동물용의료용구판매업","02_03_03_P","3290000","329000001320180001","20180808","","01","영업/정상","0000","정상","","","","","051-818-2389","","","부산광역시 부산진구 부전동 ***-*","부산광역시 부산진구 동천로 ** (부전동)","47296","폴리파크 서면점","20210517095444","U","2021-05-19 02:40:00.0","","387834.547204412","185819.256549441","동물용의료용구판매업","","000","",
"13","동물용의료용구판매업","02_03_03_P","3290000","329000001320210002","20210727","","01","영업/정상","0000","정상","","","","","07080640393","","","부산광역시 부산진구 범천동 ****-***","부산광역시 부산진구 신암로 *, *층 **호 (범천동)","47369","더나누다인터내셔널","20210727164853","I","2021-07-29 00:22:51.0","","387274.123524645","184575.633639399","동물용의료용구판매업","","000","0",
