"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물용의약품도매상","02_03_04_P","3290000","329000001220150001","20151102","","03","폐업","0002","폐업","20211220","","","","","0","","부산광역시 해운대구 재송동","부산광역시 부산진구 신천대로 205 (당감동)","47261","JK 애니멀 팜","20211220162425","U","2021-12-22 02:40:00.0","","386695.437688717","186479.985982311","동물용의약품도매상","","000","0",
"2","동물용의약품도매상","02_03_04_P","3300000","330000001220130001","20130807","","01","영업/정상","0000","정상","","","","","0515503000","0","","부산광역시 해운대구 우동 215-11","부산광역시 동래구 충렬대로272번길 48 (낙민동)","47878","세화약품(주)","20220427115014","U","2022-04-29 02:40:00.0","","390195.460494117","190814.368382593","동물용의약품도매상","","000","0",
"3","동물용의약품도매상","02_03_04_P","3300000","330000001220170001","20170721","","01","영업/정상","0000","정상","","","","","051-555-3373,555-9559","85.8","","부산광역시 동래구 명륜동 5-9","부산광역시 동래구 명륜로 258 (명륜동)","47744","제일가축약품","20170721105423","I","2018-08-31 23:59:59.0","","389759.538316041","192745.527793703","동물용의약품도매상","","000","",
"4","동물용의약품도매상","02_03_04_P","3300000","330000001219830001","19830502","","03","폐업","0002","폐업","20170704","","","20170704","555-3373","85.8","","부산광역시 동래구 명륜동 5-9","부산광역시 동래구 명륜로 258 (명륜동)","47744","제일가축약품","20170704182714","I","2018-08-31 23:59:59.0","","389759.538316041","192745.527793703","동물용의약품도매상","","000","",
"5","동물용의약품도매상","02_03_04_P","3310000","331000001220200001","20200522","","01","영업/정상","0000","정상","","","","","","","","부산광역시 남구 문현동 806 보람 더 하임","부산광역시 남구 전포대로 17, 104호 (문현동, 보람 더 하임)","48402","범해무역","20200522151903","I","2020-05-24 00:23:19.0","","388332.82055776","184073.407272442","동물용의약품도매상","","000","",
"6","동물용의약품도매상","02_03_04_P","3310000","331000001220030001","20030906","","03","폐업","0002","폐업","20061101","","","","624-0637","242","","부산광역시 남구 대연동 52-20","","","(주)아쿠아이천","20061101170741","I","2018-08-31 23:59:59.0","","","","동물용의약품도매상","","L00","",
"7","동물용의약품도매상","02_03_04_P","3310000","331000001220100001","20100420","","03","폐업","0002","폐업","20140321","","","","051-622-7731","0","","부산광역시 남구 용당동 542-5","부산광역시 남구 신선로 435 (용당동)","48531","휴먼팜(주)","20140321174753","I","2018-08-31 23:59:59.0","","391289.964169671","182576.898775354","동물용의약품도매상","","000","",
"8","동물용의약품도매상","02_03_04_P","3320000","332000001220020001","20020424","","01","영업/정상","0000","정상","","","","","341-1113","0","","부산광역시 북구 덕천동 388-1 대방상가 2층 201호","부산광역시 북구 만덕대로90번길 13 (덕천동)","46568","(주)부산수의약품","20111030132423","I","2018-08-31 23:59:59.0","","383443.264423517","192181.296404737","동물용의약품도매상","","L00","",
"9","동물용의약품도매상","02_03_04_P","3320000","332000001220040001","20040918","","03","폐업","0002","폐업","20050426","","","","333-6772","0","","부산광역시 북구 만덕동 대성아파트상가 107동 204호","","","아진약품","20050426113446","I","2018-08-31 23:59:59.0","","","","동물용의약품도매상","","000","",
"10","동물용의약품도매상","02_03_04_P","3350000","335000001220220001","20220128","","01","영업/정상","0000","정상","","","","","051-509-3321","","","부산광역시 금정구 구서동 184-8","부산광역시 금정구 중앙대로1929번길 9(구서동)","46230","(주)영남지오영 부산지점","20220128132122","I","2022-01-30 00:22:49.0","","390199.427979457","197213.234857726","동물용의약품도매상","","000","0",
"11","동물용의약품도매상","02_03_04_P","3350000","335000001220030001","20030328","","01","영업/정상","0000","정상","","","","","512-7701","46.28","","부산광역시 금정구 부곡동 257-6","부산광역시 금정구 무학송로 12(부곡동)","46269","대한가축약품","20211013131437","U","2021-10-15 02:40:00.0","","390414.493591813","194540.779418781","동물용의약품도매상","","000","0",
"12","동물용의약품도매상","02_03_04_P","3350000","335000001220130001","20131030","","02","휴업","0001","휴업","","20160920","","","526-2211","5705","","부산광역시 금정구 금사동 106-2","부산광역시 금정구 공단서로 15 (금사동)","46333","(주)삼원약품","20160921091815","I","2018-08-31 23:59:59.0","","392126.973318895","192782.896385985","동물용의약품도매상","","L00","",
"13","동물용의약품도매상","02_03_04_P","3350000","335000001219940001","19941028","","03","폐업","0002","폐업","20060928","","","","518-8874","96","","부산광역시 금정구 장전동 117-7","","","(주)유한양행부산영업소","20060928094941","I","2018-08-31 23:59:59.0","","389754.575544098","195441.966218756","동물용의약품도매상","","L00","",
"14","동물용의약품도매상","02_03_04_P","3350000","335000001220030002","20030328","","03","폐업","0002","폐업","20061027","","","","5159197","53","","부산광역시 금정구 청룡동 83-16","","","천일가축약품","20061027095503","I","2018-08-31 23:59:59.0","","390306.529153968","199280.033121791","동물용의약품도매상","","000","",
"15","동물용의약품도매상","02_03_04_P","3350000","335000001220030003","20030328","","03","폐업","0002","폐업","20040127","","","","508-0440","58.3","","부산광역시 금정구 청룡동 50-6","","","종합축산약품상사","20040308163905","I","2018-08-31 23:59:59.0","","389986.731942145","199156.442155375","동물용의약품도매상","","000","",
"16","동물용의약품도매상","02_03_04_P","3350000","335000001220070001","20071106","","03","폐업","0002","폐업","20100623","","","","515-4666","212.65","","부산광역시 금정구 부곡동 28-18","","","서진메디칼","20100623142613","I","2018-08-31 23:59:59.0","","","","동물용의약품도매상","","000","",
"17","동물용의약품도매상","02_03_04_P","3350000","335000001220210001","20211209","","03","폐업","0002","폐업","20220526","","","20220526","051-581-2115","","","부산광역시 금정구 구서동 445-9","부산광역시 금정구 금정로219번길 8, 1층 (구서동)","46244","(주)지비메디팜","20220526171529","U","2022-05-28 02:40:00.0","","390141.6587739","195846.482108602","동물용의약품도매상","","000","0",
"18","동물용의약품도매상","02_03_04_P","3400000","340000001220220001","20220329","","01","영업/정상","0000","정상","","","","","051-581-2115","120","","부산광역시 기장군 기장읍 청강리 141-6","부산광역시 기장군 기장읍 청강로 92","46080","(주)지비메디팜","20220329091656","I","2022-03-31 00:22:34.0","","402171.429781048","195675.337806619","동물용의약품도매상","","000","0",
"19","동물용의약품도매상","02_03_04_P","3400000","340000001219890001","19891021","","03","폐업","0002","폐업","20040720","","","","","20","","부산광역시 기장군 기장읍 동부리 155-6","","","건우약품","20040720092459","I","2018-08-31 23:59:59.0","","401677.056083841","196497.640936295","동물용의약품도매상","","000","",
"20","동물용의약품도매상","02_03_04_P","3400000","340000001219950001","19950614","","03","폐업","0002","폐업","20130424","","","","","30","","부산광역시 기장군 기장읍 대라리 74-3","부산광역시 기장군 기장읍 차성로288번길 24","46066","동광당약국","20130429110923","I","2018-08-31 23:59:59.0","","401539.397121021","195990.060213645","동물용의약품도매상","","000","",
"21","동물용의약품도매상","02_03_04_P","3400000","340000001219990001","19991231","","03","폐업","0002","폐업","20081030","","","","","20","","부산광역시 기장군 기장읍 대라리 148-9","","","기장수산동물병원","20081030185317","I","2018-08-31 23:59:59.0","","","","동물용의약품도매상","","000","",
"22","동물용의약품도매상","02_03_04_P","3400000","340000001220170001","20170417","","03","폐업","0002","폐업","20180503","","","20180503","051-723-0477","34","","부산광역시 기장군 기장읍 청강리 117-4","부산광역시 기장군 기장읍 기장대로 482-8","46080","주식회사 디에스피엘","20180503165715","I","2018-08-31 23:59:59.0","","402014.399110537","195467.88723537","동물용의약품도매상","","L00","",
