"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물생산업","02_03_06_P","3250000","325000003720190001","20190222","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","부산광역시 중구 남포동*가 *-*번지","부산광역시 중구 비프광장로 **, *층 (남포동*가)","48953","라라랜드","20190222112259","I","2022-05-27 00:00:00.0","","384915.689642462","179649.862331587","동물관련영업","전시","L00","",
"2","동물생산업","02_03_06_P","3250000","325000003720220002","20220426","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","부산광역시 중구 중앙동*가 **-* 롯데마트 지하*층","부산광역시 중구 중앙대로 *, 롯데마트 지하*층 (중앙동*가)","48944","리프패럿 롯데마트 광복점","20220426142017","I","2022-05-27 00:00:00.0","","385590.814676765","179553.867031936","동물관련영업","판매(일반)","L00","0",
"3","동물생산업","02_03_06_P","3250000","325000003720190002","20190425","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","0514064948","0","","부산광역시 중구 동광동*가 *-***번지","부산광역시 중구 중구로 ***, *층 (동광동*가)","48925","메리몰펫샵","20190425141959","I","2022-05-27 00:00:00.0","","385425.302680553","180656.08936577","동물관련영업","미용(일반)","000","",
"4","동물생산업","02_03_06_P","3250000","325000003720190003","20190624","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","07040642201","0","","부산광역시 중구 영주동 **-**번지","부산광역시 중구 초량상로*번길 *, *층 (영주동)","48910","봉구애견미용샵","20190624093035","I","2022-05-27 00:00:00.0","","385433.153588566","181201.167083012","동물관련영업","위탁관리","000","",
"5","동물생산업","02_03_06_P","3250000","325000003720190004","20190715","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","0514694947","0","","부산광역시 중구 동광동*가 *-***번지","부산광역시 중구 중구로 ***, *층 (동광동*가)","48925","메리몰펫샵","20190814160027","U","2022-05-27 00:00:00.0","","385425.302680553","180656.08936577","동물관련영업","위탁관리","000","",
"6","동물생산업","02_03_06_P","3250000","325000003720190005","20190715","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","0514694947","0","","부산광역시 중구 동광동*가 *-***","부산광역시 중구 중구로 ***, *층 (동광동*가)","48925","메리몰펫샵","20210125142849","U","2022-05-27 00:00:00.0","","385425.302680553","180656.08936577","동물관련영업","판매(일반)","000","",
"7","동물생산업","02_03_06_P","3250000","325000003720190006","20190823","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","부산광역시 중구 영주동 **-**번지","부산광역시 중구 대영로 *** (영주동)","48910","왈왈","20190823152900","I","2022-05-27 00:00:00.0","","385424.083435585","181145.082616947","동물관련영업","위탁관리","000","",
"8","동물생산업","02_03_06_P","3250000","325000003720190007","20190823","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","","0","","부산광역시 중구 영주동 **-**번지","부산광역시 중구 대영로 *** (영주동)","48910","왈왈","20190823161232","I","2022-05-27 00:00:00.0","","385424.083435585","181145.082616947","동물관련영업","미용(일반)","000","",
"9","동물생산업","02_03_06_P","3250000","325000003720190008","20191224","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","0514633009","0","","부산광역시 중구 영주동 **-**번지","부산광역시 중구 대영로 ***, *층 (영주동)","48911","도그스토리","20191224100733","I","2022-05-27 00:00:00.0","","385487.638466392","181143.144733299","동물관련영업","미용(일반)","000","",
"10","동물생산업","02_03_06_P","3250000","325000003720190009","20191224","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","0514633009","0","","부산광역시 중구 영주동 **-**번지","부산광역시 중구 대영로 ***, *층 (영주동)","48911","도그스토리","20191224101943","I","2022-05-27 00:00:00.0","","385487.638466392","181143.144733299","동물관련영업","위탁관리","000","",
"11","동물생산업","02_03_06_P","3250000","325000003720220001","20220127","","04","취소/말소/만료/정지/중지","0004","말소","20220526","","","","051-715-9977","0","","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 충장대로*번길 **-*, ***호 (중앙동*가)","48937","주식회사 버스투어여행사","20220127160753","I","2022-05-27 00:00:00.0","","385737.128797598","180747.48756571","동물관련영업","운송","L00","0",
