"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물판매업","02_03_07_P","3250000","325000004520080002","20080625","","01","영업/정상","0000","정상","","","","","245-4542","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 ** (남포동*가)","48983","한아름애견","20220428181037","I","2022-07-02 17:34:28.0","","384938.292171748","179506.001222169","동물판매업","동물판매업(일반)","000","0",
"2","동물판매업","02_03_07_P","3250000","325000004520080003","20080805","","01","영업/정상","0000","정상","","","","","248-6749","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 **-* (남포동*가)","48983","프로애견사","20220428181037","I","2022-07-02 17:34:28.0","","384995.713589011","179523.893367701","동물판매업","동물판매업(일반)","000","0",
"3","동물판매업","02_03_07_P","3250000","325000004520080004","20080805","","01","영업/정상","0000","정상","","","","","242-4588","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 ** (남포동*가)","48983","삼성애견사","20220428181037","I","2022-07-02 17:34:28.0","","384927.158660319","179502.459502527","동물판매업","동물판매업(일반)","000","0",
"4","동물판매업","02_03_07_P","3250000","325000004520120001","20120831","","01","영업/정상","0000","정상","","","","","246-2223","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 ** (남포동*가)","","광원수족관","20220428181037","I","2022-07-02 17:34:28.0","","385288.085685171","179555.477355723","동물판매업","동물판매업(일반)","000","0",
"5","동물판매업","02_03_07_P","3250000","325000004520170001","20171127","","01","영업/정상","0000","정상","","","","","0512459319","0","","부산광역시 중구 중앙동*가 *","부산광역시 중구 중앙대로 **-*, *~*층 (중앙동*가)","48957","베스트펫 강아지고양이 부산본점","20220428181037","I","2022-07-02 17:34:28.0","","385588.532247421","179987.54922489","동물판매업","동물판매업(일반)","000","0",
"6","동물판매업","02_03_07_P","3250000","325000004520180017","20181212","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 중앙동*가 **-* 롯데백화점광복점","부산광역시 중구 중앙대로 *, 롯데백화점광복점 *층 (중앙동*가)","48944","한강아쿠아 롯데마트 광복점","20220428181038","I","2022-07-02 17:34:28.0","","385590.814676765","179553.867031936","동물판매업","동물판매업(일반)","000","0",
"7","동물판매업","02_03_07_P","3250000","325000004520220002","20220426","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 중앙동*가 **-* 롯데마트 지하*층","부산광역시 중구 중앙대로 *, 롯데마트 지하*층 (중앙동*가)","48944","리프패럿 롯데마트 광복점","20220428181038","I","2022-07-02 17:34:28.0","","385590.814676765","179553.867031936","동물판매업","동물판매업(일반)","L00","0",
"8","동물판매업","02_03_07_P","3260000","326000004520080002","20080619","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 서구 토성동*가 **-**","부산광역시 서구 천마로 *** (토성동*가)","","둘리애견","20220428181032","I","2022-07-02 17:34:28.0","","384369.392694528","179340.014570796","동물판매업","동물판매업(일반)","000","0",
"9","동물판매업","02_03_07_P","3260000","326000004520080004","20080619","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 서구 토성동*가 **-*","부산광역시 서구 구덕로 ***-* (동대신동*가)","","애견매니아","20220428181032","I","2022-07-02 17:34:28.0","","384373.477308409","179352.436504691","동물판매업","동물판매업(일반)","000","0",
"10","동물판매업","02_03_07_P","3260000","326000004520080005","20080619","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 서구 토성동*가 **-*","부산광역시 서구 구덕로 ***-* (토성동*가)","","퍼피하우스","20220428181032","I","2022-07-02 17:34:28.0","","384373.477308409","179352.436504691","동물판매업","동물판매업(일반)","000","0",
"11","동물판매업","02_03_07_P","3260000","326000004520170001","20171020","","01","영업/정상","0000","정상","","","","","","0","","","부산광역시 서구 구덕로 *** (부용동*가)","49233","루이&DOGS","20220428181032","I","2022-07-02 17:34:28.0","","384102.998008512","180545.455807821","동물판매업","동물판매업(일반)","000","0",
"12","동물판매업","02_03_07_P","3260000","326000004520170002","20171020","","01","영업/정상","0000","정상","","","","","051-247-7767","0","","","부산광역시 서구 까치고개로 *** (토성동*가)","49224","몽몽이애견미용","20220428181032","I","2022-07-02 17:34:28.0","","384418.231848675","179718.968602879","동물판매업","동물판매업(일반)","000","0",
"13","동물판매업","02_03_07_P","3260000","326000004520210001","20210401","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 서구 남부민동 ***-** 충무대로봄여름가을겨울","부산광역시 서구 충무대로 ***, *층 (남부민동, 충무대로봄여름가을겨울)","49256","늘, 고운펫","20220428181034","I","2022-07-02 17:34:28.0","","384474.140831542","178767.791830507","동물판매업","동물판매업(일반)","000","0",
