"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물수입업","02_03_08_P","3290000","329000004620220009","20220405","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 양정동 ***-***","부산광역시 부산진구 양지로 **(양정동)","47230","퍼피그랑","20220428181044","I","2022-07-02 17:34:28.0","","388560.454325119","187365.123828885","동물수입업","동물수입업","000","0",
"2","동물수입업","02_03_08_P","3290000","329000004620220010","20220519","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 연지동 **-**","부산광역시 부산진구 동평로 ***, *층 (연지동)","47120","펫퍼센트","20220519112208","I","2022-07-02 17:34:28.0","","387541.285361226","187844.929844545","동물수입업","동물수입업","L00","0",
"3","동물수입업","02_03_08_P","3300000","330000004620180019","20181001","","01","영업/정상","0000","정상","","","","","907-4799","0","","부산광역시 동래구 안락동 ***-**","부산광역시 동래구 온천천로***번가길 **-*, *층 (안락동)","47900","스파리버","20220428181034","I","2022-07-02 17:34:28.0","","391364.893827493","190125.225761113","동물수입업","동물수입업","000","0",
"4","동물수입업","02_03_08_P","3310000","331000004620180021","20180903","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 남구 감만동 ***-* 감만 현대*차아파트","부산광역시 남구 우암로*번길 *, 상가 **동 ***호 (감만동, 감만 현대*차아파트)","48555","부산뱅갈하우스","20220428181028","I","2022-07-02 17:34:28.0","","389850.343685476","181186.374217423","동물수입업","동물수입업","000","0",
"5","동물수입업","02_03_08_P","3310000","331000004620200013","20201106","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 남구 대연동 ****-*","부산광역시 남구 진남로**번길 ** (대연동)","48429","츄츄독","20220428181030","I","2022-07-02 17:34:28.0","","390247.902345324","184468.379080671","동물수입업","동물수입업","000","0",
"6","동물수입업","02_03_08_P","3310000","331000004620200016","20201228","","01","영업/정상","0000","정상","","","","","051-612-4645","0","","부산광역시 남구 대연동 **-**","부산광역시 남구 용소로*번길 **, *층 (대연동)","48498","아미고펫","20220428181030","I","2022-07-02 17:34:28.0","","391187.398324698","183851.137377293","동물수입업","동물수입업","000","0",
"7","동물수입업","02_03_08_P","3330000","333000004620180038","20180828","","01","영업/정상","0000","정상","","","","","051-710-2002","0","","부산광역시 해운대구 중동 ****-*","부산광역시 해운대구 해운대해변로***번길 **, *층 (중동)","48096","펫코스(Pet-cose)","20220428181041","I","2022-07-02 17:34:28.0","","397433.66187173","187207.142025591","동물수입업","동물수입업","000","0",
"8","동물수입업","02_03_08_P","3330000","333000004620200014","20200501","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 해운대구 송정동 ***-*","부산광역시 해운대구 해운대로 ****, *층 (송정동)","48073","시바스럽","20220428181043","I","2022-07-02 17:34:28.0","","400333.736792439","189168.358950459","동물수입업","동물수입업","000","0",
"9","동물수입업","02_03_08_P","3380000","338000004620220001","20220616","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 수영구 민락동 *** e편한세상 오션테라스 *단지","부산광역시 수영구 광안해변로***번길 **, 상가동 ***호 (민락동, e편한세상 오션테라스 *단지)","48281","도그메종","20220616142903","I","2022-07-02 17:34:28.0","","","","동물수입업","동물수입업","000","0",
"10","동물수입업","02_03_08_P","3390000","339000004620200003","20200924","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사상구 감전동 ***-*","부산광역시 사상구 사상로 ***, *층 (감전동)","46982","스몰펫하우스","20220428181032","I","2022-07-02 17:34:28.0","","381241.329060606","185963.393187832","동물수입업","동물수입업","000","0",
"11","동물수입업","02_03_08_P","3290000","329000004620190011","20190930","","03","폐업","0002","폐업","20220531","","","","","0","","부산광역시 부산진구 부암동 ***-**","부산광역시 부산진구 동평로***번길 **, *층 (부암동)","47139","T-Labs(티랩스)","20220531112024","U","2022-07-02 17:34:28.0","","386096.608503502","187213.37531456","동물수입업","동물수입업","000","0",
"12","동물수입업","02_03_08_P","3300000","330000004620180028","20181008","","03","폐업","0002","폐업","20200109","","","","","0","","부산광역시 동래구 온천동 ***-** 삼일빌딩","부산광역시 동래구 금강로 *, 삼일빌딩 (온천동)","47720","With Cat","20220428181035","I","2022-07-02 17:34:28.0","","388601.999873618","192333.324757759","동물수입업","동물수입업","000","0",
"13","동물수입업","02_03_08_P","3300000","330000004620180040","20181101","","03","폐업","0002","폐업","20200109","","","","","0","","부산광역시 동래구 온천동 ***-** 삼일빌딩","부산광역시 동래구 금강로 *, 삼일빌딩 (온천동)","47720","With Cat","20220428181036","I","2022-07-02 17:34:28.0","","388601.999873618","192333.324757759","동물수입업","동물수입업","000","0",
"14","동물수입업","02_03_08_P","3330000","333000004620210002","20210115","","03","폐업","0002","폐업","20220303","","","","","0","","부산광역시 해운대구 우동 **** 현대카멜리아","부산광역시 해운대구 마린시티*로 ***, *동 ***호 (우동, 현대카멜리아)","48092","b.b pet","20220428181044","I","2022-07-02 17:34:28.0","","395812.483824917","186378.367552546","동물수입업","동물수입업","000","0",
"15","동물수입업","02_03_08_P","3400000","340000004620160007","20161124","","03","폐업","0002","폐업","20220518","","","","","0","","부산광역시 기장군 기장읍 내리 ***-*","부산광역시 기장군 기장읍 기장대로 **","46081","멕시멈켄넬","20220518102635","U","2022-07-02 17:34:28.0","","400882.654771068","191693.901898952","동물수입업","동물수입업","000","0",
