"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물전시업","02_03_09_P","3250000","325000004720180009","20180813","","01","영업/정상","0000","정상","","","","","051-253-0203","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 비프광장로 **-*, *층 (남포동*가)","48953","양이양이","20220428181037","I","2022-07-02 17:34:28.0","","384896.263260894","179616.242546962","동물전시업","동물전시업","000","0",
"2","동물전시업","02_03_09_P","3250000","325000004720180015","20181001","","01","영업/정상","0000","정상","","","","","051-335-3123","0","","부산광역시 중구 창선동*가 **-*","부산광역시 중구 광복로 **-*, *층 (창선동*가)","48953","고양이다락방","20220428181038","I","2022-07-02 17:34:28.0","","384972.940709091","179665.725434499","동물전시업","동물전시업","000","0",
"3","동물전시업","02_03_09_P","3250000","325000004720180019","20181212","","01","영업/정상","0000","정상","","","","","051-245-2956","0","","부산광역시 중구 광복동*가 **-*","부산광역시 중구 광복로 **-*, *층 (광복동*가)","48952","덕수네애견","20220428181038","I","2022-07-02 17:34:28.0","","385190.73461994","179695.148241253","동물전시업","동물전시업","000","0",
"4","동물전시업","02_03_09_P","3250000","325000004720180020","20181214","","01","영업/정상","0000","정상","","","","","051-241-0901","0","","부산광역시 중구 부평동*가 **-*","부산광역시 중구 비프광장로 *, *층 (부평동*가)","48980","남포아지트","20220428181038","I","2022-07-02 17:34:28.0","","384645.673444747","179574.211568157","동물전시업","동물전시업","000","0",
"5","동물전시업","02_03_09_P","3250000","325000004720190001","20190222","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 남포동*가 *-*","부산광역시 중구 비프광장로 **, *층 (남포동*가)","48953","라라랜드","20220428181038","I","2022-07-02 17:34:28.0","","384915.689642462","179649.862331587","동물전시업","동물전시업","L00","0",
"6","동물전시업","02_03_09_P","3290000","329000004720180015","20180816","","01","영업/정상","0000","정상","","","","","051-804-1435","0","","부산광역시 부산진구 전포동 ***-*","부산광역시 부산진구 전포대로***번길 **-* (전포동)","47294","개라모르겠다","20220428181038","I","2022-07-02 17:34:28.0","","387923.395302579","185936.772649001","동물전시업","동물전시업","000","0",
"7","동물전시업","02_03_09_P","3290000","329000004720180037","20181107","","01","영업/정상","0000","정상","","","","","051-804-2956","0","","부산광역시 부산진구 전포동 ***-* 한국네일학원","부산광역시 부산진구 동천로 **, 한국네일학원 (전포동)","47294","덕수네 애견","20220428181038","I","2022-07-02 17:34:28.0","","387877.138852403","185889.88154998","동물전시업","동물전시업","000","0",
"8","동물전시업","02_03_09_P","3290000","329000004720180041","20181218","","01","영업/정상","0000","정상","","","","","051-817-5077","0","","부산광역시 부산진구 부전동 ***-*","부산광역시 부산진구 중앙대로***번길 **, *층 (부전동)","47296","양이양이","20220428181039","I","2022-07-02 17:34:28.0","","387741.742557855","185850.095122852","동물전시업","동물전시업","000","0",
"9","동물전시업","02_03_09_P","3290000","329000004720180042","20181218","","01","영업/정상","0000","정상","","","","","051-816-0486","0","","부산광역시 부산진구 부전동 ***-**","부산광역시 부산진구 서전로 *, *층 (부전동)","47246","짧냥이네","20220428181039","I","2022-07-02 17:34:28.0","","387703.637309957","186249.367339647","동물전시업","동물전시업","000","0",
"10","동물전시업","02_03_09_P","3290000","329000004720190012","20191001","","01","영업/정상","0000","정상","","","","","051-818-0119","0","","부산광역시 부산진구 부전동 ***-* 삼정타워","부산광역시 부산진구 중앙대로 ***, 삼정타워 ***호 (부전동)","47296","대신산업설비 피터펫카페 서면점","20220428181040","I","2022-07-02 17:34:28.0","","387608.014165034","185703.079007724","동물전시업","동물전시업","L00","0",
"11","동물전시업","02_03_09_P","3290000","329000004720200009","20200507","","01","영업/정상","0000","정상","","","","","8184568","0","","부산광역시 부산진구 양정동 ***-*","부산광역시 부산진구 진남로 ***-* (양정동)","47229","애견동화","20220428181041","I","2022-07-02 17:34:28.0","","388628.143024488","187564.298720036","동물전시업","동물전시업","000","0",
"12","동물전시업","02_03_09_P","3290000","329000004720210006","20210201","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 전포동 ***-*","부산광역시 부산진구 서전로**번길 **, 지하*층 (전포동)","47247","매봉당","20220428181041","I","2022-07-02 17:34:28.0","","387994.374923584","186365.281754984","동물전시업","동물전시업","000","0",
"13","동물전시업","02_03_09_P","3300000","330000004720180039","20181031","","01","영업/정상","0000","정상","","","","","051-503-2795","0","","부산광역시 동래구 사직동 ***-**","부산광역시 동래구 여고로 ***, *층 (사직동)","47834","개톡(GAE TALK)","20220428181036","I","2022-07-02 17:34:28.0","","389007.623493439","190831.137297101","동물전시업","동물전시업","000","0",
"14","동물전시업","02_03_09_P","3300000","330000004720180046","20181226","","01","영업/정상","0000","정상","","","","","051-520-2585","0","","부산광역시 동래구 온천동 ****-*","부산광역시 동래구 여고북로**번길 **, *층 (온천동)","47838","카페미남","20220428181036","I","2022-07-02 17:34:28.0","","388347.337906067","191227.371197557","동물전시업","동물전시업","000","0",
"15","동물전시업","02_03_09_P","3300000","330000004720190007","20191115","","01","영업/정상","0000","정상","","","","","051-532-2232","0","","부산광역시 동래구 안락동 ***-**","부산광역시 동래구 온천천로 ***, *층 (안락동)","47900","아껴줄개","20220428181036","I","2022-07-02 17:34:28.0","","391534.368180117","190049.428574255","동물전시업","동물전시업","000","0",
"16","동물전시업","02_03_09_P","3310000","331000004720180048","20181212","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 남구 대연동 **-* 청호빌딩","부산광역시 남구 용소로 *, 청호빌딩 *층 (대연동)","48508","덕수네애견","20220428181029","I","2022-07-02 17:34:28.0","","391368.597551361","183998.762272171","동물전시업","동물전시업","000","0",
"17","동물전시업","02_03_09_P","3310000","331000004720200011","20200731","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 남구 용호동 *-*","부산광역시 남구 이기대공원로 **-** (용호동)","48576","댕댕월드","20220428181030","I","2022-07-02 17:34:28.0","","392989.242777383","183063.253258374","동물전시업","동물전시업","000","0",
"18","동물전시업","02_03_09_P","3320000","332000004720200007","20200622","","01","영업/정상","0000","정상","","","","","051-466-1276","0","","부산광역시 북구 구포동 ***-*","부산광역시 북구 백양대로 ****, *층 (구포동)","46576","감자랑 커피랑","20220428181035","I","2022-07-02 17:34:28.0","","382557.4853926","191837.627944733","동물전시업","동물전시업","000","0",
"19","동물전시업","02_03_09_P","3320000","332000004720200009","20200709","","01","영업/정상","0000","정상","","","","","051-710-7110","0","","부산광역시 북구 구포동 ***-*","부산광역시 북구 백양대로 ****, *층 (구포동)","46582","피터펫 애견카페 부산북구점","20220428181035","I","2022-07-02 17:34:28.0","","382452.052389153","191511.736216753","동물전시업","동물전시업","000","0",
"20","동물전시업","02_03_09_P","3330000","333000004720180078","20181226","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 해운대구 송정동 ***-**","부산광역시 해운대구 송정광어골로 **, 안나수빌딩 *층 (송정동)","48073","하오쿠","20220428181042","I","2022-07-02 17:34:28.0","","399994.475652252","188327.510601244","동물전시업","동물전시업","000","0",
"21","동물전시업","02_03_09_P","3330000","333000004720180079","20181226","","01","영업/정상","0000","정상","","","","","051-747-6908","0","","부산광역시 해운대구 좌동 ****-* 화창프라자 ***호","부산광역시 해운대구 세실로**번길 *, 화창프라자 ***호 (좌동)","48106","테리몽하우스","20220428181042","I","2022-07-02 17:34:28.0","","398209.525948624","187911.687753972","동물전시업","동물전시업","000","0",
"22","동물전시업","02_03_09_P","3330000","333000004720180084","20181227","","01","영업/정상","0000","정상","","","","","051-702-6754","0","","부산광역시 해운대구 좌동 *** 르비앙안경점","부산광역시 해운대구 대천로 **, *층 (좌동)","48082","슈슈퍼피","20220428181042","I","2022-07-02 17:34:28.0","","397832.618620356","188232.236228956","동물전시업","동물전시업","000","0",
"23","동물전시업","02_03_09_P","3330000","333000004720200047","20201224","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 해운대구 중동 ****-* 영무 파라드 호텔","부산광역시 해운대구 해운대해변로***번길 **, 영무 파라드 호텔 (중동)","48099","영무 파라드 호텔","20220520133749","U","2022-07-02 17:34:28.0","","397334.933024101","186789.909588542","동물전시업","동물전시업","L00","0",
"24","동물전시업","02_03_09_P","3340000","334000004720180021","20180910","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사하구 다대동 ****-**","부산광역시 사하구 다대로 ***, *층 (다대동)","49506","도그어바웃","20220428181037","I","2022-07-02 17:34:28.0","","379384.847873516","173895.655729558","동물전시업","동물전시업","000","0",
"25","동물전시업","02_03_09_P","3340000","334000004720180037","20201223","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사하구 감천동 ***-* 감천현대아파트","부산광역시 사하구 감천로 **, *층 (감천동, 감천현대아파트)","49446","부산애견팡팡","20220428181038","I","2022-07-02 17:34:28.0","","381998.735749086","178655.837356249","동물전시업","동물전시업","000","0",
"26","동물전시업","02_03_09_P","3340000","334000004720180047","20190517","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사하구 다대동 ***","부산광역시 사하구 다대로 ***-*, *층 (다대동)","49524","씨티독","20220428181038","I","2022-07-02 17:34:28.0","","379750.761867226","174822.951508413","동물전시업","동물전시업","000","0",
"27","동물전시업","02_03_09_P","3340000","334000004720190004","20190417","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사하구 당리동 ***-**","부산광역시 사하구 낙동대로 ***, *층 (당리동)","49326","맨앤독 애견카페","20220428181038","I","2022-07-02 17:34:28.0","","379643.657334129","180179.72453622","동물전시업","동물전시업","000","0",
"28","동물전시업","02_03_09_P","3340000","334000004720200001","20200116","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사하구 괴정동 ***-*","부산광역시 사하구 사하로 ***, IDS아델하임 ***,***호 (괴정동)","49358","너와 함께 반려견 카페","20220428181039","I","2022-07-02 17:34:28.0","","381790.208722448","179478.429292997","동물전시업","동물전시업","000","0",
"29","동물전시업","02_03_09_P","3340000","334000004720200004","20200420","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사하구 다대동 **** 에스엔씨빌딩 ***호","부산광역시 사하구 다송로**번길 **, 에스엔씨빌딩 *층 ***호 (다대동)","49521","하이댕댕","20220428181039","I","2022-07-02 17:34:28.0","","380540.836768886","175274.144961403","동물전시업","동물전시업","000","0",
"30","동물전시업","02_03_09_P","3350000","335000004720180052","20181102","","01","영업/정상","0000","정상","","","","","051-903-0200","0","","부산광역시 금정구 장전동 ***-**","부산광역시 금정구 금정로**번길 **-* (장전동)","46291","양이양이","20220428181028","I","2022-07-02 17:34:28.0","","390047.157890066","194363.184513625","동물전시업","동물전시업","000","0",
"31","동물전시업","02_03_09_P","3350000","335000004720180059","20181218","","01","영업/정상","0000","정상","","","","","051-728-3012","0","","부산광역시 금정구 부곡동 ***-**","부산광역시 금정구 오시게로 **, *층 (부곡동)","46306","모어스테이","20220428181028","I","2022-07-02 17:34:28.0","","389997.09281308","193342.909199041","동물전시업","동물전시업","000","0",
"32","동물전시업","02_03_09_P","3350000","335000004720190002","20190117","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 금정구 구서동 ***-**","부산광역시 금정구 금강로 ***, *층 (구서동)","46228","애견훈련소 보담","20220428181028","I","2022-07-02 17:34:28.0","","389905.916212995","197419.826391808","동물전시업","동물전시업","000","0",
"33","동물전시업","02_03_09_P","3350000","335000004720200001","20200205","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 금정구 장전동 ***-***","부산광역시 금정구 금정로**번길 **, *층 (장전동)","46291","고양이카페 랙돌","20220428181028","I","2022-07-02 17:34:28.0","","390012.040961868","194264.543421566","동물전시업","동물전시업","000","0",
"34","동물전시업","02_03_09_P","3360000","336000004720190009","20190719","","01","영업/정상","0000","정상","","","","","054-710-1666","0","","부산광역시 강서구 명지동 ****-*","부산광역시 강서구 명지국제*로**번길 **, *층 (명지동)","46726","히어로키즈파크 명지지점","20220428181028","I","2022-07-02 17:34:28.0","","373329.16312947","178858.448820953","동물전시업","동물전시업","L00","0",
"35","동물전시업","02_03_09_P","3360000","336000004720210003","20210209","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 강서구 천성동 ***","부산광역시 강서구 가덕해안로 *** (천성동)","46770","피터펫카페 가덕도점","20220428181030","I","2022-07-02 17:34:28.0","","365516.723543485","171651.683726624","동물전시업","동물전시업","L00","0",
"36","동물전시업","02_03_09_P","3380000","338000004720190002","20190111","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 수영구 민락동 ***-* 광안샤인빌딩","부산광역시 수영구 광안해변로 ***, 광안샤인빌딩 *층 (민락동)","48284","도그민","20220428181011","I","2022-07-02 17:34:28.0","","393118.048929389","186015.316200657","동물전시업","동물전시업","000","0",
"37","동물전시업","02_03_09_P","3390000","339000004720190007","20191127","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 사상구 괘법동 ***-** ***호","부산광역시 사상구 사상로 ***-*, ***호 (괘법동)","46968","우리집 첫째","20220428181032","I","2022-07-02 17:34:28.0","","380727.833838306","186745.153454365","동물전시업","동물전시업","000","0",
"38","동물전시업","02_03_09_P","3400000","340000004720180011","20180426","","01","영업/정상","0000","정상","","","","","051-508-7535","0","","부산광역시 기장군 철마면 임기리 *** 낙원농원","부산광역시 기장군 철마면 백운산길 **, 낙원농원","46002","낙원농원","20220428181029","I","2022-07-02 17:34:28.0","","393290.878925419","206187.736109314","동물전시업","동물전시업","000","0",
"39","동물전시업","02_03_09_P","3400000","340000004720180021","20180621","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 기장군 정관읍 매학리 ***-* B동 ***,***호","부산광역시 기장군 정관읍 구연*로 **, B동 ***,***호","46023","디오지","20220428181030","I","2022-07-02 17:34:28.0","","398314.554575032","204635.968428484","동물전시업","동물전시업","000","0",
"40","동물전시업","02_03_09_P","3400000","340000004720180027","20180712","","01","영업/정상","0000","정상","","","","","051-727-8256","0","","부산광역시 기장군 장안읍 기룡리 ***-*","부산광역시 기장군 장안읍 고무로 *","46031","개들랜드","20220428181031","I","2022-07-02 17:34:28.0","","405110.370117145","207739.703631644","동물전시업","동물전시업","L00","0",
"41","동물전시업","02_03_09_P","3400000","340000004720190021","20191014","","01","영업/정상","0000","정상","","","","","051-727-3342","0","","부산광역시 기장군 기장읍 내리 ***-*","부산광역시 기장군 기장읍 내리*길 **","46076","피터펫카페","20220428181036","I","2022-07-02 17:34:28.0","","400868.276569932","192167.445792514","동물전시업","동물전시업","000","0",
"42","동물전시업","02_03_09_P","3400000","340000004720200001","20200324","","01","영업/정상","0000","정상","","","","","0517271525","0","","부산광역시 기장군 정관읍 모전리 *** 제*, *동","부산광역시 기장군 정관읍 병산로 *, 제*, *동","46008","어라운드1142","20220518102105","U","2022-07-02 17:34:28.0","","397240.398398374","206113.876185521","동물전시업","동물전시업","L00","0",
"43","동물전시업","02_03_09_P","3400000","340000004720200004","20200422","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 기장군 정관읍 매학리 ***-* *층","부산광역시 기장군 정관읍 정관중앙로 **, *층","46015","히어로키즈파크 부산정관지점","20220428181036","I","2022-07-02 17:34:28.0","","398024.244821605","204621.655738547","동물전시업","동물전시업","L00","0",
"44","동물전시업","02_03_09_P","3250000","325000004720180005","20180524","","03","폐업","0002","폐업","20200527","","","","051-246-8400","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 ** (남포동*가)","48954","㈜핫독부산지사위드쥬(with-zoo)","20220428181037","I","2022-07-02 17:34:28.0","","385298.796643656","179546.451927988","동물전시업","동물전시업","L00","0",
"45","동물전시업","02_03_09_P","3270000","327000004720190003","20191203","","03","폐업","0002","폐업","20200623","","","","051-466-1276","0","","부산광역시 동구 수정동 *-**","부산광역시 동구 중앙대로 ***, *층 (수정동)","48788","감자랑커피랑","20220428181029","I","2022-07-02 17:34:28.0","","386679.261221943","183039.266933201","동물전시업","동물전시업","000","0",
"46","동물전시업","02_03_09_P","3290000","329000004720160007","20161115","","03","폐업","0002","폐업","20200902","","","","","0","","","부산광역시 부산진구 중앙대로 *** (양정동)","47215","작은 동물원","20220428181035","I","2022-07-02 17:34:28.0","","388235","187451","동물전시업","동물전시업","000","0",
