"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물위탁관리업","02_03_10_P","3250000","325000004820170001","20171127","","01","영업/정상","0000","정상","","","","","0512459319","0","","부산광역시 중구 중앙동*가 *","부산광역시 중구 중앙대로 **-*, *~*층 (중앙동*가)","48957","베스트펫 강아지고양이 부산본점","20220428181037","I","2022-07-02 17:34:28.0","","385588.532247421","179987.54922489","동물위탁관리업","동물위탁관리업","000","0",
"2","동물위탁관리업","02_03_10_P","3250000","325000004820180004","20180524","","01","영업/정상","0000","정상","","","","","051-246-7551","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 **-* (남포동*가)","48954","피닉스애견미용","20220428181037","I","2022-07-02 17:34:28.0","","385264.539023624","179559.218819161","동물위탁관리업","동물위탁관리업","000","0",
"3","동물위탁관리업","02_03_10_P","3250000","325000004820180012","20180928","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 영주동 *-*** 동남파크상가 *호","부산광역시 중구 망양로 ***, *호 (영주동, 동남파크)","48900","샤랄라점빵","20220428181038","I","2022-07-02 17:34:28.0","","385254.506400777","181485.249546144","동물위탁관리업","동물위탁관리업","000","0",
"4","동물위탁관리업","02_03_10_P","3250000","325000004820180018","20181212","","01","영업/정상","0000","정상","","","","","051-245-2956","0","","부산광역시 중구 광복동*가 **-*","부산광역시 중구 광복로 **-*, *층 (광복동*가)","48952","덕수네애견","20220428181038","I","2022-07-02 17:34:28.0","","385190.73461994","179695.148241253","동물위탁관리업","동물위탁관리업","000","0",
"5","동물위탁관리업","02_03_10_P","3250000","325000004820180021","20181214","","01","영업/정상","0000","정상","","","","","051-241-0901","0","","부산광역시 중구 부평동*가 **-*","부산광역시 중구 비프광장로 *, *층 (부평동*가)","48980","남포아지트","20220428181038","I","2022-07-02 17:34:28.0","","384645.673444747","179574.211568157","동물위탁관리업","동물위탁관리업","000","0",
"6","동물위탁관리업","02_03_10_P","3250000","325000004820190003","20190624","","01","영업/정상","0000","정상","","","","","07040642201","0","","부산광역시 중구 영주동 **-**","부산광역시 중구 초량상로*번길 *, *층 (영주동)","48910","봉구애견미용샵","20220428181038","I","2022-07-02 17:34:28.0","","385433.153588566","181201.167083012","동물위탁관리업","동물위탁관리업","000","0",
"7","동물위탁관리업","02_03_10_P","3250000","325000004820190004","20190715","","01","영업/정상","0000","정상","","","","","0514694947","0","","부산광역시 중구 동광동*가 *-***","부산광역시 중구 중구로 ***, *층 (동광동*가)","48925","메리몰펫샵","20220428181038","I","2022-07-02 17:34:28.0","","385425.302680553","180656.08936577","동물위탁관리업","동물위탁관리업","000","0",
"8","동물위탁관리업","02_03_10_P","3250000","325000004820190006","20190823","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 영주동 **-**","부산광역시 중구 대영로 *** (영주동)","48910","왈왈","20220428181038","I","2022-07-02 17:34:28.0","","385424.083435585","181145.082616947","동물위탁관리업","동물위탁관리업","000","0",
"9","동물위탁관리업","02_03_10_P","3250000","325000004820190009","20191224","","01","영업/정상","0000","정상","","","","","0514633009","0","","부산광역시 중구 영주동 **-**","부산광역시 중구 대영로 ***, *층 (영주동)","48911","도그스토리","20220428181038","I","2022-07-02 17:34:28.0","","385487.638466392","181143.144733299","동물위탁관리업","동물위탁관리업","000","0",
"10","동물위탁관리업","02_03_10_P","3250000","325000004820200001","20201022","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 중앙동*가 **-* 롯데백화점광복점","부산광역시 중구 중앙대로 *, 롯데백화점광복점 **층 (중앙동*가)","48944","디어반","20220428181038","I","2022-07-02 17:34:28.0","","385590.814676765","179553.867031936","동물위탁관리업","동물위탁관리업","L00","0",
