"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물미용업","02_03_11_P","3250000","325000004920170001","20171127","","01","영업/정상","0000","정상","","","","","0512459319","0","","부산광역시 중구 중앙동*가 *","부산광역시 중구 중앙대로 **-*, *~*층 (중앙동*가)","48957","베스트펫 강아지고양이 부산본점","20220428181037","I","2022-07-02 17:34:28.0","","385588.532247421","179987.54922489","동물미용업","동물미용업(일반)","000","0",
"2","동물미용업","02_03_11_P","3250000","325000004920180002","20180518","","01","영업/정상","0000","정상","","","","","0512413885","0","","부산광역시 중구 부평동*가 ** 부평맨션","부산광역시 중구 흑교로 **, 가동 *호 (부평동*가, 부평맨션)","48977","퓨펜애견","20220428181037","I","2022-07-02 17:34:28.0","","384621.820885404","180029.395795349","동물미용업","동물미용업(일반)","000","0",
"3","동물미용업","02_03_11_P","3250000","325000004920180003","20180518","","01","영업/정상","0000","정상","","","","","0512442049","0","","부산광역시 중구 부평동*가 **-**","부산광역시 중구 흑교로 ** (부평동*가)","48977","부평애견사","20220428181037","I","2022-07-02 17:34:28.0","","384596.796473458","179839.883526548","동물미용업","동물미용업(일반)","000","0",
"4","동물미용업","02_03_11_P","3250000","325000004920180004","20180524","","01","영업/정상","0000","정상","","","","","051-246-7551","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 **-* (남포동*가)","48954","피닉스애견미용","20220428181037","I","2022-07-02 17:34:28.0","","385264.539023624","179559.218819161","동물미용업","동물미용업(일반)","000","0",
"5","동물미용업","02_03_11_P","3250000","325000004920180007","20180601","","01","영업/정상","0000","정상","","","","","051-254-6826","0","","부산광역시 중구 보수동*가 **-*","부산광역시 중구 흑교로**번길 * (보수동*가)","48963","애견동화","20220428181037","I","2022-07-02 17:34:28.0","","384523.402967985","180209.685937458","동물미용업","동물미용업(일반)","000","0",
"6","동물미용업","02_03_11_P","3250000","325000004920180010","20180831","","01","영업/정상","0000","정상","","","","","070-4064-2201","0","","부산광역시 중구 영주동 **-**","부산광역시 중구 초량상로*번길 *, *층 (영주동)","48910","봉구애견미용샵","20220428181037","I","2022-07-02 17:34:28.0","","385433.153588566","181201.167083012","동물미용업","동물미용업(일반)","000","0",
"7","동물미용업","02_03_11_P","3250000","325000004920180013","20180928","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 영주동 *-*** 동남파크상가 *호","부산광역시 중구 망양로 ***, *호 (영주동, 동남파크)","48900","샤랄라점빵","20220428181038","I","2022-07-02 17:34:28.0","","385254.506400777","181485.249546144","동물미용업","동물미용업(일반)","000","0",
"8","동물미용업","02_03_11_P","3250000","325000004920180016","20181107","","01","영업/정상","0000","정상","","","","","051-241-0103","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 구덕로 **, *층 (남포동*가)","48983","희망종합동물병원","20220428181038","I","2022-07-02 17:34:28.0","","385046.215020992","179539.723961796","동물미용업","동물미용업(일반)","000","0",
"9","동물미용업","02_03_11_P","3250000","325000004920190002","20190425","","01","영업/정상","0000","정상","","","","","0514064948","0","","부산광역시 중구 동광동*가 *-***","부산광역시 중구 중구로 ***, *층 (동광동*가)","48925","메리몰펫샵","20220428181038","I","2022-07-02 17:34:28.0","","385425.302680553","180656.08936577","동물미용업","동물미용업(일반)","000","0",
"10","동물미용업","02_03_11_P","3250000","325000004920190007","20190823","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 영주동 **-**","부산광역시 중구 대영로 *** (영주동)","48910","왈왈","20220428181038","I","2022-07-02 17:34:28.0","","385424.083435585","181145.082616947","동물미용업","동물미용업(일반)","000","0",
