"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물운송업","02_03_12_P","3250000","325000005020200002","20201113","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 중구 남포동*가 **-*","부산광역시 중구 자갈치로**번길 *-*, *층 (남포동*가)","48983","시나몬","20220428181038","I","2022-07-02 17:34:28.0","","384992.510992952","179515.755430735","동물운송업","동물운송업","000","0",
"2","동물운송업","02_03_12_P","3250000","325000005020220001","20220127","","01","영업/정상","0000","정상","","","","","051-715-9977","0","","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 충장대로*번길 **-*, ***호 (중앙동*가)","48937","주식회사 버스투어여행사","20220428181038","I","2022-07-02 17:34:28.0","","385737.128797598","180747.48756571","동물운송업","동물운송업","L00","0",
"3","동물운송업","02_03_12_P","3260000","326000005020190001","20190220","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 서구 남부민동 ***-**","부산광역시 서구 천마로 ** (남부민동)","49256","뚱보네펫택시","20220428181033","I","2022-07-02 17:34:28.0","","384261.111322305","178029.484410309","동물운송업","동물운송업","000","0",
"4","동물운송업","02_03_12_P","3280000","328000005020190002","20190720","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 영도구 봉래동*가 ***-*","부산광역시 영도구 동백꽃길 *** (봉래동*가)","49063","펫미업","20220428181100","I","2022-07-02 17:34:28.0","","386850.566891283","178868.496012037","동물운송업","동물운송업","000","0",
"5","동물운송업","02_03_12_P","3290000","329000005020180006","20180503","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 부전동 ***-**","부산광역시 부산진구 신천대로 ***, *층 (부전동)","47278","486","20220428181037","I","2022-07-02 17:34:28.0","","386780.1222686","186063.151090585","동물운송업","동물운송업","000","0",
"6","동물운송업","02_03_12_P","3290000","329000005020180039","20181122","","01","영업/정상","0000","정상","","","","","1600-9432","0","","부산광역시 부산진구 부전동 ***-* 서면베르빌","부산광역시 부산진구 부전로 **, 서면베르빌 ****호 (부전동)","47284","애견펫택시 펫밴","20220428181039","I","2022-07-02 17:34:28.0","","387219.144332511","185793.454774444","동물운송업","동물운송업","000","0",
"7","동물운송업","02_03_12_P","3290000","329000005020210001","20210104","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 당감동 *** 국제백양아파트","부산광역시 부산진구 백양관문로 ***, *동 ****호 (당감동, 국제백양아파트)","47157","486펫콜","20220428181041","I","2022-07-02 17:34:28.0","","384741.923372529","187364.899359566","동물운송업","동물운송업","000","0",
"8","동물운송업","02_03_12_P","3290000","329000005020220002","20220216","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 부전동 ***-**","부산광역시 부산진구 신천대로 ***, *층 (부전동)","47278","486펫콜 본점","20220428181043","I","2022-07-02 17:34:28.0","","386780.1222686","186063.151090585","동물운송업","동물운송업","000","0",
"9","동물운송업","02_03_12_P","3290000","329000005020220003","20220519","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 부산진구 연지동 **-**","부산광역시 부산진구 동평로 ***, *층 (연지동)","47120","펫퍼센트","20220519112735","I","2022-07-02 17:34:28.0","","387541.285361226","187844.929844545","동물운송업","동물운송업","L00","0",
"10","동물운송업","02_03_12_P","3300000","330000005020180036","20181022","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 남구 문현동 ***-*","부산광역시 남구 자유평화로**번길 ** (문현동)","48402","개폼","20220428181036","I","2022-07-02 17:34:28.0","","388231.403775741","184566.083017804","동물운송업","동물운송업","000","0",
