"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총종업원수","주사육업종",
"1","가축사육업","02_04_01_P","3400000","340000003320140001","20140418","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","","619906","부산광역시 기장군 기장읍 청강리 ***번지","","","이진건농장","20171208131701","I","2018-08-31 23:59:59.0","","402302.331550158","194956.105342444","가축사육업","","126","000","","한우",
"2","가축사육업","02_04_01_P","3350000","335000003320080009","20080624","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","609420","부산광역시 금정구 금성동 ***번지","부산광역시 금정구 죽전*길 **-** (금성동)","","한영자","20140529092130","I","2018-08-31 23:59:59.0","","387237.895271799","196974.265923632","가축사육업","","10","000","","젖소",
"3","가축사육업","02_04_01_P","3350000","335000003320080010","20080624","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","609420","부산광역시 금정구 금성동 ***-*번지","부산광역시 금정구 산성로 *** (금성동)","","정길목장","20140529092157","I","2018-08-31 23:59:59.0","","386644.745984056","196641.948937039","가축사육업","","11","000","","젖소",
"4","가축사육업","02_04_01_P","3350000","335000003320080012","20080624","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","609420","부산광역시 금정구 금성동 ***번지","","","김진자","20140529092056","I","2018-08-31 23:59:59.0","","387069.397549126","196873.506874059","가축사육업","","13","000","","젖소",
"5","가축사육업","02_04_01_P","3350000","335000003320050001","20051013","","04","취소/말소/만료/정지/중지","0004","말소","","","","","582-8128","0","609311","부산광역시 금정구 구서동 **-*번지","","","금단농장","20140526181222","I","2018-08-31 23:59:59.0","","","","가축사육업","","1","000","","돼지",
"6","가축사육업","02_04_01_P","3350000","335000003320080001","20080624","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","609420","부산광역시 금정구 금성동 ***번지","","","금성농장","20140529091230","I","2018-08-31 23:59:59.0","","386966.691668604","195680.228306193","가축사육업","","2","000","","한우",
"7","가축사육업","02_04_01_P","3400000","340000003320130013","20130227","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","","619912","부산광역시 기장군 일광면 삼성리 ***번지","","","한일농장","20180131194000","I","2018-08-31 23:59:59.0","","401962.94712182","198750.86750694","가축사육업","","98","000","","육계",
"8","가축사육업","02_04_01_P","3400000","340000003320080007","20080703","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","619903","부산광역시 기장군 기장읍 대라리 산 **번지","부산광역시 기장군 기장읍 안평로**번가길 ***-**","","강대진농장","20150625093627","I","2018-08-31 23:59:59.0","","399290.304973877","194753.889038731","가축사육업","","68","000","","한우",
"9","가축사육업","02_04_01_P","3330000","333000003320140008","20140618","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","","612030","","부산광역시 해운대구 장산로 ***-*** (우동)","612823","백운산장","20220303145127","U","2022-03-05 02:40:00.0","","397536.615621175","190880.474291132","가축사육업","","13","000","0","오리",
"10","가축사육업","02_04_01_P","3400000","340000003320050009","20050524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","11-870-4917","0","619912","부산광역시 기장군 일광면 삼성리 *-*번지","","","삼성농장","20180131193915","I","2018-08-31 23:59:59.0","","403066.822892734","198663.923015564","가축사육업","","9","000","","한우",
"11","가축사육업","02_04_01_P","3400000","340000003320050010","20050524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","619913","부산광역시 기장군 일광면 원리 **-*번지","","","원리농장","20070828100955","I","2018-08-31 23:59:59.0","","","","가축사육업","","10","000","","한우",
"12","가축사육업","02_04_01_P","3400000","340000003320050012","20050524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","727-1182","0","619913","부산광역시 기장군 일광면 원리 **-*번지","부산광역시 기장군 일광면 기장대로 ****","","원리농장","20070828101038","I","2018-08-31 23:59:59.0","","403481.57707848","202486.550443392","가축사육업","","12","000","","한우",
"13","가축사육업","02_04_01_P","3400000","340000003320050019","20050524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","619902","부산광역시 기장군 기장읍 내리 ***번지","부산광역시 기장군 기장읍 내리길 ***","","내리양어장","20070828102019","I","2018-08-31 23:59:59.0","","399565.504852065","193057.27672369","가축사육업","","19","000","","한우",
"14","가축사육업","02_04_01_P","3400000","340000003320050020","20050524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","728-3687","0","619961","부산광역시 기장군 정관면 예림리 ****-**번지","부산광역시 기장군 정관면 예림*길 **-*","","부금축산","20130408180021","I","2018-08-31 23:59:59.0","","400532.31210500000","205037.86516800000","가축사육업","","20","000","","돼지",
"15","가축사육업","02_04_01_P","3400000","340000003320050021","20050524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","722-3338","0","619906","부산광역시 기장군 일광면 용천리 산 ***-*번지","","","기장목장","20070828102046","I","2018-08-31 23:59:59.0","","399170.594475502","201146.846142692","가축사육업","","21","000","","한우",
"16","가축사육업","02_04_01_P","3400000","340000003320050022","20050524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","728-3979","0","619961","부산광역시 기장군 정관면 달산리 ***-**번지","부산광역시 기장군 정관면 산단*로 **-**","","달산농장","20140915182127","I","2018-08-31 23:59:59.0","","398128.22954000000","204066.15231200000","가축사육업","","22","000","","돼지",
"17","가축사육업","02_04_01_P","3330000","333000003320050002","20051010","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","612070","부산광역시 해운대구 석대동 산 **-*","부산광역시 해운대구 반송로***번길 ** (석대동)","48001","동일농장","20220303144901","U","2022-03-05 02:40:00.0","","395087.272068723","193560.618164728","가축사육업","","2","000","0","돼지",
"18","가축사육업","02_04_01_P","3330000","333000003320140002","20140618","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","","612020","","부산광역시 해운대구 우동*로 *** (우동)","48085","김영숙 농원","20220303144953","U","2022-03-05 02:40:00.0","","396174.347915583","187846.827852891","가축사육업","","7","000","0","육계",
"19","가축사육업","02_04_01_P","3330000","333000003320140003","20140618","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","","612701","","부산광역시 해운대구 장산로 ***-*** (좌동)","48066","안동쉼터","20220303145021","U","2022-03-05 02:40:00.0","","396574.597240281","191654.476173722","가축사육업","","8","000","0","육계",
