"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총종업원수",
"1","사료제조업","02_04_05_P","6260000","626000050220190003","20190122","","01","영업/정상","0000","정상","","","","","0517275285","0","","부산광역시 기장군 정관읍 매학리 531번지 44호","부산광역시 기장군 정관읍 정관상곡1길 95","","(주)아우성","20200120155708","U","2020-01-22 02:40:00.0","사료제조업(단미)","396681.46876700000","204691.11962900000","사료제조업","","","000","",
"2","사료제조업","02_04_05_P","6260000","626000050220120015","20120704","","01","영업/정상","0000","정상","","","","","07075383160","","","","부산광역시 기장군 일광면 삼성1길 6-5, 1층 (일광빌딩)","","올바른","20190129091352","I","2019-01-31 02:21:05.0","사료제조업(수입)","403214.134727013","198394.372834953","사료제조업","","","000","",
"3","사료제조업","02_04_05_P","6260000","626000050220160018","20160616","","01","영업/정상","0000","정상","","","","","0512668082","0","","부산광역시 기장군 정관읍 달산리 44번지 5호","부산광역시 기장군 정관읍 산단5로 100-61","","(주)바우와우코리아","20211206151703","U","2021-12-08 02:40:00.0","사료제조업(단미)","400326.980982557","204198.985964233","사료제조업","","0","000","0",
"4","사료제조업","02_04_05_P","6260000","626000050220160019","20160616","","01","영업/정상","0000","정상","","","","","0512668082","0","","부산광역시 기장군 정관읍 달산리 44번지 5호","부산광역시 기장군 정관읍 산단5로 100-61","","(주)바우와우코리아","20211206151715","U","2021-12-08 02:40:00.0","사료제조업(배합)","400326.980982557","204198.985964233","사료제조업","","0","000","0",
"5","사료제조업","02_04_05_P","6260000","626000050220170026","20170801","","01","영업/정상","0000","정상","","","","","0513624860","0","","부산광역시 동래구 온천동  1435번지 27호 삼소헌빌딩","부산광역시 동래구 중앙대로1333번길 12, 1층 (온천동,삼소헌빌딩)","","엔젤인펫츠","20190111100640","I","2019-01-13 02:20:47.0","사료제조업(배합)","389037.93988672","191640.809701726","사료제조업","","","000","",
"6","사료제조업","02_04_05_P","6260000","626000050220170027","20170801","","01","영업/정상","0000","정상","","","","","0513624860","0","","부산광역시 동래구 온천동  1435번지 27호","부산광역시 동래구 중앙대로1333번길 12, 1층 (온천동)","","엔젤인펫츠","20190111100756","I","2019-01-13 02:20:47.0","사료제조업(단미)","389037.93988672","191640.809701726","사료제조업","","","000","",
"7","사료제조업","02_04_05_P","6260000","626000050220060005","20060703","","01","영업/정상","0000","정상","","","","","0512530666","0","","부산광역시 중구 남포동6가  113번지 1호 하버타워 6층","부산광역시 중구 구덕로 87-1 (남포동6가,하버타워 6층)","","정일산업(주) 세인 리더호","20201216101712","U","2020-12-18 02:40:00.0","사료제조업(단미)","384708.848957593","179404.943227079","사료제조업","","","000","",
"8","사료제조업","02_04_05_P","6260000","626000050220100015","20101101","","01","영업/정상","0000","정상","","","","","","0","","","부산광역시 중구 구덕로 87-1, 6층 (남포동6가,하버타워)","","정일산업(주) 세인 챔피언호","20201216101533","U","2020-12-18 02:40:00.0","사료제조업(단미)","384708.848957593","179404.943227079","사료제조업","","","000","",
"9","사료제조업","02_04_05_P","6260000","626000050220150004","20150126","","01","영업/정상","0000","정상","","","","","","","","부산광역시 금정구 금사동  75번지 76호","부산광역시 금정구 공단로 68-3 (금사동)","","주식회사 리프패럿","20200407093909","U","2020-04-09 02:40:00.0","사료제조업(수입)","","","사료제조업","","","L00","",
"10","사료제조업","02_04_05_P","6260000","626000050220160011","20160502","","01","영업/정상","0000","정상","","","","","","","","부산광역시 금정구 금사동  75번지 76호","부산광역시 금정구 공단로 68-3 (금사동)","","주식회사 리프패럿","20200407093758","U","2020-04-09 02:40:00.0","사료제조업(수입)","","","사료제조업","","","L00","",
"11","사료제조업","02_04_05_P","6260000","626000050220160022","20160626","","01","영업/정상","0000","정상","","","","","","","","부산광역시 금정구 금사동  75번지 76호","부산광역시 금정구 공단로 68-3 (금사동)","","주식회사 리프패럿","20200908085811","U","2020-09-10 02:40:00.0","사료제조업(수입)","","","사료제조업","","","L00","",
"12","사료제조업","02_04_05_P","6260000","626000050220190007","20190215","","01","영업/정상","0000","정상","","","","","","","","부산광역시 부산진구 가야동  588번지 0호 가야반도보라빌 상가2동 지하102호","부산광역시 부산진구 가야공원로 41, 상가2동 지하층 102호 (가야동, 가야반도보라빌)","","반했다 너한테","20190215143932","I","2019-02-17 02:21:23.0","사료제조업(단미)","385036.984735411","185337.787983836","사료제조업","","","000","",
"13","사료제조업","02_04_05_P","6260000","626000050220140017","20141014","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 남구 대연동  55번지 1호 센츄리시티오피스텔 1030호","부산광역시 남구 수영로 312-0, 10층 1030호 (대연동,센츄리시티오피스텔)","","(주)한새교역","20190211100928","I","2019-02-13 02:21:19.0","사료제조업(수입)","391411.212179843","184052.409245407","사료제조업","","","000","",
