"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","게임물배급업","03_05_01_P","3250000","CDFF2241122008000001","20080716","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동*가 **-*번지 골든시티오피스텔 ***호","부산광역시 중구 보수대로 ** (부평동*가, 골든시티오피스텔 ***호)","48973","성진 AGS","20111102171035","I","2018-08-31 23:59:59.0","","384249.201710589","180080.172971726","게임물배급업","유통관련업","17","기타","아케이드 게임물","39.1","14","3","기타","","","","","","","","","","","","","","","","","","","","","","",
"2","게임물배급업","03_05_01_P","3250000","CDFF2241122017000001","20170817","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동*가 **-*번지","부산광역시 중구 대청로 **-*, *층 (부평동*가)","48973","삼봉전자","20170817173333","I","2018-08-31 23:59:59.0","","384320.536337935","180094.434135283","게임물배급업","유통관련업","","","게임물","44.77","","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","",
"3","게임물배급업","03_05_01_P","3260000","CDFF2241122006000001","20060706","","03","폐업","03","폐업","20070907","","","","","","602837","부산광역시 서구 토성동*가 *-**번지 *층","부산광역시 서구 까치고개로 ***  (토성동*가,*층)","","슈카엔터테인먼트","20070907142304","I","2018-08-31 23:59:59.0","","384438.947728781","179717.44326365","게임물배급업","유통관련업","","","아케이트","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","게임물배급업","03_05_01_P","3270000","CDFF2241122009000001","20090415","","03","폐업","03","폐업","20110602","","","","643-3626","","601822","부산광역시 동구 좌천동 ***번지 그린아일 ***호","부산광역시 동구 고관로 ***-*,  ***호 (좌천동,그린아일)","","(주)뉴하나로게임","20110602160624","I","2018-08-31 23:59:59.0","","386921.980276445","183378.728179173","게임물배급업","유통관련업","","","온라인 서비스","33","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","게임물배급업","03_05_01_P","3270000","CDFF2241122008000001","20080526","","01","영업/정상","13","영업중","","","","","466-2005","","","부산광역시 동구 수정동 ***-**번지","부산광역시 동구 고관로 ***-* (수정동)","48775","Y.C 엔터테인먼트","20131125104425","I","2018-08-31 23:59:59.0","","386648.251585094","183161.624907048","게임물배급업","유통관련업","","","아케이드","0","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","게임물배급업","03_05_01_P","3270000","CDFF2241122011000001","20110524","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 좌천동 ***-*번지 *층","부산광역시 동구 증산로 *** (좌천동)","48764","씨앤씨CNC 소프트","20131125104532","I","2018-08-31 23:59:59.0","","387132.89212737","183906.675959919","게임물배급업","유통관련업","","","오락기","33.39","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","게임물배급업","03_05_01_P","3270000","CDFF2241122018000001","20181008","","01","영업/정상","13","영업중","","","","","051-468-6707","","","부산광역시 동구 초량동 ****-*번지","부산광역시 동구 중앙대로***번길 *-*, 아스티오피스텔동 ****호 (초량동)","48733","주식회사 브이알시네(VR CINE)","20181008170500","I","2018-10-10 02:35:55.0","","386084.250830287","181613.908816635","게임물배급업","유통관련업","","","VR게임","9.81","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","게임물배급업","03_05_01_P","3280000","CDFF2241122008000001","20080428","","03","폐업","03","폐업","20160926","","","","","","","부산광역시 영도구 남항동*가 ***-*번지 부산멀티미디어지원센터 ***호","부산광역시 영도구 절영로 **,  ***호 (남항동*가,부산멀티미디어지원센터)","","어필","20160927104610","I","2018-08-31 23:59:59.0","","385886.002383851","178508.293113873","게임물배급업","유통관련업","","","모바일게임","56.85","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","게임물배급업","03_05_01_P","3280000","CDFF2241122016000001","20160428","","01","영업/정상","13","영업중","","","","","070-5118-0810","","","부산광역시 영도구 남항동*가 ***-*번지","부산광역시 영도구 절영로 ** (남항동*가, 영도어린이영어도서관  *층***호)","49055","(주)펄스","20160428181051","I","2018-08-31 23:59:59.0","","385886.002383851","178508.293113873","게임물배급업","유통관련업","7","기타","소프트웨어개발및공급","59.6","7","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"10","게임물배급업","03_05_01_P","3290000","CDFF2241122013000002","20130926","","03","폐업","03","폐업","20160803","","","","","","","부산광역시 부산진구 부전동 ***-**번지 ***호","부산광역시 부산진구 신천대로**번길 **, ***호 (부전동)","47296","제이투엔텍","20160803181209","I","2018-08-31 23:59:59.0","","387647.557360385","185762.912128415","게임물배급업","유통관련업","5","","게임물배급","66","5","","","","","","","","","","","","","","","","","","","","","","","","",
