"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022007000002","20071113","","03","폐업","03","폐업","20140422","","","","","","","부산광역시 중구 보수동1가 101-4번지","부산광역시 중구 흑교로46번길 4-1 (보수동1가)","600802","사이버캐슬 PC방","20140422103842","I","2018-08-31 23:59:59.0","","384618.565244367","180143.894542813","인터넷컴퓨터게임시설제공업","유통관련업","","","","131.2","3","","","","50","","","","","","","","","","","","","","48","","","","","","",
"2","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022007000003","20071119","","03","폐업","03","폐업","20080710","","","","","","600805","부산광역시 중구 부평동1가 49-7번지","부산광역시 중구 비프광장로 11-1  (부평동1가)","","플러스PC방","20080710115859","I","2018-08-31 23:59:59.0","","384715.23994288","179600.427737276","인터넷컴퓨터게임시설제공업","유통관련업","1","","","48.76","","","근린생활시설","","160","","","","","","","","","","","","","","25","","","","","","",
"3","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022007000004","20071205","","03","폐업","03","폐업","20080711","","","","","","600042","부산광역시 중구 남포동2가 21-1번지","부산광역시 중구 남포길 22-2  (남포동2가)","","룰루 PC","20080711144349","I","2018-08-31 23:59:59.0","","385147.274749588","179610.28246241","인터넷컴퓨터게임시설제공업","유통관련업","4","","","117.22","3","1","근린생활시설","","50","","","","","","","","","","","","","","30","","","","","","",
"4","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022008000001","20080201","","03","폐업","03","폐업","20170630","","","","","","","부산광역시 중구 중앙동4가 40-5번지","부산광역시 중구 대청로135번길 33 (중앙동4가)","48928","밀레니엄PC방","20170703140237","I","2018-08-31 23:59:59.0","","385476.757675618","180425.305229146","인터넷컴퓨터게임시설제공업","유통관련업","","","","117.52","3","","근린생활시설","","50","","","","","","","","","","","","","","48","","","","","","",
"5","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022008000020","20080623","","03","폐업","03","폐업","20130401","","","","0512457706","","","부산광역시 중구 남포동2가 21-5번지","부산광역시 중구 남포길 20-2 (남포동2가)","600042","사이버리아 PC방 (남포1호점)","20130401115940","I","2018-08-31 23:59:59.0","","385127.876227306","179621.591301336","인터넷컴퓨터게임시설제공업","유통관련업","5","","","104.3","2","","근린생활시설","","62","","","","","","","","","","","","","","40","","","","","","",
"6","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022007000001","20071102","","03","폐업","03","폐업","20160715","","","","","","","부산광역시 중구 영주동 160번지 동아아파트상가 1동 B02호","부산광역시 중구 영주로 59 (영주동)","48905","TG ZONE PC방","20160715113511","I","2018-08-31 23:59:59.0","","384985.258495071","181165.37134963","인터넷컴퓨터게임시설제공업","유통관련업","","","","131.25","","1","","","50","","","","","","","","","","","","","","50","","","","","","",
"7","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022008000002","20080311","","03","폐업","03","폐업","20190919","","","","","","","부산광역시 중구 부평동2가 39-1번지","부산광역시 중구 비프광장로 7, 3층 (부평동2가)","48980","CAMP PC방","20190919152200","U","2019-09-21 02:40:00.0","","384664.149882792","179582.676484563","인터넷컴퓨터게임시설제공업","유통관련업","6","유흥업소밀집지역","","158.96","3","","기타","","50","","","","","","","","","","","","","","44","","","","","","일반상업지역",
"8","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022010000003","20100423","","03","폐업","03","폐업","20151006","","","","","","","부산광역시 중구 남포동6가 108번지 지상3층","부산광역시 중구 비프광장로 4-1 (남포동6가)","48981","LION PC","20151006083827","I","2018-08-31 23:59:59.0","","384653.072800529","179543.449420041","인터넷컴퓨터게임시설제공업","유통관련업","5","","PC","173.76","4","1","근린생활시설","","46.6","","","","","","","","","","","","","","60","","전체이용가","","","","",
"9","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022008000013","20080519","","03","폐업","03","폐업","20080630","","","","","","","부산광역시 중구 부평동1가 48-1번지","부산광역시 중구 비프광장로 17 (부평동1가)","600805","코스모스 PC방","20131226173754","I","2018-08-31 23:59:59.0","","384771.724963548","179616.989007129","인터넷컴퓨터게임시설제공업","유통관련업","2","","","163.68","1","","근린생활시설","","58","","","","","","","","","","","","","","43","","","","","","",
"10","인터넷컴퓨터게임시설제공업","03_05_05_P","3250000","CDFF2241022008000006","20080411","","03","폐업","03","폐업","20131231","","","","","","","부산광역시 중구 동광동5가 9-3번지","부산광역시 중구 동광길 101 (동광동5가)","600025","Top-Zone PC방","20140113111224","I","2018-08-31 23:59:59.0","","385482.316053953","180585.617592693","인터넷컴퓨터게임시설제공업","유통관련업","4","학교정화(상대)","","99.89","1","","다세대주택","","52","","","","","","","","","","","","","","43","","","","","","일반상업지역",
