"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","일반게임제공업","03_05_06_P","3250000","CDFF2241132019000001","20190109","","03","폐업","03","폐업","20201211","","","","","","","부산광역시 중구 부평동2가 39-1","부산광역시 중구 비프광장로 7, 지상5층 (부평동2가)","48980","금성 성인오락랜드","20201211154731","U","2020-12-13 02:40:00.0","","384664.149882792","179582.676484563","일반게임제공업","유통관련업","","","130대(황금도깨비 40대, 황금노다지 30대, 씨야포커3 30대, 칠복성포커 30대)","271.62","","","판매시설","","90","","","","","","","","","","","","","","130","","청소년이용불가","","","","일반상업지역",
"2","일반게임제공업","03_05_06_P","3250000","CDFF2241132019000004","20190503","","03","폐업","03","폐업","20200102","","","","","","","부산광역시 중구 부평동2가 47-10번지","부산광역시 중구 보수대로 18, 지하1층 (부평동2가)","48980","황금 성인게임랜드","20200102153015","U","2020-01-04 02:40:00.0","","384599.803938247","179615.069590951","일반게임제공업","유통관련업","","","72대(로얄 고도리2 Ver. 2.04 2대, 용팔이구만 30대, 드래곤 하트 20대, 금맥 20대)","175.76","","","판매시설","","70.4","","","","","","","","","","","","","","72","","청소년이용불가","","","","일반상업지역",
"3","일반게임제공업","03_05_06_P","3250000","CDFF2241132019000006","20190801","","03","폐업","03","폐업","20210806","","","","","","","부산광역시 중구 남포동6가 74-1","부산광역시 중구 구덕로 80, 지상2층 (남포동6가)","48981","롯데 성인게임랜드","20210806142320","U","2021-08-08 02:40:00.0","","384771.402142749","179510.642128481","일반게임제공업","유통관련업","","","","252.5","","","판매시설","","81.8","","","","","","","","","","","","","","94","","청소년이용불가","","","","일반상업지역",
"4","일반게임제공업","03_05_06_P","3250000","CDFF2241132019000008","20190906","","03","폐업","03","폐업","20200420","","","","","","","부산광역시 중구 남포동6가 99번지 아카데미빌딩","부산광역시 중구 비프광장로 12, 아카데미빌딩 지상2층 (남포동6가)","48981","삼성 성인게임랜드","20200420112321","U","2020-04-22 02:40:00.0","","384717.473281883","179565.899233717","일반게임제공업","유통관련업","","","185대(징기스칸 20대, 학원전설 30대, 돈의시대 30대, 로얄 고도리 3 5대, 신 30대, NEW2080 포커 40대, 황금짱 30대)","518.07","","","판매시설","","43","","","","","","","","","","","","","","185","","청소년이용불가","","","","일반상업지역",
"5","일반게임제공업","03_05_06_P","3250000","CDFF2241132019000005","20190711","","03","폐업","03","폐업","20190808","","","","","","","부산광역시 중구 남포동6가 102-2번지","부산광역시 중구 비프광장로 8, 지상3층 (남포동6가)","48981","팔도 GAMELAND","20190808141336","U","2019-08-10 02:40:00.0","","384677.260401258","179557.228245877","일반게임제공업","유통관련업","","","82대","139.6","","","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","일반상업지역",
"6","일반게임제공업","03_05_06_P","3250000","CDFF2241132019000007","20190816","","03","폐업","03","폐업","20191022","","","","","","","부산광역시 중구 남포동6가 102-2번지","부산광역시 중구 비프광장로 8, 지상3층 (남포동6가)","48981","팔도 GAMELAND","20191022170844","U","2019-10-24 02:40:00.0","","384677.260401258","179557.228245877","일반게임제공업","유통관련업","","","80대(돌아온루팡 20, 영웅문 3rd 의천도 20, 황금사자 20, 대항해 3rd","139.6","","","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","일반상업지역",
"7","일반게임제공업","03_05_06_P","3250000","CDFF2241132019000009","20191122","","03","폐업","03","폐업","20201214","","","","","","","부산광역시 중구 남포동6가 102-2","부산광역시 중구 비프광장로 8, 지상3층 (남포동6가)","48981","팔도 GAMELAND","20201214142518","U","2020-12-16 02:40:00.0","","384677.260401258","179557.228245877","일반게임제공업","유통관련업","","","71대(1000년여왕 30대, 영웅문 3rd 의천도 20대, 대항해 3rd 해적왕3 포커 20대, 로얄 고도리2 Ver. 2.04 1대)","139.6","","","판매시설","","73.5","","","","","","","","","","","","","","71","","청소년이용불가","","","","일반상업지역",
"8","일반게임제공업","03_05_06_P","3250000","CDFF2241132009000001","20090925","","03","폐업","03","폐업","20110829","","","","","","","부산광역시 중구 부평동1가 41-2번지 외2필지, 지상2층   제공게임물 : 골드포커 100대","부산광역시 중구 광복로12번길 9  (부평동1가,외2필지, 지상2층   제공게임물 : 골드포커 100대)","","노다지 게임랜드","20110829131740","I","2018-08-31 23:59:59.0","","384709.387003462","179612.05593001","일반게임제공업","유통관련업","3","","","320.49","3","","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","일반상업지역",
"9","일반게임제공업","03_05_06_P","3250000","CDFF2241132010000001","20100316","","03","폐업","03","폐업","20151228","","","","","","","부산광역시 중구 남포동2가 21-4번지 지상2층","부산광역시 중구 남포길 22-1 (남포동2가)","48953","일번가 게임랜드","20151228095926","I","2018-08-31 23:59:59.0","","385140.241107882","179611.544304374","일반게임제공업","유통관련업","4","","배리 인터레스팅 포커코리아2(AR-090522-001) 30대","186.18","3","1","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
"10","일반게임제공업","03_05_06_P","3250000","CDFF2241132010000002","20101101","","03","폐업","03","폐업","20110111","","","","","","","부산광역시 중구 남포동6가 102-3번지 지상1층","부산광역시 중구 구덕로84번길 9-1  (남포동6가,지상1층)","","오륙도","20110111140127","I","2018-08-31 23:59:59.0","","384689.176743442","179548.933069773","일반게임제공업","유통관련업","5","유흥업소밀집지역","Blue Sky Star 25대, Marine Flash 25대","188","4","1","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","일반상업지역",
