"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","공연장","03_06_01_P","3250000","CDFE1230002011000001","20110714","","03","폐업","03","폐업","20170508","","","","1588-2757","","600031","부산광역시 중구 광복동1가 59-1번지","부산광역시 중구 광복로 82 (광복동1가)","","BNK부산은행조은극장 2관","20170512092539","I","2018-08-31 23:59:59.0","","385379.792826991","179583.942118219","공연장","공연장","","4","","","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","공연장","03_06_01_P","3250000","CDFE1230002003000001","20030828","","01","영업/정상","13","영업중","","","","","462-1870","","600801","부산광역시 중구 대청동4가 81-1","부산광역시 중구 중구로 71 (대청동4가)","600801","가톨릭소극장","20210709103626","U","2021-07-11 02:40:00.0","","384895.9640319","180239.623081052","공연장","공연장","","10","","","","문화시설","10","1","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","공연장","03_06_01_P","3250000","CDFE1230002004000001","20040625","","01","영업/정상","13","영업중","","","","","790-7400","","600110","부산광역시 중구 영주동 산 10-7","부산광역시 중구 민주공원길 19 (영주동)","600110","민주공원 중극장","20220325114128","U","2022-03-27 02:40:00.0","","384829.99520269","180884.342388486","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","공연장","03_06_01_P","3250000","CDFE1230002004000002","20040625","","01","영업/정상","13","영업중","","","","","790-7400","","600110","부산광역시 중구 영주동 산 10-7","부산광역시 중구 민주공원길 19 (영주동)","600110","민주공원 소극장","20220325115913","U","2022-03-27 02:40:00.0","","384829.99520269","180884.342388486","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","공연장","03_06_01_P","3250000","CDFE1230002009000001","20090401","","01","영업/정상","13","영업중","","","","","1588-2757","","600042","부산광역시 중구 남포동2가 25-10번지","부산광역시 중구 구덕로34번길 4, 3층 (남포동2가, 쏠레마빌딩)","600042","BNK부산은행조은극장 1관","20180413110026","I","2018-08-31 23:59:59.0","","385243.158543667","179580.295176299","공연장","공연장","","","","","","문화시설","13","1","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","공연장","03_06_01_P","3250000","CDFE1230002014000001","20140313","","01","영업/정상","13","영업중","","","","","1588-2757","","600042","부산광역시 중구 남포동2가 25-10번지","부산광역시 중구 구덕로34번길 4, 3층 (남포동2가, 쏠레마빌딩)","600042","BNK부산은행조은극장 2관","20180413110053","I","2018-08-31 23:59:59.0","","385243.158543667","179580.295176299","공연장","공연장","","","","","","","13","1","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","공연장","03_06_01_P","3250000","CDFE1230002020000001","20200825","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 37-5","부산광역시 중구 40계단길 3, 지하1층 (중앙동4가)","48930","살롱 드 부산 1023","20211207165320","U","2021-12-09 02:40:00.0","","385464.220370345","180225.685982991","공연장","공연장","","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","공연장","03_06_01_P","3250000","CDFE1230002015000001","20150617","","04","취소/말소/만료/정지/중지","35","직권말소","20190909","","","","","","600045","부산광역시 중구 남포동5가 1-1번지","부산광역시 중구 구덕로48번길 3, 4층 (남포동5가)","600045","키다리소극장","20190909160614","U","2019-09-11 02:40:00.0","","385077.098518744","179619.466975961","공연장","공연장","","4","","","","근린생활시설","4","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","공연장","03_06_01_P","3270000","CDFE1230002013000001","20130917","","03","폐업","03","폐업","20150402","","","","051-661-8706","","601807","부산광역시 동구 범일동 830-30번지 LIG손해보험 부산빌딩 3층","부산광역시 동구 자성로133번길 15, 3층 (범일동)","601807","LIG아트홀","20150403100255","I","2018-08-31 23:59:59.0","","388051.059110915","184077.564810224","공연장","공연장","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","공연장","03_06_01_P","3270000","CDFE1230002015000001","20150922","","03","폐업","03","폐업","20220105","","","","051-661-8801","","","부산광역시 동구 범일동 830-30","부산광역시 동구 자성로133번길 15 (범일동, KB손해보험 부산빌딩)","48743","KB아트홀","20220106090801","U","2022-01-08 02:40:00.0","","388051.059110915","184077.564810224","공연장","공연장","","0","","","","","3","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
