"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광극장유흥업","03_06_03_P","3300000","CDFI3261112010000001","20100107","","03","폐업","03","폐업","20110516","","","","","","607061","부산광역시 동래구 온천동 135-6번지 지하1층","부산광역시 동래구 금강로 132-6  (온천동,지하1층)","","아시아드관광나이트","20110524183023","I","2018-08-31 23:59:59.0","","389388.980050971","193184.831124749","관광극장유흥업","","상업지역","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","관광극장유흥업","03_06_03_P","3300000","CDFI3261112014000001","20140528","","01","영업/정상","13","영업중","","","","","051-997-8888","","607832","부산광역시 동래구 온천동 137번지 지하1,2층","부산광역시 동래구 온천장로107번길 32, 지하1,2층 (온천동)","47709","아시아드나이트","20150626145323","I","2018-08-31 23:59:59.0","","389553.269396339","193306.748089046","관광극장유흥업","","","","","","","","","","","","","","","","","","","","","3809.27","","","","","","","","","","","","","3809",
"3","관광극장유흥업","03_06_03_P","3320000","CDFI3261112002000001","20021212","","03","폐업","03","폐업","20220629","","","","","","616817","부산광역시 북구 덕천동 353-10","부산광역시 북구 낙동대로1781번길 6 (덕천동)","46544","두꺼비성인나이트클럽","20220629142827","U","2022-07-01 02:40:00.0","","382435.927543204","191936.347387715","관광극장유흥업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000000","","","","",
"4","관광극장유흥업","03_06_03_P","3330000","CDFI3261112010000001","20100322","","01","영업/정상","13","영업중","","","","","740-0117","","612821","부산광역시 해운대구 우동 651-2 지하2층","부산광역시 해운대구 해운대해변로 217 (우동,지하2층)","","클럽 어비스(폐)","20220621150725","U","2022-06-23 02:40:00.0","","396311.478370083","186563.963573726","관광극장유흥업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","관광극장유흥업","03_06_03_P","3340000","CDFI3261112008000001","20080627","","03","폐업","03","폐업","20160129","","","","051-202-1005","","604814","부산광역시 사하구 괴정동 950-2번지","부산광역시 사하구 사하로 189 (괴정동)","49381","터널관광나이트","20160201115135","I","2018-08-31 23:59:59.0","","381702.406077216","179526.795054162","관광극장유흥업","","일반상업지역","8","유흥업소밀집지역","","","근린생활시설","5","3","","","TUNNEL TOURIST NIGHT","TOURIST THEATRE RESTAURANT","","","","","","","","1639.48","","","","","","","","","2500000000","","","","1639",
"6","관광극장유흥업","03_06_03_P","3340000","CDFI3261112013000001","20131205","","03","폐업","03","폐업","20210512","","","","","","604852","부산광역시 사하구 하단동 527-2","부산광역시 사하구 낙동남로1405번길 14 (하단동)","49311","뉴돈텔마마나이트","20210512133252","U","2021-05-14 02:40:00.0","","379146.456410293","180450.299340417","관광극장유흥업","","일반상업지역","12","","","","숙박시설","8","4","","","New Don't Tell Mama Night Club","Tourist theatre entertainment business","","","","","","","","2742.05","","","","","","","","","585905874","","","","2742",
"7","관광극장유흥업","03_06_03_P","3340000","CDFI3261112018000001","20181015","","03","폐업","03","폐업","20210512","","","","","","","부산광역시 사하구 하단동 527-2","부산광역시 사하구 낙동남로1405번길 14, 지하1층 (하단동)","49311","7080 소주호프세시봉","20210512133113","U","2021-05-14 02:40:00.0","","379146.456410293","180450.299340417","관광극장유흥업","","일반상업지역","12","유흥업소밀집지역","","","숙박시설","8","4","","","7080 Soju Hof SSe Si Bong","Tourist theatre entertainment business","","","","","","","","10627.57","","","","","","","","","20000000","","","","10628",
"8","관광극장유흥업","03_06_03_P","3370000","CDFI3261112006000001","20061124","","03","폐업","03","폐업","20150907","","","","853-6001","","611814","부산광역시 연제구 연산동 590-6번지","부산광역시 연제구 반송로 40  (연산동)","","스타박스 나이트클럽","20150908131609","I","2018-08-31 23:59:59.0","","389843.433894864","189632.21225316","관광극장유흥업","","상업지역","11","유흥업소밀집지역","","","호텔","9","2","","","","","","","","","","","","4749.96","","","","","","","","","","","","","4750",
"9","관광극장유흥업","03_06_03_P","3370000","CDFI3261112016000001","20161004","","01","영업/정상","13","영업중","","","","","","","","부산광역시 연제구 연산동 1124-7 지하1층","부산광역시 연제구 중앙대로 1117, 지하1층 (연산동)","47524","월드7080라이브","20210330163230","U","2021-04-01 02:40:00.0","","389478.870984061","189542.065731877","관광극장유흥업","","","","","","","","","","","","World 7080 Live","The entertainment business of Tourism theater","","","","","","","","","","","","","","","","","640000000","","","","",
"10","관광극장유흥업","03_06_03_P","3380000","CDFI3261112002000001","20020116","","03","폐업","03","폐업","20181202","","","","051-757-6404","","613800","부산광역시 수영구 광안동 50-1번지 지하","부산광역시 수영구 수영로 712  (광안동,지하)","","판코리아나이트","20181231131636","U","2019-01-02 02:40:00.0","","392840.928212365","187459.200030194","관광극장유흥업","","일반상업지역","6","유흥업소밀집지역","","","식품위생시설","5","1","","","PAN-KOREA TOURIST NIGHT-CLUB","TOURIST THEATER ENTERTAINMENT","","","","","","","","","","","","","","","","","","","","","",
"11","관광극장유흥업","03_06_03_P","3390000","CDFI3261112013000001","20130822","","01","영업/정상","13","영업중","","","","","","","617806","부산광역시 사상구 괘법동 272-26번지 3층. 4층","부산광역시 사상구 광장로81번길 55, 3,4층 (괘법동)","46964","(주)옥타비스","20130822175145","I","2018-08-31 23:59:59.0","","380690.195137444","186879.160287248","관광극장유흥업","","일반상업지역","4","유흥업소밀집지역","","","","","","","","","","","","","","","","","920","","","","","","","","","100000000","","","","920",
