"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광사업자","03_07_02_P","6260000","C02001991000001","19910416","","01","영업/정상","1","영업","","","","","0516363366","","","부산광역시 동구 범일동 830 - 253","부산광역시 동구 범일로90번길 13 (범일동)","","금호관광나이트클럽","20050520155432","I","2018-08-31 23:59:59.0","","387761.284235594","184056.079818088","관광객편의시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","",
"2","관광사업자","03_07_02_P","6260000","C02001999000001","19990721","","01","영업/정상","1","영업","","","","","0512436161","","","부산광역시 중구 보수동2가 80 - 6","","","신라","20050520094237","I","2018-08-31 23:59:59.0","","","","관광객편의시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150000000","","","","",
"3","관광사업자","03_07_02_P","6260000","C02002000000001","20000609","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 개금동 156 - 2","부산광역시 부산진구 부전로96번길 3 (부전동)","","가야성","20131230172628","I","2018-08-31 23:59:59.0","","384622.168049969","185714.855471693","관광객편의시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700000000","","","","",
"4","관광사업자","03_07_02_P","6260000","C02002001000001","20011109","","01","영업/정상","1","영업","","","","","0515823927","","","부산광역시 금정구 구서동 84 - 10","부산광역시 금정구 금정로237번길 14 (구서동)","","코리아나나이트클럽","20050520100716","I","2018-08-31 23:59:59.0","","390317.121490107","196089.100911542","관광객편의시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000000","","","","",
"5","관광사업자","03_07_02_P","6260000","C02002001000002","20010224","","01","영업/정상","1","영업","","","","","","","","부산광역시 사상구 괘법동 564 - 25","부산광역시 사상구 광장로 46 (괘법동)","","글로리나이트클럽","20131230171535","I","2018-08-31 23:59:59.0","","380460.313281968","186548.086870476","관광객편의시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500000000","","","","",
"6","관광사업자","03_07_02_P","6260000","C02001999000002","19990702","","01","영업/정상","1","영업","","","","","0517541451","","","부산광역시 수영구 광안동 50 - 1","부산광역시 수영구 수영로 712 (광안동)","","판코리아나이트클럽","20050520100152","I","2018-08-31 23:59:59.0","","392840.928212365","187459.200030194","관광객편의시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000000","","","","",
"7","관광사업자","03_07_02_P","6260000","C07002004000001","20040618","","01","영업/정상","1","영업","","","","","0512557692","","","부산광역시 중구 대창동1가 25 - 2 한일빌딩","부산광역시 중구 중앙대로 113-1 (대창동1가,한일빌딩)","","(주)씨스카이투어","20070129150224","I","2018-08-31 23:59:59.0","","385578.122719036","180649.789732156","여행업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350000000","","","","",
"8","관광사업자","03_07_02_P","6260000","C07002005000002","20050404","","01","영업/정상","1","영업","","","","","0518168811","","","부산광역시 부산진구 부전동 257 - 37","부산광역시 부산진구 중앙대로 721-1 (부전동)","","(주)뉴부산여행사","20070823145359","I","2018-08-31 23:59:59.0","","387499.213775323","186152.902131289","여행업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","",
"9","관광사업자","03_07_02_P","6260000","C07002009000010","20090911","","01","영업/정상","1","영업","","","","","","0","","부산광역시 중구 중앙동4가 23 - 1 1214호","부산광역시 중구 중앙대로 80, 1214호 (중앙동4가)","","(주)올래여행사","20090911110429","I","2018-08-31 23:59:59.0","","385630.742187332","180306.821082315","여행업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","",
"10","관광사업자","03_07_02_P","6260000","C02002002000001","20020928","","01","영업/정상","1","영업","","","","","0514634467","","","부산광역시 동구 초량동 1204 - 11","부산광역시 동구 중앙대로196번길 12-14 (초량동)","","기린","20050519160021","I","2018-08-31 23:59:59.0","","385914.528207627","181260.233895077","관광객편의시설","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220000000","","","","",
