"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광유람선업","03_07_03_P","3250000","CDFI2262162008000001","20080617","","03","폐업","03","폐업","20100219","","","","","","600015","부산광역시 중구 중앙동5가 16번지","","","주)테즈락크루즈","20100224164550","I","2018-08-31 23:59:59.0","","","","일반관광유람선업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000000","","","","",
"2","관광유람선업","03_07_03_P","3250000","CDFI2262162010000001","20100305","","03","폐업","03","폐업","20130415","","","","051-463-7680","","600015","부산광역시 중구 중앙동5가 16번지","","","주식회사 테즈락센트럴베이크루즈","20130422134201","I","2018-08-31 23:59:59.0","","","","일반관광유람선업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000000","","","","",
"3","관광유람선업","03_07_03_P","3250000","CDFI2262162005000001","20050125","","01","영업/정상","13","영업중","","","","","051-240-8832","","600012","부산광역시 중구 중앙동2가 3 팬스타크루즈프라자","부산광역시 중구 해관로 30 (중앙동2가, 팬스타크루즈프라자)","600012","팬스타라인닷컴","20201031172858","U","2020-11-03 02:40:00.0","","385565.687930937","179949.49925438","일반관광유람선업","관광사업","","","","","","","","","","","PanStarline.com","Tourist Entertainment Facilites","","","","","","","","","","","","","","","","","","","","","",
"4","관광유람선업","03_07_03_P","3250000","CDFI2262162018000001","20180801","","01","영업/정상","13","영업중","","","","","051-241-0909","","","부산광역시 중구 남포동4가 44-3","부산광역시 중구 자갈치해안로 60 (남포동4가)","48984","(주)부산남항유람선 자갈치크루즈","20210316090658","U","2021-03-18 02:40:00.0","","385191.013392521","179401.283402139","일반관광유람선업","","","3","","","","","","","","","","","","3","379t","","","","","","","","","","","","","","3500000000","","","","",
"5","관광유람선업","03_07_03_P","3250000","CDFI2262162021000001","20210310","","01","영업/정상","13","영업중","","","","","051-465-9190","","","부산광역시 중구 중앙동6가 8","부산광역시 중구 대교로 116 (중앙동6가)","48943","부산드림하버(주)","20210310101114","I","2021-03-13 00:23:00.0","","385774.109341384","179843.760582632","일반관광유람선업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000000","","","","",
"6","관광유람선업","03_07_03_P","3280000","CDFI2262162012000001","20120116","","03","폐업","03","폐업","20140829","","","","02-2260-1234","","606806","부산광역시 영도구 동삼동 1125번지 국제크루즈터미널","부산광역시 영도구 해양로301번길 17 (동삼동)","606806","폴라에너지앤마린 주식회사","20140905130208","I","2018-08-31 23:59:59.0","","389631.41099400000","178033.03456200000","일반관광유람선업","","","9","","","","","","","","","Polar Energy & Marine Co.,Ltd.","Cruise Business","","","","","","","","","","","","","","","","","","","","","",
"7","관광유람선업","03_07_03_P","3310000","CDFI2262162014000001","20141110","","01","영업/정상","13","영업중","","","","","051-990-1580","","","부산광역시 남구 용호동 959 용호만유람선터미널","부산광역시 남구 분포로 101, 용호만유람선터미널 2층 (용호동)","48516","(주)삼주","20220513190205","U","2022-05-15 02:40:00.0","","392734.28304972","183547.082914643","일반관광유람선업","","","0","","","한국해운조합","","0","0","0","0","","","0","2","알루미늄","0","92","","0","0","","0","","","","","","","0","","","","0",
"8","관광유람선업","03_07_03_P","3330000","CDFI2262161998000001","19981230","","03","폐업","03","폐업","20111221","","","","","","612846","부산광역시 해운대구 중동 957-8번지","부산광역시 해운대구 달맞이길62번길 33-1 (중동)","612846","부산해상관광개발","20111226155755","I","2018-08-31 23:59:59.0","","397736.786602164","186523.304699533","일반관광유람선업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","관광유람선업","03_07_03_P","3330000","CDFI2262162006000001","20060804","","01","영업/정상","13","영업중","","","","","051-743-2500","","612824","부산광역시 해운대구 우동 1439","부산광역시 해운대구 마린시티1로 168 (우동)","48092","부산해상관광개발","20210118112526","U","2021-01-20 02:40:00.0","","395809.411410833","186309.62943517","일반관광유람선업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","관광유람선업","03_07_03_P","3330000","CDFI2262162010000001","20100419","","01","영업/정상","13","영업중","","","","","441-2525","","612011","부산광역시 해운대구 중동 957-8","부산광역시 해운대구 달맞이길62번길 33-1 (중동)","48098","부산해상관광개발","20210118112553","U","2021-01-20 02:40:00.0","","397736.786602164","186523.304699533","일반관광유람선업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"11","관광유람선업","03_07_03_P","3330000","CDFI2262162020000001","20201028","","01","영업/정상","13","영업중","","","","","051-711-1789","","","부산광역시 해운대구 우동 1494 리버크루즈 매표시설","부산광역시 해운대구 수영강변대로 85, 리버크루즈 매표시설 (우동)","48058","주식회사 요트탈래","20210628134616","U","2021-06-30 02:40:00.0","","393605.745188129","187733.410764901","일반관광유람선업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1308847144","","","","",
