"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"1","박물관, 미술관","03_07_05_P","6260000","B04012019000001","20181101","","01","영업/정상","1","영업","","","","","","","","부산광역시 남구 문현동 1229번지 1호  00동 00호","부산광역시 남구 문현금융로 40-0, 00동 00호 (문현동,부산국제금융센터)","","한국거래소 자본시장역사박물관","20190430181358","U","2019-05-02 02:40:00.0","","388182.381367829","185024.662471639","박물관","","20181101","사립","1종","전문박물관","","","","","","","","",
"2","박물관, 미술관","03_07_05_P","6260000","B04011992000001","19921221","","01","영업/정상","1","영업","","","","","","","","부산광역시 남구 대연동 948번지 1호","부산광역시 남구 유엔평화로 63 (대연동)","","부산광역시립박물관","20111031090155","I","2018-08-31 23:59:59.0","","390777.995642904","183167.67084041","박물관","","19780711","국립","1종","종합박물관","","","","","","","","",
"3","박물관, 미술관","03_07_05_P","6260000","B04011993000001","19930729","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 복천동 50번지","부산광역시 동래구 복천로 66 (복천동)","","복천박물관","20111031085821","I","2018-08-31 23:59:59.0","","390295.562308138","191707.832192142","박물관","","19961005","국립","1종","종합박물관","","","","","","","","",
"4","박물관, 미술관","03_07_05_P","6260000","B04012007000001","20070321","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 부전동 168번지 176호","부산광역시 부산진구 중앙대로702번길 21 (부전동)","","부산포민속박물관","20190417095056","U","2019-04-19 02:40:00.0","","387670.269977414","185976.500758387","박물관","","20060525","사립","1종","전문박물관","","","","","","","","",
"5","박물관, 미술관","03_07_05_P","6260000","B04012008000001","20080625","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 청룡동 546번지","부산광역시 금정구 범어사로 250 (청룡동)","","범어사 성보박물관","20190417095111","U","2019-04-19 02:40:00.0","","388128.926433503","200280.928194344","박물관","","20030323","사립","1종","전문박물관","","","","","","","","",
"6","박물관, 미술관","03_07_05_P","6260000","B04012009000001","20090123","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 금성동 285번지","부산광역시 금정구 죽전1길 29 (금성동)","","킴스아트필드미술관","20180703175718","I","2018-08-31 23:59:59.0","","386901.558003655","196719.797642989","미술관","","20090123","사립","1종","미술관","","","","","","","","",
"7","박물관, 미술관","03_07_05_P","6260000","B04012009000002","20090227","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 부곡동 1번지 4호","부산광역시 금정구 오륜대로 106-1 (부곡동)","","오륜대 한국순교자기념관","20190417095122","U","2019-04-19 02:40:00.0","","391184.538799756","196112.15967406","박물관","","19820925","사립","1종","전문박물관","","","","","","","","",
"8","박물관, 미술관","03_07_05_P","6260000","B04012009000003","20011128","","01","영업/정상","1","영업","","","","","","","","부산광역시 서구 부민동2가 1번지","부산광역시 서구 구덕로 225 (부민동2가)","","동아대학교박물관","20190311144350","U","2019-03-13 02:40:00.0","","384047.41688983","180228.452549615","박물관","","19591101","대학","1종","종합박물관","","","","0","","","","",
"9","박물관, 미술관","03_07_05_P","6260000","B04012012000002","20121017","","01","영업/정상","1","영업","","","","","","","","부산광역시 서구 부민동3가 22번지","부산광역시 서구 임시수도기념로 45 (부민동3가)","","임시수도기념관","20121017132939","I","2018-08-31 23:59:59.0","","383865.701686792","180113.437627391","박물관","","19840625","공립","1종","전문박물관","","","","","","","","",
"10","박물관, 미술관","03_07_05_P","6260000","B04012012000003","20121126","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 온천동 산 13번지 1호","부산광역시 동래구 우장춘로 175 (온천동)","","부산해양자연사박물관","20190417100238","U","2019-04-19 02:40:00.0","","388927.034660002","193377.976082591","박물관","","19971202","공립","1종","전문박물관","","","","0","","","","",
"11","박물관, 미술관","03_07_05_P","6260000","B04012014000001","20140929","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 복천동 500번지 1호  7동 705호","부산광역시 동래구 복천로5번길 34, 7동 705호 (복천동,우성베스토피아)","","한국기독교선교박물관","20190417095218","U","2019-04-19 02:40:00.0","","390073.926684164","191730.637114022","박물관","","20141006","사립","1종","전문박물관","","","","","","","","",
"12","박물관, 미술관","03_07_05_P","6260000","B04022018000001","20180530","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 장전동 503번지 44호","부산광역시 금정구 금샘로 35 (장전동)","","DOT미술관","20180703175820","I","2018-08-31 23:59:59.0","","388996.399614229","194155.289694453","미술관","","20180610","사립","1종","미술관","","","","","","","","",
"13","박물관, 미술관","03_07_05_P","6260000","B04022018000002","20180530","","01","영업/정상","1","영업","","","","","","","","부산광역시 사하구 하단동 1149번지 37호","부산광역시 사하구 낙동남로 1191-0, 1동 (하단동,부산현대미술관)","","부산현대미술관","20180531101321","I","2018-08-31 23:59:59.0","","377084.559256488","180662.690659762","미술관","","20180615","공립","1종","미술관","","","","","","","","",
"14","박물관, 미술관","03_07_05_P","6260000","B04022018000003","19961102","","01","영업/정상","1","영업","","","","","","","","부산광역시 중구 중앙동4가 82번지 1호","부산광역시 중구 중앙대로 130-0 (중앙동4가)","","한광미술관","20180703181632","I","2018-08-31 23:59:59.0","","385686.625993097","180773.326305808","미술관","","19760901","사립","1종","미술관","","","","","","","","",
"15","박물관, 미술관","03_07_05_P","6260000","B04022018000004","20000812","","01","영업/정상","1","영업","","","","","","","","부산광역시 남구 대연동 37번지 1호","부산광역시 남구 수영로 309-0, 1동 1층 1호 (대연동,경성대학교)","","경성대학교미술관","20200207145250","U","2020-02-09 02:40:00.0","","391889.405805888","184230.318087492","미술관","","19970901","대학","1종","미술관","","","","","","","","",
