"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002019000001","20190311","","03","폐업","03","폐업","20200303","","","","02-3289-2999","","","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 8층 (중앙동7가)","48944","K-liveX 광복점","20210511104026","U","2021-05-13 02:40:00.0","","385590.814676765","179553.867031936","신고유원시설업","","","","","","","","","","","","","","","","","","","","","530.9","","3","","","","","","","","","","","531",
"2","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002019000003","20191224","","03","폐업","03","폐업","20210401","","","","","","","부산광역시 중구 남포동6가 91","부산광역시 중구 비프광장로 18 (남포동6가)","48981","디월드(D World)","20210419092338","U","2021-04-21 02:40:00.0","","384786.897439657","179575.94945685","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002016000005","20161111","","03","폐업","03","폐업","20190327","","","","","","","부산광역시 중구 남포동5가 15-2번지","부산광역시 중구 비프광장로 35 (남포동5가)","48953","퍼니랜드(영인키덜트)","20190327171610","U","2019-03-29 02:40:00.0","","384959.369790432","179627.345607553","신고유원시설업","","","","","","","","","","","","","","","","","","","","","108.96","","","","","","","","","","","","","109",
"4","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002016000006","20161122","","03","폐업","03","폐업","20181220","","","","","","","부산광역시 중구 부평동2가 48-1번지","부산광역시 중구 광복로6번길 8 (부평동2가)","48980","와라 뽑기방","20181220142612","U","2018-12-22 02:40:00.0","","384629.088740174","179632.165468065","신고유원시설업","","","","","","","","","","","","","","","","","","","","","55.94","","","","","","","","","","","","","56",
"5","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002016000007","20161125","","03","폐업","03","폐업","20190819","","","","","","","부산광역시 중구 부평동1가 48-2번지","부산광역시 중구 비프광장로 13-1 (부평동1가)","48980","뽑기도키3","20190819143434","U","2019-08-21 02:40:00.0","","384738.705386138","179608.821925085","신고유원시설업","","","","","","","","","","","","","","","","","","","","","92.4","","","","","","","","","","","","","92",
"6","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002016000008","20161208","","03","폐업","03","폐업","20180801","","","","","","","부산광역시 중구 남포동6가 98-8번지","부산광역시 중구 비프광장로 12-1 (남포동6가)","48981","사격의 명수","20180801140657","I","2018-08-31 23:59:59.0","","384728.129972313","179576.657457487","신고유원시설업","","","","","","","","","","","","","","","","","","","","","72.55","","","","","","","","","","","","","73",
"7","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002016000009","20161229","","03","폐업","03","폐업","20180513","","","","","","","부산광역시 중구 중앙동7가 20-1번지","부산광역시 중구 중앙대로 2, 8층 (중앙동7가, 롯데백화점광복점)","48944","알크래프트 레이싱파크 롯데광복점","20180514172418","I","2018-08-31 23:59:59.0","","385590.814676765","179553.867031936","신고유원시설업","","","","","","","","","","","","","","","","","","","","","73.7","","","","","","","","","","","","","74",
"8","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002016000010","20161229","","03","폐업","03","폐업","20180810","","","","","","","부산광역시 중구 부평동2가 26-7번지","부산광역시 중구 부평2길 5 (부평동2가)","48979","펀앤조이 플레이파크(퍼니박스)","20180810174005","I","2018-08-31 23:59:59.0","","384685.47463454","179722.378312909","신고유원시설업","","","","","","","","","","","","","","","","","","","","","158.25","","","","","","","","","","","","","158",
"9","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002018000001","20180424","","03","폐업","03","폐업","20181128","","","","070-4106-3348","","","부산광역시 중구 광복동1가 12번지","부산광역시 중구 광복로 79-1, 3층 (광복동1가)","48952","브이알존 엘큐브광복점","20181227171712","U","2018-12-29 02:40:00.0","","385372.929760514","179626.198522023","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","유원시설업(기타)","03_07_08_P","3250000","CDFI5272002011000003","20111011","","03","폐업","03","폐업","20120808","","","","","","600046","부산광역시 중구 남포동6가 74-1번지 1층","부산광역시 중구 구덕로 80  (남포동6가,1층)","","용놀이랜드","20120808155853","I","2018-08-31 23:59:59.0","","384771.402142749","179510.642128481","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","인형뽑기2대","","","","","","","","","","","","",
