"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반유원시설업","03_07_09_P","3250000","CDFI5271002019000001","20190529","","03","폐업","03","폐업","20200729","","","","","","","부산광역시 중구 남포동6가 91","부산광역시 중구 비프광장로 18 (남포동6가)","48981","남포헐리우드 디스코팡팡","20200730144344","U","2020-08-01 02:40:00.0","","384786.897439657","179575.94945685","허가유원시설업","","일반상업지역","","","","","","","","","","","","","","","","","","","","디스코팡팡 1대","","","","","","","","","","","","",
"2","일반유원시설업","03_07_09_P","3250000","CDFI5271002011000001","20110506","","03","폐업","03","폐업","20130531","","","","","","600045","부산광역시 중구 남포동5가 12-1번지 외 1필지 대영시네마 지하1층","부산광역시 중구 비프광장로 37  (남포동5가,외 1필지 대영시네마 지하1층)","","노리존","20130603180806","I","2018-08-31 23:59:59.0","","384985.448097939","179597.592953541","허가유원시설업","","일반상업지역","6","기타","","","문화시설","6","4","","","","","","","","","","","","558","디스코팡팡 1종","","Y","","Y","Y","","","","","","","558",
"3","일반유원시설업","03_07_09_P","3250000","CDFI5271002011000002","20111221","","03","폐업","03","폐업","20140512","","","","051-246-2710","","600046","부산광역시 중구 남포동6가 91번지 2층","부산광역시 중구 비프광장로 18  (남포동6가,2층)","","헐리우드놀이랜드","20140512174351","I","2018-08-31 23:59:59.0","","384786.897439657","179575.94945685","허가유원시설업","","","7","","","","","2","","","","","","","","","","","","","423.41","디스코팡팡1대","","","","","","","","","","","","423",
"4","일반유원시설업","03_07_09_P","3250000","CDFI5271002015000001","20151230","","03","폐업","03","폐업","20180301","","","","","","","부산광역시 중구 남포동6가 91번지 1층","부산광역시 중구 비프광장로 18, 1층 (남포동6가)","48981","남포디스코팡팡","20180730170223","I","2018-08-31 23:59:59.0","","384786.897439657","179575.94945685","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","타가다디스코1종","1","Y","","","Y","","","","","","","",
"5","일반유원시설업","03_07_09_P","3250000","CDFI5271002020000001","20200527","","03","폐업","03","폐업","20201208","","","","","","","부산광역시 중구 남포동6가 91","부산광역시 중구 비프광장로 18, 지하1층 (남포동6가)","48981","디 월드","20201208181143","U","2020-12-10 02:40:00.0","","384786.897439657","179575.94945685","허가유원시설업","","일반상업지역","","","","","","","1","","","","","","","","","","","","","디스코팡팡1대","","","","","","","","","","","","",
"6","일반유원시설업","03_07_09_P","3270000","CDFI5271002017000001","20170706","","03","폐업","03","폐업","20170911","","","","051-999-3000","","","부산광역시 동구 초량동 1185-1번지","","","부산항 시민 해수온천 야외수영장","20170920175413","I","2018-08-31 23:59:59.0","","386466.092076382","181381.122678011","허가유원시설업","","일반상업지역","","","","","","","","","","","","","","","","","","","","대형슬라이드1대,중형슬라이드2대,워터바스켓","","Y","Y","","Y","","","","","","","",
"7","일반유원시설업","03_07_09_P","3270000","CDFI5271002017000002","20171025","","03","폐업","03","폐업","20181231","","","","051-900-6036","","","부산광역시 동구 초량동 45-39번지","부산광역시 동구 충장대로 206 (초량동, 부산항 국제여객터미널)","48751","마블 익스피리언스","20181227154904","U","2018-12-29 02:40:00.0","","386767.752701442","181913.054093558","허가유원시설업","","일반상업지역","1","기타","","","","1","0","","","","","","","","","","","","","안전검사 대상 유기기수: 1종3대 /안전검사 대상이 아닌 유기기구:1종4대","","Y","Y","Y","Y","","","","","","","",
"8","일반유원시설업","03_07_09_P","3270000","CDFI5271002018000001","20180622","","03","폐업","03","폐업","20180831","","","","051-999-3000","","","부산광역시 동구 초량동 1185-1번지","","","부산항 시민 해수온천 야외수영장","20180904172019","U","2018-09-04 23:59:59.0","","386466.092076382","181381.122678011","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","4대","","Y","Y","Y","Y","","","","","","","",
"9","일반유원시설업","03_07_09_P","3280000","CDFI5271002006000001","20060830","","01","영업/정상","13","영업중","","","","","051-405-8745","","606080","부산광역시 영도구 동삼동 산 19-2","부산광역시 영도구 전망로 24 (동삼동)","","부산관광공사","20220406112107","U","2022-04-08 02:40:00.0","","389672.112356361","175382.507825841","허가유원시설업","유원시설업","자연녹지지역","0","기타","","","사무실","0","0","0","0","","","0","0","","0","0","","0","0","1종 4대(1량32인석(총96인석) 2대, 1량24인석(총72인석)2대)","1","","","","","","","0","","","","0",
"10","일반유원시설업","03_07_09_P","3290000","CDFI5271001990000001","19900523","","03","폐업","03","폐업","20051130","","","","806-4434","","614871","부산광역시 부산진구 초읍동 43-0번지","","","성지곡랜드","20080312122022","I","2018-08-31 23:59:59.0","","385929.647757531","189316.797075352","허가유원시설업","유원시설업","","","","","","","","","","","","","","","","","","","","","","","N","N","N","N","","","","","","","",
"11","일반유원시설업","03_07_09_P","3290000","CDFI5271002012000001","20121204","","03","폐업","03","폐업","20141202","","","","051-816-1500","","614850","부산광역시 부산진구 부전동 522-4번지 서면삼환골드뷰 101호","부산광역시 부산진구 서면로 25, 101호 (부전동, 서면삼환골드뷰)","614850","1번가 오락실","20141202102849","I","2018-08-31 23:59:59.0","","387396.41895899","185691.700675794","허가유원시설업","","일반상업지역","","기타","","","기타","","","","","","","","","","","","","","93.29","디스코팡팡 1대","","Y","","","Y","","","","","","","93",
"12","일반유원시설업","03_07_09_P","3290000","CDFI5271002013000001","20130329","","03","폐업","03","폐업","20170201","","","","","","614041","부산광역시 부산진구 전포동 685-7번지","부산광역시 부산진구 전포대로199번길 38 (전포동)","47294","서면디스코랜드","20170220191723","I","2018-08-31 23:59:59.0","","387924.238881304","185892.471974179","허가유원시설업","","일반상업지역","","","","","","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","","","","",
"13","일반유원시설업","03_07_09_P","3290000","CDFI5271002014000001","20140702","","03","폐업","03","폐업","20180820","","","","","","614871","부산광역시 부산진구 초읍동 43번지","부산광역시 부산진구 새싹로 295 (초읍동)","47100","정글X4D","20180821084712","I","2018-08-31 23:59:59.0","","385929.647757531","189316.797075352","허가유원시설업","","","","","","","","","","","","","","","","","","","","","228","2개","2","Y","Y","Y","Y","","","","","","","228",
"14","일반유원시설업","03_07_09_P","3290000","CDFI5271002006000001","20061219","","01","영업/정상","13","영업중","","","","","051-667-7898","","614845","부산광역시 부산진구 부전동 183-1 104,105,111호 일부","부산광역시 부산진구 서전로10번길 61, 104,105,111일부호 (부전동)","47295","삼보게임랜드","20220302102948","U","2022-03-04 02:40:00.0","","387700.368139369","185954.871302846","허가유원시설업","유원시설업","","1","","","","환경위생시설","0","0","0","0","","","0","0","","0","0","","0","753.6","","0","","","","","","","0","","","","754",
"15","일반유원시설업","03_07_09_P","3290000","CDFI5271002022000001","20220504","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 168-94","부산광역시 부산진구 중앙대로680번가길 47, 1층 (부전동)","47292","서면디스코팡팡","20220504131357","I","2022-05-06 00:22:32.0","","387705.122197119","185985.097420325","허가유원시설업","","일반상업지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","101.4","안전성검사대상 유기기구수 1종","0","Y","","","Y","","","0","","","","101",
"16","일반유원시설업","03_07_09_P","3300000","CDFI5271001965000001","19650409","","03","폐업","03","폐업","20130515","","","","512-3344","","607832","부산광역시 동래구 온천동 280-2번지","부산광역시 동래구 우장춘로 155  (온천동)","","인디아나존스","20130503110322","I","2018-08-31 23:59:59.0","","388854.91391803","193252.637079482","허가유원시설업","유원시설업","","","","","","","","","","","","","","","","","","","","","","","N","N","N","N","","","","","","","",
