"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","국제회의기획업","03_08_01_P","3250000","CDFI2263101999000001","19990714","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 28-10","부산광역시 중구 중앙대로 79-1, 아름빌딩 2층 (중앙동4가)","48929","(주)아름트래블앤커뮤니케이션","20210112111102","U","2021-01-14 02:40:00.0","","385562.279483087","180308.192303088","국제회의기획업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","국제회의기획업","03_08_01_P","3250000","CDFI2263102011000001","20111130","","01","영업/정상","13","영업중","","","","","051-469-9822","","600014","부산광역시 중구 중앙동4가 52-8 2층","부산광역시 중구 해관로 79-1 (중앙동4가)","48928","(주)에스티시","20111130100526","I","2018-08-31 23:59:59.0","","385488.794606581","180448.886028622","국제회의기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000000","","","","",
"3","국제회의기획업","03_08_01_P","3250000","CDFI2263102015000001","20150508","","01","영업/정상","13","영업중","","","","","248-7777","","600044","부산광역시 중구 남포동4가 37-1 자갈치시장빌딩","부산광역시 중구 자갈치해안로 52 (남포동4가, 자갈치시장빌딩)","48983","(주)오아제","20171208092417","I","2018-08-31 23:59:59.0","","385139.215952094","179403.007901724","국제회의기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","국제회의기획업","03_08_01_P","3270000","CDFI2263102006000002","20060221","","01","영업/정상","13","영업중","","","","","469-9001","","601837","부산광역시 동구 초량동 1169-11 아키빌딩 802호","부산광역시 동구 중앙대로 264,  802호 (초량동,아키빌딩)","","하나전람","20060221093500","I","2018-08-31 23:59:59.0","","386151.607173136","182025.581590054","국제회의기획업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000000","","","","",
"5","국제회의기획업","03_08_01_P","3270000","CDFI2263102009000001","20090724","","01","영업/정상","13","영업중","","","","","051-466-8105","","601838","부산광역시 동구 초량동 1187-1","부산광역시 동구 중앙대로 206 (초량동)","48760","코레일관광개발(주)부산지사","20210119124102","U","2021-01-21 02:40:00.0","","386163.228186082","181532.301423753","국제회의기획업","","","","","","","","","","","","KORAIL TOURISM DEVELOPMENT (BUSAN BRANCH)","PROFESSIONAL CONGRESS / CONVENTION ORGANIZER","","","","","","","","","","","","","","","","","2000000000","","","","",
"6","국제회의기획업","03_08_01_P","3280000","CDFI2263102015000001","20150519","","03","폐업","03","폐업","20171231","","","","051-463-1180","","","부산광역시 영도구 동삼동 746-2","부산광역시 영도구 태종로 736, 5층 (동삼동)","49124","(주)혜음","20180103153649","I","2018-08-31 23:59:59.0","","389594.430547023","176572.977127069","국제회의기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","국제회의기획업","03_08_01_P","3280000","CDFI2263102019000001","20160707","","01","영업/정상","13","영업중","","","","","051-741-5115","","","부산광역시 영도구 대교동1가 59 Sea-Side Complex Town","부산광역시 영도구 봉래나루로 33, Sea-Side Complex Town 304호 (대교동1가)","49037","(주)제이에이치씨글로벌","20201124164554","U","2020-11-26 02:40:00.0","","385754.477258744","179113.980448494","국제회의기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","국제회의기획업","03_08_01_P","3280000","CDFI2263102021000001","20210621","","01","영업/정상","13","영업중","","","","","051-715-0727","","","부산광역시 영도구 대교동1가 59 Sea-Side Complex Town","부산광역시 영도구 봉래나루로 33, Sea-Side Complex Town 307호 (대교동1가)","49037","코리아가이드센터 주식회사","20210621133228","I","2021-06-23 00:23:04.0","","385754.477258744","179113.980448494","국제회의기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000000","","","","",
"9","국제회의기획업","03_08_01_P","3290000","CDFI2263102013000001","20131128","","03","폐업","03","폐업","20210218","","","","051-816-6189","","614843","부산광역시 부산진구 부전동 266-2 11층","부산광역시 부산진구 중앙대로 749, 11층 (부전동)","47254","(주)혜도씨엔씨","20210219093149","U","2021-02-21 02:40:00.0","","387648.775141506","186437.263842461","국제회의기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"10","국제회의기획업","03_08_01_P","3290000","CDFI2263102000000001","20001114","","01","영업/정상","13","영업중","","","","","898-1701","","","부산광역시 부산진구 부전동 417-25 401호","부산광역시 부산진구 부전로 99-1, 401호 (부전동)","47258","부산국제교류센터","20161031133303","I","2018-08-31 23:59:59.0","","387128.557245587","186361.927556921","국제회의기획업","관광사업","","","","","","","","","","","BUSAN INTERNATIONAL EXCHANGE CENTER","PLANNING FOR INTERNATIONAL CONFERENCE INDUSTRY","","","","","","","","","","","","","","","","","","","","","",
