"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","대중문화예술기획업","03_08_02_P","3270000","CDFF3241092020000001","20201026","","01","영업/정상","13","영업중","","","","","0516316317","","","부산광역시 동구 좌천동 ***-*","부산광역시 동구 고관로 ***, 지하*층 ***호 (좌천동)","48775","제이에스(JS) 엔터테인먼트","20201026143517","I","2020-10-28 00:23:09.0","","386844.148030532","183305.334262891","대중문화예술기획업","유통관련업","","","공연기획","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","대중문화예술기획업","03_08_02_P","3290000","CDFF3241092016000001","20160201","20210804","04","취소/말소/만료/정지/중지","31","등록취소","","","","","","","","부산광역시 부산진구 부전동 ***-**","부산광역시 부산진구 서면문화로 **, *층 (부전동, 신진빌딩 )","47256","(주)RS ENT(알에스이엔티)","20210804151417","U","2021-08-06 02:40:00.0","","387195.598566803","186663.35243059","대중문화예술기획업","유통관련업","0","","공연시설 운영업, 공연장 운영, 광고 영화 및 비디오물 제작업 등","97.59","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","대중문화예술기획업","03_08_02_P","6260000","M04022022000001","20220209","","01","영업/정상","1","영업","","","","","","","","부산광역시 해운대구 우동 ***번지 *호 해운대비치오피스텔","부산광역시 해운대구 구남로**번길 **-*, ***호 (우동,해운대비치오피스텔)","","지에스엔터테인먼트 주식회사","20220221132033","I","2022-02-23 00:22:37.0","","396616.754466193","186870.171125089","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","IP산업, 컨텐츠제작","","",
"4","대중문화예술기획업","03_08_02_P","6260000","M04022022000002","20220221","","01","영업/정상","1","영업","","","","","","","","부산광역시 해운대구 우동 ****번지 *호 한일오르듀","부산광역시 해운대구 마린시티*로 **-* (우동,한일오르듀)","","주식회사 플라잉엔터테인먼트","20220221132939","I","2022-02-23 00:22:37.0","","395534.321856148","186145.130163447","대중문화예술기획업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","엔터테인먼트, 드라마 제작, 공연기획","","",
"5","대중문화예술기획업","03_08_02_P","6260000","M04022021000008","20211220","","01","영업/정상","1","영업","","","","","","","","부산광역시 수영구 민락동 ***번지 **호","부산광역시 수영구 민락로**번길 **-*, *층 (민락동)","","(주)지브라더스 컴퍼니","20211221095240","I","2021-12-22 00:22:42.0","","393243","186196","대중문화예술기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","매니지먼트 및 영화제작업","","",
"6","대중문화예술기획업","03_08_02_P","6260000","M04022021000009","20211220","","01","영업/정상","1","영업","","","","","","","","부산광역시 동구 초량동 ****번지 *호 강남빌딩","부산광역시 동구 중앙대로 ***-*, ***호 (초량동,강남빌딩)","","924 컴퍼니","20211221095347","I","2021-12-22 00:22:42.0","","386177.958994368","182089.626704726","대중문화예술기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","매니지먼트업, 영화 및 영상물 제작업","","",
"7","대중문화예술기획업","03_08_02_P","6260000","M04022017000002","20170703","","01","영업/정상","1","영업","","","","","","","","대구광역시 중구 삼덕동*가 ***번지","부산광역시 해운대구 세실로 **, ***호 (좌동,좌동메디컬센타)","","제이엠엔터테인먼트","20170703131223","I","2022-01-26 00:22:40.0","","344873.395241","263736.795712","대중문화예술기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","연예대행에이전시 등","","",
"8","대중문화예술기획업","03_08_02_P","6260000","M04022019000001","20190429","","01","영업/정상","1","영업","","","","","07041773726","","","부산광역시 부산진구 가야동 ***번지 *호","부산광역시 부산진구 대학로 **-* (가야동,지하)","","디에스와이(DSY) 엔터테인먼트","20190429165446","I","2022-01-26 00:22:40.0","","385350.312081306","185205.797111274","대중문화예술기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","연예기획사","","",
"9","대중문화예술기획업","03_08_02_P","6260000","M04022019000002","20190821","","01","영업/정상","1","영업","","","","","0513028101","","","부산광역시 수영구 광안동 ***번지 *호 *** ***동 ****호","부산광역시 수영구 수영로 ***-*, ***동 ****호 (광안동,힐탑더블시티)","","신라인터렉티브 주식회사","20210323172632","I","2022-01-26 00:22:40.0","","392545","186920","대중문화예술기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","연예기획사, 전시컨벤션 및 행사대행, 공연기획 등","","",
"10","대중문화예술기획업","03_08_02_P","6260000","M04022019000003","20190923","","01","영업/정상","1","영업","","","","","0513339936","","","부산광역시 사상구 모라동 ****번지 *호 모라동원타운 상가*동","부산광역시 사상구 백양대로 ***-*, 상가*동 *층 ***호 (모라동,모라동원타운)","","(주)제이엠커뮤니케이션","20190923142102","I","2022-01-26 00:22:40.0","","381161.2741216","189074.01336753","대중문화예술기획업","","","","","","","","","","","","","","","","","","","","","","","","","","","","공연기획, 연예매니지먼트","","",
