"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"1","문화예술법인","03_08_03_P","6260000","A0100626000020080028","20020228","","01","영업/정상","1","","","","","","0515146401","","","부산광역시 금정구 장전동 293번지 29호","부산광역시 금정구 장전로 14 (장전동)","","사단법인 부경역사연구소","20210412201732","U","2021-04-14 02:40:00.0","","389961.618634579","194068.682684419","문화(사단)","","","","","","","","","","우리나라 역사를 올바르게 연구하고 그 성과를 일반에게 보급함으로써, 지역문화와 민족사의 발전에 기여","허가서 이면 참조","","사단법인 부경역사연구소",
"2","문화예술법인","03_08_03_P","6260000","A0100626000020080029","20051209","","01","영업/정상","1","","","","","","0515178271","","","부산광역시 금정구 금성동 524번지 1호","부산광역시 금정구 북문로 24 (금성동)","","재단법인 대일체불교","20161212183754","I","2018-08-31 23:59:59.0","","387184.48615400000","197031.95440900000","종교(재단)","","","","","","","","","","불교포교활동을 위한 불교경전 한글화 및 대중화를 위한 경전번역과 출판사업, 전통문화계승 및 지역사회
문화사업 육성과 지원등을 통한 국민화합, 문화창달, 불국토 건설을 목적으로 함.","허가서 이면 참조","","재단법인 대일체불교",
"3","문화예술법인","03_08_03_P","6260000","A0100626000020080030","20001223","","01","영업/정상","1","","","","","","0518666061","","","부산광역시 연제구 연산동 산 182번지","부산광역시 연제구 황령산로517번길 9 (연산동)","","사단법인 아가페세계선원우호증진회","20170119175150","I","2018-08-31 23:59:59.0","","389553.960718599","186981.305930852","종교(사단)","","","","","","","","","","세계 해양수산인 및 관련 산업에 종사하는 모든 사람에게 복음 전파와 선원 복지 향상으로 해상 생활의 가치를 창출시켜 해상근무 의욕 고취와 세계 복음화에 일익을 담당함.","설립허가증 뒷면 참조","","사단법인 아가페세계선원우호증진회",
"4","문화예술법인","03_08_03_P","6260000","A0100626000020080031","20020502","","01","영업/정상","1","","","","","","0515560278","","","부산광역시 동래구 명륜동 113번지 1호","부산광역시 금정구 서부곡로15번길 5-0 (부곡동)","","사단법인 대한불교 승가종","20211203165122","U","2021-12-05 02:40:00.0","","390219.960459166","193862.390054929","종교(사단)","","","","","","","","0","","불법승 삼보를 신행하고 원융무애한 석가모니의 자비실천사상을 받들어서 상구보리 하화중생하여
개인의 성불과 사회의 교화를 통한 불국토 건설을 목표로 승가와 재가를 분별하지 않는 다각적이고도
광범위한 포교활동과 자비의 서원을 구현하는 사업을 전개함으로써 우리나라 불교문화의 중흥과 발전에 이바지","허가서 이면 참조","","사단법인 대한불교 승가종",
"5","문화예술법인","03_08_03_P","6260000","A0100626000020080032","19650630","","01","영업/정상","1","","","","","","0517531131","","","부산광역시 수영구 광안동 1278번지","부산광역시 수영구 수영로497번길 20 (광안동)","","재단법인 부산 성 베네딕도수녀회","20220413142747","U","2022-04-15 02:40:00.0","","392030.325089805","185588.703416583","종교(재단)","","","","","","","","0","",".","허가서 이면 참조","","재단법인 부산 성 베네딕도수녀회",
"6","문화예술법인","03_08_03_P","6260000","A0100626000020080034","20080811","","01","영업/정상","1","","","","","","0516423300","","","부산광역시 수영구 민락동 165번지 9호","부산광역시 수영구 광남로 194-1 (민락동)","","사단법인 청목문화회","20081113130955","I","2018-08-31 23:59:59.0","","393172.358427435","186358.391073317","문화(사단)","","","","","","","","","","부산/경남지역의 도서보급과 독서활성화를 통해 유소년 및 청소년의 올바른 정서함양에 기여함으로써
밝고 건강한 사회를 이룩","허가서 이면 참조","","사단법인 청목문화회",
"7","문화예술법인","03_08_03_P","6260000","A0100626000020090041","20091014","","01","영업/정상","1","","","","","","0514630118","","","부산광역시 동구 초량동 1210번지 6호","부산광역시 동구 중앙대로 169 (초량동)","","한국통합예술심리치료협회","20091014172037","I","2018-08-31 23:59:59.0","","385747.06854269","181215.206591337","문화(사단)","","","","","","","","","","통합예술치료 연구 및 인력양성, 교육수준 향상 도모","","","한국통합예술심리치료협회",
"8","문화예술법인","03_08_03_P","6260000","A0100626000020090043","20091029","","01","영업/정상","1","","","","","","0515018388","","","부산광역시 동래구 사직동 144번지 2호","부산광역시 동래구 중앙대로 1291-1 (사직동)","","한국예술문화협회","20091029180339","I","2018-08-31 23:59:59.0","","389139.045147881","191223.590881805","문화(사단)","","","","","","","","","","디자인, 미술, 음악, 공예 등 실용예술문화의 교육, 인력양성 및 연구개발","","","한국예술문화협회",
"9","문화예술법인","03_08_03_P","6260000","A0100626000020090044","20091110","","01","영업/정상","1","","","","","","0518688966","","","부산광역시 해운대구 중동 1511번지 7호","부산광역시 해운대구 달맞이길117번길 47 (중동)","","사단법인 장원차문화교류회","20091110102730","I","2018-08-31 23:59:59.0","","398142.283427401","186685.428703892","문화(사단)","","","","","","","","","","차문화 저변 확대, 국제 차문화 교류 등을 통해 차문화 발전에 기여","","","사단법인 장원차문화교류회",
"10","문화예술법인","03_08_03_P","6260000","A0100626000020090045","20091124","","01","영업/정상","1","","","","","","0513178845","","","부산광역시 사상구 엄궁동 1번지 10호 삼성타워상가동  301호","","","(사)부산서원엽합회","20091124145157","I","2018-08-31 23:59:59.0","","380163.956811488","183523.592394914","문화(사단)","","","","","","","","","","서예발전 및 교육","","","(사)부산서원엽합회",
