"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","노래연습장업","03_09_01_P","3250000","CDFF3242052003000004","20030113","","03","폐업","03","폐업","20061130","","","","243-1131","","600044","부산광역시 중구 남포동4가 28-2번지","부산광역시 중구 자갈치로 74  (남포동4가)","","오아시스","20061130172853","I","2018-08-31 23:59:59.0","","385245.210686255","179481.172254892","노래연습장업","유통관련업","","","","231.2","3","","근린생활시설","","","8","","N","N","N","N","N","N","","","","","","","","","","","","",
"2","노래연습장업","03_09_01_P","3250000","CDFF3242052003000005","20030327","","03","폐업","03","폐업","20090429","","","","467-3587","","600815","부산광역시 중구 중앙동4가 55-6번지","부산광역시 중구 중앙대로93번길 3  (중앙동4가)","","샤본","20090504162404","I","2018-08-31 23:59:59.0","","385534.479524057","180422.917954098","노래연습장업","유통관련업","7","기타","","88.46","2","","근린생활시설","1.3","41","5","1","N","Y","Y","Y","Y","Y","","","","","","","","","","","","일반상업지역",
"3","노래연습장업","03_09_01_P","3250000","CDFF3242052003000006","20030417","","03","폐업","03","폐업","20040901","","","","245-8214","","600023","부산광역시 중구 동광동3가 21-1번지","부산광역시 중구 백산길 18  (동광동3가)","","호심","20040901144719","I","2018-08-31 23:59:59.0","","385501.48186900000","180233.23297100000","노래연습장업","유통관련업","3","기타","","114.05","1","","근린생활시설","1.3","40","3","","N","Y","Y","N","Y","Y","","","","","","","","","","","","일반상업지역",
"4","노래연습장업","03_09_01_P","3250000","CDFF3242052003000007","20030702","","03","폐업","03","폐업","20050216","","","","242-8089","","600046","부산광역시 중구 남포동6가 6번지","","","진양","20050216174232","I","2018-08-31 23:59:59.0","","","","노래연습장업","유통관련업","6","","","121.68","","1","근린생활시설","1.2","44","5","","Y","Y","Y","N","Y","N","","","","","","","","","","","","",
"5","노래연습장업","03_09_01_P","3250000","CDFF3242052003000008","20031215","","03","폐업","03","폐업","20200803","","","","253-6777","","","부산광역시 중구 부평동2가 22-3","부산광역시 중구 중구로29번길 30-1 (부평동2가)","48977","도깨비노래연습장","20200803163425","U","2020-08-05 02:40:00.0","","384681.781288739","179821.761426374","노래연습장업","유통관련업","5","","","130.81","2","","근린생활시설","1","38","5","","Y","Y","Y","","Y","Y","","","","","","","","","","","","",
"6","노래연습장업","03_09_01_P","3250000","CDFF3242052006000001","20060405","","03","폐업","03","폐업","20071116","","","","256-3535","","600092","부산광역시 중구 대청동2가 34-1번지","부산광역시 중구 광복중앙로 28-1  (대청동2가)","","GIV 노래연습장","20071116142528","I","2018-08-31 23:59:59.0","","385126.03216158","179976.116994375","노래연습장업","유통관련업","6","학교정화(상대)","","206.85","5","1","근린생활시설","","","","","N","N","N","N","N","N","","","","","","","","","","","","상업지역",
"7","노래연습장업","03_09_01_P","3250000","CDFF3242052002000009","20020802","","03","폐업","03","폐업","20070227","","","","247-4896","","600060","부산광역시 중구 신창동1가 36-6번지","부산광역시 중구 광복중앙로33번길 7-2  (신창동1가)","","짱","20070227174949","I","2018-08-31 23:59:59.0","","385020.56996027","179991.027476809","노래연습장업","유통관련업","2","","","41.5","1","","","","","4","","N","N","N","N","N","N","","","","","","","","","","","","",
"8","노래연습장업","03_09_01_P","3250000","CDFF3242052002000012","20020624","","03","폐업","03","폐업","20040712","","","","246-9887","","600806","부산광역시 중구 부평동2가 68-9번지","부산광역시 중구 부평1길 39  (부평동2가)","","제일","20040712170352","I","2018-08-31 23:59:59.0","","384635.943534804","179897.446833874","노래연습장업","유통관련업","6","","","170.4","","1","근린생활시설","","","6","","N","N","N","N","N","N","","","","","","","","","","","","",
"9","노래연습장업","03_09_01_P","3250000","CDFF3242052002000013","20020702","","03","폐업","03","폐업","20160831","","","","242-1388","","","부산광역시 중구 남포동2가 19-3번지","부산광역시 중구 남포길 17-1 (남포동2가)","48953","드래곤노래연습장","20160831143226","I","2018-08-31 23:59:59.0","","385108.519255785","179641.230503776","노래연습장업","유통관련업","4","","","112.4","","1","근린생활시설","","","12","11","N","N","N","Y","N","N","","","","","","","","","","","","",
"10","노래연습장업","03_09_01_P","3250000","CDFF3242052007000001","20070607","","03","폐업","03","폐업","20080502","","","","","","600044","부산광역시 중구 남포동4가 8-1번지","부산광역시 중구 자갈치로59번길 2  (남포동4가)","","흑진주 노래연습장","20080506141014","I","2018-08-31 23:59:59.0","","385111.300375734","179512.61589748","노래연습장업","유통관련업","6","","","139.95","5","1","근린생활시설","","","4","","Y","Y","N","N","Y","Y","","","","","","","","","","","","",
