"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물감상실업","03_10_01_P","3250000","CDFF1242011996000003","19961007","","03","폐업","03","폐업","20191128","","","","244-6311","","","부산광역시 중구 남포동3가 2-2번지","부산광역시 중구 비프광장로 33 (남포동3가)","48953","시네마타운 DVD 영화관","20191128150943","U","2019-11-30 02:40:00.0","","384915.689642462","179649.862331587","비디오물감상실업","","","","","159.34","5","","","","","","","","","","","","","자동","","","","","","","","","","","",
"2","비디오물감상실업","03_10_01_P","3250000","CDFF1242011996000004","19961029","","03","폐업","03","폐업","20050901","","","","254-5425","","600043","부산광역시 중구 남포동3가 7-2번지","부산광역시 중구 남포길 7-2  (남포동3가)","","딩동댕영화감상실","20050901114035","I","2018-08-31 23:59:59.0","","385011.467650322","179654.869090762","비디오물감상실업","유통관련업","","","","","","","","","","","","","","","","","","자동","","","","","","","","","","","",
"3","비디오물감상실업","03_10_01_P","3250000","CDFF1242011998000001","19980311","","03","폐업","03","폐업","20030602","","","","246-2058","","600042","부산광역시 중구 남포동2가 24-2번지","부산광역시 중구 구덕로34번길 5  (남포동2가)","","공간","20030612100154","I","2018-08-31 23:59:59.0","","385218.79840126","179597.269883196","비디오물감상실업","유통관련업","4","","","69.42","4","","근린생활시설","","","","","","","","","","","자동","","","","","","","","","","","",
"4","비디오물감상실업","03_10_01_P","3250000","CDFF1242012000000001","20001230","","03","폐업","03","폐업","20171220","","","","257-9531","","","부산광역시 중구 남포동6가 101-2번지","부산광역시 중구 구덕로84번길 7 (남포동6가)","48981","드림비디오감상실","20171220152849","I","2018-08-31 23:59:59.0","","384696.29628254","179529.542473352","비디오물감상실업","","","","","230.83","","","","","","","","","","","","","","자동","","","","","","","","","","","",
"5","비디오물감상실업","03_10_01_P","3250000","CDFF1242012001000001","20010329","","03","폐업","03","폐업","20050719","","","","243-1392","","600807","부산광역시 중구 부평동2가 36-1번지","부산광역시 중구 광복로12번길 8  (부평동2가)","","발리","20050719164105","I","2018-08-31 23:59:59.0","","384688.883530635","179631.948811904","비디오물감상실업","유통관련업","5","","","158.75","3","","근린생활시설","","","","","","","","","","","자동","","","","","","","","","","","",
"6","비디오물감상실업","03_10_01_P","3250000","CDFF1242012001000002","20010621","","03","폐업","03","폐업","20040107","","","","244-5987","","600046","부산광역시 중구 남포동6가 102-2번지","부산광역시 중구 비프광장로 8  (남포동6가)","","엑스피아","20040119165908","I","2018-08-31 23:59:59.0","","384677.260401258","179557.228245877","비디오물감상실업","유통관련업","","","","","4","","근린생활시설","","","","","","","","","","","자동","","","","","","","","","","","",
"7","비디오물감상실업","03_10_01_P","3250000","CDFF1242012001000004","20011203","","03","폐업","03","폐업","20030228","","","","248-3145","","600805","부산광역시 중구 부평동1가 35-6번지","부산광역시 중구 광복로 13-1  (부평동1가)","","아카데미","20030303151513","I","2018-08-31 23:59:59.0","","384719.311628023","179713.154156301","비디오물감상실업","유통관련업","6","","","","5","","근린생활시설","","","","","","","","","","","자동","","","","","","","","","","","",
"8","비디오물감상실업","03_10_01_P","3250000","CDFF1242012001000005","20010419","","03","폐업","03","폐업","20111115","","","","242-4342","","","부산광역시 중구 남포동5가 2-1번지","부산광역시 중구 구덕로48번길 1  (남포동5가)","","파라오영화감상실","20111213171114","I","2018-08-31 23:59:59.0","","385081.264526305","179606.453177655","비디오물감상실업","","","","","","","","","","","","","","","","","","","자동","","","","","","","","","","","",
"9","비디오물감상실업","03_10_01_P","3250000","CDFF1242012001000007","20010706","","03","폐업","03","폐업","20101112","","","","243-4903","","600046","부산광역시 중구 남포동6가 65-1번지","부산광역시 중구 구덕로84번길 5  (남포동6가)","","야누스","20101112163809","I","2018-08-31 23:59:59.0","","384697.119071054","179510.26293209","비디오물감상실업","유통관련업","","","","","","","","","","","","","","","","","","자동","","","","","","","","","","","",
"10","비디오물감상실업","03_10_01_P","3250000","CDFF1242012003000002","20030507","","03","폐업","03","폐업","20070912","","","","","","600045","부산광역시 중구 남포동5가 4-2번지","부산광역시 중구 구덕로 52  (남포동5가)","","DVD2","20070912134422","I","2018-08-31 23:59:59.0","","385045.492297073","179596.661307765","비디오물감상실업","유통관련업","4","","","207","3","","근린생활시설","1.7","","","","","","","","","","자동","","","","","","","","","","","",
