"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물배급업","03_10_02_P","3270000","CDFF1241112000000001","20000630","","01","영업/정상","13","영업중","","","","","051)461-0988","","","부산광역시 동구 수정동 ***-**번지 *통*반 B층 ***","부산광역시 동구 초량상로***번길 *  (수정동,B층 ***)","","아이비리그","20091113163409","I","2018-08-31 23:59:59.0","","386144.267939369","182484.449634237","비디오물배급업","","","","비디오물","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","비디오물배급업","03_10_02_P","3290000","CDFF1241111999000001","19991230","","03","폐업","03","폐업","20170115","","","","","","","부산광역시 부산진구 양정동 ***번지 *층 **호","부산광역시 부산진구 동평로***번길 **  (양정동,*층 **호)","","금성미디어","20170120142550","I","2018-08-31 23:59:59.0","","388486.657611629","187914.991351658","비디오물배급업","","","","비디오","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","비디오물배급업","03_10_02_P","3290000","CDFF1241112001000001","20010216","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 ***-**번지","부산광역시 부산진구 서면로**번길 **  (부전동)","","한일기획","20091119180429","I","2018-08-31 23:59:59.0","","387507.350171264","185925.409482326","비디오물배급업","","","","비디오","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","비디오물배급업","03_10_02_P","3290000","CDFF1241112000000001","20000901","","04","취소/말소/만료/정지/중지","35","직권말소","20100329","","","","","","","부산광역시 부산진구 부전동 ***-*번지","부산광역시 부산진구 중앙대로 ***  (부전동)","","공영프로덕션","20100419093804","I","2018-08-31 23:59:59.0","","387573.84597643","186341.582103738","비디오물배급업","","","","비디오","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","비디오물배급업","03_10_02_P","3300000","CDFF1241112000000001","20000908","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 온천동 ****-*번지","부산광역시 동래구 아시아드대로***번길 **  (온천동)","","대안영상음반프로덕션","20091113131556","I","2018-08-31 23:59:59.0","","388076.389696558","191407.941480296","비디오물배급업","","","","비디오배급","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","비디오물배급업","03_10_02_P","3310000","CDFF1241112021000001","20210126","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 문현동 ****-*","부산광역시 남구 전포대로 ***, **층 (문현동)","48400","(주)에이치엘 스토리","20210126153934","I","2021-01-28 00:23:13.0","","388150.394268792","185188.729710212","비디오물배급업","","","","비디오물","28.18","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","비디오물배급업","03_10_02_P","3330000","CDFF1241112008000001","20081017","","03","폐업","03","폐업","20141229","","","","","","","부산광역시 해운대구 우동 ****번지 ***호","부산광역시 해운대구 마린시티*로 *, ***호 (우동)","612822","파란미디어","20141229113508","I","2018-08-31 23:59:59.0","","395615.201853958","186406.750870936","비디오물배급업","","","","비디오물배급","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","비디오물배급업","03_10_02_P","3330000","CDFF1241112013000002","20130318","","03","폐업","03","폐업","20151207","","","","","","","부산광역시 해운대구 우동 ****번지 선프라자 ***호","부산광역시 해운대구 마린시티*로 *, ***호 (우동, 선프라자)","48092","테드미디어","20151207152720","I","2018-08-31 23:59:59.0","","395615.201853958","186406.750870936","비디오물배급업","","","","영화,기업홍보영상 등","68.66","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","비디오물배급업","03_10_02_P","3330000","CDFF1241112014000001","20141218","","03","폐업","03","폐업","20161014","","","","051-746-0590","","","부산광역시 해운대구 우동 ****번지 센텀벤처타운 ***호","부산광역시 해운대구 센텀동로 **, ***호 (우동, 센텀벤처타운)","48059","(주)씨에이씨엔터테인먼트","20161014102003","I","2018-08-31 23:59:59.0","","394038.562998688","188042.384551855","비디오물배급업","","","","비디오물배급","101.15","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","비디오물배급업","03_10_02_P","3330000","CDFF1241112009000001","20091204","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 중동 ***-*번지","","","제4TV","20091204174318","I","2018-08-31 23:59:59.0","","","","비디오물배급업","","","","영상물배급","37.19","","","","","","","","","","","","","","","","","","","","","","","","","",
"11","비디오물배급업","03_10_02_P","3330000","CDFF1241112012000001","20120302","","01","영업/정상","13","영업중","","","","","051-938-8024","","","부산광역시 해운대구 우동 ****번지 부산영화촬영스튜디오 *층","부산광역시 해운대구 해운대해변로 ** (우동)","48090","(주)에이씨피컴퍼니","20120302173826","I","2018-08-31 23:59:59.0","","394912.12222547","186698.080978428","비디오물배급업","","2","","영상콘텐츠","46.2","","","","","","","","","","","","","","","","","","","","","","","","","",
"12","비디오물배급업","03_10_02_P","3330000","CDFF1241112013000001","20130129","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 ****-*번지 영상산업센터 ****호","부산광역시 해운대구 센텀서로 **, 영상산업센터 ****호 (우동)","48058","퍼니콘(FUNNYCON)","20181212165330","U","2018-12-14 02:40:00.0","","393674.032955782","187973.297243244","비디오물배급업","","","","콘텐츠","59.99","","","","","","","","","","","","","","","","","","","","","","","","","",
"13","비디오물배급업","03_10_02_P","3330000","CDFF1241112017000001","20100222","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 석대동 ***번지","부산광역시 해운대구 반송로***번길 ** (석대동)","48002","(주)동호전자","20170406092157","I","2018-08-31 23:59:59.0","","392947.731623916","193242.178055963","비디오물배급업","","3","기타","3D영상물","184.8","1","3","","","","","","","","","","","","","","","","","","","","","","","준공업지역",
"14","비디오물배급업","03_10_02_P","3330000","CDFF1241112018000001","20170718","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 ****-* 영상산업센터 ****호","부산광역시 해운대구 센텀서로 **, 영상산업센터 ****호 (우동)","48058","(주)씨에이씨엔터테인먼트","20210609153530","U","2021-06-11 02:40:00.0","","393674.032955782","187973.297243244","비디오물배급업","","","","영상콘텐츠","82.11","4","3","","","","","","","","","","","","","","","","","","","","","","","일반상업지역",
"15","비디오물배급업","03_10_02_P","3330000","CDFF1241112021000002","20190625","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 ****-* 영상산업센터 ***호","부산광역시 해운대구 센텀서로 **, 영상산업센터 ***호 (우동)","48058","(주)바림","20210526113804","I","2021-05-28 00:22:55.0","","393674.032955782","187973.297243244","비디오물배급업","","3","","영화,영상","61.5","3","","","","","","","","","","","","","","","","","","","","","","","","",
"16","비디오물배급업","03_10_02_P","3330000","CDFF1241112021000001","20210202","","01","영업/정상","13","영업중","","","","","051-704-7125","","","부산광역시 해운대구 우동 ****-* 영상산업센터 ****호","부산광역시 해운대구 센텀서로 **, 영상산업센터 ****호 (우동)","48058","주식회사 퍼니콘(FUNNYCON Co., Ltd.)","20220210171147","U","2022-02-12 02:40:00.0","","393674.032955782","187973.297243244","비디오물배급업","","","","웹드라마 등 비디오물 일체","44.7","","","","","","","","","","","","","","","","","","","","","","","","","",
"17","비디오물배급업","03_10_02_P","3340000","CDFF1241112012000001","20120626","","01","영업/정상","13","영업중","","","","","070-7494-0211","","","부산광역시 사하구 괴정동 ***-*번지","부산광역시 사하구 낙동대로***번길 * (괴정동)","49399","(주)에이피엔터테인먼트","20120626162540","I","2018-08-31 23:59:59.0","","380600.852830818","179643.924481708","비디오물배급업","","2","","성인/전체이용가영상컨텐츠, UCC/홍보동영상","88.2","2","0","","","","","","","","","","","","","","","","","","","","","","","",
"18","비디오물배급업","03_10_02_P","3370000","CDFF1241112004000001","20040716","","03","폐업","03","폐업","20091119","","","","","","","부산광역시 연제구 연산동 뉴그랜드오피스텔 ****호","","","(주)지에스피아","20091119111916","I","2018-08-31 23:59:59.0","","","","비디오물배급업","","","","비디오","","","","","","","","","","","","","","","","","","","","","","","","","","",
