"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000011","19960911","","02","휴업","02","휴업","","20021231","20021231","","808-5479","","614850","부산광역시 부산진구 부전동 522-10번지","부산광역시 부산진구 서면로 19  (부전동)","","대부비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","387426.204076648","185631.882759859","비디오물시청제공업","유통관련업","4","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",
"2","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000012","19960912","","02","휴업","02","휴업","","20021231","20021231","","806-9988","","614847","부산광역시 부산진구 부전동 517-33번지","부산광역시 부산진구 가야대로784번길 51  (부전동)","","꿈꾸는골목비디오감상","20030127161348","I","2018-08-31 23:59:59.0","","387396.997892035","185932.359044491","비디오물시청제공업","유통관련업","3","","","107","","1","","","","","","","","","","","","","","","","","","","","","","","",
"3","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031998000005","19980616","","02","휴업","02","휴업","","20021231","20021231","","806-860","","614846","부산광역시 부산진구 부전동 233-16번지","","","센타포드비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","387479.399412989","185623.856661782","비디오물시청제공업","유통관련업","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",
"4","비디오물시청제공업","03_10_04_P","3290000","CDFF1242032002000004","20021016","","03","폐업","03","폐업","20040330","","","","802-4573","","614845","부산광역시 부산진구 부전동 192-4번지","부산광역시 부산진구 중앙대로 696  (부전동)","","넥스트dvd감상실","20040330161245","I","2018-08-31 23:59:59.0","","387592.028840254","185914.412094295","비디오물시청제공업","유통관련업","","","","218","","1","근린생활시설","","","","","","","","","","","","","","N","N","","","","","","","",
"5","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000005","19960906","","03","폐업","03","폐업","20001205","","","","802-1452","","614845","부산광역시 부산진구 부전동 196-2번지","부산광역시 부산진구 신천대로50번길 65  (부전동)","","아카데미비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","387619.502305482","185780.509218126","비디오물시청제공업","유통관련업","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"6","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000006","19960906","","03","폐업","03","폐업","20011231","","","","802-5709","","614846","부산광역시 부산진구 부전동 225-3번지","부산광역시 부산진구 중앙대로680번길 34  (부전동)","","빠삐용비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","387738.488783108","185731.439010333","비디오물시청제공업","유통관련업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000007","19960906","","03","폐업","03","폐업","19991026","","","","802-8412","","614846","부산광역시 부산진구 부전동 219-1번지","","","레옹비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","387785.244479896","185848.968800503","비디오물시청제공업","유통관련업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000021","19961016","","03","폐업","03","폐업","20000731","","","","851-461","","614853","부산광역시 부산진구 양정동 362-2번지","부산광역시 부산진구 양지로5번길 12  (양정동)","","체프린비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","388516.394069723","187617.652331728","비디오물시청제공업","유통관련업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031997000001","19970108","","03","폐업","03","폐업","20000115","","","","819-9967","","614847","부산광역시 부산진구 부전동 490-16번지","부산광역시 부산진구 서면로 69-1  (부전동)","","오스카비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","387409.530483328","186141.938258288","비디오물시청제공업","유통관련업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031997000002","19970806","","03","폐업","03","폐업","20010107","","","","861-1826","","614856","부산광역시 부산진구 양정동 393-17번지","부산광역시 부산진구 중앙대로909번길 8  (양정동)","","시네마월드비디오감상","20030127161348","I","2018-08-31 23:59:59.0","","388473.867713581","187800.867308688","비디오물시청제공업","유통관련업","2","","","0","0","1","","","","","","","","","","","","","","","","","","","","","","","",
"11","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031997000005","19971219","","03","폐업","03","폐업","20010710","","","","631-5225","","614826","부산광역시 부산진구 당감동 886-47번지","","","짠비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","","","비디오물시청제공업","유통관련업","4","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",
"12","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031998000001","19980121","","03","폐업","03","폐업","20040115","","","","806-1610","","614847","부산광역시 부산진구 부전동 257-44번지","부산광역시 부산진구 서면로68번길 5  (부전동)","","시네마월드영화감상실","20040227140442","I","2018-08-31 23:59:59.0","","387473.037081381","186111.718426202","비디오물시청제공업","유통관련업","5","","","115","2","","","","","","","","","","","","","","","","N","N","","","","","","","",
"13","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031998000002","19980206","","03","폐업","03","폐업","20010209","","","","867-5346","","614853","부산광역시 부산진구 양정동 352-5번지","부산광역시 부산진구 중앙대로 912  (양정동)","","오스카비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","388550.992604214","187781.179818075","비디오물시청제공업","유통관련업","3","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",
"14","비디오물시청제공업","03_10_04_P","3290000","CDFF1242032000000001","20000104","","03","폐업","03","폐업","20040910","","","","804-2297","","614846","부산광역시 부산진구 부전동 219-1번지","","","베니스비디오감상실","20040910131917","I","2018-08-31 23:59:59.0","","387785.244479896","185848.968800503","비디오물시청제공업","유통관련업","3","","","115","3","","","","","","","","","","","","","","","","N","N","","","","","","","",
"15","비디오물시청제공업","03_10_04_P","3290000","CDFF1242032000000002","20000509","","03","폐업","03","폐업","20210412","","","","803-3275","","","부산광역시 부산진구 부전동 522-6","부산광역시 부산진구 서면로 21-1 (부전동)","","동경비디오감상실","20210412153142","U","2021-04-14 02:40:00.0","","387418.074419392","185662.235805242","비디오물시청제공업","","6","","","247","4","","","","","","","","","","","","","","","","N","N","","","","","","","",
"16","비디오물시청제공업","03_10_04_P","3290000","CDFF1242032000000003","20000526","","03","폐업","03","폐업","20041105","","","","868-83","","614853","부산광역시 부산진구 양정동 353-22번지","부산광역시 부산진구 양지로5번길 9  (양정동)","","허리우드100인치영화","20041105163313","I","2018-08-31 23:59:59.0","","388492.487954328","187630.142477313","비디오물시청제공업","유통관련업","5","","","211","4","","","","","","","","","","","","","","","","N","N","","","","","","","",
"17","비디오물시청제공업","03_10_04_P","3290000","CDFF1242032000000004","20000807","","03","폐업","03","폐업","20040907","","","","819-2706","","614872","부산광역시 부산진구 초읍동 292-19번지","부산광역시 부산진구 새싹로 287  (초읍동)","","MCM영화감상실","20040907104001","I","2018-08-31 23:59:59.0","","386379.052759587","188859.736882814","비디오물시청제공업","유통관련업","5","","","157.92","5","","","","","","","","","","","","","","","","N","N","","","","","","","",
"18","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000008","19960906","","03","폐업","03","폐업","20030531","","","","864-7115","","614853","부산광역시 부산진구 양정동 360-23번지","부산광역시 부산진구 양지로 19  (양정동)","","보아비디오감상실","20031111105927","I","2018-08-31 23:59:59.0","","388536.366822834","187471.002955333","비디오물시청제공업","유통관련업","4","","","99","3","","근린생활시설","","","","","","","","","","","","","","N","N","","","","","","","",
"19","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000009","19960906","","03","폐업","03","폐업","20030721","","","","862-2022","","614856","부산광역시 부산진구 양정동 394-19번지","부산광역시 부산진구 중앙대로 901  (양정동)","","베니스비디오감상실","20031111105605","I","2018-08-31 23:59:59.0","","388438.51773126","187704.240437589","비디오물시청제공업","유통관련업","4","","","148","2","","","","","","","","","","","","","","","","N","N","","","","","","","",
"20","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000010","19960906","","03","폐업","03","폐업","20020617","","","","864-5845","","614853","부산광역시 부산진구 양정동 360-4번지","부산광역시 부산진구 양지로17번길 4  (양정동)","","스크린비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","388542.081209477","187482.701922992","비디오물시청제공업","유통관련업","","","","72","2","","","","","","","","","","","","","","","","","","","","","","","","",
"21","비디오물시청제공업","03_10_04_P","3290000","CDFF1242031996000013","19960913","","03","폐업","03","폐업","20011220","","","","862-4494","","614853","부산광역시 부산진구 양정동 358-5번지","부산광역시 부산진구 진남로 498  (양정동)","","다인비디오감상실","20030127161348","I","2018-08-31 23:59:59.0","","388582.00175569","187434.50395579","비디오물시청제공업","유통관련업","3","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",
