"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물제작업","03_10_05_P","3250000","CDFF1241072000000001","20000619","","03","폐업","03","폐업","20100201","","","","245-5253","","","부산광역시 중구 동광동*가 **-*번지 세동빌딩*층","부산광역시 중구 광복로**번길 **  (동광동*가,세동빌딩*층)","","새미프로덕션","20100202090726","I","2018-08-31 23:59:59.0","","385467.464002578","179815.581556998","비디오물제작업","","","","비디오물","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","비디오물제작업","03_10_05_P","3250000","CDFF1241072015000002","20150617","","03","폐업","03","폐업","20180725","","","","","","","부산광역시 중구 대청동*가 **-*번지","부산광역시 중구 대청로 ***-*, ***동 ****호 (대청동*가)","48932","제이에이치미디어","20180725160214","I","2018-08-31 23:59:59.0","","385306.698876602","180120.939470659","비디오물제작업","","","","비디오파일, DVD","25.36","12","","","","","","","","","","","","","","","","","","","","","","","","",
"3","비디오물제작업","03_10_05_P","3250000","CDFF1241072017000001","20170116","","03","폐업","03","폐업","20180720","","","","","","","부산광역시 중구 영주동 **-*번지","부산광역시 중구 대영로 ***, *층 ***호 (영주동)","48911","초록우주선","20180720161801","I","2018-08-31 23:59:59.0","","385585.321891141","181149.765235809","비디오물제작업","","","","방송프로그램,기업 및 관공서 홍보영상","0","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","비디오물제작업","03_10_05_P","3250000","CDFF1241072022000002","20220323","","01","영업/정상","13","영업중","","","","","070-7576-4006","","","부산광역시 중구 중앙동*가 **-**","부산광역시 중구 중앙대로**번길 *-**, *층 (중앙동*가)","48929","종합광고대행사 백","20220323143329","I","2022-03-25 00:22:35.0","","385535.816309815","180389.267041597","비디오물제작업","","0","","영상물제작","49.59","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","비디오물제작업","03_10_05_P","3250000","CDFF1241072022000001","20220223","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동*가 *-*","부산광역시 중구 중앙대로 **, *층 (중앙동*가)","48957","순금미디어","20220223152357","I","2022-02-25 00:22:37.0","","385594.828970455","179944.897064347","비디오물제작업","","0","","기록물영상, 광고영상 등","71.62","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","비디오물제작업","03_10_05_P","3250000","CDFF1241072000000002","20001106","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동*가 **번지 선박빌딩*층","","","(주)엠엘미디어","20091119163004","I","2018-08-31 23:59:59.0","","","","비디오물제작업","","","","비디오물","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","비디오물제작업","03_10_05_P","3250000","CDFF1241072004000001","20040422","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동*가 부산우체국 **층","부산광역시 중구 중앙대로 ** (중앙동*가)","48931","(주)피케이티","20120622102225","I","2018-08-31 23:59:59.0","","385561.650139456","180152.738082365","비디오물제작업","","","","비디오물","","12","","","","","","","","","","","","","","","","","","","","","","","","",
"8","비디오물제작업","03_10_05_P","3250000","CDFF1241072006000001","20061211","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대청동*가 *번지 매일빌딩*층","부산광역시 중구 대청로 **-*  (대청동*가,매일빌딩*층)","","데자뷰영상","20091119163631","I","2018-08-31 23:59:59.0","","384996.125699611","180120.721061133","비디오물제작업","","","","비디오물","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","비디오물제작업","03_10_05_P","3250000","CDFF1241072008000001","20081002","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대창동*가 **-*번지 *층","부산광역시 중구 중앙대로 ***  (대창동*가,*층)","","(주)월드시티 네트워크","20091119174327","I","2018-08-31 23:59:59.0","","385671.145033222","180930.113505289","비디오물제작업","","","","비디오물","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","비디오물제작업","03_10_05_P","3250000","CDFF1241072011000001","20110725","","01","영업/정상","13","영업중","","","","","243-8633","","","부산광역시 중구 부평동*가 **-*번지","부산광역시 중구 중구로 **  (부평동*가)","","문화영상기획","20110725115233","I","2018-08-31 23:59:59.0","","384815.723600419","179991.718386639","비디오물제작업","","","","e-book,CD,DVD제작,영상편집,복사,촬영,변환","171.57","","","","","","","","","","","","","","","","","","","","","","","","","",
