"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"1","관광숙박업","03_11_01_P","3250000","CDFI2260031982000001","19821210","","02","휴업","02","휴업","","20220101","20221231","","051-248-1255","","","부산광역시 중구 광복동2가 2-72","부산광역시 중구 광복로67번길 8 (광복동2가)","48952","로얄관광호텔","20211223163303","U","2021-12-25 02:40:00.0","","385281.097068074","179685.35237689","관광숙박업","관광사업","","","","","","","","","100","","","","","","","","","","","6569","","","","","","","","","","","","","6569","관광호텔업",
"2","관광숙박업","03_11_01_P","3250000","CDFI2260031989000001","19890111","","02","휴업","02","휴업","","20220301","20220831","","051-253-0371","","600045","부산광역시 중구 남포동5가 80-1","부산광역시 중구 자갈치로47번길 3-1 (남포동5가)","48983","호텔노아","20220223141843","U","2022-02-25 02:40:00.0","","384966.283934876","179482.336622982","관광숙박업","관광사업","","10","","","","","9","1","51","0","CORP. KYUNG WON, HOTEL NOAH","TOURIST ACCOMMODATION(TOURIST HOTEL)","0","0","","0","0","","0","3186.56","","0","","","","","","","0","","","","3187","관광호텔업",
"3","관광숙박업","03_11_01_P","3250000","CDFI2260032008000001","20080416","","02","휴업","02","휴업","","20220609","20220731","","051-442-1045","","","부산광역시 중구 대창동1가 22-4","부산광역시 중구 중앙대로 125 (대창동1가)","48924","토요코인부산역Ⅱ","20220610164106","U","2022-06-12 02:40:00.0","","385610.773395183","180783.85947241","관광숙박업","관광사업","","25","","","","","23","2","491","","","","","","","","","","","12168.64","","","","","","","","","35300000000","","","","12169","관광호텔업",
"4","관광숙박업","03_11_01_P","3250000","CDFI2260031976000001","19761204","","03","폐업","03","폐업","20150609","","","","051-245-8061","","600045","부산광역시 중구 남포동5가 8-1번지","부산광역시 중구 구덕로 54-1  (남포동5가)","","피닉스호텔","20150609180112","I","2018-08-31 23:59:59.0","","385007.017930066","179584.983850781","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","관광숙박업","03_11_01_P","3250000","CDFI2260031988000001","19880112","","03","폐업","03","폐업","20060628","","","","051-246-5224","","600045","부산광역시 중구 남포동5가 88번지","부산광역시 중구 자갈치로37번길 4  (남포동5가)","","영진관광호텔","20060628142421","I","2018-08-31 23:59:59.0","","384910.4665739","179447.226505734","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","관광숙박업","03_11_01_P","3250000","CDFI2260031988000002","19880309","","03","폐업","03","폐업","20160107","","","","051-464-0567","","600811","부산광역시 중구 영주동 743-33번지","부산광역시 중구 중구로 160 (영주동)","","힐사이드관광호텔","20160107115410","I","2018-08-31 23:59:59.0","","385551.395066226","180800.325266415","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"7","관광숙박업","03_11_01_P","3250000","CDFI2260031993000001","19930409","","03","폐업","03","폐업","20111021","","","","466-9101","","600091","부산광역시 중구 대청동1가 37-1번지","부산광역시 중구 대청로 121-1  (대청동1가)","","(주)코모도호텔서라벌","20111021133026","I","2018-08-31 23:59:59.0","","385306.698876602","180120.939470659","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","관광숙박업","03_11_01_P","3250000","CDFI2260032014000001","20140325","","03","폐업","03","폐업","20180727","","","","051-260-5007","","600051","부산광역시 중구 창선동1가 12-1번지","부산광역시 중구 광복로39번길 6 (창선동1가)","48947","호텔 아벤트리 부산","20180727134130","I","2018-08-31 23:59:59.0","","384993.660072758","179733.755298836","관광숙박업","","","","","","","","","","81","","","","","","","","","","","10243.8","","","","","","","","","70000000000","","","","10244","관광호텔업",
"9","관광숙박업","03_11_01_P","3250000","CDFI2260032020000001","20200109","","03","폐업","03","폐업","20210618","","","","051-245-5800","","","부산광역시 중구 보수동3가 5-21","부산광역시 중구 보수대로106번길 5 (보수동3가)","48965","호텔 빌리","20210618152229","U","2021-06-20 02:40:00.0","","384256.505856525","180321.198150328","관광숙박업","","일반상업지역","","","","","","8","1","29","","","","","","","","","","","1035.27","","","","","","","","","","","","","1035","소형호텔업",
"10","관광숙박업","03_11_01_P","3250000","CDFI2260032019000001","20191112","","01","영업/정상","13","영업중","","","","","051-246-3657","","","부산광역시 중구 중앙동1가 21-12","부산광역시 중구 중앙대로41번길 3-1 (중앙동1가)","48957","수이호스텔","20211014111759","U","2021-10-16 02:40:00.0","","385574.520465677","179902.860301225","관광숙박업","","일반상업지역","5","","","현대해상","숙박시설","5","0","7","530","","","0","0","","0","0","","0","530.39","","0","","","","","","","1500000000","","","","530","호스텔업",
"11","관광숙박업","03_11_01_P","3250000","CDFI2260031974000002","19740907","","01","영업/정상","13","영업중","","","","","051-241-4301","","600022","부산광역시 중구 동광동2가 12-1","부산광역시 중구 광복로97번길 23 (동광동2가)","48951","(주)부산관광호텔","20201226162040","U","2020-12-29 02:40:00.0","","385447.404484988","179824.59033828","관광숙박업","관광사업","","14","","","","","14","","273","","","","","","","","","","","16395","","","","","","","","","","","","","16395","관광호텔업",
"12","관광숙박업","03_11_01_P","3250000","CDFI2260031978000001","19780515","","01","영업/정상","13","영업중","","","","","051-250-6002","","","부산광역시 중구 동광동3가 20","부산광역시 중구 백산길 20 (동광동3가, 타워호텔)","48951","타워힐관광호텔","20201226161825","U","2020-12-29 02:40:00.0","","385421.890632592","179905.806116814","관광숙박업","관광사업","","7","","","","","6","1","116","","","","","","","","","","","5658.34","","","","","","","","","","","","","5658","관광호텔업",
