"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"1","숙박업","03_11_03_P","3250000","3250000-214-2019-00001","20190325","","01","영업/정상","01","영업","","","","","051 248 7179","313.24","600046","부산광역시 중구 남포동6가 95-1번지","부산광역시 중구 비프광장로 14-2, 3.4층 (남포동6가)","48981","게스트하우스 디어문","20200413164835","U","2020-04-15 02:40:00.0","숙박업(생활)","384750.181191766","179577.979682064","숙박업(생활)","4","1","3","4","0","0","0","6","0","N","0","","","","","0","0","0","0","0","N",
"2","숙박업","03_11_03_P","3250000","3250000-214-2019-00002","20190902","","01","영업/정상","01","영업","","","","","","100.60","600063","부산광역시 중구 신창동3가 5-5번지","부산광역시 중구 광복로35번길 32, 2층 (신창동3가)","48946","로케트하우스","20190916143427","U","2019-09-18 02:40:00.0","숙박업(생활)","384920.980936057","179988.388814829","숙박업(생활)","4","1","2","2","0","0","0","2","0","N","0","","","","","0","0","0","0","0","N",
"3","숙박업","03_11_03_P","3250000","3250000-201-1974-00105","19740810","","01","영업/정상","01","영업","","","","","051247 4161","182.58","600045","부산광역시 중구 남포동5가 77-2번지","부산광역시 중구 자갈치로59번길 5-35 (남포동5가)","48983","남선장","20191217154654","U","2019-12-19 02:40:00.0","여관업","385011.695024004","179500.445439839","여관업","0","0","0","0","0","0","6","5","0","N","0","","","","임대","0","","","0","0","N",
"4","숙박업","03_11_03_P","3250000","3250000-201-1970-00116","19700828","","01","영업/정상","01","영업","","","","","051245 5277","93.32","600071","부산광역시 중구 부평동1가 41-7번지 ,8","부산광역시 중구 광복로12번길 7-5 (부평동1가, 41-7,8)","48980","세피아","20190710174539","U","2019-07-12 02:40:00.0","여관업","384716.50960162","179643.763677223","여관업","0","0","0","0","0","0","2","16","0","N","0","","","","","0","","","0","0","N",
"5","숙박업","03_11_03_P","3250000","3250000-201-2013-00002","20130501","","01","영업/정상","01","영업","","","","","051 464 6886","1,000.05","600817","부산광역시 중구 중앙동4가 81-8번지 외1필지","부산광역시 중구 충장대로5번길 38 (중앙동4가)","48937","호텔그레이194","20200325152724","U","2020-03-27 02:40:00.0","일반호텔","385707.82867579","180730.545161052","일반호텔","6","1","2","6","0","0","0","26","0","N","0","","","","자가","0","","","0","0","N",
"6","숙박업","03_11_03_P","3250000","3250000-201-1981-00092","19810708","","01","영업/정상","01","영업","","","","","051 2467314","265.00","600022","부산광역시 중구 동광동2가 17-14 외2필지","부산광역시 중구 중앙대로41번길 29-1 (동광동2가)","48951","(주)부산타워 게스트하우스","20211111162329","U","2021-11-13 02:40:00.0","여관업","385405.874368524","179804.415447363","여관업","0","0","0","0","0","0","2","12","0","N","0","","","","임대","0","0","0","0","0","N",
"7","숙박업","03_11_03_P","3250000","3250000-201-1960-00077","19601128","","01","영업/정상","01","영업","","","","","051 4698886","72.00","600811","부산광역시 중구 영주동 29-2번지","부산광역시 중구 초량중로6번길 17 (영주동)","48911","양지장","20181115110355","U","2018-11-17 02:36:30.0","여관업","385642.869016574","181175.611214346","여관업","0","0","0","0","0","0","0","10","0","N","0","","","","","0","","","0","0","N",
"8","숙박업","03_11_03_P","3250000","3250000-201-1993-00070","19930806","","01","영업/정상","01","영업","","","","","051 4419988","416.70","600811","부산광역시 중구 영주동 625-1번지","부산광역시 중구 대영로242번길 22 (영주동)","48923","스카이-힐","20181113100715","U","2018-11-15 02:35:49.0","여관업","385604.341047009","180901.337131577","여관업","0","0","0","0","0","0","0","19","0","N","0","","","","임대","0","","","0","0","N",
"9","숙박업","03_11_03_P","3250000","3250000-201-1983-00130","19830210","","01","영업/정상","01","영업","","","","","051 4629114","333.69","600102","부산광역시 중구 대창동2가 40-14번지","부산광역시 중구 동광길 184 (대창동2가)","48924","천우장","20191212164252","U","2019-12-14 02:40:00.0","여관업","385665.605645415","180952.066760478","여관업","0","0","0","0","0","0","0","15","0","N","0","","","","자가","0","","","0","0","N",
"10","숙박업","03_11_03_P","3250000","3250000-201-1973-00124","19730710","","01","영업/정상","01","영업","","","","","051 4694919","283.50","600025","부산광역시 중구 동광동5가 44-27번지","부산광역시 중구 동광길 53 (동광동5가)","48927","화춘장","20191203091120","U","2019-12-05 02:40:00.0","여관업","385436.915609695","180343.326348581","여관업","0","0","0","0","0","0","0","13","0","N","0","","","","임대","0","","","0","0","N",
"11","숙박업","03_11_03_P","3250000","3250000-201-1989-00136","19891128","","01","영업/정상","01","영업","","","","","051 2475577","366.31","600805","부산광역시 중구 부평동1가 41-10번지","부산광역시 중구 광복로16번길 18 (부평동1가)","48980","그랜드장모텔","20190724133041","U","2019-07-26 02:40:00.0","여관업","384726.026779183","179618.714359417","여관업","0","0","0","0","0","0","4","16","0","N","0","","","","자가","0","","","0","0","N",
"12","숙박업","03_11_03_P","3250000","3250000-201-2007-00002","20070712","","01","영업/정상","01","영업","","","","","051231 1178","801.32","600046","부산광역시 중구 남포동6가 29 (8~11층)","부산광역시 중구 자갈치로 21 (남포동6가)","48982","오션투헤븐 호텔&스파","20210128145213","U","2021-01-30 02:40:00.0","일반호텔","384732.084409812","179391.528210828","일반호텔","10","1","8","11","0","0","0","25","0","N","0","","","","자가","0","","","0","0","N",
"13","숙박업","03_11_03_P","3250000","3250000-201-1971-00117","19710315","","01","영업/정상","01","영업","","","","","051245 3605","62.44","600033","부산광역시 중구 광복동3가 5-20","부산광역시 중구 광복로67번길 30-22 (광복동3가)","48949","동산장모텔","20210219141044","U","2021-02-21 02:40:00.0","여관업","385172.924450982","179777.799204763","여관업","3","0","0","0","0","0","8","4","0","N","0","","","","","0","","","0","0","N",
"14","숙박업","03_11_03_P","3250000","3250000-201-1972-00003","19721010","","01","영업/정상","01","영업","","","","","051 2464361","2,398.21","600045","부산광역시 중구 남포동5가 81-1","부산광역시 중구 자갈치로47번길 3-1 (남포동5가)","48983","주식회사 경원건설 호텔노아","20220308142708","U","2022-03-10 02:40:00.0","관광호텔","384966.283934876","179482.336622982","관광호텔","9","1","1","9","0","0","0","51","0","N","0","","","","자가","0","0","0","0","0","N",
"15","숙박업","03_11_03_P","3250000","3250000-201-2014-00003","20140528","","01","영업/정상","01","영업","","","","","051 231 3123","1,803.52","600023","부산광역시 중구 동광동3가 31-1 외 1필지","부산광역시 중구 대청로126번길 9 (동광동3가)","48951","더 하운드 호텔","20201207140939","U","2020-12-09 02:40:00.0","일반호텔","385385.340492727","180001.220399156","일반호텔","8","0","1","8","0","0","0","37","0","N","0","","","","자가","0","","","0","0","N",
