"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212019000005","20191211","","02","휴업","02","휴업","","20211031","20220131","","","","","부산광역시 중구 대청동4가 72-42","부산광역시 중구 망양로329번길 2-1 (대청동4가)","48904","Ocean&Sky Baba","20211101141446","U","2021-11-03 02:40:00.0","","384960.959604768","180556.061357726","외국인관광 도시민박업","","일반주거지역","","","","","","","","1","","","","","","","","","","","93.5","","","","","","","","","","","","","94",
"2","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212015000001","20150813","","02","휴업","02","휴업","","20181113","20190530","","","","","부산광역시 중구 부평동1가 20-9번지 3층","부산광역시 중구 중구로39번길 24, 3층 (부평동1가)","","게스트하우스부산깡통야시장","20200120131608","U","2020-01-22 02:40:00.0","","384718.571176843","179917.441083051","외국인관광 도시민박업","","","","","","","","","","2","","","","","","","","","","","40.96","","","","","","","","","","","","","41",
"3","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212019000001","20190215","","03","폐업","03","폐업","20210427","","","","","","","부산광역시 중구 보수동1가 116-156","부산광역시 중구 책방골목길 13-11 (보수동1가)","48967","보수동방공호","20210503101511","U","2021-05-05 02:40:00.0","","384707.493861966","180168.558708474","외국인관광 도시민박업","","일반상업지역","3","","","","","","","6","","","","","","","","","","","167.82","","","","","","","","","","","","","168",
"4","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212019000004","20191210","","03","폐업","03","폐업","20220124","","","","","","","부산광역시 중구 동광동4가 1-1","부산광역시 중구 대청로135번길 3-1, 5층 (동광동4가)","48932","공공하우스","20220124133640","U","2022-01-26 02:40:00.0","","385431.649640587","180114.830297501","외국인관광 도시민박업","","일반상업지역","","","","","","","","1","","","","","","","","","","","181.5","","","","","","","","","","","","","182",
"5","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212015000002","20151002","","03","폐업","03","폐업","20181012","","","","","","","부산광역시 중구 중앙동2가 21-6번지","부산광역시 중구 대청로138번길 15, 5층 (중앙동2가)","","용두산 게스트하우스","20181012163028","U","2018-10-12 23:59:59.0","","385501.921434018","179943.055997069","외국인관광 도시민박업","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",
"6","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212016000001","20160729","","03","폐업","03","폐업","20180212","","","","","","","부산광역시 중구 중앙동4가 40-19번지","부산광역시 중구 대청로135번길 15, 6층 (중앙동4가)","48928","플랫하우스","20180309091519","I","2018-08-31 23:59:59.0","","385445.376219908","180233.460462591","외국인관광 도시민박업","","일반상업지역","6","주택가주변","","","단독주택","6","0","2","","","","","","","","","","","","","","","","","","","","20000000","","","","",
"7","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212016000002","20160510","","03","폐업","03","폐업","20200812","","","","","","","부산광역시 중구 영주동 279-12 2층","부산광역시 중구 영주로42번길 5, 2층 (영주동)","","방사시게스트하우스(Bangsasi Guesthouse)","20200812163516","U","2020-08-14 02:40:00.0","","385109.874846412","181013.159648388","외국인관광 도시민박업","","","","","","","","","","2","","","","","","","","","","","54.31","","","","","","","","","","","","","54",
"8","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212018000002","20180828","","03","폐업","03","폐업","20190510","","","","","","","부산광역시 중구 부평동2가 70-19번지","부산광역시 중구 중구로39번길 42, 2층 (부평동2가)","48977","실암정","20190510093817","U","2019-05-12 02:40:00.0","","384627.73685259","179920.716834077","외국인관광 도시민박업","","일반상업지역","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",
"9","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212019000002","20190628","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동2가 21-8","부산광역시 중구 중구로29번길 38, 4층 (부평동2가)","48977","제이온게스트하우스","20201031173301","U","2020-11-03 02:40:00.0","","384650.381654164","179818.661056988","외국인관광 도시민박업","","","","","","","","","","1","","","","","","","","","","","38.18","","","","","","","","","","","","","38",
"10","외국인관광도시민박업","03_11_04_P","3250000","CDFI2262212019000003","20191111","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 영주동 282-19번지","부산광역시 중구 망양로 380 (영주동)","48917","월드굿즈","20191111112805","I","2019-11-13 00:23:24.0","","385029.513371623","180933.726369417","외국인관광 도시민박업","","일반주거지역","","","","","","","","1","","","","","","","","","","","70.81","","","","","","","","","10000000","","","","71",
