"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","국내여행업","03_12_01_P","3250000","CDFI2260012007000013","20071109","","02","휴업","02","휴업","","20210101","20211231","","051-469-7731","","600815","부산광역시 중구 중앙동4가 53-30","부산광역시 중구 중앙대로81번길 2 (중앙동4가)","","(주)팔성국제관광","20210926175002","U","2021-09-28 02:40:00.0","","385556.34148559","180343.213567755","국내여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","20181109","20191108","","0",
"2","국내여행업","03_12_01_P","3250000","CDFI2260012019000002","20190110","","03","폐업","03","폐업","20200106","","","","051241 0909","","","부산광역시 중구 남포동4가 44-3번지","부산광역시 중구 자갈치해안로 60 (남포동4가)","48984","부산남항유람선 자갈치크루즈","20200106150326","U","2020-01-08 02:40:00.0","","385191.013392521","179401.283402139","국내여행업","","","","","","서울보증보험주식회사","","","","","","","","","","","","","","","","","","","","","","","","16243358","20190114","20200113","","",
"3","국내여행업","03_12_01_P","3250000","CDFI2260012019000003","20160725","","03","폐업","03","폐업","20211221","","","","051-852-2088","","","부산광역시 중구 대창동1가 51","부산광역시 중구 해관로 89, 중앙빌딩 707호 (대창동1가)","48924","(주)태진투어","20211221174538","U","2021-12-23 02:40:00.0","","385507.640529964","180548.792611588","국내여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","20000000","20210725","20220724","","0",
"4","국내여행업","03_12_01_P","3250000","CDFI2260012019000006","20190829","","03","폐업","03","폐업","20190924","","","","051-464-6464","","","부산광역시 중구 중앙동4가 15-3번지","부산광역시 중구 충장대로 24, 부산항연안여객터미널 1층 (중앙동4가)","48940","(주)마린크루즈","20190924165841","U","2019-09-26 02:40:00.0","","386032.236798563","180263.270670699","국내여행업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000000","","","","",
"5","국내여행업","03_12_01_P","3250000","CDFI2260012016000001","20160112","","03","폐업","03","폐업","20211220","","","","051-463-0926","","","부산광역시 중구 대창동1가 51","부산광역시 중구 해관로 89, 610호 (대창동1가, 중앙빌딩)","48924","(주)모바일트래블","20211221103923","U","2021-12-23 02:40:00.0","","385507.640529964","180548.792611588","국내여행업","","","","","","서울보증보험","","","","","","","","","","","","","","","","","","","","","","","","90000000","20210120","20220119","","",
"6","국내여행업","03_12_01_P","3250000","CDFI2260012016000003","20160218","","03","폐업","03","폐업","20211109","","","","051-244-6318","","","부산광역시 중구 신창동1가 17-2","부산광역시 중구 광복로49번길 19, 2층 (신창동1가)","48947","스타투어여행사","20211110101705","U","2021-11-12 02:40:00.0","","385057.531775493","179860.881541275","국내여행업","","","","","","서울보증보험","","","","","","","","","","","","","","","","","","","","","","","","109000000","20210222","20220221","","",
"7","국내여행업","03_12_01_P","3250000","CDFI2260011997000006","19970421","","03","폐업","03","폐업","20060704","","","","254-4061","","600045","부산광역시 중구 남포동5가 39-6번지","부산광역시 중구 중구로 2  (남포동5가)","","(주)초이스관광여행사","20060704162946","I","2018-08-31 23:59:59.0","","384877.272223985","179536.794608695","국내여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","국내여행업","03_12_01_P","3250000","CDFI2260011994000001","19940929","","03","폐업","03","폐업","20200317","","","","246-1003","","600046","부산광역시 중구 남포동6가 113-1번지","부산광역시 중구 구덕로 87-1 (남포동6가)","","(주)미래투어","20200317173318","U","2020-03-19 02:40:00.0","","384708.848957593","179404.943227079","국내여행업","관광사업","","","","","서울보증보험","","","","","","","","","","","","","","","","","","","","","","","","","20181008","20191017","","",
"9","국내여행업","03_12_01_P","3250000","CDFI2260011997000007","19970801","","03","폐업","03","폐업","20060517","","","","442-5020","","600815","부산광역시 중구 중앙동4가 37-16번지 동아제일빌딩 903호","부산광역시 중구 중앙대로81번길 9,  903호 (중앙동4가,동아제일빌딩)","","(주)세진여행사","20060517165132","I","2018-08-31 23:59:59.0","","385473.576409934","180297.978228551","국내여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","국내여행업","03_12_01_P","3250000","CDFI2260011998000001","19980202","","03","폐업","03","폐업","20090129","","","","462-6661","","600814","부산광역시 중구 중앙동4가 89-1번지","부산광역시 중구 중앙대로 94  (중앙동4가)","","(주)아주좋은여행사","20090129180902","I","2018-08-31 23:59:59.0","","385624.468710403","180447.914514374","국내여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
