"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","국내외여행업","03_12_02_P","3250000","CDFI2260021989000002","19891229","","02","휴업","02","휴업","","20210101","20211231","","051-469-7731","","600815","부산광역시 중구 중앙동4가 53-30 1층","부산광역시 중구 중앙대로81번길 2 (중앙동4가,1층)","","(주)팔성국제관광","20210926175020","U","2021-09-28 02:40:00.0","","385556.34148559","180343.213567755","국내외여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20181101","20191031","","0",
"2","국내외여행업","03_12_02_P","3250000","CDFI2260022019000003","20190227","","03","폐업","03","폐업","20191105","","","","051-719-1191","","","부산광역시 중구 중앙동4가 25-2번지","부산광역시 중구 중앙대로 72, 505호 (중앙동4가)","48941","(주)루비골프앤투어","20191105140627","U","2019-11-07 02:40:00.0","","385635.339978485","180238.223506039","국내외여행업","","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","50000000","20190308","20200308","","",
"3","국내외여행업","03_12_02_P","3250000","CDFI2260022000000011","20001024","","03","폐업","03","폐업","20200318","","","","051-247-1122","","","부산광역시 중구 부평동2가 68-4번지","부산광역시 중구 흑교로 18 (부평동2가)","48977","(주)뉴태평양여행사","20200318155352","U","2020-03-20 02:40:00.0","","384598.903964711","179879.997494786","국내외여행업","관광사업","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","","20190625","20200625","","",
"4","국내외여행업","03_12_02_P","3250000","CDFI2260022001000008","20010713","","03","폐업","03","폐업","20040723","","","","463-1223","","600013","부산광역시 중구 중앙동3가 12-3번지","부산광역시 중구 40계단길 10  (중앙동3가)","","(주)동경여행사","20040723135800","I","2018-08-31 23:59:59.0","","385510.862776232","180201.349002272","국내외여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","국내외여행업","03_12_02_P","3250000","CDFI2260021990000002","19900112","","03","폐업","03","폐업","20060210","","","","248-0501","","600074","부산광역시 중구 부평동4가 51-3번지","부산광역시 중구 대청로 18  (부평동4가)","","(주)하일라 투어","20060210095004","I","2018-08-31 23:59:59.0","","384269.244187244","180087.316391257","국내외여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","국내외여행업","03_12_02_P","3250000","CDFI2260021992000001","19920922","","03","폐업","03","폐업","20060224","","","","242-9100","","600819","부산광역시 중구 창선동2가 12-1번지","부산광역시 중구 광복로37번길 3-3  (창선동2가)","","(주)대웅관광여행사","20060224161415","I","2018-08-31 23:59:59.0","","384948.117398875","179729.33069492","국내외여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","국내외여행업","03_12_02_P","3250000","CDFI2260021992000002","19920701","","03","폐업","03","폐업","20060808","","","","466-8448","","600100","부산광역시 중구 대창동2가 32-4번지 성림빌딩2층","부산광역시 중구 중앙대로 141  (대창동2가,성림빌딩2층)","","(주)센츄리항공여행사","20100120170219","I","2018-08-31 23:59:59.0","","385660.958071263","180904.603426922","국내외여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","국내외여행업","03_12_02_P","3250000","CDFI2260021997000006","19970421","","03","폐업","03","폐업","20060704","","","","254-4061","","600045","부산광역시 중구 남포동5가 39-6번지","부산광역시 중구 중구로 2  (남포동5가)","","(주)초이스관광여행사","20060704163211","I","2018-08-31 23:59:59.0","","384877.272223985","179536.794608695","국내외여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","국내외여행업","03_12_02_P","3250000","CDFI2260021998000005","19980421","","03","폐업","03","폐업","20040531","","","","464-5526","","600074","부산광역시 중구 부평동4가 52-3번지 골든오피스텔 908호","부산광역시 중구 보수대로 82,  908호 (부평동4가,골든오피스텔)","","(주)칼라여행사","20040531154634","I","2018-08-31 23:59:59.0","","384249.201710589","180080.172971726","국내외여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","국내외여행업","03_12_02_P","3250000","CDFI2260021998000006","19980409","","03","폐업","03","폐업","20041229","","","","462-9696","","600814","부산광역시 중구 중앙동4가 89-2번지","부산광역시 중구 중앙대로 96  (중앙동4가)","","(주)젊은여행사블루","20041229172228","I","2018-08-31 23:59:59.0","","385614.928477875","180471.183034331","국내외여행업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
