"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","종합여행업","03_12_03_P","3250000","CDFI2260042019000006","20191101","","02","휴업","02","휴업","","20201214","20211213","","051-710-5211","","","부산광역시 중구 중앙동2가 46-2","부산광역시 중구 해관로 44, 201호 (중앙동2가)","48957","(주)레오여행사","20201216134422","U","2020-12-18 02:40:00.0","","385555.080986309","180074.825927274","종합여행업","","","","","","서울보증보험","","","","","","Leo Tour Co.Ltd","General travel business","","","","","","","","66","","","","","","","","","100000000","20191101","20201031","","66",
"2","종합여행업","03_12_03_P","3250000","CDFI2260042019000003","20190312","","03","폐업","03","폐업","20200305","","","","070-7599-3464","","","부산광역시 중구 중앙동4가 89-2번지","부산광역시 중구 중앙대로 96, 흥우빌딩 5층 (중앙동4가)","48939","블루아시아(주)","20200305104916","U","2020-03-07 02:40:00.0","","385614.928477875","180471.183034331","종합여행업","","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","100000000","20190313","20200313","","",
"3","종합여행업","03_12_03_P","3250000","CDFI2260041997000001","19970327","","03","폐업","03","폐업","20190510","","","","051-466-2229","","600014","부산광역시 중구 중앙동4가 37-16번지 동아제일빌딩 701호","부산광역시 중구 중앙대로81번길 9, 701호 (중앙동4가)","48930","(주)세아여행","20190510140730","U","2019-05-12 02:40:00.0","","385473.576409934","180297.978228551","종합여행업","","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","350000000","20171101","20181031","","",
"4","종합여행업","03_12_03_P","3250000","CDFI2260042007000004","20071123","","03","폐업","03","폐업","20120507","","","","465-8080","","600045","부산광역시 중구 남포동5가 8-1번지 피닉스호텔2층","부산광역시 중구 구덕로 54-1  (남포동5가,피닉스호텔2층)","","(주)제이비투어","20120508085704","I","2018-08-31 23:59:59.0","","385007.017930066","179584.983850781","종합여행업","","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","350000000","20110507","20120507","","",
"5","종합여행업","03_12_03_P","3250000","CDFI2260042002000002","20020129","","03","폐업","03","폐업","20141224","","","","","","600014","부산광역시 중구 중앙동4가 23-1번지","부산광역시 중구 중앙대로 80 (중앙동4가)","600014","(주)중국금용항공","20141224132438","I","2018-08-31 23:59:59.0","","385630.742187332","180306.821082315","종합여행업","","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","350000000","20130917","20140917","","",
"6","종합여행업","03_12_03_P","3250000","CDFI2260042011000002","20111219","","03","폐업","03","폐업","20140702","","","","","","600014","부산광역시 중구 중앙동4가 28-10번지 아름빌딩 4층","부산광역시 중구 중앙대로 79-1 (중앙동4가, 아름빌딩 4층)","600014","나이스코리아투어(주)","20140702160535","I","2018-08-31 23:59:59.0","","385562.279483087","180308.192303088","종합여행업","","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","200000000","20121219","20131219","","",
"7","종합여행업","03_12_03_P","3250000","CDFI2260042012000001","20120327","","03","폐업","03","폐업","20131113","","","","051-903-6443","","600802","부산광역시 중구 보수동3가 80-2번지","부산광역시 중구 대청로 15, 6층 (보수동3가)","600802","(주)월드네트워크","20131114092056","I","2018-08-31 23:59:59.0","","384247.593397227","180134.746507916","종합여행업","","","","","","서울보증보험","","","","","","","","","","","","","","","55.8","","","","","","","","","200000000","20130401","20140331","","56",
"8","종합여행업","03_12_03_P","3250000","CDFI2260042013000001","20130516","","03","폐업","03","폐업","20170926","","","","468-9989","","600014","부산광역시 중구 중앙동4가 84-26번지 동서빌딩 401호","부산광역시 중구 충장대로9번길 15, 401호 (중앙동4가, 동서빌딩)","48938","케이씨에이항공(주)","20170927110720","I","2018-08-31 23:59:59.0","","385685.9718954","180523.352297689","종합여행업","","","","","","서울보증보험","","","","","","","","","","","","","","","","","","","","","","","","200000000","20160627","20170626","","",
"9","종합여행업","03_12_03_P","3250000","CDFI2260042015000003","20151119","","03","폐업","03","폐업","20161110","","","","07040478080","","","부산광역시 중구 중앙동2가 46-2번지","부산광역시 중구 해관로 44, 207호 (중앙동2가, 유성빌딩)","48957","(주)발해투어","20161110173153","I","2018-08-31 23:59:59.0","","385555.080986309","180074.825927274","종합여행업","","","","","","서울보증보험주식회사","","","","","","","","","","","","","","","","","","","","","","","","200000000","20151127","20161126","","",
"10","종합여행업","03_12_03_P","3250000","CDFI2260042016000002","20160330","","03","폐업","03","폐업","20170504","","","","051 466 5557","","","부산광역시 중구 중앙동4가 83-5번지","부산광역시 중구 중앙대로 102, 1302호 (중앙동4가, 팬오션(주)부산빌딩)","48938","주식회사 비엠에스글로벌","20170508094841","I","2018-08-31 23:59:59.0","","385606.581749269","180536.052576311","종합여행업","","","","","","한국관광협회","","","","","","","","","","","","","","","","","","","","","","","","200000000","20160401","20170401","","",
