"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","영화상영업","03_13_03_P","3250000","CDFF5211042000000002","20000901","","03","폐업","03","폐업","20160617","","","","247-1384","","","부산광역시 중구 남포동5가 12-1번지","부산광역시 중구 비프광장로 37 (남포동5가)","","대영시네마타운","20160617104020","I","2018-08-31 23:59:59.0","","384985.448097939","179597.592953541","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000901","",
"2","영화상영업","03_13_03_P","3250000","CDFF5211042000000001","20001114","","03","폐업","03","폐업","","","","","245-5441","","","부산광역시 중구 남포동6가 91번지","부산광역시 중구 비프광장로 18  (남포동6가)","","(주)국도극장","20110721140519","I","2018-08-31 23:59:59.0","","384786.897439657","179575.94945685","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20001114","",
"3","영화상영업","03_13_03_P","3250000","CDFF5211042019000001","20190107","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대청동4가 81-1번지","부산광역시 중구 중구로 71, 2층 (대청동4가)","48968","주식회사 인생극장","20191115193727","U","2019-11-19 02:40:00.0","","384895.9640319","180239.623081052","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190107","",
"4","영화상영업","03_13_03_P","3250000","CDFF5211042007000001","20070320","","01","영업/정상","13","영업중","","","","","","","600045","부산광역시 중구 남포동5가 24-1번지","부산광역시 중구 비프광장로 28  (남포동5가)","","(주)씨네시티부산","20100416154657","I","2018-08-31 23:59:59.0","","384871.0192493","179600.395082956","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20070320","",
"5","영화상영업","03_13_03_P","3250000","CDFF5211041999000001","19990721","","01","영업/정상","13","영업중","","","","","241-1201","","","부산광역시 중구 남포동5가 18-1번지","부산광역시 중구 비프광장로 36 (남포동5가)","","부산극장","20180621102815","I","2018-08-31 23:59:59.0","","384919.410759915","179609.207843307","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990721","",
"6","영화상영업","03_13_03_P","3250000","CDFF5211041999000003","19990820","","01","영업/정상","13","영업중","","","","","246-4873","","600051","부산광역시 중구 창선동1가 14-2번지","부산광역시 중구 광복로 43  (창선동1가)","","부경시네마","20100416161820","I","2018-08-31 23:59:59.0","","385016.604748725","179699.072537973","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990820","",
"7","영화상영업","03_13_03_P","3250000","CDFF5211042007000002","20070409","","01","영업/정상","13","영업중","","","","","256-6230","","","부산광역시 중구 남포동6가 91번지","부산광역시 중구 비프광장로 18  (남포동6가)","","(유한)국도타운","20130926091906","I","2018-08-31 23:59:59.0","","384786.897439657","179575.94945685","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20070409","",
"8","영화상영업","03_13_03_P","3250000","CDFF5211042009000001","20090227","","01","영업/정상","13","영업중","","","","","","","600094","부산광역시 중구 대청동4가 81-1번지","부산광역시 중구 중구로 71  (대청동4가)","","아트씨어터씨앤씨","20100416160718","I","2018-08-31 23:59:59.0","","384895.9640319","180239.623081052","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090227","",
"9","영화상영업","03_13_03_P","3250000","CDFF5211042017000001","20161207","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 동광동4가 18-4번지","부산광역시 중구 동광길 14, 2층 204호 (동광동4가)","48932","아트온 트래블","20170113140455","I","2018-08-31 23:59:59.0","","385406.182264916","180152.282581326","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20161207","",
"10","영화상영업","03_13_03_P","3250000","CDFF5211042020000001","20200501","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 신창동1가 8-2","부산광역시 중구 광복중앙로 13, 4층 (신창동1가)","48948","관객문화협동조합 모퉁이극장","20210312113428","U","2021-03-14 02:40:00.0","","385096.938581019","179823.23303496","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20200501","",
"11","영화상영업","03_13_03_P","3250000","CDFF5211041999000002","19991227","","04","취소/말소/만료/정지/중지","35","직권말소","20170530","","","","055-292-3001","","","경상남도 마산시 합성동 267번지","","","(주)천일개발","20170529150904","I","2018-08-31 23:59:59.0","","","","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19991227","",
"12","영화상영업","03_13_03_P","3260000","CDFF5211042003000001","20031014","","01","영업/정상","13","영업중","","","","","","","602800","부산광역시 서구 남부민동 87-1번지","부산광역시 서구 해돋이로 125-2  (남부민동)","","참사랑국도시네마","20100713153817","I","2018-08-31 23:59:59.0","","384270.27638882","178635.489138666","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20031014","",
