"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","영화제작업","03_13_05_P","3250000","CDFF5211012013000003","20130909","","03","폐업","03","폐업","20150327","","","","070-8237-7898","","","부산광역시 중구 영주동 **-*번지 제일빌딩 *층","부산광역시 중구 대영로 *** (영주동, 제일빌딩 *층)","600811","주식회사 씨탑(CTOP)","20150331093733","I","2018-08-31 23:59:59.0","","385585.321891141","181149.765235809","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20130909","",
"2","영화제작업","03_13_05_P","3250000","CDFF5211012022000001","20220308","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동*가 **-**","부산광역시 중구 법수길**번길 *, ***호 (보수동*가)","48961","도화사","20220308153421","I","2022-03-10 13:22:36.0","","","","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20220308","",
"3","영화제작업","03_13_05_P","3250000","CDFF5211012015000001","20150331","","01","영업/정상","13","영업중","","","","","070-4099-7900","","600811","부산광역시 중구 영주동 **-*번지","부산광역시 중구 대영로 ***, *층 (영주동, 제일빌딩)","600811","주식회사 블랙홀엔터테인먼트","20150331093920","I","2018-08-31 23:59:59.0","","385585.321891141","181149.765235809","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20150331","",
"4","영화제작업","03_13_05_P","3250000","CDFF5211012015000002","20150522","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 신창동*가 **-*번지","부산광역시 중구 중구로**번길 ** (신창동*가)","600062","프로덕션(정)","20150522145849","I","2018-08-31 23:59:59.0","","384969.34524745","179883.749687583","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20150522","",
"5","영화제작업","03_13_05_P","3250000","CDFF5211012015000003","20100402","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 신창동*가 **번지","부산광역시 중구 광복로**번길 **, ***호 (신창동*가)","48946","(주)로케트필름","20151123171010","I","2018-08-31 23:59:59.0","","384905.411566553","179975.574695525","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20100402","",
"6","영화제작업","03_13_05_P","3250000","CDFF5211012016000001","20160509","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 영주동 **-**번지","부산광역시 중구 중동길 **, *층 (영주동, 세광 플러스 빌)","48911","이스크라21","20160509102655","I","2018-08-31 23:59:59.0","","385543.567212929","181223.916483457","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20160509","",
"7","영화제작업","03_13_05_P","3250000","CDFF5211012016000002","20131121","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 **계단길 **, 지상*층 (중앙동*가)","48931","문화소통단체 숨","20191024152932","U","2019-10-26 02:40:00.0","","385510.862776232","180201.349002272","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20131121","",
"8","영화제작업","03_13_05_P","3250000","CDFF5211012008000002","20081013","","01","영업/정상","13","영업중","","","","","245-7252","","600807","부산광역시 중구 부평동*가 **-*번지","부산광역시 중구 광복로 *  (부평동*가)","","안정영화사","20100416135622","I","2018-08-31 23:59:59.0","","384657.177900297","179714.782053351","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20081013","",
"9","영화제작업","03_13_05_P","3250000","CDFF5211012013000001","20130319","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 영주동 ***-**번지 아성빌딩*층 ***호","부산광역시 중구 동영로**번길 **, ***호 (영주동, 신우빌리지)","48912","'탁주'조합","20170522091636","I","2018-08-31 23:59:59.0","","385337.646558178","180993.894966452","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20130319","",
"10","영화제작업","03_13_05_P","3250000","CDFF5211012013000002","20130329","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 신창동*가 *-*","부산광역시 중구 광복중앙로 **, *층 (신창동*가)","48948","관객문화협동조합 모퉁이극장","20210312113342","U","2021-03-14 02:40:00.0","","385096.938581019","179823.23303496","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20130329","",
"11","영화제작업","03_13_05_P","3250000","CDFF5211012020000001","20150302","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동*가 **-* 팬오션(주)부산빌딩 *층 ***-*호","부산광역시 중구 중앙대로 ***, 팬오션(주)부산빌딩 *층 ***-*호 (중앙동*가)","48938","포스 크리에이티브 파티(주)","20210601135719","U","2021-06-03 02:40:00.0","","385606.581749269","180536.052576311","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20150302","",
"12","영화제작업","03_13_05_P","3250000","CDFF5211012020000002","20140626","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동*가 **-*번지 현대빌딩 *층 ***호","부산광역시 중구 해관로 **, 현대빌딩 *층 ***호 (중앙동*가)","48931","존 필름(Zone Film)","20200204134404","I","2020-02-06 00:23:24.0","","385512.977374748","180160.359951352","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20140626","",
"13","영화제작업","03_13_05_P","3250000","CDFF5211012021000002","20161013","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 신창동*가 *-*","부산광역시 중구 광복중앙로 **, *층 *호 (신창동*가)","48948","주식회사 라라아비스","20210513162803","I","2021-05-15 00:22:56.0","","385096.938581019","179823.23303496","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20161013","",
"14","영화제작업","03_13_05_P","3250000","CDFF5211012021000001","20210121","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 신창동*가 *-* BNK부산은행 아트시네마 ***호","부산광역시 중구 광복중앙로 **, BNK부산은행 아트시네마 ***호 (신창동*가)","48948","주식회사 리멘","20210121162622","I","2021-01-23 00:23:11.0","","385096.938581019","179823.23303496","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20210121","",
"15","영화제작업","03_13_05_P","3250000","CDFF5211012001000001","20011011","","04","취소/말소/만료/정지/중지","35","직권말소","20170530","","","","462-7146","","","부산광역시 중구 중앙동*가 *번지 부산우체국","부산광역시 중구 중앙대로 **, ****호 (중앙동*가, 부산우체국)","48931","(주)시네마천국","20170529150829","I","2018-08-31 23:59:59.0","","385561.650139456","180152.738082365","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20011011","",
"16","영화제작업","03_13_05_P","3260000","CDFF5211012009000001","20090429","","03","폐업","03","폐업","20180904","","","","","","","부산광역시 서구 남부민동 ***번지 충무쇼핑맨션 ***호","부산광역시 서구 충무대로***번길 *, ***호 (남부민동,충무쇼핑맨션)","","영화사 석류의 빛깔","20180904174020","U","2018-09-04 23:59:59.0","","384430.667595597","178981.33160318","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090429","",
"17","영화제작업","03_13_05_P","3260000","CDFF5211012001000001","20010327","","01","영업/정상","13","영업중","","","","","257-8088","","602011","부산광역시 서구 충무동*가 **-*번지 우양빌딩 ***","부산광역시 서구 충무대로 ***  (충무동*가,우양빌딩 ***)","","영화나무","20100713163153","I","2018-08-31 23:59:59.0","","384531.845588817","179101.182366132","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20010327","",
"18","영화제작업","03_13_05_P","3260000","CDFF5211012020000001","20121024","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 암남동 ***-*번지","부산광역시 서구 충무대로 **, *층 (암남동)","49269","화산픽쳐스","20200217162300","U","2020-02-19 02:40:00.0","","383906.994815085","177363.19208626","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20121024","",
"19","영화제작업","03_13_05_P","3260000","CDFF5211012020000002","20200826","","01","영업/정상","13","영업중","","","","","051-255-5677","","","부산광역시 서구 부용동*가 **-* 한웅레포츠","부산광역시 서구 보수대로 ***-*, 한웅레포츠 ****호 (부용동*가)","49223","(주)에이치더블유","20200826134847","I","2020-08-28 00:23:13.0","","384193.465647996","180347.461227876","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20200826","",
"20","영화제작업","03_13_05_P","3270000","CDFF5211012017000002","20151210","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 범일동 ***-***번지 삼환오피스텔 ****호","부산광역시 동구 자성로***번길 ** (범일동)","48742","마술나라","20171130155050","I","2018-08-31 23:59:59.0","","388188.345022103","184059.516935515","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20151210","",
"21","영화제작업","03_13_05_P","3270000","CDFF5211012014000001","20140602","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 범일동 ***-*번지","부산광역시 동구 자성로***번길 **, *층 ***호 (범일동, 천일고속빌딩)","601807","일상의화보","20140602141613","I","2018-08-31 23:59:59.0","","388140.891260505","184063.252176119","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20140602","",
"22","영화제작업","03_13_05_P","3270000","CDFF5211012020000001","20200429","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 ****-*번지 강남빌딩","부산광역시 동구 중앙대로 ***, 강남빌딩 ***호 (초량동)","48731","주식회사 브이컴퍼니","20200429215318","I","2020-05-01 00:23:32.0","","386177.958994368","182089.626704726","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20200429","",
"23","영화제작업","03_13_05_P","3270000","CDFF5211012021000002","20211210","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 ****-* 강남빌딩 ***호","부산광역시 동구 중앙대로 ***, 강남빌딩 *층 ***호 (초량동)","48731","(주)924컴퍼니","20211210112737","I","2021-12-12 00:22:53.0","","386177.958994368","182089.626704726","영화제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20211210","",
"24","영화제작업","03_13_05_P","3270000","CDFF5211012018000002","20181008","","01","영업/정상","13","영업중","","","","","051-468-6707","","","부산광역시 동구 초량동 ****-*번지","부산광역시 동구 중앙대로***번길 *-*, 아스티오피스텔동 ****호 (초량동)","48733","주식회사 브이알시네(VR CINE)","20181008160039","I","2018-10-10 02:36:12.0","","386084.250830287","181613.908816635","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20181008","",
"25","영화제작업","03_13_05_P","3280000","CDFF5211012008000001","20080822","","01","영업/정상","13","영업중","","","","","417-1473","","","부산광역시 영도구 남항동*가 ***-*번지 부산멀티미디어지원센터 ***호","부산광역시 영도구 절영로 **,  ***호 (남항동*가,부산멀티미디어지원센터)","","만세픽처스","20100426112809","I","2018-08-31 23:59:59.0","","385886.002383851","178508.293113873","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20080822","",
"26","영화제작업","03_13_05_P","3280000","CDFF5211012014000001","20140708","","04","취소/말소/만료/정지/중지","35","직권말소","20161115","","","","070-8142-0805","","","부산광역시 영도구 남항동*가 ***-*번지 부산멀티미디어지원센터 ***호","부산광역시 영도구 절영로 **, ***호 (남항동*가, 부산멀티미디어지원센터)","606802","(주)프로그팩토리","20161115211406","I","2018-08-31 23:59:59.0","","385886.002383851","178508.293113873","영화제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20140708","",
