"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반.음악영상물배급업","03_14_02_P","3250000","CDFF3241102012000001","20120104","","03","폐업","03","폐업","","","","","0512438633","","","부산광역시 중구 부평동*가 **-* 금창빌딩 *","","","문화영상기획","20210104150714","I","2021-01-07 00:23:04.0","","384815.723600419","179991.718386639","음반.음악영상물배급업","유통관련업","0","","영상물 배급업","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"2","음반.음악영상물배급업","03_14_02_P","3270000","CDFF3241102019000001","20191028","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 범일동 ***-***번지 삼익범일아파트 상가*호","부산광역시 동구 조방로**번길 **, *층 상가*호 (범일동, 삼익범일아파트)","48740","(주)마린엔터테인먼트","20191028183316","I","2019-10-30 00:23:03.0","","388101.979738616","184214.504558267","음반.음악영상물배급업","유통관련업","","","음원,음반,영상","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","음반.음악영상물배급업","03_14_02_P","3280000","CDFF3241102019000001","20190911","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 영선동*가 **-*","부산광역시 영도구 영선대로**번길 *, *층 (영선동*가)","49056","코인노래스튜디오","20210203173950","U","2021-02-05 02:40:00.0","","386082.764708587","178371.788022856","음반.음악영상물배급업","유통관련업","0","","온라인동영상,SD카드,USB","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"4","음반.음악영상물배급업","03_14_02_P","3280000","CDFF3241102020000002","20200904","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 동삼동 ***-*","부산광역시 영도구 동삼로**번길 *, *층 (동삼동)","49107","노래녹음실","20210126125612","U","2021-01-28 02:40:00.0","","388929.849081255","177211.303830763","음반.음악영상물배급업","유통관련업","0","","온라인 동영상, sd카드, usb","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"5","음반.음악영상물배급업","03_14_02_P","3290000","CDFF3241102018000001","20181115","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 양정동 ***-**","","","(주)이지엘이십일","20210104145308","I","2021-01-07 00:23:04.0","","388702.828471721","188417.564727123","음반.음악영상물배급업","유통관련업","0","","음원,앨범,온라인음반,음악영상물,USB,뮤직비디오","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"6","음반.음악영상물배급업","03_14_02_P","3290000","CDFF3241102019000002","20190117","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 ***-** 서면종합상가시장","","","신디코리아","20210104145308","I","2021-01-07 00:23:04.0","","387528.393422261","186694.666831446","음반.음악영상물배급업","유통관련업","0","","디지털음반,앨범,CD,USB, 뮤직비디오 등","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"7","음반.음악영상물배급업","03_14_02_P","3300000","CDFF3241102020000001","20200611","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 안락동 ***-** 수홍하이츠빌라A동","","","하다지(HADAJI)","20210104145121","I","2021-01-07 00:23:04.0","","391833.242928225","190721.925568","음반.음악영상물배급업","유통관련업","0","","음원 음반 음악영상물 음악교육영상물 홍보영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"8","음반.음악영상물배급업","03_14_02_P","3310000","CDFF3241102021000002","20211230","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 **-* 한라빌딩 ***호","부산광역시 남구 수영로***번길 **, 한라빌딩 ***호 (대연동)","48512","굿 카펜터스 레코드","20211230141029","I","2022-01-01 00:22:41.0","","391504.135299458","183938.818793118","음반.음악영상물배급업","유통관련업","0","","음반제작, 영상제작, 콘텐츠제작","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","음반.음악영상물배급업","03_14_02_P","3310000","CDFF3241102008000001","20080917","","01","영업/정상","13","영업중","","","","","0516281242","","","부산광역시 남구 대연동 ****","","","에이스미디어","20210104144527","I","2021-01-07 00:23:04.0","","390390.264598148","183957.473275579","음반.음악영상물배급업","유통관련업","0","","음반,음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"10","음반.음악영상물배급업","03_14_02_P","3310000","CDFF3241102021000001","20210126","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 문현동 ****-*","부산광역시 남구 전포대로 ***, **층 (문현동)","48400","(주)에이치엘 스토리","20210126184217","I","2021-01-28 00:23:13.0","","388150.394268792","185188.729710212","음반.음악영상물배급업","유통관련업","","","음반·음악 영상물","","","","","","","","","","","","","","","","","","","","","","","","","","",
