"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반.음악영상물제작업","03_14_03_P","3250000","CDFF3241062012000003","20120102","","03","폐업","03","폐업","","","","","","","","부산광역시 중구 부평동*가 **-* 금창빌딩 *","","","문화영상기획","20210104150714","I","2021-01-07 00:23:04.0","","384815.723600419","179991.718386639","음반.음악영상물제작업","유통관련업","0","","영상물제작·변환, CD,DVD 복사, 음반제작","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"2","음반.음악영상물제작업","03_14_03_P","3250000","CDFF3241062008000001","20080917","","01","영업/정상","13","영업중","","","","","0512545686","","","부산광역시 중구 대청동*가 **-*","","","동지상사","20210104150714","I","2021-01-07 00:23:04.0","","385146.767764249","179941.115872941","음반.음악영상물제작업","유통관련업","0","","음반,음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"3","음반.음악영상물제작업","03_14_03_P","3250000","CDFF3241062010000002","20101008","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대청동*가 **-*","","","Bluewings Midi기획","20210104150714","I","2021-01-07 00:23:04.0","","385359.544277483","180058.692273023","음반.음악영상물제작업","유통관련업","0","","음반","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"4","음반.음악영상물제작업","03_14_03_P","3250000","CDFF3241062014000007","20141125","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 동광동*가 **-**","","","그냥해레코드","20210104150714","I","2021-01-07 00:23:04.0","","385448.406826261","180388.69759543","음반.음악영상물제작업","유통관련업","0","","음원, 뮤직비디오","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"5","음반.음악영상물제작업","03_14_03_P","3250000","CDFF3241062017000004","20170601","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동*가 **-*","","","숨뮤직","20210104150714","I","2021-01-07 00:23:04.0","","384925.884432754","179582.832485656","음반.음악영상물제작업","유통관련업","0","","음악영상물, 음악영상파일, USB","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"6","음반.음악영상물제작업","03_14_03_P","3250000","CDFF3241062017000005","20170601","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동*가 **-*","","","숨뮤직","20210104150714","I","2021-01-07 00:23:04.0","","384925.884432754","179582.832485656","음반.음악영상물제작업","유통관련업","0","","음악영상물, 음악영상파일, USB","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"7","음반.음악영상물제작업","03_14_03_P","3250000","CDFF3241062019000006","20190218","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대청동*가 **-*","부산광역시 중구 중구로 **, 가톨릭센터 **층 (대청동*가)","48968","떨기나무C&M","20210120172135","U","2021-01-22 02:40:00.0","","384895.9640319","180239.623081052","음반.음악영상물제작업","유통관련업","0","","음원 음악파일","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"8","음반.음악영상물제작업","03_14_03_P","3260000","CDFF3241062014000001","20140903","","01","영업/정상","13","영업중","","","","","","","","부산광역시 강서구 신호동 ***-**","","","신호노래뮤비존","20210104145948","I","2021-01-07 00:23:04.0","","371173.90939644","177853.438901172","음반.음악영상물제작업","유통관련업","0","","음악영상물, 음악영상파일, USB","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"9","음반.음악영상물제작업","03_14_03_P","3260000","CDFF3241062017000002","20170220","","01","영업/정상","13","영업중","","","","","","","","부산광역시 강서구 신호동 ***-*","","","힐링노래뮤비방","20210104145948","I","2021-01-07 00:23:04.0","","371181.352545926","177935.959531878","음반.음악영상물제작업","유통관련업","0","","음악영상물, 음악영상파일, USB","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"10","음반.음악영상물제작업","03_14_03_P","3270000","CDFF3241062019000001","20191220","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 범일동 ***-***번지 삼익범일아파트","부산광역시 동구 조방로**번길 **, *층 상가*호 (범일동, 삼익범일아파트)","48740","(주)마린엔터테인먼트","20191220165605","I","2019-12-22 00:23:25.0","","388101.979738616","184214.504558267","음반.음악영상물제작업","유통관련업","","","음원,음반,영상","116.42","","","","","","","","","","","","","","","","","","","","","","","","","",
"11","음반.음악영상물제작업","03_14_03_P","3270000","CDFF3241062021000001","20210823","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 **-*","부산광역시 동구 고관로**번길 **, 대동빌딩 *층 ***호 (초량동)","48798","익투스 엔터테인먼트","20210823100207","I","2021-08-25 00:22:50.0","","385954.414629176","182118.937988085","음반.음악영상물제작업","유통관련업","0","","음악, 영상","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"12","음반.음악영상물제작업","03_14_03_P","3270000","CDFF3241062008000001","20080917","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 범일동 **-***","","","바다SOUND","20210104144828","I","2021-01-07 00:23:04.0","","387396.038645845","184296.464396131","음반.음악영상물제작업","유통관련업","0","","음반,음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"13","음반.음악영상물제작업","03_14_03_P","3280000","CDFF3241062018000001","20180718","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 동삼동 ***-* 한나타워","부산광역시 영도구 동삼로 **, 한나타워 *층 ***호 (동삼동)","49101","한나노래뮤비방","20210126105107","U","2021-01-28 02:40:00.0","","388801.534170119","177450.776987731","음반.음악영상물제작업","유통관련업","0","","뮤직비디오, 음원, 음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"14","음반.음악영상물제작업","03_14_03_P","3280000","CDFF3241062019000002","20190911","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 영선동*가 **-*","부산광역시 영도구 영선대로**번길 *, *층 (영선동*가)","49056","코인노래스튜디오","20210203173546","U","2021-02-05 02:40:00.0","","386082.764708587","178371.788022856","음반.음악영상물제작업","유통관련업","0","","온라인 동영상, SD카드, USB","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
