"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반물배급업","03_14_04_P","6260000","M01022018000003","20181115","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 양정동 ***번지 **호","부산광역시 부산진구 동평로***번길 **-* (양정동)","","(주)이지엘이십일","20190109114728","U","2019-01-11 02:40:00.0","","388702.828471721","188417.564727123","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원,앨범,온라인음반,음악영상물,USB,뮤직비디오","","",
"2","음반물배급업","03_14_04_P","6260000","M01022019000002","20190117","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 부전동 ***번지 **호 서면종합상가시장","부산광역시 부산진구 부전로***번길 **-* (부전동,서면종합상가시장)","","신디코리아","20190117174731","I","2019-01-19 02:21:19.0","","387528.393422261","186694.666831446","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","디지털음반,앨범,CD,USB, 뮤직비디오 등","","",
"3","음반물배급업","03_14_04_P","6260000","M01022019000004","20190319","","01","영업/정상","1","영업","","","","","0517140742","","","부산광역시 해운대구 재송동 ****번지 *호 센텀아이에스타워","부산광역시 해운대구 센텀북대로 **-*, ***호 (재송동,센텀아이에스타워)","","사단법인 한국문화콘텐츠협회","20190319121415","I","2019-03-21 02:21:57.0","","393561.58646018","188474.665440257","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반 음원 영상물","","",
"4","음반물배급업","03_14_04_P","6260000","M01022019000003","20190218","","01","영업/정상","1","영업","","","","","","","","부산광역시 사하구 신평동 ***번지 *호","부산광역시 사하구 하신번영로***번길 **-* (신평동)","","(주)바림","20190319091948","U","2019-03-21 02:40:00.0","","378333.284788237","179244.572525748","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 앨범 뮤직비디오 등","","",
"5","음반물배급업","03_14_04_P","6260000","M01022019000005","20190911","","01","영업/정상","1","영업","","","","","","","","부산광역시 영도구 영선동*가 **번지 *호","부산광역시 영도구 영선대로**번길 *-* (영선동*가)","","코인노래뮤비존","20190911164700","I","2019-09-13 02:22:26.0","","386082.764708587","178371.788022856","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","온라인 동영상 sd카드 usb","","",
"6","음반물배급업","03_14_04_P","6260000","M01022019000006","20191211","","01","영업/정상","1","영업","","","","","0519215031","","","부산광역시 금정구 장전동 ***번지 **호","부산광역시 금정구 수림로**번길 **-*, 지하층 (장전동)","","(주)에스오엠프렌즈","20191211105440","I","2019-12-13 00:23:26.0","","389653.123255737","195149.600052536","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 음반 음악영상물 음악교육영상물 홍보영상물","","",
"7","음반물배급업","03_14_04_P","6260000","M01022020000001","20200611","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 안락동 ***번지 **호 수홍하이츠빌라A동","부산광역시 동래구 충렬대로***번길 **-*, B동 ***호 (안락동,수홍하이츠빌라A동)","","하다지(HADAJI)","20200613172821","I","2020-06-14 00:23:33.0","","391833.242928225","190721.925568","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 음반 음악영상물 음악교육영상물 홍보영상물","","",
"8","음반물배급업","03_14_04_P","6260000","M01022020000002","20200904","","01","영업/정상","1","영업","","","","","","","","부산광역시 영도구 동삼동 ***번지 *호","부산광역시 영도구 동삼로**번길 *-*, *층 (동삼동)","","노래녹음실","20200906183250","U","2020-09-08 02:40:00.0","","388929.849081255","177211.303830763","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","온라인 동영상, sd카드, usb","","",
"9","음반물배급업","03_14_04_P","6260000","M01022008000002","20080917","","01","영업/정상","1","영업","","","","","0516281242","","","부산광역시 남구 대연동 ****번지","부산광역시 남구 못골로**번길 **-* (대연동)","","에이스미디어","20131226173044","I","2018-08-31 23:59:59.0","","390390.264598148","183957.473275579","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반,음악영상물","","",
"10","음반물배급업","03_14_04_P","6260000","M01022008000003","20080917","","01","영업/정상","1","영업","","","","","0517611228","","","부산광역시 연제구 연산동 ****번지 *호","부산광역시 연제구 과정로 **-* (연산동)","","JUDE기획","20131226173105","I","2018-08-31 23:59:59.0","","391901.556450974","188643.098571417","음반물배급업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반,음악영상물","","",
