"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반물제작업","03_14_05_P","6260000","M01012018000008","20181115","","01","영업/정상","1","영업","","","","","0518670274","","","","부산광역시 부산진구 동평로***번길 **-* (양정동)","","(주)이지엘이십일","20190109114413","U","2019-01-11 02:40:00.0","","388702.828471721","188417.564727123","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원,앨범,온라인으반,음악영상물,USB,뮤직비디오","","",
"2","음반물제작업","03_14_05_P","6260000","M01012019000002","20190117","","01","영업/정상","1","영업","","","","","","","","","부산광역시 부산진구 부전로***번길 **-* (부전동,서면종합상가시장)","","신디코리아","20190117174657","I","2019-01-19 02:21:19.0","","387528.393422261","186694.666831446","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","디지털음반, 앨범,CD, USB,무직비디오 등","","",
"3","음반물제작업","03_14_05_P","6260000","M01012019000003","20190212","","01","영업/정상","1","영업","","","","","0513222324","","","","부산광역시 사상구 백양대로 ***-* (모라동)","","타임노래뮤비방","20190214155335","U","2019-02-16 02:40:00.0","","381238.21753757","189401.461194846","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상파일 USB","","",
"4","음반물제작업","03_14_05_P","6260000","M01012019000004","20190218","","01","영업/정상","1","영업","","","","","","","","","부산광역시 부산진구 냉정로 ***-* (가야동)","","길노래뮤비방","20190423152343","U","2019-04-25 02:40:00.0","","384530.250613634","185427.312427991","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상파일 USB","","",
"5","음반물제작업","03_14_05_P","6260000","M01012019000005","20190218","","01","영업/정상","1","영업","","","","","","","","","부산광역시 중구 중구로 **-* (대청동*가)","","떨기나무C&M","20190423152318","U","2019-04-25 02:40:00.0","","384895.9640319","180239.623081052","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 음악파일","","",
"6","음반물제작업","03_14_05_P","6260000","M01012019000006","20190218","","01","영업/정상","1","영업","","","","","0513013060","","","","부산광역시 사하구 하신번영로***번길 **-* (신평동)","","(주)바림","20200220144645","U","2020-02-22 02:40:00.0","","378333.284788237","179244.572525748","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 앨범 뮤직비디오 등","","",
"7","음반물제작업","03_14_05_P","6260000","M01012019000007","20190424","","01","영업/정상","1","영업","","","","","","","","부산광역시 해운대구 우동 ****번지 *호","부산광역시 해운대구 센텀서로 **-*, *층 ***호 (우동,영상산업센터)","","공감","20201230161838","U","2021-01-01 02:40:00.0","","393674.032955782","187973.297243244","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 앨범 온라인 SD카드 USB 뮤직비디오 등","","",
"8","음반물제작업","03_14_05_P","6260000","M01012019000009","20190502","","01","영업/정상","1","영업","","","","","","","","","부산광역시 북구 백양대로****번길 *-* (구포동)","","손오공노래뮤비방","20190815152438","U","2019-08-17 02:40:00.0","","381562.468483638","190426.58842035","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상파일 USB","","",
"9","음반물제작업","03_14_05_P","6260000","M01012019000010","20190911","","01","영업/정상","1","영업","","","","","","","","부산광역시 영도구 영선동*가 **번지 *호","부산광역시 영도구 영선대로**번길 *-* (영선동*가)","","코인뮤비존","20190911162319","I","2019-09-13 02:22:26.0","","386082.764708587","178371.788022856","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","온라인 동영상 sd카드 usb","","",
"10","음반물제작업","03_14_05_P","6260000","M01012019000011","20190916","","01","영업/정상","1","영업","","","","","0517140742","","","","부산광역시 해운대구 센텀북대로 **-*, ***호 (재송동,센텀아이에스타워)","","사단법인 한국문화콘텐츠협회","20190916135920","I","2019-09-18 02:22:29.0","","393561.58646018","188474.665440257","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반 음원 영상물","","",
"11","음반물제작업","03_14_05_P","6260000","M01012015000006","20150407","","01","영업/정상","1","영업","","","","","0516285698","","","부산광역시 수영구 남천동 *번지 **호","부산광역시 수영구 광남로 **, **층 (남천동,대양빌딩)","","위캔컴퍼니(WECAN COMPANY)","20190402101846","U","2019-04-04 02:40:00.0","","392362.266071841","185027.111267855","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반, 영상, 화보, 공연 제작","","",
"12","음반물제작업","03_14_05_P","6260000","M01012019000013","20191205","","01","영업/정상","1","영업","","","","","","","","","부산광역시 사하구 동매로 *-*, *층 (하단동)","","히딩크노래뮤비방","20191205165933","I","2019-12-07 00:23:27.0","","378560.601636724","180059.849928455","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상물파일 USB","","",
"13","음반물제작업","03_14_05_P","6260000","M01012019000014","20191211","","01","영업/정상","1","영업","","","","","0519215031","","","","부산광역시 금정구 수림로**번길 **-*, 지하층 (장전동)","","(주)에스오엠프렌즈","20191211105347","I","2019-12-13 00:23:26.0","","389653.123255737","195149.600052536","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 음반 음악영상물 음악교육영상물 홍보영상물","","",
"14","음반물제작업","03_14_05_P","6260000","M01012019000012","20191113","","01","영업/정상","1","영업","","","","","0516242016","","","","부산광역시 수영구 수영로 ***-* (남천동,자미빌딩)","","율레코드","20191113152506","I","2019-11-15 00:23:15.0","","392122.494318282","184638.872679868","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 음반 CD USB 뮤직비디오 영화음악 등","","",
"15","음반물제작업","03_14_05_P","6260000","M01012019000015","20191213","","01","영업/정상","1","영업","","","","","","","","","부산광역시 기장군 일광면 삼성*길 **-* (해비치)","","낭만노래뮤비방","20191213113623","I","2019-12-15 00:23:26.0","","403285.889461793","198400.128567093","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상파일","","",
"16","음반물제작업","03_14_05_P","6260000","M01012020000002","20200228","","01","영업/정상","1","영업","","","","","0513164283","","","","부산광역시 사상구 낙동대로 ***-* (엄궁동)","","꽃뿌리 노래뮤비방","20200611180457","U","2020-06-13 02:40:00.0","","379527.398974186","182807.455251811","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상파일USB","","",
"17","음반물제작업","03_14_05_P","6260000","M01012020000001","20200113","","01","영업/정상","1","영업","","","","","","","","","부산광역시 부산진구 중앙대로***번길 **-*, *층 (부전동)","","그린클라우드뮤비","20200113161554","I","2020-01-15 00:23:25.0","","387768","185764","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상파일 동영상 SD카드 등","","",
"18","음반물제작업","03_14_05_P","6260000","M01012020000003","20200611","","01","영업/정상","1","영업","","","","","","","","","부산광역시 동래구 충렬대로***번길 **-*, B동 ***호 (안락동,수홍하이츠빌라A동)","","하다지(HADAJI)","20200615091150","U","2020-06-17 02:40:00.0","","391833.242928225","190721.925568","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원 음반 음악영상물 음악교육영상물 홍보영상물","","",
"19","음반물제작업","03_14_05_P","6260000","M01012020000004","20200712","","01","영업/정상","1","영업","","","","","","","","","부산광역시 동래구 아시아드대로***번길 **-* (온천동)","","울림아트센터","20201120095530","U","2020-11-22 02:40:00.0","","388046.787885404","191842.635056644","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물 음악영상파일 동영상 등 제작","","",
"20","음반물제작업","03_14_05_P","6260000","M01012018000003","20180618","","01","영업/정상","1","영업","","","","","","","","","부산광역시 금정구 동부곡로 *-*, *층 (부곡동)","","부산인디언즈","20180618135512","I","2018-08-31 23:59:59.0","","390444.411250655","193844.925188811","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음원, 앨범, 온라인 음반, 음악영상물","","",
"21","음반물제작업","03_14_05_P","6260000","M01012018000005","20180718","","01","영업/정상","1","영업","","","","","","0","","","부산광역시 영도구 동삼로 **-*, *층 ***호 (동삼동,한나타워)","","한나노래뮤비방 대표 김종고","20200702200809","U","2020-07-04 02:40:00.0","","388801.534170119","177450.776987731","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","뮤직비디오, 음원, 음악영상물","","",
"22","음반물제작업","03_14_05_P","6260000","M01012018000006","20180807","","01","영업/정상","1","영업","","","","","","","","","부산광역시 수영구 과정로**번길 **-* (망미동)","","올레노래뮤비방","20181114142234","U","2018-11-16 02:36:23.0","","391853.684624299","188251.169342488","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물, 음악영상파일, USB","","",
"23","음반물제작업","03_14_05_P","6260000","M01012008000005","20080911","","01","영업/정상","1","영업","","","","","0516244486","","","부산광역시 동래구 온천동 ***번지 *호","부산광역시 동래구 금강공원로 ** (온천동)","","디자인에이원(갤러리봄디)","20131226162140","I","2018-08-31 23:59:59.0","","389109.828547207","193053.070345791","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음악영상물","","",
"24","음반물제작업","03_14_05_P","6260000","M01012008000006","20080917","","01","영업/정상","1","영업","","","","","0518198798","","","부산광역시 부산진구 부전동 ***번지 *호","부산광역시 부산진구 부전로 *** (부전동)","","명성음향","20131226173006","I","2018-08-31 23:59:59.0","","387406.067019474","186676.305414942","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반,음악영상물","","",
"25","음반물제작업","03_14_05_P","6260000","M01012008000007","20080917","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 부전동 ***번지 *호","부산광역시 부산진구 중앙대로 ***-* (부전동)","","METAL LIVE ENTERTAINMENT","20131226172916","I","2018-08-31 23:59:59.0","","387521.505716206","186100.763683487","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반,음악영상물","","",
"26","음반물제작업","03_14_05_P","6260000","M01012008000008","20080917","","01","영업/정상","1","영업","","","","","0515051540","","","부산광역시 연제구 거제동 ***번지 **호","부산광역시 연제구 중앙대로 **** (거제동)","","새롬미디어","20131226172403","I","2018-08-31 23:59:59.0","","389205.926281202","190799.658369987","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반,음악영상물","","",
"27","음반물제작업","03_14_05_P","6260000","M01012008000009","20080917","","01","영업/정상","1","영업","","","","","0517479762","","","부산광역시 해운대구 우동 ****번지","부산광역시 해운대구 마린시티*로 *, ***호 (우동,선프라자)","","MEC.KOREA","20131226172307","I","2018-08-31 23:59:59.0","","395615.201853958","186406.750870936","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반,음악영상물","","",
"28","음반물제작업","03_14_05_P","6260000","M01012008000002","20080422","","01","영업/정상","1","영업","","","","","0518648864","","","부산광역시 연제구 연산동 ***번지 **호","부산광역시 연제구 월드컵대로**번길 * (연산동)","","성은전자","20131226162054","I","2018-08-31 23:59:59.0","","389737.275338071","188837.540283046","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반-음악영상물","","",
"29","음반물제작업","03_14_05_P","6260000","M01012008000003","20080711","","01","영업/정상","1","영업","","","","","0516233603","","","부산광역시 남구 대연동 **번지 **호 황제빌딩","부산광역시 남구 수영로***번길 **, *층 (대연동,황제빌딩)","","소리창고","20131226151513","I","2018-08-31 23:59:59.0","","391488.462039983","184013.086485183","음반물제작업","","","","","","","","","","","","","","","","","","","","","","","","","","","","음반, 음악영상물(CD, TAPE)","","",
