"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","영업내용",
"1","옥외광고업","04_15_01_P","3250000","2002325001608200021","20020711","","01","영업/정상","01","","","","","","051 4646233","","","부산광역시 중구 중앙동*가 **-**  번지","","","주식회사 와펠","20020711000000","I","2018-08-31 23:59:59.0","","","","옥외광구물제조",
"2","옥외광고업","04_15_01_P","3250000","2002325001608200033","20021105","","01","영업/정상","01","","","","","","051 2468717","","","부산광역시 중구 보수동*가 **-**  번지","","","사인매니아","20021105000000","I","2018-08-31 23:59:59.0","","","","광고물제작",
"3","옥외광고업","04_15_01_P","3250000","1989325001608200056","19890223","","01","영업/정상","01","","","","","","051 4622225","","","부산광역시 중구 영주동 ***번지 *  통*  반","부산광역시 중구 대영로***번길 *  (영주동)","","세기상사","19890223000000","I","2018-08-31 23:59:59.0","","385670.483619122","181074.042663357","광고물제작",
"4","옥외광고업","04_15_01_P","3250000","1989325001608200038","19890822","","01","영업/정상","01","","","","","","051 2461310","","","부산광역시 중구 부평동*가 **번지","","","대명사","19890822000000","I","2018-08-31 23:59:59.0","","","","광고물제작",
"5","옥외광고업","04_15_01_P","3250000","1997325001608200009","19971205","","01","영업/정상","01","","","","","","051 4638876","","","부산광역시 중구 중앙동*가 **-*   번지 항도빌딩***호","","","두남기업","19971205000000","I","2018-08-31 23:59:59.0","","","","광고물제작",
"6","옥외광고업","04_15_01_P","3250000","1988325001608200051","19880517","","01","영업/정상","01","","","","","","051 2466274","","","부산광역시 중구 부평동*가 **번지","부산광역시 중구 흑교로 **  (부평동*가)","","백금애드","19880517000000","I","2018-08-31 23:59:59.0","","384621.820885404","180029.395795349","광고물제작",
"7","옥외광고업","04_15_01_P","3250000","1999325001608200012","19990628","","01","영업/정상","01","","","","","","051 4415353","","","부산광역시 중구 중앙동*가 **번지","","","애드비젼","19990628000000","I","2018-08-31 23:59:59.0","","","","광고물제작",
"8","옥외광고업","04_15_01_P","3250000","2000325001608200015","20000103","","01","영업/정상","01","","","","","","051 2558708","","","부산광역시 중구 중앙동*가 **번지","부산광역시 중구 대청로***번길 **-*  (중앙동*가)","","화성광고사","20000103000000","I","2018-08-31 23:59:59.0","","385504.966910701","179960.120838427","광고물제작",
"9","옥외광고업","04_15_01_P","3250000","2000325001608200016","20000207","","01","영업/정상","01","","","","","","051 4419604","","","부산광역시 중구 중앙동*가 **-*   번지","","","한일기획","20000207000000","I","2018-08-31 23:59:59.0","","","","광고물제작",
"10","옥외광고업","04_15_01_P","3250000","2000325001608200028","20000701","","01","영업/정상","01","","","","","","051 2539600","","","부산광역시 중구 보수동*가 ***-*   번지","","","형일기획","20000701000000","I","2018-08-31 23:59:59.0","","","","광고물제작",
"11","옥외광고업","04_15_01_P","3250000","2005325005208200002","20050902","","01","영업/정상","10","설립신청","","","","","051 4675151","","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 충장대로**번길 *  (중앙동*가)","","케이원 기획","20050902000000","I","2018-08-31 23:59:59.0","","385727.874017024","180471.51330057","광고물제작.광고홍보기획대행",
"12","옥외광고업","04_15_01_P","3250000","2019325011608500001","20190228","","01","영업/정상","20","정상","","","","","","","","","부산광역시 중구 대청로 ***-* (대청동*가)","48932","디자인 예원","20201113130524","U","2020-11-15 02:40:00.0","","385244.710249228","180132.163054021","옥외광고물 제작 외",
"13","옥외광고업","04_15_01_P","3250000","2022325015008500003","20220420","","01","영업/정상","20","정상","","","","","","","","부산광역시 중구 중앙동*가 **-**","부산광역시 중구 대청로***번길 *, 다온빌딩 *층 (중앙동*가)","48931","(주)코비드","20220420095012","I","2022-04-23 00:22:33.0","","385491.762490074","180126.763181102","간판 디자인",
"14","옥외광고업","04_15_01_P","3250000","2022325015008500002","20220203","","01","영업/정상","20","정상","","","","","","","","","부산광역시 중구 대청로***번길 * (중앙동*가)","48956","피에스디 디자인","20220203144344","I","2022-02-05 00:22:38.0","","385500.111857936","180000.86007515","간판디자인",
"15","옥외광고업","04_15_01_P","3250000","2005325001608200004","19931026","","01","영업/정상","20","정상","","","","","","","","부산광역시 중구 부평동*가 **-*","부산광역시 중구 대청로 **-* (부평동*가)","","해성광고","20210608174405","U","2021-06-10 02:40:00.0","","384504.040718065","180086.285962995","광고물제작",
