"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","인쇄사","04_16_01_P","3250000","CDFG1252002001000005","20010409","","03","폐업","03","폐업","20030703","","","","257-3381","","600082","부산광역시 중구 보수동*가 **-**번지","부산광역시 중구 흑교로**번길 **  (보수동*가)","","(주)인쇄나라","20040113164956","I","2018-08-31 23:59:59.0","","384351.540238464","180377.043003698","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","인쇄사","04_16_01_P","3250000","CDFG1252002001000007","20010704","","03","폐업","03","폐업","20030811","","","","254-4207","","600041","부산광역시 중구 남포동*가 **번지","부산광역시 중구 구덕로 *  (남포동*가)","","해성문화사","20040113164920","I","2018-08-31 23:59:59.0","","385530.347062933","179508.291382347","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","인쇄사","04_16_01_P","3250000","CDFG1252001979000001","19791220","","03","폐업","03","폐업","20020318","","","","","","600100","부산광역시 중구 대창동*가 *-**번지","","","명지문화사","20040114093448","I","2018-08-31 23:59:59.0","","","","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","인쇄사","04_16_01_P","3250000","CDFG1252002000000015","20001204","","03","폐업","03","폐업","20100601","","","","","","600092","부산광역시 중구 대청동*가 **-*번지","부산광역시 중구 대청로 **-*  (대청동*가)","","금호인쇄","20100601113936","I","2018-08-31 23:59:59.0","","385051.665749317","180119.43583485","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","인쇄사","04_16_01_P","3250000","CDFG1252001981000004","19811006","","03","폐업","03","폐업","20121231","","","","246-9786","","600806","부산광역시 중구 부평동*가 **번지","","","만성인쇄소","20130403171823","I","2018-08-31 23:59:59.0","","","","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","인쇄사","04_16_01_P","3250000","CDFG1252002016000002","20160331","","03","폐업","03","폐업","20171012","","","","248-3699","","","부산광역시 중구 중앙동*가 **-**번지","부산광역시 중구 대청로***번길 *, ***호 (중앙동*가, 대원빌딩)","48956","시랩(C_Lab)","20171012174707","I","2018-08-31 23:59:59.0","","385500.111857936","180000.86007515","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","인쇄사","04_16_01_P","3250000","CDFG1252002016000010","20161228","","03","폐업","03","폐업","20211228","","","","441-8288","","","부산광역시 중구 동광동*가 **-*","부산광역시 중구 동광길 *, *층 (동광동*가)","48932","(주)더굳랩","20211228145451","U","2021-12-30 02:40:00.0","","385402.665879748","180117.626217757","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","인쇄사","04_16_01_P","3250000","CDFG1252002002000003","20021026","","03","폐업","03","폐업","20040426","","","","441-8483","","600815","부산광역시 중구 중앙동*가 **번지","","","유성애드","20070201100046","I","2018-08-31 23:59:59.0","","","","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","인쇄사","04_16_01_P","3250000","CDFG1252002003000001","20030529","","03","폐업","03","폐업","20050419","","","","","","600024","부산광역시 중구 동광동*가 **-*번지 동신빌딩 ***호","부산광역시 중구 동광길 *,  ***호 (동광동*가,동신빌딩)","","진영애드","20050419094926","I","2018-08-31 23:59:59.0","","385381.671964779","180139.880759574","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","인쇄사","04_16_01_P","3250000","CDFG1252002003000022","20031229","","03","폐업","03","폐업","20040108","","","","","","600082","부산광역시 중구 보수동*가 **-**번지","부산광역시 중구 보수대로***번길 **  (보수동*가)","","종일문화사","20040113162551","I","2018-08-31 23:59:59.0","","384393.363548619","180323.81437344","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"11","인쇄사","04_16_01_P","3250000","CDFG1252002003000017","20031029","","03","폐업","03","폐업","20150407","","","","241-1916","","600082","부산광역시 중구 보수동*가 **-**번지 매일빌딩*층 ***호","부산광역시 중구 흑교로**번길 **, ***호 (보수동*가,매일빌딩*층)","","세화인쇄문화사","20150407153428","I","2018-08-31 23:59:59.0","","384351.540238464","180377.043003698","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"12","인쇄사","04_16_01_P","3250000","CDFG1252002018000002","20180207","","03","폐업","03","폐업","20190412","","","","051-468-1770","","","부산광역시 중구 대청동*가 **-*번지","부산광역시 중구 복병산길*번길 * (대청동*가)","48932","대동인쇄사","20190412172250","U","2019-04-14 02:40:00.0","","385209.558656265","180148.500172365","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13","인쇄사","04_16_01_P","3250000","CDFG1252001990000002","19900206","","03","폐업","03","폐업","20081230","","","","469-8275","","600811","부산광역시 중구 영주동 ***번지","부산광역시 중구 동광길 ***  (영주동)","","(주)신일인쇄","20081230154059","I","2018-08-31 23:59:59.0","","385667.205255199","181042.53496378","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"14","인쇄사","04_16_01_P","3250000","CDFG1252001988000002","19880106","","03","폐업","03","폐업","20110323","","","","246-5667","","600060","부산광역시 중구 신창동*가 **번지","","","도서출판 국제","20110323120657","I","2018-08-31 23:59:59.0","","","","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"15","인쇄사","04_16_01_P","3250000","CDFG1252001990000001","19900125","","03","폐업","03","폐업","20090120","","","","469-7066","","600024","부산광역시 중구 동광동*가 *-*번지","부산광역시 중구 대청로 ***-*  (동광동*가)","","현대인쇄문화사","20090120094515","I","2018-08-31 23:59:59.0","","385418.401459362","180103.91074381","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"16","인쇄사","04_16_01_P","3250000","CDFG1252002005000005","20050330","","03","폐업","03","폐업","20110622","","","","051-245-2337","","600074","부산광역시 중구 부평동*가 **-**번지 **통*반","부산광역시 중구 흑교로**번길 **  (부평동*가)","","참애드","20110622154030","I","2018-08-31 23:59:59.0","","384343.401620262","180026.030819792","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"17","인쇄사","04_16_01_P","3250000","CDFG1252001990000006","19900419","","03","폐업","03","폐업","20150203","","","","","","600083","부산광역시 중구 보수동*가 **-**번지 재부하동향우회관*층","부산광역시 중구 흑교로**번길 ** (보수동*가,재부하동향우회관*층)","","삼성사","20150203171708","I","2018-08-31 23:59:59.0","","384431.30981500000","180578.27675600000","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"18","인쇄사","04_16_01_P","3250000","CDFG1252001991000002","19910212","","03","폐업","03","폐업","20061010","","","","462-9614","","600091","부산광역시 중구 대청동*가 **-*번지","부산광역시 중구 복병산길*번길 *  (대청동*가)","","원색인쇄 동백문화","20061010142907","I","2018-08-31 23:59:59.0","","385223.921404969","180148.729697778","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"19","인쇄사","04_16_01_P","3250000","CDFG1252002005000015","20051005","","03","폐업","03","폐업","20110211","","","","051)256-1275","","600082","부산광역시 중구 보수동*가 **-**번지","부산광역시 중구 흑교로 **  (보수동*가)","","거화애드","20110211141846","I","2018-08-31 23:59:59.0","","384430.93787255","180387.020515371","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"20","인쇄사","04_16_01_P","3250000","CDFG1252002005000016","20050325","","03","폐업","03","폐업","20140108","","","","467-7111","","600024","부산광역시 중구 동광동*가 **-*번지","부산광역시 중구 동광길 ** (동광동*가)","","다큐플라자","20141216202655","I","2018-08-31 23:59:59.0","","385428.260259598","180198.490741192","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"21","인쇄사","04_16_01_P","3250000","CDFG1252002005000009","20050627","","03","폐업","03","폐업","20090724","","","","441-8483","","","부산광역시 중구 중앙동*가 **-**번지","부산광역시 중구 동광길 **  (중앙동*가)","","유성애드","20090724152313","I","2018-08-31 23:59:59.0","","385451.958437662","180305.025711614","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"22","인쇄사","04_16_01_P","3250000","CDFG1252002006000001","20060102","","03","폐업","03","폐업","20061229","","","","255-4014","","600082","부산광역시 중구 보수동*가 **-**번지","부산광역시 중구 보수대로***번길 **  (보수동*가)","","진영기획","20070102113026","I","2018-08-31 23:59:59.0","","384393.363548619","180323.81437344","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"23","인쇄사","04_16_01_P","3250000","CDFG1252002006000003","20060117","","03","폐업","03","폐업","20080111","","","","469-7088","","600811","부산광역시 중구 영주동 ***-**번지","부산광역시 중구 중구로 ***  (영주동)","","인쇄기획 큐","20080121105439","I","2018-08-31 23:59:59.0","","385542.982677462","180830.840701744","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"24","인쇄사","04_16_01_P","3250000","CDFG1252002006000005","20060221","","03","폐업","03","폐업","20140206","","","","467-6509","","600024","부산광역시 중구 동광동*가 **-*번지","부산광역시 중구 동광길 ** (동광동*가)","","청솔인쇄","20141216202348","I","2018-08-31 23:59:59.0","","385393.257488425","180178.067210043","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"25","인쇄사","04_16_01_P","3250000","CDFG1252002006000006","20060313","","03","폐업","03","폐업","20100330","","","","242-0748","","600802","부산광역시 중구 보수동*가 **-**번지","","","현우인쇄","20100401135005","I","2018-08-31 23:59:59.0","","384349.97454989","180586.873578604","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"26","인쇄사","04_16_01_P","3250000","CDFG1252002006000007","20060317","","03","폐업","03","폐업","20100114","","","","243-8890","","600060","부산광역시 중구 신창동*가 **-*번지","부산광역시 중구 대청로**번길 *  (신창동*가)","","주혹방광묵도","20100114170241","I","2018-08-31 23:59:59.0","","385010.697427931","180046.047246882","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"27","인쇄사","04_16_01_P","3250000","CDFG1252001999000001","19990727","","03","폐업","03","폐업","20200731","","","","051-467-2828","","600024","부산광역시 중구 동광동*가 **-*","부산광역시 중구 동광길 * (동광동*가)","","동양칼라","20200731143323","U","2020-08-02 02:40:00.0","","385379.633094859","180116.598483157","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"28","인쇄사","04_16_01_P","3250000","CDFG1252001999000002","19990806","","03","폐업","03","폐업","20190125","","","","464-8666","","600024","부산광역시 중구 동광동*가 **-*번지","부산광역시 중구 동광길 ** (동광동*가)","","동신기획인쇄","20190125170159","U","2019-02-12 02:40:00.0","","385403.47592167","180131.572765329","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"29","인쇄사","04_16_01_P","3250000","CDFG1252002001000004","20010120","","03","폐업","03","폐업","20070329","","","","241-1942","","600016","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 중앙대로 **  (중앙동*가)","","해양코퍼레이션","20070330141430","I","2018-08-31 23:59:59.0","","385603.532182924","179816.313601081","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"30","인쇄사","04_16_01_P","3250000","CDFG1252002003000004","20030703","","03","폐업","03","폐업","20050202","","","","246-6243","","600082","부산광역시 중구 보수동*가 **-**번지","부산광역시 중구 흑교로**번길 **  (보수동*가)","","한얼인쇄","20061010160133","I","2018-08-31 23:59:59.0","","384351.540238464","180377.043003698","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"31","인쇄사","04_16_01_P","3250000","CDFG1252002004000001","20040113","","03","폐업","03","폐업","20050330","","","","245-2337","","600074","부산광역시 중구 부평동*가 **-**번지","부산광역시 중구 흑교로**번길 **  (부평동*가)","","참애드","20050401111836","I","2018-08-31 23:59:59.0","","384343.401620262","180026.030819792","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"32","인쇄사","04_16_01_P","3250000","CDFG1252002004000017","20041215","","03","폐업","03","폐업","20071016","","","","","","600013","부산광역시 중구 중앙동*가 **번지 (*층)","부산광역시 중구 대청로 ***  (중앙동*가,(*층))","","세기정판인쇄사","20071210101457","I","2018-08-31 23:59:59.0","","385490.842104263","180113.199743108","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"33","인쇄사","04_16_01_P","3250000","CDFG1252002003000025","20031211","","03","폐업","03","폐업","20190227","","","","","","600073","부산광역시 중구 부평동*가 **-*번지 *층","부산광역시 중구 흑교로**번길 * (부평동*가,*층)","","문광제책사","20190227141814","U","2019-03-01 02:40:00.0","","384507.433821496","179885.429761259","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"34","인쇄사","04_16_01_P","3250000","CDFG1252002005000002","20050125","","03","폐업","03","폐업","20140806","","","","467-6174","","600024","부산광역시 중구 동광동*가 **-*번지","부산광역시 중구 동광길 ** (동광동*가)","","중앙칼라","20140806163157","I","2018-08-31 23:59:59.0","","385382.890488068","180149.219666137","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"35","인쇄사","04_16_01_P","3250000","CDFG1252001991000008","19910603","","03","폐업","03","폐업","20210319","","","","241-7830","","600806","부산광역시 중구 부평동*가 **","부산광역시 중구 부평*길 **  (부평동*가)","","중암인쇄소","20210319144121","U","2021-03-21 02:40:00.0","","384689.649992607","179795.994619396","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
