"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","출판사","04_17_01_P","3250000","CDFG1251002019000001","20190107","","03","폐업","03","폐업","20191220","","","","051-246-1850","","","부산광역시 중구 신창동*가 *-**번지","부산광역시 중구 광복중앙로**번길 **-*, *층 (신창동*가)","48947","북 파오스(Book PAOS)","20191220152220","U","2019-12-22 02:40:00.0","","384960.711265153","180018.956433376","출판사","출판인쇄업","4","기타","","","4","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","",
"2","출판사","04_17_01_P","3250000","CDFG1251002016000021","20161228","","03","폐업","03","폐업","20211228","","","","441-8288","","","부산광역시 중구 동광동*가 **-*","부산광역시 중구 동광길 *, *층 (동광동*가)","48932","(주)더굳랩","20211228145437","U","2021-12-30 02:40:00.0","","385402.665879748","180117.626217757","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","출판사","04_17_01_P","3250000","CDFG1251002017000003","20170504","","03","폐업","03","폐업","20170517","","","","","","","","부산광역시 중구 대청로***번길 *-* (동광동*가)","48932","호랑이 출판사","20170517160559","I","2018-08-31 23:59:59.0","","385424.294336233","180154.176692527","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","출판사","04_17_01_P","3250000","CDFG1251002011000006","20110414","","03","폐업","03","폐업","20171204","","","","","","600073","부산광역시 중구 부평동*가 **-*번지 *층","부산광역시 중구 흑교로 ** (부평동*가,*층)","","재봉출판사","20171204104949","I","2018-08-31 23:59:59.0","","384556.427664557","179846.387110977","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","출판사","04_17_01_P","3250000","CDFG1251001988000002","19880716","","03","폐업","03","폐업","20130122","","","","246-3436","","600012","부산광역시 중구 중앙동*가 **-**번지","부산광역시 중구 해관로 **-*  (중앙동*가)","","도서출판 빛남","20130403171129","I","2018-08-31 23:59:59.0","","385524.191743408","180073.046655892","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","출판사","04_17_01_P","3250000","CDFG1251002011000015","20111125","","03","폐업","03","폐업","20140508","","","","051-468-3511","","600025","부산광역시 중구 동광동*가 **-*번지 청암빌딩 *층","부산광역시 중구 동광길 ** (동광동*가)","600025","합동광고인쇄","20141216195544","I","2018-08-31 23:59:59.0","","385418.337345975","180214.536969011","출판사","출판인쇄업","","","","","","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","",
"7","출판사","04_17_01_P","3250000","CDFG1251001983000001","19830309","","03","폐업","03","폐업","20110323","","","","246-5667","","600061","부산광역시 중구 신창동*가 **번지","부산광역시 중구 대청로**번길 * (신창동*가)","600061","도서출판 국제","20131230101737","I","2018-08-31 23:59:59.0","","384987.93024813","180037.783390139","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","출판사","04_17_01_P","3250000","CDFG1251001983000002","19830117","","03","폐업","03","폐업","20020718","","","","","","600091","부산광역시 중구 대청동*가 **-*번지","부산광역시 중구 복병산길*번길 *-*  (대청동*가)","","도서출판 지평","20040114092719","I","2018-08-31 23:59:59.0","","385231.344127885","180148.626884052","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","출판사","04_17_01_P","3250000","CDFG1251001993000009","19931101","","03","폐업","03","폐업","20111201","","","","246-5721,245-6486","","600060","부산광역시 중구 신창동*가 *번지","","","신안출판사","20120221162032","I","2018-08-31 23:59:59.0","","","","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","출판사","04_17_01_P","3250000","CDFG1251001999000006","19990817","","03","폐업","03","폐업","20190225","","","","469-0926","","600024","부산광역시 중구 동광동*가 **-*번지","부산광역시 중구 대청로***번길 *-* (동광동*가)","600024","도서출판 한길","20190225172936","U","2019-05-10 02:40:00.0","","385432.942421672","180182.635361525","출판사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
