"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"1","이용업","05_19_01_P","3250000","3250000-203-2006-00007","20061010","","01","영업/정상","01","영업","","","","","051 4626807","9.50","600816","부산광역시 중구 중앙동4가 79-1번지 마린센터 지하1층 101호","부산광역시 중구 충장대로9번길 52, 지하1층 101호 (중앙동4가, 마린센터)","48936","마린사우나구내이용원","20171012151516","I","2018-08-31 23:59:59.0","일반이용업","385825.756707547","180869.292984843","일반이용업","19","3","0","0","1","1","0","0","0","N","1","","","","임대","0","","","0","0","N",
"2","이용업","05_19_01_P","3250000","3250000-203-2006-00006","20060904","","01","영업/정상","01","영업","","","","","051 2557888","26.30","600808","부산광역시 중구 부평동3가 25-1번지 (1층)","부산광역시 중구 흑교로25번길 6, 1층 (부평동3가)","48976","태평양이용원","20171012144237","I","2018-08-31 23:59:59.0","일반이용업","384544.708039828","179973.714077651","일반이용업","4","1","1","1","0","0","0","0","0","N","3","","","","임대","0","","","0","0","N",
"3","이용업","05_19_01_P","3250000","3250000-203-2006-00004","20060327","","01","영업/정상","01","영업","","","","","","29.16","600817","부산광역시 중구 중앙동4가 81-17번지 (2층)","부산광역시 중구 충장대로5번길 32, 2층 (중앙동4가)","48937","강강","20170718144740","I","2018-08-31 23:59:59.0","일반이용업","385685.21954645","180664.247491224","일반이용업","5","1","2","2","0","0","0","0","0","N","3","","","","임대","0","","","0","0","N",
"4","이용업","05_19_01_P","3250000","3250000-203-1989-00517","19890928","","01","영업/정상","01","영업","","","","","051 4655552","19.35","600800","부산광역시 중구 대청동4가 85-1번지 (3층)","부산광역시 중구 중구로 90, 3층 (대청동4가)","48933","남성H전문","20171110105721","I","2018-08-31 23:59:59.0","일반이용업","385079.6643678","180294.019104111","일반이용업","4","1","3","3","0","0","0","0","0","N","2","","","","임대","0","","","0","0","N",
"5","이용업","05_19_01_P","3250000","3250000-203-1979-00461","19790623","","01","영업/정상","01","영업","","","","","051 4699464","24.00","600025","부산광역시 중구 동광동5가 12-165번지","부산광역시 중구 동영로 18 (동광동5가)","48921","부남","20131230110555","I","2018-08-31 23:59:59.0","일반이용업","385393.497591732","180704.354280239","일반이용업","3","1","1","1","0","0","0","0","0","N","5","","","","임대","0","","","0","0","N",
"6","이용업","05_19_01_P","3250000","3250000-203-1979-00462","19791231","","01","영업/정상","01","영업","","","","","4694750","20.00","600025","부산광역시 중구 동광동5가 13-68번지 (1층)","부산광역시 중구 동영로 11, 1층 (동광동5가)","48918","부전","20130208125257","I","2018-08-31 23:59:59.0","일반이용업","385334.516493361","180678.924156142","일반이용업","1","0","1","1","0","0","0","0","0","N","4","","","","임대","0","","","0","0","N",
"7","이용업","05_19_01_P","3250000","3250000-203-1970-00459","19700307","","01","영업/정상","01","영업","","","","","","18.41","600101","부산광역시 중구 대창동1가 51 외 2필지(5층)","부산광역시 중구 해관로 89, 5층 (대창동1가, 외 2필지)","48924","광미이용원","20220124112944","U","2022-01-26 02:40:00.0","일반이용업","385507.640529964","180548.792611588","일반이용업","13","1","5","5","0","0","0","0","0","N","2","","","","임대","0","0","0","0","0","N",
"8","이용업","05_19_01_P","3250000","3250000-203-2003-00003","20030623","","01","영업/정상","01","영업","","","","","2426848","26.00","600011","부산광역시 중구 중앙동1가 22-23번지","부산광역시 중구 해관로 22-1 (중앙동1가)","48957","종 이용원","20130208134015","I","2018-08-31 23:59:59.0","일반이용업","385566.020329547","179863.352181185","일반이용업","5","1","0","0","0","1","0","0","0","N","4","","","","임대","0","","","0","0","N",
"9","이용업","05_19_01_P","3250000","3250000-203-1990-00529","19901201","","01","영업/정상","01","영업","","","","","","73.60","600817","부산광역시 중구 중앙동4가 81-13번지","부산광역시 중구 충장대로5번길 34 (중앙동4가)","48937","명천탕 구내","20171012150116","I","2018-08-31 23:59:59.0","일반이용업","385694.347017426","180690.925641268","일반이용업","4","0","2","2","0","0","0","0","0","N","7","","","","임대","0","","","0","0","N",
"10","이용업","05_19_01_P","3250000","3250000-203-1969-00485","19691217","","01","영업/정상","01","영업","","","","","051 4629497","20.65","600110","부산광역시 중구 영주동 151-7번지 (1층)","부산광역시 중구 영주로 62, 1층 (영주동)","48907","아파트","20130208115140","I","2018-08-31 23:59:59.0","일반이용업","385032.704170166","181175.647616445","일반이용업","2","0","1","1","0","0","0","0","0","N","3","","","","임대","0","","","0","0","N",
