"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"1","세탁업","06_20_01_P","3250000","3250000-205-1994-00625","19940514","","01","영업/정상","01","영업","","","","","051 2440456","22.21","600074","부산광역시 중구 부평동4가 14-6번지","부산광역시 중구 흑교로31번길 21-2 (부평동4가)","48974","억수크리닝샵","20051205000000","I","2018-08-31 23:59:59.0","일반세탁업","384365.622601733","180008.486535132","일반세탁업","4","","1","1","","","","","","N","","","","","임대","","","","","","N",
"2","세탁업","06_20_01_P","3250000","3250000-205-1994-00628","19940726","","01","영업/정상","01","영업","","","","","051 4622824","27.46","600811","부산광역시 중구 영주동 550-1번지 4통4반","부산광역시 중구 중구로 184 (영주동)","48923","미광사","20051205000000","I","2018-08-31 23:59:59.0","일반세탁업","385425.150424751","180991.353291512","일반세탁업","4","","1","1","","","","","","N","","","","","임대","","","","","","N",
"3","세탁업","06_20_01_P","3250000","3250000-205-1997-00636","19970830","","01","영업/정상","01","영업","","","","","051 4646405","16.00","600110","부산광역시 중구 영주동 161번지","부산광역시 중구 영주로 51, 상가동 201호 (영주동)","48917","금호인버터사","20131227153143","I","2018-08-31 23:59:59.0","일반세탁업","385022.487250824","181030.09515715","일반세탁업","3","","2","2","","","","","","N","","","","","임대","","","","","","N",
"4","세탁업","06_20_01_P","3250000","3250000-205-1987-00588","19870520","","01","영업/정상","01","영업","","","","","051 4694098","13.63","600101","부산광역시 중구 대창동1가 51번지 T통B반","부산광역시 중구 해관로 89 (대창동1가)","48924","동광세탁소","20051117000000","I","2018-08-31 23:59:59.0","일반세탁업","385507.640529964","180548.792611588","일반세탁업","13","","5","5","","","","","","N","","","","","임대","","","","","","N",
"5","세탁업","06_20_01_P","3250000","3250000-205-1991-00610","19910219","","01","영업/정상","01","영업","","","","","051 4635836","33.00","600801","부산광역시 중구 대청동4가 92-2번지","부산광역시 중구 대청로99번길 9 (대청동4가)","48933","백광사","20131227153016","I","2018-08-31 23:59:59.0","일반세탁업","385079.748052548","180167.932735804","일반세탁업","2","","1","1","","","","","","N","","","","","임대","","","","","","N",
"6","세탁업","06_20_01_P","3250000","3250000-205-1992-00615","19921127","","01","영업/정상","01","영업","","","","","051 4693345","28.35","600094","부산광역시 중구 대청동4가 75-83번지 ,84,87,88","부산광역시 중구 대청북길 15 (대청동4가,,84,87,88)","48969","청강세탁소","20051205000000","I","2018-08-31 23:59:59.0","일반세탁업","384925.053867387","180376.620831827","일반세탁업","4","","1","1","","","","","","N","","","","","임대","","","","","","N",
"7","세탁업","06_20_01_P","3250000","3250000-205-1987-00579","19870512","","01","영업/정상","01","영업","","","","","051 2560186",".00","600802","부산광역시 중구 보수동1가 12-41번지","부산광역시 중구 보수대로140번길 26 (보수동1가)","48962","탑그린","20120911094114","I","2018-08-31 23:59:59.0","일반세탁업","384383.494507478","180546.643998396","일반세탁업","2","0","1","2","0","0","0","0","0","N","0","","","","임대","0","","","0","0","N",
"8","세탁업","06_20_01_P","3250000","3250000-205-1991-00612","19910901","","01","영업/정상","01","영업","","","","","051 4623471","25.00","600815","부산광역시 중구 중앙동4가 37-32번지 T통B반","부산광역시 중구 40계단길 7 (중앙동4가)","48930","중앙","20051205000000","I","2018-08-31 23:59:59.0","일반세탁업","385484.425382775","180224.702407469","일반세탁업","5","","1","1","","","","","","N","","","","","임대","","","","","","N",
"9","세탁업","06_20_01_P","3250000","3250000-205-2010-00001","20100209","","01","영업/정상","01","영업","","","","","0514690301","15.39","600101","부산광역시 중구 대창동1가 54-67번지 부원아파트","부산광역시 중구 중앙대로115번길 1-6 (대창동1가,부원아파트)","48924","부원세탁","20140314105315","I","2018-08-31 23:59:59.0","일반세탁업","385544.772444246","180648.03280747","일반세탁업","12","5","8","8","0","0","0","0","0","N","0","","","","임대","3","","","1","0","N",
"10","세탁업","06_20_01_P","3250000","3250000-205-2002-00001","20020305","","01","영업/정상","01","영업","","","","","4626963","21.00","600025","부산광역시 중구 동광동5가 18-15","부산광역시 중구 샘길 31 (동광동5가)","48925","백합크리닝","20220112112455","U","2022-01-14 02:40:00.0","일반세탁업","385356.723487908","180540.581253214","일반세탁업","2","","1","1","","","","","","N","","","","","임대","","","","","","N",
"11","세탁업","06_20_01_P","3250000","3250000-205-1987-00583","19870513","","01","영업/정상","01","영업","","","","","051 2467249","56.35","600807","부산광역시 중구 부평동2가 59-3번지","부산광역시 중구 중구로23번길 43-1 (부평동2가)","48979","국제사","20141230175633","I","2018-08-31 23:59:59.0","세탁업 기타","384615.3144212","179748.447306371","세탁업 기타","3","","1","2","","","","","","N","","","","","임대","","","","","","N",
"12","세탁업","06_20_01_P","3250000","3250000-205-1987-00578","19870512","","01","영업/정상","01","영업","","","","","051 4625815","18.24","600024","부산광역시 중구 동광동4가 18-7번지","부산광역시 중구 동광길 24 (동광동4가)","48932","동광크리닝","20161212155742","I","2018-08-31 23:59:59.0","일반세탁업","385418.819174499","180192.347127303","일반세탁업","2","","1","2","","","","","","N","","","","","임대","","","","","","N",
