"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","위탁급식영업","07_21_01_P","3250000","3250000-120-2008-00001","20081222","","01","영업/정상","01","영업","","","","","051 660 2401","411.30","600816","부산광역시 중구 중앙동4가 74-1번지","부산광역시 중구 충장대로13번길 67 (중앙동4가)","48934","웰리브디섹점","20200427150246","U","2020-04-29 02:40:00.0","위탁급식영업","385873.204924017","181044.594332973","위탁급식영업","","","","","","","","","","","","","","N","411.3","","","",
"2","위탁급식영업","07_21_01_P","3250000","3250000-120-2009-00001","20090303","","01","영업/정상","01","영업","","","","","051 7187229","443.75","600015","부산광역시 중구 중앙동5가 50","부산광역시 중구 중앙대로 52 (중앙동5가)","48942","(주)아워홈엘지유플러스 중앙동사옥점","20210629160832","U","2021-07-01 02:40:00.0","위탁급식영업","385650.848776468","180019.638851373","위탁급식영업","","","","","","","","","","","","","","N","443.75","","","",
"3","위탁급식영업","07_21_01_P","3250000","3250000-120-2003-00001","20030523","","01","영업/정상","01","영업","","","","","051 4630400","308.00","600816","부산광역시 중구 중앙동4가 75-1","부산광역시 중구 충장대로5번길 72 (중앙동4가)","48934","재단법인 케이티그룹희망나눔재단 서부산","20210226142610","U","2021-02-28 02:40:00.0","위탁급식영업","385811.634937345","180996.883871158","위탁급식영업","0","0","","","상수도전용","","","","","","","","","N","308","","","",
"4","위탁급식영업","07_21_01_P","3250000","3250000-120-2003-00003","20031009","","01","영업/정상","01","영업","","","","","051 4628468","10.14","600013","부산광역시 중구 중앙동3가 18-1","부산광역시 중구 대청로 135 (중앙동3가)","48931","씨제이프레시웨이 주식회사 SC은행부산점","20210412163705","U","2021-04-14 02:40:00.0","위탁급식영업","385463.118213998","180123.108147913","위탁급식영업","0","0","","","상수도전용","","","","","","","","","N","10.14","","","",
"5","위탁급식영업","07_21_01_P","3250000","3250000-120-2006-00001","20060403","","01","영업/정상","01","영업","","","","","051 464 7307","","600814","부산광역시 중구 중앙동4가 22-1","부산광역시 중구 충장대로 6 (중앙동4가)","48941","(주)아워홈한진중공업중앙점","20210629161133","U","2021-07-01 02:40:00.0","위탁급식영업","385668.490693904","180298.978180092","위탁급식영업","0","0","","","","","","","","","","","","N","0","","","",
"6","위탁급식영업","07_21_01_P","3250000","3250000-120-2006-00002","20061012","","01","영업/정상","01","영업","","","","","051 660 6323","153.11","600816","부산광역시 중구 중앙동4가 74-11번지","부산광역시 중구 중앙대로148번길 13 (중앙동4가)","48934","명문푸드서비스(주)(부산지방보훈청)","20130814172229","I","2018-08-31 23:59:59.0","위탁급식영업","385849.596480266","180938.063706755","위탁급식영업","0","0","","","","","","","","","","","","N","153.11","","","",
"7","위탁급식영업","07_21_01_P","3250000","3250000-120-2020-00001","20200701","","01","영업/정상","01","영업","","","","","","500.00","600017","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 지하 2층 (중앙동7가)","48944","롯데푸드(주)롯데백화점 광복점","20210429164214","U","2021-05-01 02:40:00.0","위탁급식영업","385590.814676765","179553.867031936","위탁급식영업","","","","","","","","","","","","","","N","500","","","",
"8","위탁급식영업","07_21_01_P","3250000","3250000-120-2021-00001","20210730","","01","영업/정상","01","영업","","","","","051 915 7474","120.00","600016","부산광역시 중구 중앙동6가 10-4","부산광역시 중구 중앙대로30번길 8, 지하1층 (중앙동6가)","48943","(주)다조에프앤에스 국립수산물품질관리원 부산지원지점","20210730173653","I","2021-08-01 00:22:52.0","위탁급식영업","385708.427039261","179763.337556889","위탁급식영업","0","0","","","","0","0","0","0","0","","0","0","N","120","","","",
"9","위탁급식영업","07_21_01_P","3250000","3250000-120-2007-00001","20070424","","03","폐업","02","폐업","20100614","","","","051 2446059","46.02","600023","부산광역시 중구 동광동3가 1-2번지","","","선미식품","20070424000000","I","2018-08-31 23:59:59.0","위탁급식영업","385426.971851675","180059.93055316","위탁급식영업","0","0","기타","","","","","","","","","","","N","46.02","","","",
"10","위탁급식영업","07_21_01_P","3250000","3250000-120-2009-00002","20091211","","03","폐업","02","폐업","20200630","","","","051  6782089","499.71","600017","부산광역시 중구 중앙동7가 20-1 외 110필지 롯데백화점","부산광역시 중구 중앙대로 2 (중앙동7가, 외 110필지 롯데백화점)","48944","(주) 엠푸드 롯데백화점 광복지점","20200630152536","U","2020-07-02 02:40:00.0","위탁급식영업","385590.814676765","179553.867031936","위탁급식영업","","","","","상수도전용","","","","","","","","","N","499.71","","","",
"11","위탁급식영업","07_21_01_P","3250000","3250000-120-2011-00001","20111209","","03","폐업","02","폐업","20150911","","","","070 77065826","194.94","600046","부산광역시 중구 남포동6가 63번지","부산광역시 중구 구덕로 90 (남포동6가)","48981","바른정형외과점","20150716144057","I","2018-08-31 23:59:59.0","위탁급식영업","384670.317658138","179489.435069922","위탁급식영업","","","","","상수도전용","","","","","","","","","N","194.94","","","",
"12","위탁급식영업","07_21_01_P","3250000","3250000-120-2012-00001","20120601","","03","폐업","02","폐업","20170630","","","","051 603 3456","589.21","600816","부산광역시 중구 중앙동4가 79-9번지 한진해운 지하1층","부산광역시 중구 충장대로9번길 46, 지하1층 (중앙동4가, 한진해운 내)","48936","(주)신세계푸드 한진해운부산","20170630140050","I","2018-08-31 23:59:59.0","위탁급식영업","385801.526605206","180799.204372408","위탁급식영업","","","","","상수도전용","","","","","","","","","N","589.21","","","",
"13","위탁급식영업","07_21_01_P","3250000","3250000-120-2014-00001","20140826","","03","폐업","02","폐업","20201106","","","","051 250 2926","201.11","600017","부산광역시 중구 중앙동7가 20-1","부산광역시 중구 중앙대로 2, 3층 (중앙동7가, 롯데몰마트시네마동)","48944","롯데푸드(주)마트광복","20201106095558","U","2020-11-08 02:40:00.0","위탁급식영업","385590.814676765","179553.867031936","위탁급식영업","","","","","상수도전용","","","","","","","","","N","201.11","","","",
"14","위탁급식영업","07_21_01_P","3250000","3250000-120-2003-00002","20030528","","03","폐업","02","폐업","20130724","","","","051 2403782","","600091","부산광역시 중구 대청동1가 44번지","부산광역시 중구 대청로 112 (대청동1가)","48949","한국은행부산지점","20120127154021","I","2018-08-31 23:59:59.0","위탁급식영업","385221.047714243","180047.419476534","위탁급식영업","","","","","","","","","","","","","","N","0","","","",
"15","위탁급식영업","07_21_01_P","3250000","3250000-120-2003-00004","20031106","","03","폐업","02","폐업","20120601","","","","051 6033455","169.84","600816","부산광역시 중구 중앙동4가 79-9번지","부산광역시 중구 충장대로9번길 46 (중앙동4가)","48936","(주)신세계푸드한진해운부산","20120127154403","I","2018-08-31 23:59:59.0","위탁급식영업","385801.526605206","180799.204372408","위탁급식영업","0","0","","","상수도전용","","","","","","","","","N","169.84","","","",
"16","위탁급식영업","07_21_01_P","3250000","3250000-120-2003-00005","20031224","","03","폐업","02","폐업","20160224","","","","051468 7985","","600013","부산광역시 중구 중앙동3가 1번지","부산광역시 중구 중앙대로 63 (중앙동3가)","48931","다와푸드","20130725144023","I","2018-08-31 23:59:59.0","위탁급식영업","385561.650139456","180152.738082365","위탁급식영업","0","0","기타","","상수도전용","","","","","","","","","N","0","","","",
"17","위탁급식영업","07_21_01_P","3250000","3250000-120-2005-00001","20050705","","03","폐업","02","폐업","20081001","","","","","9.62","600015","부산광역시 중구 중앙동5가 15-1번지","","","(주)이씨엠디증권선물거래소","20050705000000","I","2018-08-31 23:59:59.0","위탁급식영업","385768.102867467","179934.163457132","위탁급식영업","1","4","","","상수도전용","","","","","","","","","N","9.62","","","",
"18","위탁급식영업","07_21_01_P","3260000","3260000-120-2014-00002","20141006","","01","영업/정상","01","영업","","","","","051 990 6046","900.00","602702","부산광역시 서구 암남동 34번지 고신대학교복음병원, 지하1층 5동","부산광역시 서구 감천로 262, 5동 지하1층 (암남동, 고신대학교복음병원)","49267","(주)풀무원푸드앤컬처 고신대학교 복음병원","20190116113034","U","2019-01-18 02:40:00.0","위탁급식영업","383621.461144767","177626.547374671","위탁급식영업","","","","","","","","","","","","","","N","900","","","",
"19","위탁급식영업","07_21_01_P","3260000","3260000-120-2016-00001","20160304","","01","영업/정상","01","영업","","","","","051 851 1012",".00","602820","부산광역시 서구 서대신동2가 288-2번지","부산광역시 서구 대영로 10, 5층 (서대신동2가, 서부산세무서)","49228","(주)신아에프엔에스 서부산세무서점","20160304152601","I","2018-08-31 23:59:59.0","위탁급식영업","383450.915490262","180834.371061758","위탁급식영업","","","","","상수도전용","","","","","","","","","N","0","","","",
"20","위탁급식영업","07_21_01_P","3260000","3260000-120-2018-00001","20180531","","01","영업/정상","01","영업","","","","","","116.83","602831","부산광역시 서구 암남동 655번지","부산광역시 서구 원양로 268 (암남동)","49273","동양구내식당","20181219143934","U","2018-12-21 02:40:00.0","위탁급식영업","382949.455396477","177093.30836349","위탁급식영업","","","","","상수도전용","","","","","","","","","N","116.83","","","",
"21","위탁급식영업","07_21_01_P","3260000","3260000-120-2003-00006","20030701","","01","영업/정상","01","영업","","","","","055 371 2504","261.37","602030","부산광역시 서구 암남동 740 동영콜드프라자","부산광역시 서구 원양로 147 (암남동, 동원콜드프라자)","49273","(주)동원홈푸드 동원산업부산냉장센터","20210128115504","U","2021-01-30 02:40:00.0","위탁급식영업","383415.639943426","175962.567924767","위탁급식영업","","","","","","","","","","","","","","N","261.37","","","",
"22","위탁급식영업","07_21_01_P","3260000","3260000-120-2007-00002","20070625","","01","영업/정상","01","영업","","","","","","389.64","602030","부산광역시 서구 암남동 716","부산광역시 서구 원양로 125 (암남동)","49273","주영식품","20211208133305","U","2021-12-10 02:40:00.0","위탁급식영업","383539.602429996","175767.563913389","위탁급식영업","0","3","","","상수도전용","0","0","0","0","0","","0","0","N","389.64","","","",
"23","위탁급식영업","07_21_01_P","3260000","3260000-120-2008-00005","20081117","","01","영업/정상","01","영업","","","","","051 727 0722","216.00","602803","부산광역시 서구 남부민동 523-29번지 희창물산 2층","부산광역시 서구 충무대로 146 (남부민동)","49264","(주)우양에프앤씨","20200220175518","U","2020-02-22 02:40:00.0","위탁급식영업","384662.733119919","177932.005072506","위탁급식영업","","","","","상수도전용","","","","","","","","","N","216","","","",
"24","위탁급식영업","07_21_01_P","3260000","3260000-120-2019-00003","20190701","","01","영업/정상","01","영업","","","","","051 240 7000","1,132.00","602739","부산광역시 서구 아미동1가 10-1번지 부산대학병원 호흡기센터","부산광역시 서구 구덕로 179, 부산대학병원 지하3층 (아미동1가)","49241","(주)풀무원푸드앤컬처 부산대학교병원환자식당","20200220164815","U","2020-02-22 02:40:00.0","위탁급식영업","384030.498741004","179806.024724594","위탁급식영업","","","","","","","","","","","","","","N","1132","","","",
"25","위탁급식영업","07_21_01_P","3260000","3260000-120-2019-00004","20190701","","01","영업/정상","01","영업","","","","","051 240 7000","406.50","602739","부산광역시 서구 아미동1가 10-1번지 부산대학병원 근생동","부산광역시 서구 구덕로 179, 부산대학병원 (아미동1가)","49241","(주)풀무원푸드앤컬처 부산대학교병원 아미정","20200220164902","U","2020-02-22 02:40:00.0","위탁급식영업","384030.498741004","179806.024724594","위탁급식영업","","","","","","","","","","","","","","N","406.5","","","",
