"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소","07_21_02_P","3250000","3250000-105-2019-00001","20190109","","01","영업/정상","01","영업","","","","","051 462 0316","66.10","600110","부산광역시 중구 영주동 287-9 중구노인복지관분관","부산광역시 중구 영주로 8-1, 중구노인복지관분관 4층 (영주동)","48915","(사복)로사리오카리타스 중구노인복지관 분관","20220123145432","U","2022-01-25 02:40:00.0","사회복지시설","385234.261773398","180898.71963356","사회복지시설","0","0","","","","0","0","0","0","0","","0","0","N","12.9","","","",
"2","집단급식소","07_21_02_P","3250000","3250000-105-2019-00002","20190524","","01","영업/정상","01","영업","","","","","","58.30","600814","부산광역시 중구 중앙동4가 17-26번지 부산세관","부산광역시 중구 충장대로 20, 부산세관 (중앙동4가)","48940","부산세관 어린이집","20190916093433","U","2019-09-18 02:40:00.0","어린이집","385799.333219399","180292.212678325","어린이집","","","","","","","0","","","","","0","0","N","18.7","","","",
"3","집단급식소","07_21_02_P","3250000","3250000-105-2019-00003","20191002","","01","영업/정상","01","영업","","","","","051 255 0200","44.27","600023","부산광역시 중구 동광동3가 1-2","부산광역시 중구 대청로 132-1, 6층 (동광동3가)","48955","굿힐링병원","20211220165353","U","2021-12-22 02:40:00.0","병원","385426.971851675","180059.93055316","병원","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","22.39","","","",
"4","집단급식소","07_21_02_P","3250000","3250000-105-1999-00024","19991001","","01","영업/정상","01","영업","","","","","051 4652922","","600110","부산광역시 중구 영주동 222-2","부산광역시 중구 망양로383번안길 25 (영주동)","48901","대청어린이집","20220623140956","U","2022-06-25 02:40:00.0","어린이집","384948.03527895","180911.609586435","어린이집","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"5","집단급식소","07_21_02_P","3250000","3250000-105-1999-00016","19991001","","01","영업/정상","01","영업","","","","","051 4640570","","600800","부산광역시 중구 대청동4가 75-7번지","부산광역시 중구 망양로 309 (대청동4가)","48904","노틀담어린이집","20170706100038","I","2018-08-31 23:59:59.0","어린이집","384855.504330647","180405.840143404","어린이집","0","0","기타","기타","상수도전용","","0","","","","","","","N","0","","","",
"6","집단급식소","07_21_02_P","3250000","3250000-105-2001-00001","20010621","","01","영업/정상","01","영업","","","","","051 603 5122","","600801","부산광역시 중구 대청동4가 95번지","부산광역시 중구 중구로 74 (대청동4가)","48933","광일초등학교","20170706100247","I","2018-08-31 23:59:59.0","학교","385019.663595538","180172.819924649","학교","","","","","상수도전용","","","","","","","","","N","0","","","",
"7","집단급식소","07_21_02_P","3250000","3250000-105-2002-00001","20020627","","01","영업/정상","01","영업","","","","","051 4415986","","600013","부산광역시 중구 중앙동3가 18-1번지 제일은행 8층","부산광역시 중구 대청로 135, 8층 (중앙동3가, 제일은행)","48931","(주)한국스탠다드차타드은행CS센터","20171114181534","I","2018-08-31 23:59:59.0","산업체","385463.118213998","180123.108147913","산업체","","","","","상수도전용","","0","","","","","","","N","0","","","",
"8","집단급식소","07_21_02_P","3250000","3250000-105-1987-00006","19870627","","01","영업/정상","01","영업","","","","","051 4630400",".00","600816","부산광역시 중구 중앙동4가 75","부산광역시 중구 충장대로5번길 72 (중앙동4가)","48934","주식회사 케이티(부산통신센터)","20220123152654","U","2022-01-25 02:40:00.0","산업체","385811.634937345","180996.883871158","산업체","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"9","집단급식소","07_21_02_P","3250000","3250000-105-1987-00008","19870627","","01","영업/정상","01","영업","","","","","051 6206062",".00","600814","부산광역시 중구 중앙동4가 17-0","부산광역시 중구 충장대로 20 (중앙동4가)","48940","부산세관","20220123151950","U","2022-01-25 02:40:00.0","공공기관","385799.333219399","180292.212678325","공공기관","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"10","집단급식소","07_21_02_P","3250000","3250000-105-1998-00011","19980420","","01","영업/정상","01","영업","","","","","051 4697963","163.24","600091","부산광역시 중구 대청동1가 10번지","부산광역시 중구 샘길 14 (대청동1가)","48926","남성초등학교","20170706095724","I","2018-08-31 23:59:59.0","학교","385357.057052141","180299.318854398","학교","","","기타","기타","상수도전용","","0","","","","","","","N","163.24","","","",
"11","집단급식소","07_21_02_P","3250000","3250000-105-1998-00012","19980427","","01","영업/정상","01","영업","","","","","051 2557974",".00","600803","부산광역시 중구 보수동1가 50-1번지","부산광역시 중구 흑교로 74 (보수동1가)","48962","보수초등학교","20171027155552","I","2018-08-31 23:59:59.0","학교","384489.996017286","180408.618920708","학교","0","0","기타","기타","상수도전용","","0","","","","","","","N","0","","","",
"12","집단급식소","07_21_02_P","3250000","3250000-105-1998-00013","19980427","","01","영업/정상","01","영업","","","","","051 7191520","669.50","600811","부산광역시 중구 영주동 580-0번지","부산광역시 중구 대영로226번길 15 (영주동)","48922","봉래초등학교","20170706095902","I","2018-08-31 23:59:59.0","학교","385550.446053142","181051.042253247","학교","0","0","기타","기타","상수도전용","","0","","","","","","","N","669.5","","","",
"13","집단급식소","07_21_02_P","3250000","3250000-105-2009-00008","20091204","","01","영업/정상","01","영업","","","","","051 4633810","","600017","부산광역시 중구 중앙동7가 20-1 롯데백화점 광복점","부산광역시 중구 중앙대로 2 (중앙동7가, 롯데백화점 광복점)","48944","롯데쇼핑(주) 광복점","20220414152940","U","2022-04-16 02:40:00.0","산업체","385590.814676765","179553.867031936","산업체","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"14","집단급식소","07_21_02_P","3250000","3250000-105-2010-00001","20100324","","01","영업/정상","01","영업","","","","","051 7187229","","600015","부산광역시 중구 중앙동5가 50","부산광역시 중구 중앙대로 52 (중앙동5가)","48942","(주)엘지유플러스","20220123144945","U","2022-01-25 02:40:00.0","산업체","385650.848776468","180019.638851373","산업체","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
