"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2018-00001","20180712","","01","영업/정상","01","영업","","","","","","106.56","600041","부산광역시 중구 남포동1가 70","부산광역시 중구 태종로 12-1 (남포동1가)","48984","에스엔푸드시스템","20190410100745","I","2019-04-11 02:20:18.0","집단급식소 식품판매업","385565.746964499","179420.26523379","집단급식소 식품판매업","","","","","상수도전용","","0","0","0","0","","","","N","106.56","","","",
"2","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2011-00001","20110124","","01","영업/정상","01","영업","","","","","051 245 2220","81.00","600044","부산광역시 중구 남포동4가 31-2 지상3층","부산광역시 중구 자갈치로 70-1, 지상3층 (남포동4가)","48984","명성씨푸드","20151027190551","I","2018-08-31 23:59:59.0","집단급식소 식품판매업","385207.153155441","179482.100083214","집단급식소 식품판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"3","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2012-00002","20120717","","01","영업/정상","01","영업","","","","","051 246 7615","19.80","600041","부산광역시 중구 남포동1가 62-1","부산광역시 중구 용미길10번길 1, 1층 (남포동1가)","48984","경북상회","20151021090601","I","2018-08-31 23:59:59.0","집단급식소 식품판매업","385477.717035371","179422.479908253","집단급식소 식품판매업","","","","","상수도전용","","0","0","0","0","임대","","","N","0","","","",
"4","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2008-00001","20080807","","01","영업/정상","01","영업","","","","","051 2450705","52.40","600806","부산광역시 중구 부평동2가 72-1","부산광역시 중구 중구로43번길 39 (부평동2가)","48977","대도식품","20151021090125","I","2018-08-31 23:59:59.0","집단급식소 식품판매업","384637.77183428","179952.189677196","집단급식소 식품판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"5","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2016-00001","20160705","","01","영업/정상","01","영업","","","","","051 463 4440","24.66","600813","부산광역시 중구 영주동 534-48","부산광역시 중구 동영로 34 (영주동)","48920","늘푸른유통","20160705102938","I","2018-08-31 23:59:59.0","집단급식소 식품판매업","385364.515306715","180862.296348091","집단급식소 식품판매업","","","","","","","","","","","","","","N","18.72","","","",
"6","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2009-00001","20090612","","01","영업/정상","01","영업","","","","","051 2437734","120.00","600044","부산광역시 중구 남포동4가 30","부산광역시 중구 자갈치해안로 61 (남포동4가)","48984","우경수산","20151021092102","I","2018-08-31 23:59:59.0","집단급식소 식품판매업","385160.754396745","179452.209734125","집단급식소 식품판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"7","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2019-00001","20190927","","01","영업/정상","01","영업","","","","","","","600801","부산광역시 중구 대청동4가 81-3","부산광역시 중구 중구로 67-8, 2층 (대청동4가)","48968","더판데이","20190927092653","I","2019-09-29 02:22:39.0","집단급식소 식품판매업","384883.808802891","180195.181018466","집단급식소 식품판매업","","","","","","","","","","","","","","N","0","","","",
"8","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2020-00001","20200319","","01","영업/정상","01","영업","","","","","","20.00","600809","부산광역시 중구 부평동3가 76-15","부산광역시 중구 흑교로35번길 11, 1층 (부평동3가)","48975","아이누리부산8호점","20200327150527","U","2020-03-29 02:40:00.0","집단급식소 식품판매업","384473.244950345","180041.379066933","집단급식소 식품판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"9","집단급식소식품판매업","07_22_01_P","3250000","3250000-122-2020-00002","20200716","","01","영업/정상","01","영업","","","","","","39.94","600800","부산광역시 중구 대청동4가 26-10","부산광역시 중구 중구로111번길 5, 2층 (대청동4가)","48971","조은푸드","20200731114144","U","2020-08-02 02:40:00.0","집단급식소 식품판매업","385150.62468765","180479.230587905","집단급식소 식품판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"10","집단급식소식품판매업","07_22_01_P","3260000","3260000-122-2019-00002","20190220","","01","영업/정상","01","영업","","","","","051 714 3821","","602030","부산광역시 서구 암남동 762 수산가공선진화단지","부산광역시 서구 원양로 1, 수산가공선진화단지 B동 612호 (암남동)","49277","에프앤에프푸드시스템(주)","20190220163559","I","2019-02-22 02:21:29.0","집단급식소 식품판매업","383449.669961635","174683.069423816","집단급식소 식품판매업","","","","","","","","","","","","","","N","0","","","",
