"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","건강기능식품유통전문판매업","07_22_02_P","3250000","3250000-135-2017-00002","20170425","","01","영업/정상","01","영업","","","","","051 245 1066","49.50","600816","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 충장대로*번길 **, **층 ****호 (중앙동*가, 마린센터빌딩)","48936","청강지엘에스(주)","20170425154446","I","2018-08-31 23:59:59.0","건강기능식품유통전문판매업","385825.756707547","180869.292984843","건강기능식품유통전문판매업","","","","","","","","","","","자가","","","N","0","","","",
"2","건강기능식품유통전문판매업","07_22_02_P","3250000","3250000-135-2021-00003","20210604","","01","영업/정상","01","영업","","","","","","","600082","부산광역시 중구 보수동*가 **-* ***호","부산광역시 중구 보수대로***번길 **, ***호 (보수동*가)","48964","(주)곰솔","20210901162828","U","2021-09-03 02:40:00.0","건강기능식품유통전문판매업","384470.137073686","180226.107998986","건강기능식품유통전문판매업","","","","","","","","","","","","","","N","0","","","",
"3","건강기능식품유통전문판매업","07_22_02_P","3250000","3250000-135-2015-00001","20151020","","01","영업/정상","01","영업","","","","","051 466 5168","1,584.00","600814","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 대청로***번길 *, *층 (중앙동*가)","48941","(주)청운플러스","20181001170224","U","2018-10-03 02:35:56.0","건강기능식품유통전문판매업","385688.912554323","180165.79651993","건강기능식품유통전문판매업","","","","","","","","","","","임대","","","N","0","","","",
"4","건강기능식품유통전문판매업","07_22_02_P","3250000","3250000-135-2020-00001","20201020","","01","영업/정상","01","영업","","","","","","","600101","부산광역시 중구 대창동*가 **-* 센트렐오피스텔","부산광역시 중구 중앙대로 ***, 센트렐오피스텔 *층 (대창동*가)","48924","주식회사 바이오맥스","20201020150138","I","2020-10-22 00:23:10.0","건강기능식품유통전문판매업","385617.137705097","180818.494927285","건강기능식품유통전문판매업","","","","","","","","","","","","","","N","0","","","",
"5","건강기능식품유통전문판매업","07_22_02_P","3250000","3250000-135-2021-00001","20210111","","01","영업/정상","01","영업","","","","","","","600815","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 중앙대로**번길 *, 팔성빌딩 *층 (중앙동*가)","48929","(주)네이처온팜","20210111141910","I","2021-01-13 00:23:04.0","건강기능식품유통전문판매업","385558.05484295","180350.527915773","건강기능식품유통전문판매업","","","","","","","","","","","","","","N","0","","","",
"6","건강기능식품유통전문판매업","07_22_02_P","3260000","3260000-135-2019-00001","20190813","","01","영업/정상","01","영업","","","","","070 82277940","","602816","부산광역시 서구 부민동*가 **-*번지","부산광역시 서구 구덕로***번길 **, *층 (부민동*가)","49223","(주)낫띵베럴","20190813150431","I","2019-08-15 02:22:17.0","건강기능식품유통전문판매업","384185.587819756","180153.809187423","건강기능식품유통전문판매업","","","","","","","","","","","","","","N","0","","","",
"7","건강기능식품유통전문판매업","07_22_02_P","3260000","3260000-135-2018-00002","20180419","","01","영업/정상","01","영업","","","","","051 246 0101","30.00","602811","부산광역시 서구 동대신동*가 ***-* *층","부산광역시 서구 대영로 **-*, *층 (동대신동*가)","49217","(주)제이앤에이치바이오","20210111161003","U","2021-01-13 02:40:00.0","건강기능식품유통전문판매업","384084.986980668","180967.76603685","건강기능식품유통전문판매업","","","","","","","","","","","","","","N","0","","","",
"8","건강기능식품유통전문판매업","07_22_02_P","3260000","3260000-135-2020-00004","20200710","","01","영업/정상","01","영업","","","","","","","602011","부산광역시 서구 충무동*가 *-*","부산광역시 서구 보수대로 *, *층 (충무동*가)","49247","(주)바이오슈티칼스","20211028135101","I","2021-10-30 00:22:45.0","건강기능식품유통전문판매업","384579.284410956","179476.213140467","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","건강기능식품유통전문판매업","07_22_02_P","3260000","3260000-135-2021-00002","20210727","","01","영업/정상","01","영업","","","","","","","602823","부산광역시 서구 서대신동*가 ***-** 한남아도니스","부산광역시 서구 시약로 **, ***호 (서대신동*가, 한남아도니스)","49206","가방나라","20210727140240","I","2021-07-29 00:22:51.0","건강기능식품유통전문판매업","383063.17442749","181251.88285514","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","건강기능식품유통전문판매업","07_22_02_P","3260000","3260000-135-2021-00001","20210217","","01","영업/정상","01","영업","","","","","","","602091","부산광역시 서구 서대신동*가 *** 대신 푸르지오","부산광역시 서구 대영로**번길 **, ***동 ****호 (서대신동*가, 대신 푸르지오)","49232","커스터마켓","20210217144935","I","2021-02-19 00:23:01.0","건강기능식품유통전문판매업","","","건강기능식품유통전문판매업","","","","","","","","","","","","","","N","0","","","",
