"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총종업원수",
"1","축산판매업","07_22_04_P","3390000","339000000920030036","20031008","","01","영업/정상","BBBB","","","","","","051-327-6392","0","","부산광역시 사상구 주례동 154-6","부산광역시 사상구 주례로10번길 9 (주례동)","","남양우유주례대리점","20031008103244","I","2018-08-31 23:59:59.0","우유류판매업","383164.958441834","185293.080760783","축산물판매업","우유류판매업","","000","",
"2","축산판매업","07_22_04_P","3290000","329000000920030035","20031013","","01","영업/정상","BBBB","","","","","","","0","","부산광역시 부산진구 가야동 657-35","부산광역시 부산진구 가야공원로38번길 82 (가야동)","","우신식육점","20031013132107","I","2018-08-31 23:59:59.0","식육판매업","384503.37887346","185325.871062626","축산물판매업","식육판매업","","000","",
"3","축산판매업","07_22_04_P","3330000","333000000920010026","20010906","","01","영업/정상","BBBB","","","","","","531-2251","0","","부산광역시 해운대구 반여동 585 우신아파트상가202호","","","우신정육점","20031008154207","I","2018-08-31 23:59:59.0","식육판매업","392807.930008127","192425.506471774","축산물판매업","식육판매업","","000","",
"4","축산판매업","07_22_04_P","3380000","338000000920080005","20080520","","04","취소/말소/만료/정지/중지","0004","말소","20190610","","","","051-757-8574","0","","부산광역시 수영구 망미동 814-4","부산광역시 수영구 금련로43번길 31 (망미동)","","(주)한물결에프에스","20190610113447","U","2019-06-12 02:40:00.0","식육판매업","391012.815627178","187743.399736369","축산물판매업","식육판매업","","000","",
"5","축산판매업","07_22_04_P","3380000","338000000920120004","20120321","","04","취소/말소/만료/정지/중지","0004","말소","","","","","051-754-4983","16.38","","부산광역시 수영구 망미동 412-24","부산광역시 수영구 과정로 66 (망미동)","48218","신동화마트","20140407172317","I","2018-08-31 23:59:59.0","식육판매업","391924.418909211","188480.930318874","축산물판매업","식육판매업","","000","",
"6","축산판매업","07_22_04_P","3380000","338000000920120007","20120410","","04","취소/말소/만료/정지/중지","0004","말소","20190207","","","","","25.2","","부산광역시 수영구 수영동 70-2","부산광역시 수영구 수영성로 23-1 (수영동)","48228","덕후","20190211201239","U","2019-02-13 02:40:00.0","식육판매업","392815.247863891","187709.069630057","축산물판매업","식육판매업","","000","",
"7","축산판매업","07_22_04_P","3380000","338000000920120020","20120827","","04","취소/말소/만료/정지/중지","0004","말소","20190610","","","","","24.6","","부산광역시 수영구 광안동 1036-25","부산광역시 수영구 연수로364번길 15-1 (광안동)","48241","(주)원양축산 부산지점","20190610113538","U","2019-06-12 02:40:00.0","식육판매업","392095.193654885","187675.924250166","축산물판매업","식육판매업","","L00","",
"8","축산판매업","07_22_04_P","3380000","338000000920120023","20120913","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","23.9","","부산광역시 수영구 남천동 556-9","부산광역시 수영구 황령대로489번길 22 (남천동)","48313","탑플러스 마트","20150924194913","I","2018-08-31 23:59:59.0","식육판매업","392083.334248675","184231.551542692","축산물판매업","식육판매업","","000","",
"9","축산판매업","07_22_04_P","3380000","338000000920120027","20121106","","04","취소/말소/만료/정지/중지","0004","말소","20190610","","","","051-757-5161","42.72","","부산광역시 수영구 광안동","부산광역시 수영구 수영로606번길 41 (광안동)","48295","동남물산","20190610113811","U","2019-06-12 02:40:00.0","식육판매업","","","축산물판매업","식육판매업","","000","",
"10","축산판매업","07_22_04_P","3380000","338000000920020005","20020724","","04","취소/말소/만료/정지/중지","0004","말소","","","","","0516086021","343","","부산광역시 수영구 남천동 545-2","부산광역시 수영구 황령대로 521 (남천동)","","(주)메가마트 남천점","20140326151400","I","2018-08-31 23:59:59.0","식육판매업","392321.102334852","184041.758684038","축산물판매업","식육판매업","","L00","",
"11","축산판매업","07_22_04_P","3370000","337000000919940005","19941223","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","12.5","","부산광역시 연제구 연산동 811-24","부산광역시 연제구 중앙천로 23 (연산동)","","봉계식육점","20120704135752","I","2018-08-31 23:59:59.0","식육판매업","389706.07305008","188410.729696917","축산물판매업","식육판매업","","000","",
"12","축산판매업","07_22_04_P","3380000","338000000920030003","20030115","","04","취소/말소/만료/정지/중지","0004","말소","20190207","","","","","18.18","","부산광역시 수영구 수영동 475-1","부산광역시 수영구 수미로36번길 13 (수영동)","","부산우유수영대리점","20190211201023","U","2019-02-13 02:40:00.0","우유류판매업","392572.201427839","188032.768527374","축산물판매업","우유류판매업","","000","",
"13","축산판매업","07_22_04_P","3380000","338000000920040006","20040419","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","64.32","","부산광역시 수영구 광안동 133-16","부산광역시 수영구 수영로606번길 100 (광안동)","","산해유통","20071120104740","I","2018-08-31 23:59:59.0","식육판매업","393005.827114567","186460.925482656","축산물판매업","식육판매업","","000","",
"14","축산판매업","07_22_04_P","3380000","338000000920040003","20040212","","04","취소/말소/만료/정지/중지","0004","말소","20190207","","","","","15","","부산광역시 수영구 남천동 26-5","부산광역시 수영구 남천바다로 16 (남천동)","48314","부산우유","20190211201158","U","2019-02-13 02:40:00.0","우유류판매업","392420.596861743","185402.951282604","축산물판매업","우유류판매업","","000","",
"15","축산판매업","07_22_04_P","3310000","331000000920120011","20140930","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","30","","부산광역시 남구 용호동 541-41","부산광역시 남구 용호로232번길 12 (용호동)","48568","예가 한우박사","20140930100620","I","2018-08-31 23:59:59.0","식육판매업","392325.996533965","181200.206914908","축산물판매업","식육판매업","","000","",
"16","축산판매업","07_22_04_P","3380000","338000000919730001","19730904","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","19.44","","부산광역시 수영구 수영동 78","부산광역시 수영구 수영로705번길 46 (수영동)","","중앙식육점","20140417140209","I","2018-08-31 23:59:59.0","식육판매업","392827.517160287","187668.89500747","축산물판매업","식육판매업","","000","",
