"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총종업원수",
"1","축산가공업","07_22_05_P","3340000","334000000420110001","20110719","","03","폐업","0002","폐업","20210720","","","20210720","","2760","","부산광역시 사하구 장림동 463-3","부산광역시 사하구 다대로354번길 44 (장림동)","49469","화인푸드","20210720173113","U","2021-07-22 02:40:00.0","식육가공업","379949.621765667","176329.790234569","축산물가공업","식육가공업","0","000","0",
"2","축산가공업","07_22_05_P","3350000","335000000420060001","20061017","","01","영업/정상","0000","정상","","","","","528-9206","464.1","","부산광역시 금정구 금사동 108-10번지","부산광역시 금정구 공단서로8번길 26 (금사동)","46332","(주)계원","20131231094615","I","2018-08-31 23:59:59.0","식육가공업","392294.440120975","192753.718233476","축산물가공업","식육가공업","","000","",
"3","축산가공업","07_22_05_P","3380000","338000000420040001","20040816","","03","폐업","0002","폐업","20040816","","","","","0","","부산광역시 수영구 남천동 545-2번지","부산광역시 수영구 황령대로 521 (남천동)","48313","메가마트남천점","20111030145515","I","2018-08-31 23:59:59.0","식육가공업","392321.102334852","184041.758684038","축산물가공업","식육가공업","","L00","",
"4","축산가공업","07_22_05_P","3400000","340000000420040001","20041227","","03","폐업","0002","폐업","20050707","","","","051-720-0115","888","","부산광역시 기장군 정관면 달산리 148-12번지","부산광역시 기장군 정관면 농공길 2-9","46020","(주)아람마트","20111030140530","I","2018-08-31 23:59:59.0","식육가공업","399450.08765700000","205142.74184100000","축산물가공업","식육가공업","","000","",
"5","축산가공업","07_22_05_P","6260000","626000000420180030","20181122","","01","영업/정상","0000","정상","","","","","","132","","부산광역시 금정구 서동  162번지 1호","부산광역시 금정구 서부로 57-1 (서동)","","비엔비푸드","20191106111615","U","2019-11-08 02:40:00.0","식육가공업","391186.877865928","192996.012984025","축산물가공업","식육가공업","","000","0",
"6","축산가공업","07_22_05_P","6260000","626000000420190002","20190122","","01","영업/정상","0000","정상","","","","","0514045000","270.7","","부산광역시 영도구 동삼동  628번지 1호 목장원","부산광역시 영도구 절영로 355, 목장원 1층(동삼동)","","(주)푸드웨이 목장원","20210729122628","U","2021-07-31 02:40:00.0","식육가공업","387626.970495091","176665.861122501","축산물가공업","식육가공업","0","L00","0",
"7","축산가공업","07_22_05_P","6260000","626000000420190003","20190124","","01","영업/정상","0000","정상","","","","","0518958253","85.74","","부산광역시 부산진구 개금동  394번지 2호","부산광역시 부산진구 백양대로252번길 23, 지하1층 (개금동)","","주식회사 정드네푸드","20200724142542","U","2020-07-26 02:40:00.0","식육가공업","384215.645164163","186093.268671195","축산물가공업","식육가공업","","L00","0",
"8","축산가공업","07_22_05_P","6260000","626000000420190009","20190318","","01","영업/정상","0000","정상","","","","","0517238334","168.86","","부산광역시 해운대구 반송동  250번지 2655호","부산광역시 해운대구 아랫반송로50번길 74 (반송동)","","(주)한담푸드","20200819164541","U","2020-08-21 02:40:00.0","식육가공업","395516.485577331","193545.353273037","축산물가공업","식육가공업","","L00","0",
"9","축산가공업","07_22_05_P","6260000","626000000420180032","20181213","","01","영업/정상","0000","정상","","","","","0519959012","387.75","","부산광역시 기장군 기장읍 대라리 935번지 0호 보성서플라이어 0동","부산광역시 기장군 기장읍 차성서로101번길 10, 보성서플라이어 0동","","(주)아라푸드","20211217103316","U","2021-12-19 02:40:00.0","식육가공업","401021.377897663","195923.407617189","축산물가공업","식육가공업","0","L00","0",
"10","축산가공업","07_22_05_P","6260000","626000000420190010","20190326","","01","영업/정상","0000","정상","","","","","0517242555","143","","부산광역시 해운대구 재송동  1119번지 8호","부산광역시 해운대구 재반로64번길 19 (재송동)","","알천에프앤비","20190326143425","I","2019-03-28 02:20:07.0","식육가공업","393670.265616857","189390.089121508","축산물가공업","식육가공업","","000","0",
"11","축산가공업","07_22_05_P","6260000","626000000420190005","20190213","","01","영업/정상","0000","정상","","","","","0513039105","98.83","","부산광역시 사상구 모라동  277번지 1호","부산광역시 사상구 사상로551번길 39 (모라동)","","천익식품","20190213113856","I","2019-02-15 02:21:21.0","식육가공업","380958.320754697","190065.417663202","축산물가공업","식육가공업","","000","0",
"12","축산가공업","07_22_05_P","6260000","626000000420190008","20190312","","01","영업/정상","0000","정상","","","","","0517040527","289.5","","부산광역시 해운대구 송정동  86번지 6호","부산광역시 해운대구 송정2로13번길 29 (송정동)","","디케이팩토리","20190312101022","I","2019-03-14 02:21:50.0","식육가공업","400832.811192872","190567.938686437","축산물가공업","식육가공업","","000","0",
"13","축산가공업","07_22_05_P","6260000","626000000420190011","20190418","","01","영업/정상","0000","정상","","","","","","111.35","","부산광역시 남구 용당동  542번지 1호 문화빌딩 0호","부산광역시 남구 신선로 439, 문화빌딩 0동 (용당동)","","한누리농축산식품 주식회사","20220504152241","U","2022-05-06 02:40:00.0","식육가공업","391308.794550286","182623.254098488","축산물가공업","식육가공업","0","L00","0",
"14","축산가공업","07_22_05_P","6260000","626000000420190016","20190617","","01","영업/정상","0000","정상","","","","","","30.79","","부산광역시 금정구 서동  564번지 5호","부산광역시 금정구 명서로45번길 29 (서동)","","반반닭갈비","20190617162230","I","2019-06-19 02:21:42.0","식육가공업","390845.655728277","192747.621896793","축산물가공업","식육가공업","","000","0",
"15","축산가공업","07_22_05_P","6260000","626000000420190013","20190507","","01","영업/정상","0000","정상","","","","","0519725790","159.34","","부산광역시 강서구 대저1동  2400번지 46호","부산광역시 강서구 공항로1309번길 95-11 (대저1동)","","주식회사 릴요거트","20210812182746","U","2021-08-14 02:40:00.0","유가공업","380613.67857200000","192748.91441800000","축산물가공업","유가공업","0","L00","0",
"16","축산가공업","07_22_05_P","6260000","626000000420190015","20190614","","01","영업/정상","0000","정상","","","","","","79.33","","부산광역시 기장군 기장읍 청강리 174번지 7호 유니메탈 0호","부산광역시 기장군 기장읍 청강로91번길 19, 유니메탈 1층","","미진자연식품","20190614092709","I","2019-06-16 02:21:13.0","식육가공업","402193.03117000000","195868.86522000000","축산물가공업","식육가공업","","000","0",
"17","축산가공업","07_22_05_P","6260000","626000000420190023","20190902","","01","영업/정상","0000","정상","","","","","0513049105","201.78","","부산광역시 사상구 모라동  277번지 1호","부산광역시 사상구 사상로551번길 39, 1층 (모라동)","","주식회사 장닭","20190902171558","I","2019-09-04 02:22:18.0","식육가공업","380958.320754697","190065.417663202","축산물가공업","식육가공업","","L00","0",
"18","축산가공업","07_22_05_P","6260000","626000000420190025","20190924","","01","영업/정상","0000","정상","","","","","","212","","부산광역시 남구 용호동  377번지 3호","부산광역시 남구 용호로159번길 94, 9층 901-1호 (용호동)","","(주)올투딜리셔스","20190924101730","I","2019-09-26 02:22:38.0","식육가공업","392880.268663129","181864.088029051","축산물가공업","식육가공업","","L00","0",
"19","축산가공업","07_22_05_P","6260000","626000000420190021","20190813","","01","영업/정상","0000","정상","","","","","","91.84","","부산광역시 해운대구 재송동  1095번지 10호","부산광역시 해운대구 해운대로 151, 2층 (재송동)","","쿡앤샵","20190813144311","I","2019-08-15 02:22:17.0","식육가공업","393201.276524266","189257.434731193","축산물가공업","식육가공업","","000","0",
"20","축산가공업","07_22_05_P","6260000","626000000420190022","20190821","","01","영업/정상","0000","정상","","","","","0516321313","38.2","","부산광역시 해운대구 우동  1433번지 0호 현대카멜리아 139호","부산광역시 해운대구 마린시티1로 167, 139호 (우동, 현대카멜리아)","","카멜리아(CAMELLIA)","20210902090316","U","2021-09-04 02:40:00.0","식육가공업","395812.483824917","186378.367552546","축산물가공업","식육가공업","0","L00","0",
"21","축산가공업","07_22_05_P","6260000","626000000420190027","20191024","","01","영업/정상","0000","정상","","","","","","221.55","","부산광역시 사상구 모라동  276번지 20호","부산광역시 사상구 사상로557번길 21, 1층 (모라동)","","현지푸드","20200120160544","U","2020-01-22 02:40:00.0","식육가공업","","","축산물가공업","식육가공업","","000","0",
"22","축산가공업","07_22_05_P","6260000","626000000420200002","20200106","","01","영업/정상","0000","정상","","","","","","96.85","","부산광역시 사상구 삼락동  50번지 9호","부산광역시 사상구 삼락천로 331-1, 1층 (삼락동)","","해성푸드","20210916092027","U","2021-09-18 02:40:00.0","식육가공업","380961.325364096","190316.028054584","축산물가공업","식육가공업","0","000","0",
"23","축산가공업","07_22_05_P","6260000","626000000420190028","20191128","","01","영업/정상","0000","정상","","","","","","253.25","","부산광역시 사상구 모라동  278번지 11호","부산광역시 사상구 사상로551번길 25 (모라동)","","이룸축산","20191128181215","I","2019-11-30 00:23:27.0","식육가공업","381023.23433601","190068.885165178","축산물가공업","식육가공업","","000","0",
"24","축산가공업","07_22_05_P","6260000","626000000420220004","20220222","","01","영업/정상","0000","정상","","","","","0517243447","86.7","","부산광역시 기장군 기장읍 동부리 126번지 16호 대성학원","부산광역시 기장군 기장읍 차성로 322, 대성학원 1층","","메가정육","20220222174916","I","2022-02-24 00:22:37.0","식육가공업","401448.924205299","196357.8777444","축산물가공업","식육가공업","0","000","0",
"25","축산가공업","07_22_05_P","6260000","626000000420220002","20220215","","01","영업/정상","0000","정상","","","","","","96.8","","부산광역시 강서구 강동동  3709번지 10호","부산광역시 강서구 강동중곡2길 251(강동동)","","(주)늘찬축산","20220215081838","I","2022-02-17 00:22:55.0","식육가공업","","","축산물가공업","식육가공업","0","L00","0",
"26","축산가공업","07_22_05_P","6260000","626000000420220003","20220215","","01","영업/정상","0000","정상","","","","","","360","","부산광역시 강서구 대저2동  3842번지 7호","부산광역시 강서구 금호순서길89번가길 44(대저2동)","","블럭돈 부산지점","20220215144953","I","2022-02-17 00:22:55.0","식육가공업","","","축산물가공업","식육가공업","0","L00","0",
"27","축산가공업","07_22_05_P","6260000","626000000420220006","20220310","","01","영업/정상","0000","정상","","","","","","72.24","","부산광역시 금정구 구서동  471번지 3호","부산광역시 금정구 금강로 397(구서동)","","(주)어나더푸드","20220310142234","I","2022-03-12 00:22:36.0","식육가공업","389893.92923372","195795.432922201","축산물가공업","식육가공업","0","L00","0",
"28","축산가공업","07_22_05_P","6260000","626000000420220005","20220303","","01","영업/정상","0000","정상","","","","","","143.55","","부산광역시 강서구 지사동  1215번지 2호 지사복합상가 C동 105호","부산광역시 강서구 과학산단로 349, 지사복합상가 C동 1층 105호(지사동)","","다선축산","20220303165627","I","2022-03-05 00:22:37.0","식육가공업","366799.216536177","184790.245500093","축산물가공업","식육가공업","0","000","0",
"29","축산가공업","07_22_05_P","6260000","626000000420220007","20220315","","01","영업/정상","0000","정상","","","","","0513038285","325","","부산광역시 강서구 대저1동  2908번지 3호","부산광역시 강서구 신덕길18번길 15-11(대저1동)","","(주)이가네","20220315180651","I","2022-03-17 00:22:35.0","식육가공업","379281.810198917","190990.854128489","축산물가공업","식육가공업","0","L00","0",
"30","축산가공업","07_22_05_P","6260000","626000000420200001","20200102","","01","영업/정상","0000","정상","","","","","0519414588","101.65","","부산광역시 강서구 대저2동  6054번지 1호","부산광역시 강서구 맥도강변길 234 (대저2동)","","현진축산 주식회사","20210623173240","U","2021-06-25 02:40:00.0","식육가공업","376097.367686001","183214.669818588","축산물가공업","식육가공업","","L00","0",
"31","축산가공업","07_22_05_P","6260000","626000000420200009","20200316","","01","영업/정상","0000","정상","","","","","","57.78","","부산광역시 해운대구 재송동  509번지 6호 지정빌딩 A호","부산광역시 해운대구 재반로 34, 지정빌딩 1층 A호 (재송동)","","하람푸드","20210721093529","U","2021-07-23 02:40:00.0","식육가공업","393659.964317147","189008.081546711","축산물가공업","식육가공업","0","000","0",
"32","축산가공업","07_22_05_P","6260000","626000000420200010","20200316","","01","영업/정상","0000","정상","","","","","","93.31","","부산광역시 해운대구 재송동  509번지 6호 지정빌딩 B호","부산광역시 해운대구 재반로 34, 지정빌딩 1층 B호 (재송동)","","하임팜","20200316100602","I","2020-03-18 00:23:29.0","식육가공업","393659.964317147","189008.081546711","축산물가공업","식육가공업","","000","0",
"33","축산가공업","07_22_05_P","6260000","626000000420200005","20210312","","01","영업/정상","0000","정상","","","","","0518515626","148.5","","부산광역시 금정구 금사동  56번지 9호 1~2층","부산광역시 금정구 금사로 107, 1~2층(금사동)","","에스엘푸드","20211229171519","U","2021-12-31 02:40:00.0","식육가공업","392293.528273773","193462.471870039","축산물가공업","식육가공업","0","000","0",
"34","축산가공업","07_22_05_P","6260000","626000000420200004","20200120","","01","영업/정상","0000","정상","","","","","0518328322","272.33","","부산광역시 강서구 대저1동  786번지 6호","부산광역시 강서구 대저중앙로233번길 46-15 (대저1동)","","주식회사 고성산업","20210615130118","U","2021-06-17 02:40:00.0","식육가공업","379483.302088813","193322.72238245","축산물가공업","식육가공업","","L00","0",
"35","축산가공업","07_22_05_P","6260000","626000000420200006","20200306","","01","영업/정상","0000","정상","","","","","","38.18","","부산광역시 사상구 감전동  104번지 47호","부산광역시 사상구 사상로147번길 16, 동경장여관 0동 1층 (감전동)","","맛모아식품","20200306093302","I","2020-03-08 00:23:22.0","식육가공업","380974.297563777","186177.542042583","축산물가공업","식육가공업","","000","0",
"36","축산가공업","07_22_05_P","6260000","626000000420210031","20211222","","01","영업/정상","0000","정상","","","","","0517555340","135","","부산광역시 기장군 기장읍 서부리 389번지 0호","부산광역시 기장군 기장읍 배산로8번길 32","","부산광역시가금류협동조합","20211222105104","I","2021-12-24 00:22:42.0","식육가공업","400969.776266795","196906.345971861","축산물가공업","식육가공업","0","L00","0",
"37","축산가공업","07_22_05_P","6260000","626000000420220001","20220103","","01","영업/정상","0000","정상","","","","","0519265358","74.5","","부산광역시 사상구 주례동  80번지 42호","부산광역시 사상구 주례로27번길 27, 1층(주례동)","","고기쟁이(가공센타)","20220103150631","I","2022-01-05 00:22:41.0","식육가공업","383387.049189332","185156.345617203","축산물가공업","식육가공업","0","000","0",
